,in_tissue,array_row,array_col,n_genes_by_counts,log1p_n_genes_by_counts,total_counts,log1p_total_counts,pct_counts_in_top_50_genes,pct_counts_in_top_100_genes,pct_counts_in_top_200_genes,pct_counts_in_top_500_genes,total_counts_mt,log1p_total_counts_mt,pct_counts_mt,n_counts,region_ind,E,M,S,B cells memory,B cells naive,Dendritic cells activated,Dendritic cells resting,Eosinophils,Macrophages M0,Macrophages M1,Macrophages M2,Mast cells activated,Mast cells resting,Monocytes,Neutrophils,NK cells activated,NK cells resting,Plasma cells,T cells CD4 memory activated,T cells CD4 memory resting,T cells regulatory (Tregs),T cells CD4 naive,T cells CD8,T cells follicular helper,T cells gamma delta,MixtureType
19x59,1,59,19,7750,8.955577146281511,61313.0,11.023764,26.25218142971311,38.78459706750608,48.23283806044395,59.97423058731427,391.0,5.971262,0.6377114,61313.0,0,0.00405666778284202,0.9083098775943574,0.08763345462280053,0.1,0.0,0.0,4.6,0.2,0.0,0.8,1.9,0.0,0.4,0.3,0.0,0.0,0.2,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,Pure Mes.
0x62,1,62,0,3492,8.158516244806831,9885.0,9.198874,23.77339403136065,35.68032372281234,45.776428932726354,58.947900859888726,196.0,5.2832036,1.9828022,9885.0,isolated,0.0005851682722967657,0.8536828646172099,0.1457319671104934,0.0,0.0,0.4,0.0,0.4,0.2,0.7,1.0,1.3,0.0,1.9,0.5,2.2,0.0,1.6,0.0,0.0,0.0,1.0,3.4,0.0,0.0,MS Mixture
97x61,1,61,97,2480,7.816416983691801,5389.0,8.5923,23.547968083132307,32.4364446093895,42.03006123585081,57.821488216737805,118.0,4.7791233,2.1896455,5389.0,1,0.2670286855655452,0.00033071668612707486,0.7326405977483277,0.0,5.5,1.2,4.9,0.0,1.4,2.8,2.4,0.0,7.5,0.0,6.8,5.5,0.0,6.9,2.1,11.7,0.0,0.0,0.0,9.9,4.9,Stroma
28x42,1,42,28,1548,7.3453648404168685,3194.0,8.069343,27.363807138384473,39.38634940513463,50.59486537257357,67.18847839699437,110.0,4.7095304,3.4439576,3194.0,1,0.0004413561504911311,0.4422417467385106,0.5573168971109982,1.1,0.0,1.2,0.0,1.2,3.8,5.1,0.0,0.0,7.6,6.7,0.0,5.3,0.0,5.1,2.8,0.0,2.0,7.0,2.3,4.2,0.4,Stroma
42x52,1,52,42,7617,8.93826914703855,64882.0,11.080341,27.6224530686477,40.71082888936839,50.32212323911101,61.7644338953793,289.0,5.669881,0.44542402,64882.0,0,0.008567293460761806,0.9909869003823957,0.00044580615684247475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pure Mes.
4x58,1,58,4,3973,8.287528423111763,12188.0,9.408289,22.719067935674435,34.01706596652445,43.854611092878244,57.25303577289137,168.0,5.1298985,1.378405,12188.0,isolated,0.0005326825596728252,0.850637508176875,0.14882980926345227,1.3,0.0,0.3,0.7,0.2,0.6,0.4,0.0,0.0,2.4,2.7,0.0,0.9,0.0,0.4,0.7,0.0,0.4,1.3,1.7,0.6,0.3,MS Mixture
79x35,1,35,79,7182,8.879472402074802,53935.0,10.895554,29.61527764902197,42.554927227217945,51.94400667470103,63.081486975062575,154.0,5.043425,0.28552887,53935.0,0,0.002524739920082181,0.9971898187575651,0.0002854413223527916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pure Mes.
59x67,1,67,59,5047,8.52674740422105,27269.0,10.213543,27.79346510689794,42.8251861087682,54.62246507022627,66.88914151600719,294.0,5.6869755,1.0781473,27269.0,0,0.0007154180660184325,0.8381182470242607,0.1611663349097208,1.7,0.0,0.0,2.2,1.3,0.0,0.9,1.7,3.5,0.0,1.9,0.0,0.6,0.0,0.2,0.0,0.0,0.0,1.5,0.4,0.0,0.3,MS Mixture
67x45,1,45,67,6210,8.734077192559303,29519.0,10.292823,22.358480978352926,33.98827873572953,43.76842033944239,56.03848368847183,478.0,6.1717005,1.619296,29519.0,0,0.00018426081334791482,0.9996314783733086,0.00018426081334336228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pure Mes.
12x64,1,64,12,7584,8.933927891782632,58162.0,10.9710045,25.960248959801934,38.231147484611945,47.2954850245865,59.29128984560366,419.0,6.0402546,0.72040164,58162.0,0,0.013204839836138408,0.9865051634805159,0.0002899966833456199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pure Mes.
