Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
19x59,0,0.0153114045349518,0.000281272806777531,0,0,0.0145590142814198,0.0093437912672853,0,0,0,0.0191597281504494,0,0.0396728058281857,0,0.0936169181861293,0.217513822929175,0.528619366515591,0,0.0434168139598116,0,0.0185050615402233,0,0,0.137629852123702,1.04735810302514
0x62,0.00041425383861189,0,0.10809647185301,0.234836073515872,0.06791318356535,0,0,0,0,0,0,0.153224779988495,0.133393401084293,0.0110677543239379,0.045756256112019,0.0671383211753058,0,0.0292198112457171,0,0.0878346259313867,0.0286290509655791,0.0324760164004221,0,0.0362105820420192,1.09802818854188
97x61,0.0750590786512838,0,0.0935689044798504,0,0,0.159178319683574,0.0281244062762835,0.135060097145391,0,0.0665535716190607,0,0.0750060723262967,0,0.0193159600096005,0.0375409859093388,0.0334212438245385,0.0666058100841435,0.0162438902561856,0.102073245309068,0,0,0.092248414425385,0,-0.0358199765338875,1.09960452229091
28x42,0,0.0196621137599579,0.0922919189154024,0.0416828336731724,0.124779181319694,0,0.0505201485648264,0.0748211430336638,0.0360271888699408,0.00769413411452486,0,0.0954782631834584,0.1197725774366,0.0675729524528523,0.0913238540869394,0,0,0.0208199493212555,0.135559300053979,0,0.0219944412137321,0,0,-0.0541995044173121,1.10356334668798
42x52,0,0,0.0277637498781987,0.0237764809664075,0,0.105774038169964,0,0,0.113462055847783,0,0.026751796844343,0.00053590088262013,0.124162560249591,0.0326035521260701,0.110596885003332,0,0.320661221890811,0,0,0.0299246677615736,0.0839870903793053,0,0,0.0945266425286143,1.04021408125222
4x58,0,0.0906206730206478,0.029264908735729,0.111530750696654,0.0873342604649155,0,0.046005444963229,0.0379592925250556,0.0256247417971513,0.0206809591534872,0,0.0605746661968914,0.183510238901807,0.0416788473897212,0.0271683124446337,0,0.0459293615771842,0.0176988713712614,0.159693214484269,0,0.0147254562773626,0,0,-0.00440506074783307,1.07103409286119
79x35,0,0.0326187781712123,0.00755218766565982,0,0.00729267571725136,0.0908444628699475,0.0222061473063219,0,0,0,0.0815345202802616,0,0.00670066345461668,0,0.054157799582251,0,0.636125583122787,0,0,0.0360599850283299,0.00346722229039038,0.0214399745109707,0,0.0936026735838825,1.05555062744746
59x67,0,0.102469839549414,0.00989313421447417,0.0234299569403777,0.0913887797173921,0,0,0,0,0.0213439694738403,0,0.0360549052024241,0.119562657636586,0,0.0537345001420494,0.107008928649557,0.136443161692535,0,0,0.218760962823618,0.079909203957732,0,0,0.0885813850825883,1.05100730024383
67x45,0,0.0522664699936105,0,0,0,0.130789189940202,0,0,0.060486544391107,0,0.155218521449711,0,0.0546601725544894,0,0.144611422996707,0,0.285330614867402,0,0,0.108994778867497,0.00764228493927527,0,0,0.144707178762627,1.032998285885
12x64,0,0,0.0254247491669904,0.356756602608221,0,0,0.0275685428746581,0.0207053648250414,0,0,0,0,0.418008740685301,0,0.0649447974167863,0.0327046141667882,0.00838276447878514,0,0,0.00452103098161939,0.0409827927958092,0,0,0.0786714962046117,1.05900929115421
19x45,0.0153309946778829,0.110446074663496,0,0,0,0.180728537474392,0,0.160355184454646,0,0.0231890442177274,0.0533978754193414,0,0.143231146345289,0,0.0556506361595837,0,0.0580404364036908,0.0214887674410562,0.0749222879734724,0.103219014769422,0,0,0,-0.0471717012509702,1.10027137340974
2x64,0.126470151914312,0,0.00243022588240641,0,0,0.205550425900273,0.00229124923050782,0,0.117529860634827,0.0732871529626812,0.024751230293183,0,0,0.00364336893387795,0.0428705907370042,0,0.20327172887185,0.0258640498552513,0,0.0809348817595513,0.013929418611139,0.0771756644131351,0,-0.0224866826439639,1.09339754551555
15x29,0.156153480599319,0,0.226384109191567,0.113770625383056,0.166918547642514,0,0.064575166699649,0.0164131422893605,0,0.0466747012346537,0,0.0496099036009769,0,0,0,0.122255231269039,0,0.0279450712761635,0,0,0.00930002081370014,0,0,0.514320357397234,0.856509263777922
22x66,0.0834605920589265,0,0.00574940517701444,0,0,0.052121702549726,0.0356024325661482,0.0455214658945019,0,0,0,0.0144657852953435,0.399047912869482,0.0571406619433112,0.0311867679453948,0,0.224387752809899,0,0.0513155208902523,0,0,0,0,0.0779199629792598,1.03816644949921
54x62,0,0.0161194704210305,0,0.00213674425181578,0,0.106934419740361,0.0108969879367899,0,0,0,0.0327246041383307,0,0.0449070204535079,0,0.0504918015519524,0,0.711598978905731,0,0,0.0241899726004805,0,0,0,0.0758214192868954,1.07491578125188
55x55,0.00281576810797264,0,0,0.00206213231638797,0.00386676117304245,0,0,0.00773179952101356,0,0,0,0.0123095614739147,0.105760665994977,0,0.00826933109900381,0.565238928456388,0,0,0,0.2919450518573,0,0,0,0.0985731699455139,1.1017037833185
62x24,0.0609780377332477,0,0.0780152996702354,0.11079468904331,0.0507200816574142,0,0.0306364691681523,0.0111884016483257,0.0347412021012396,0.102716245727108,0,0.0683826460083457,0,0.0120108363853213,0,0.102138793872648,0,0.0735872004921753,0.096396582137551,0,0,0.167693514354926,0,-0.0234296672014851,1.0978403465622
27x51,0,0.104157665996842,0,0,0,0.00836377570012909,0,0,0.011484220498513,0.00376664854953099,0.0359225352125827,0,0.0770392842273395,0.126031334856698,0.162461266224167,0,0.444564182148109,0,0.0262090865860891,0,0,0,0,0.178404513983567,1.02942690185931
94x44,0.0285118850115213,0,0,0.0512964605558106,0,0,0.0121242917722571,0,0.0534300909794871,0,0.0307501093501227,0,0.245569725858246,0,0.114591921171156,0,0.218071054619707,0,0,0.230786058676819,0.0148684020048724,0,0,0.340231996747788,0.945089882485762
96x42,0.000394077299712583,0,0.00252681528952505,0.026168165561321,0.00788033500558214,0,0.054525315015248,0,0,0,0,0.0205529256828035,0.322301801149198,0,0.175384663739589,0,0.195483315604992,0,0,0.19478258565203,0,0,0,0.277068142562234,0.98366717826701
69x47,0.0141121120755955,0.0109744705727775,0,0.00348738457505125,0,0.132945102832524,0,0,0.0457536528503036,0,0.0344766334274122,0,0.105695625400998,0,0.0275361124187948,0,0.166206837494185,0,0,0.458812068352358,0,0,0,0.211513557562824,1.04098306086333
79x53,0.0403584157198033,0.0228118125236162,0.0726543343806218,0,0,0.332231667952177,0,0,0,0.0315076346925285,0.187507460464559,0,0.00943179003933488,0,0.0616083523356937,0.0446396126109216,0.0270792514572017,0.0179189540014986,0,0.131742226323745,0,0.0205084874982992,0,0.0461585992767098,1.09062096739896
5x57,0.0631569662558014,0.00788529496993222,0.0405034499121859,0,0,0.118580317734701,0,0.0522074154756559,0,0,0.0263473476010014,0.00211556826075727,0.0558572757246266,0,0.0241929326538314,0,0.552418803689564,0,0.0106571195784295,0,0,0.0460775081435127,0,0.184263283054207,1.00935940365575
56x44,0.156919394609594,0,0.0206779954650953,0.0303712370264216,0.00763629711716068,0,0,0.0972632513716178,0.0982844796404014,0.0917382959103401,0,0.0567958525148231,0,0.066882580332571,0.0352808379142772,0,0.122427434875825,0.0315555017423962,0.129834914453003,0,0,0.0543319270264734,0,-0.0131274691895956,1.08621178352602
17x49,0,0.148794682956111,0,0.056395504612355,0,0.0414646750616578,0.0891028241909573,0,0.0168093290793611,0,0.137127302340245,0,0.204580768904717,0.0138463536140226,0.0188023748940085,0,0.141010684417572,0.015084823888919,0,0.109429029666168,0,0.00755164637390491,0,0.126902206392672,1.02498633384502
51x33,0,0.0186630515883995,0.0188835799662141,0.0603396328829117,0.112906665547093,0,0,0.0377953666879949,0.014101751050876,0.0411796866616691,0,0.0732603576401689,0,0.0332172606678152,0.0664575279870462,0,0.353858267728551,0,0.0718466209152333,0,0,0.0974902306760272,0,0.224797976548292,0.989958288055632
58x34,0.180497916145092,0,0.00882860114660467,0,0,0.224560278282787,0.102091332424925,0.0212859267532397,0,0,0.255307161225444,0,0.0555445043154622,0.0331985917473495,0,0.0635760375463499,0,0,0.0551096504127455,0,0,0,0,-0.0424432099576148,1.13076811056583
31x55,0,0.166006685393149,0.00112291737633401,0.00321410423389008,0,0.0902886825313883,0,0,0,0,0.0742559008505176,0,0.0383193969152574,0,0.191203291813294,0,0.172329568480174,0,0,0.263259452405996,0,0,0,0.0996210749513299,1.08203274807737
33x47,0,0.115866380575187,0.0198706207711329,0.044845509862458,0,0.254211428275491,0,0,0,0.00690458696474393,0.162246761997381,0,0.111271066792107,0.0365776022810646,0.103630457312282,0,0.0944257218099207,0,0,0.0501498633582312,0,0,0,0.0347900020333233,1.07977305882767
42x28,0.0521028959568385,0,0,0,0,0.137067090127066,0.00619450591831881,0.00668683430045185,0.0495102778829228,0.017014988679497,0.00841844913078178,0.000779232320144312,0,0.0122856446010486,0.0401887959573944,0,0.605718090777552,0,0.016483434879368,0,0.047549759468616,0,0,0.287450751259298,0.969360512666911
37x61,0.205202901590526,0,0,0,0,0.136187432281956,0.139540875282021,0,0.0276397371071162,0.00837252602520468,0.110201145196438,0,0,0.0634953303649184,0.0579828755238682,0.0090198567898634,0.0367001903367148,0,0.189453677301424,0,0,0.0162034521999502,0,-0.0526528476089737,1.09952073172403
25x29,0.0597297427032473,0,0.824216320995215,0.0245610501229593,0.0288959915437733,0,0,0,0,0.00970779055065498,0,0.0238427939934919,0,0,0.00350135786432175,0.00998933369619109,0,0.00236130007233655,0,0,0,0.013194318457809,0,0.779617346278633,0.667401986960986
93x51,0.115891944176588,0,0,0.157327094936786,0.0147329174456178,0,0.0161567697493259,0.0529494419365569,0.0799206418659992,0.0381097107923058,0,0.0581574671079657,0.0284051807533302,0.0373750363479072,0.0894807589608251,0.0537542924189212,0.0589905914987036,0.0802066960118052,0.0380661637081776,0,0.0150480279105297,0.0654272643786548,0,0.0435764675821957,1.07719438035784
21x45,0,0.180540535506367,0,0,0,0.306194416747496,0,0.0334158585086595,0,0,0.0106522639348105,0,0.227542907288474,0.0507905683133916,0,0,0.118106832422624,0.0211638346114715,0,0.051592782666706,0,0,0,0.011765833945216,1.07496299644037
31x59,0.00869755379831389,0.0117100973522171,0,0,0,0.258770818724907,0,0.0313607856468568,0,0,0.157505151157446,0,0.0376167549038985,0.0335985837304384,0.195375404386911,0,0.0843958840517693,0,0,0.126299080470566,0.0546698857766762,0,0,-0.0121572024645233,1.13103785889671
31x29,0,0.0678567908979394,0,0.0262147650589008,0.0277177304260271,0,0.00313158517914375,0,0.0647623509325414,0.0415813445582938,0.0074571165543948,0,0,0.545215096262638,0.0128254302779161,0.0866484394230738,0,0,0.0118862589215536,0,0.0810420347075592,0.0236610568000183,0,0.528413554413465,0.855606957001587
23x67,0.04301448201092,0,0,0.0207908507390064,0.031814790828473,0,0.0404694069638202,0,0.0136672863751696,0.0186310023629552,0.107510272703628,0,0.290397187204588,0.0406958723209079,0.00502498511010667,0.360331049427301,0,0.00129494057521248,0.00707400632777537,0,0.019283867050136,0,0,0.149900547572,1.02472191944402
52x64,0,0.0708011480256321,0.00134083229244518,0,0,0,0.0486653051138504,0,0,0,0.0338882888921598,0,0.333454339150385,0,0.152995142275645,0,0.219144797354195,0,0,0.139710146895687,0,0,0,0.148334736097856,1.03186561402583
24x36,0.113081236034361,0,0.0283679748654908,0,0,0.187517257840502,0,0.0289479679553538,0,0,0.165569902369204,0,0,0.0625126130066859,0.0608089284299707,0.100655504214082,0,0.0400248678787435,0,0.127220939254398,0.0836049086056459,0.00168789954556317,0,0.0920732087393679,1.05176478093912
11x65,0,0.220630261478391,0.0257144640096788,0,0,0.0224409922946722,0.103185910172101,0,0.0103547717893857,0.0334122472801872,0.249444047970805,0,0.231531934080743,0.0257433337148861,0.00361523468930781,0.00103124412487709,0,0.0390662526193565,0.0338293057756084,0,0,0,0,0.0260491205085321,1.0875067409075
14x56,0,0.0254139912948388,0,0,0,0.0947143526517412,0.0020422261131171,0.00250203180789915,0,0,0.140451690786943,0,0.0262662848765259,0.00209340345849421,0.146661884138744,0,0.474306661990211,0,0,0.0855474728814859,0,0,0,0.181163535837985,1.02183229815562
43x67,0,0.0012738549129313,0.000790946897786342,0,0.0107489526287933,0,0,0.00325565084664723,0.00148419082404538,0.00234520480873399,0,0.00332497586151804,0.01994483743843,0,0.152202894502616,0,0.641820637752255,0.0346172849671511,0,0.128190568559093,0,0,0,0.146046618004195,1.06462076765366
96x40,0.0209140964027402,0.00821912424968529,0,0.207483033429389,0,0,0,0,0.0658509662582597,0,0,0.0146705403494322,0.20605249099374,0,0.165471924671895,0.0417941954597042,0,4.90848457494392e-05,0,0.232124620823576,0.0373699225158299,0,0,0.123351120848371,1.06272500745883
70x24,0.171338158304666,0,0.00375142001056574,0.111584566913728,0.125905636128324,0,0,0.0168739281276483,0.102670999208385,0.00093985111272621,0,0.0435107017507039,0.0300518078879807,0,0,0.122028103407151,0.0431452771682127,0.0674424354760829,0.061930855156987,0,0,0.098826259346839,0,-0.00989467774380124,1.09361444127949
92x46,0.0093805811534046,0,0.00334819402737462,0.00104429368374576,0,0.0268756406467679,0,0.00476177397150446,0,0,0.0103769448688615,0,0.0750080913841092,0.0245613275867151,0.156200656403601,0,0.588965666964986,0,0,0.0982311418385663,0.00124568747036321,0,0,0.258419125503482,0.997871890396892
82x62,0,0.127855184160119,0.0628242091095155,0.135409116625578,0.196886617872231,0,0,0.0092332872513102,0.03173970814439,0.028749125640016,0,0.0580772703278755,0.0453921056295449,0.0513422785333311,0,0,0,0.0600023103712664,0.128288825353797,0,0.047656845649066,0.0165431153319596,0,-0.0481594435669499,1.11587457554291
68x54,0,0.00526839892150868,0.00246459088342582,0.0153721478210371,0,0.0339276056572957,0.0347721835745138,0,0,0,0.0845159279745328,0,0.0798432061972321,0,0.0338856644967282,0,0.634407683106509,0,0,0.00897120897695826,0.0665713823902583,0,0,0.146320981392208,1.03587683725598
8x58,0,0.0831579072571218,0,0.0180759129921509,0.0819575178657617,0.0671313040033953,0,0,0,0,0,0.016634751837693,0.148011404713238,0,0.00653796848895905,0,0.295314053723936,0,0,0.283179179117744,0,0,0,0.195044763590677,1.01271772139644
73x53,0,0.123258240498292,0.002990763878305,0.0219136273511954,0,0.268518014374163,0.00570485524660527,0.0249405357829106,0,0,0.1470423305574,0,0,0,0.0747625047783223,0.0155684912334618,0.0681666971124246,0,0,0.14866628204257,0,0.0984676571443502,0,0.0241710930459212,1.0896365142835
