,region_ind,region,gene,lfc,pval,padj
0,7,red,Sox17,2.090143,0.7047133589950112,1.0
1,7,red,Mrpl15,-0.88718176,0.1410337615993344,1.0
2,7,red,Lypla1,-0.7510156,0.20946951432885075,1.0
3,7,red,Tcea1,0.35080636,0.10056824334422428,1.0
4,7,red,Rgs20,0.9806268,0.6304418542370789,1.0
5,7,red,Atp6v1h,0.10182039,0.4099193600102421,1.0
6,7,red,Rb1cc1,-0.23814547,0.7015260691216363,1.0
7,7,red,4732440D04Rik,-0.84246755,0.9201615592337533,1.0
8,7,red,Pcmtd1,0.66819626,0.8067588450338916,1.0
9,7,red,Gm26901,-0.5555466,0.9543266061939726,1.0
10,7,red,Gm30414,-0.20694844,0.9685904902183732,1.0
11,7,red,Rrs1,-1.4205955,0.025377259094471624,1.0
12,7,red,Adhfe1,1.6018933,0.8403740856017844,1.0
13,7,red,2610203C22Rik,1.5997939,0.654545623567901,1.0
14,7,red,Mybl1,1.1882764,0.8260342864005623,1.0
15,7,red,Vcpip1,0.80359423,0.06013618507575508,1.0
16,7,red,1700034P13Rik,-0.5696277,0.923003900313925,1.0
17,7,red,Sgk3,0.83486074,0.8857663471846284,1.0
18,7,red,Snhg6,-2.1388626,0.0013362302771141494,0.9999999795686171
19,7,red,Cops5,-0.222326,0.7354242227782003,1.0
20,7,red,Cspp1,-0.30338135,0.36930479650880776,1.0
21,7,red,Arfgef1,0.17411758,0.730394336944721,1.0
22,7,red,Prex2,-2.306176,0.7581965160355439,1.0
23,7,red,Sulf1,1.0463835,0.567949768021432,1.0
24,7,red,Ncoa2,1.2166492,0.12763384629977395,1.0
25,7,red,Tram1,-0.11616124,0.35946210004333323,1.0
26,7,red,Lactb2,-2.288297,0.040439571595302815,1.0
27,7,red,Terf1,-1.9828225,0.07068671246528577,1.0
28,7,red,Rpl7,-0.53174436,4.124894985763137e-05,0.43041857467286326
29,7,red,Rdh10,1.1526942,0.27324873940822125,1.0
30,7,red,Stau2,-2.624836,0.569244556336763,1.0
31,7,red,Ube2w,0.7138505,0.5201307472519042,1.0
32,7,red,Eloc,-0.24744233,0.5291509957848433,1.0
33,7,red,Tmem70,0.5070394,0.3036898140480637,1.0
34,7,red,Ly96,0.52887315,0.6284080478956122,1.0
35,7,red,Tfap2b,3.1678488,0.08394246917575489,1.0
36,7,red,Mcm3,-2.5940185,0.0010632500613968715,0.9999992710990082
37,7,red,Paqr8,-0.52728325,0.9800090568787846,1.0
38,7,red,Tram2,0.9192426,0.20688230756376047,1.0
39,7,red,Tmem14a,2.7065923,0.6807637367263482,1.0
40,7,red,Kcnq5,-1.3250262,0.3599628088550265,1.0
41,7,red,Ogfrl1,-0.6715686,0.6396284961295204,1.0
42,7,red,Smap1,-0.4931323,0.6826893107364882,1.0
43,7,red,Sdhaf4,-0.49830955,0.1922515311059213,1.0
44,7,red,Fam135a,1.4886612,0.17209050427156658,1.0
45,7,red,Col9a1,2.427266,0.685318423207824,1.0
46,7,red,Lmbrd1,-0.8081102,0.39291482693703617,1.0
47,7,red,Phf3,-0.3825091,0.9235724877106656,1.0
48,7,red,Prim2,-4.6309776,0.019412588941257223,1.0
49,7,red,Rab23,0.94039625,0.5314967040321066,1.0
50,7,red,Bag2,0.008918228,0.985339265966194,1.0
51,7,red,Zfp451,1.5431895,0.17052187311713074,1.0
52,7,red,Bend6,-2.678554,0.40626806217964506,1.0
53,7,red,Dst,0.75584936,0.008282039302308754,1.0
54,7,red,Ccdc115,-1.3876458,0.10710999012985278,1.0
55,7,red,Imp4,-1.3718848,0.06761998345525416,1.0
56,7,red,Ptpn18,-0.66507643,0.6521356322894637,1.0
57,7,red,Gm28417,-0.67737013,0.9429258028347804,1.0
58,7,red,Arhgef4,-1.7524822,0.84952739017627,1.0
59,7,red,Fam168b,0.34647763,0.06783534367914598,1.0
60,7,red,Plekhb2,-0.34958652,0.9137227506164874,1.0
61,7,red,Hs6st1,1.0717314,0.0024086362900294415,0.9999999999999811
62,7,red,Uggt1,-0.5016662,0.37518725894415983,1.0
63,7,red,Neurl3,0.77522707,0.8787980229069067,1.0
64,7,red,Arid5a,0.806778,0.1573030132464185,1.0
65,7,red,Kansl3,0.7525443,0.9973342669417034,1.0
66,7,red,Lman2l,0.9728409,0.12502975961229587,1.0
67,7,red,Cnnm4,1.871117,0.20043203085112526,1.0
68,7,red,Cnnm3,-1.4969132,0.46991822207177036,1.0
69,7,red,Ankrd23,-2.6731145,0.6289162359045267,1.0
70,7,red,Ankrd39,-0.056248065,0.6028945383325102,1.0
71,7,red,Sema4c,2.9431388,1.9011127288279337e-08,0.0002649229852422369
72,7,red,D430040D24Rik,2.8090992,0.4306964723743537,1.0
73,7,red,Fam178b,-0.6940065,0.9543266061939726,1.0
74,7,red,Cox5b,-0.39210117,0.059779164162028664,1.0
75,7,red,Actr1b,-0.20570879,0.8763518914900118,1.0
76,7,red,Zap70,-2.1355557,0.8021422979991716,1.0
77,7,red,Tmem131,-0.131538,0.24264629080093958,1.0
78,7,red,Inpp4a,1.0414418,0.5283702650709245,1.0
79,7,red,Coa5,-0.9303321,0.1764789753702456,1.0
80,7,red,Unc50,-0.04547059,0.5834155888359395,1.0
81,7,red,Mgat4a,0.7840201,0.5043096965206864,1.0
82,7,red,2010300C02Rik,-0.41997898,0.9685904902183732,1.0
83,7,red,Tsga10,1.9416233,0.5021790273468839,1.0
84,7,red,Lipt1,1.2799237,0.431255040683179,1.0
85,7,red,Mitd1,-0.6817519,0.16126295110544586,1.0
86,7,red,Mrpl30,-0.16452444,0.7797153306890972,1.0
87,7,red,Txndc9,-0.29449585,0.8459756702789522,1.0
88,7,red,Eif5b,-0.83984804,0.18376762926187684,1.0
89,7,red,Rev1,-1.1738604,0.2593923316664224,1.0
90,7,red,Pdcl3,-0.08729017,0.36272452983672254,1.0
91,7,red,Npas2,-1.0310522,0.9771539396702473,1.0
92,7,red,Rpl31,-0.5019454,8.486901372801039e-05,0.6844706942513592
93,7,red,Tbc1d8,0.30053216,0.9379889459885192,1.0
94,7,red,Cnot11,0.9054136,0.07736237447823056,1.0
95,7,red,Gm15832,0.11933268,0.9178884187639421,1.0
96,7,red,Rnf149,1.6249938,0.5760652155436977,1.0
97,7,red,Creg2,-1.5065887,0.9116407977725922,1.0
98,7,red,Rfx8,3.1577775,0.6881270156496324,1.0
99,7,red,Map4k4,0.7266721,0.00013568336051817314,0.8409007720377686
100,7,red,Il1r2,-0.975504,0.4530772055716199,1.0
101,7,red,Il1r1,1.0228273,0.3654994795737022,1.0
102,7,red,Il1rl2,-1.7608556,0.9286914970143624,1.0
103,7,red,Il1rl1,2.1639469,0.07173395944306345,1.0
104,7,red,Il18r1,2.4387946,0.7314712024753103,1.0
105,7,red,Il18rap,-0.052067496,0.6139156272127138,1.0
106,7,red,Slc9a4,-0.54309905,0.9457749993977853,1.0
107,7,red,Slc9a2,-5.9232783,0.0004892397678412288,0.9985873821846939
108,7,red,Mfsd9,1.6630002,0.5070561186178826,1.0
109,7,red,Tmem182,-0.2801909,0.9657367629067769,1.0
110,7,red,Mrps9,-0.6604465,0.2360710969055685,1.0
111,7,red,Tgfbrap1,-0.009409088,0.9946685636390016,1.0
112,7,red,AI597479,-0.38302082,0.38975007337974066,1.0
113,7,red,Fhl2,0.5170411,0.192088836392578,1.0
114,7,red,Nck2,2.1825473,0.0011306880635610767,0.99999969796398
115,7,red,Ecrg4,2.1231384,0.04300146556778539,1.0
116,7,red,Gm29155,-0.13554339,0.9742991151278371,1.0
117,7,red,Uxs1,0.96985567,0.08645272804010874,1.0
118,7,red,Tpp2,0.13949358,0.9004846597814786,1.0
