"","E","M","S"
"19x59",0.00387877608369754,0.868478963128443,0.0837905803774186
"0x62",0.000542804532636814,0.791879789602787,0.135181581166683
"97x61",0.306791495150976,0.000379963172845787,0.841736923939366
"28x42",0.000379963172845772,0.380725581978642,0.479793691038799
"42x52",0.00730195390122961,0.844623882262955,0.000379963172857088
"4x58",0.000542804532636818,0.86680122464095,0.151657856246112
"79x35",0.00235255262937504,0.929181461996976,0.000265974220984958
"59x67",0.000542804532609895,0.635900049155353,0.122280693273479
"67x45",0.000186181954699072,1.01005384292308,0.000186181954694433
"12x64",0.0121109901954005,0.904786011105335,0.000265974220988723
"19x45",0.00037996317284577,0.392044146808666,0.31368151222647
"2x64",0.000542804532636815,0.486109334668883,0.490818322638855
"15x29",0.000265974220992041,0.000296564321415211,1.51677223080134
"22x66",0.00037996317280789,0.855010316845661,0.0195819079928264
"54x62",0.000186181954701418,0.835067030012156,0.000186181954689322
"55x55",0.0115580942217096,0.799183871122115,0.000379963172856604
"62x24",0.000379963172845772,0.000407749505952781,1.16144195062429
"27x51",0.010187814201351,0.977582423405836,0.000265974220985406
"94x44",0.00163093043188149,0.912246990004914,0.000265974220988723
"96x42",0.000379963172869117,0.88508297611068,0.0217709619964559
"69x47",0.000379963172846483,1.0295221873705,0.0368226632340554
"79x53",0.000379963172845776,0.222123904636731,0.752229585781065
"5x57",0.000379963172845771,0.51270942913624,0.36801475611718
"56x44",0.000379963172845772,0.502895048518316,0.374788890322638
"17x49",0.000542804532636813,0.252872924081756,0.621452568941918
"51x33",0.00026597422099204,0.182749591809964,0.513673531680175
"58x34",0.0262607302621224,0.952127173057783,0.0382645640924622
"31x55",0.00311920505382848,0.887873733553191,0.000379963172837604
"33x47",0.000542804532636818,0.753758598554513,0.255685358761134
"42x28",0.727690272497886,0.00037996317284576,0.663912209296165
"37x61",0.000130327368291563,0.910515386178961,0.000130327368284291
"25x29",0.372194517550754,0.000775435046624014,0.581076911607982
"93x51",0.00054280453264019,0.808887827411231,0.262459386952802
"21x45",0.000379963172845774,0.585546172459214,0.348178693812427
"31x59",0.00812761278358133,0.888807051922618,0.000265974220983679
"31x29",0.725699182129206,0.000379963172845759,0.674965085475081
"23x67",0.000186181954672825,0.897195029751937,0.000186181954692106
"52x64",0.00293667316038506,0.826790566728537,0.00434225623285998
"24x36",0.000379963172845773,0.00037996317284575,1.0471816998778
"11x65",0.000379963172815064,0.88148719461249,0.02029533231395
"14x56",0.000186181954674514,0.925785381441921,0.000186181954694419
"43x67",0.00432920684955789,0.830740504899156,0.000379963172836293
"96x40",0.0137626808808267,0.9809360426533,0.000265974220994291
"70x24",0.000379963172845772,0.422866355498615,0.447496609603464
"92x46",0.000542804532690946,0.887407879190203,0.0706814728034957
"82x62",0.000379963172845762,0.00037996317284576,1.44781043787968
"68x54",0.000542804532650436,0.699711623071457,0.097503773067228
"8x58",0.00026597422099204,0.250404068082525,0.595053379938854
"73x53",0.000542804532636813,0.561424489842917,0.394410775970675
