"","Cancer","Ductal","Stroma"
"6x14",0.515859896990657,0.000775435046646128,0.393734327754737
"3x8",0.652313030797093,0.000775435046624026,0.286455209379864
"16x11",0.737979719507135,0.000542804532636817,0.156682901282355
"2x6",0.678340690309128,0.0113455092297137,0.234025627376667
"3x12",0.895962494356624,0.000379963172845771,0.0248695115734562
"16x15",0.426927272328321,0.000775435046643368,0.497078488264585
"5x6",0.71965952072537,0.00263897608024024,0.209587203716677
"9x13",0.236117893333741,0.00464255600937041,0.607637121197732
"15x15",0.0305999518239785,0.00123970262871265,0.776331267302845
"2x13",0.20557799723835,0.00930993643296821,0.621098385064395
"10x10",0.949865306304299,0.00113705106175928,0.0375841990399733
"7x4",0.548639210758498,0.0328457962206398,0.379886210702687
"8x16",0.782794338432099,0.000542804532636816,0.239200712878927
"16x16",0.587392878210529,0.000775435046624024,0.294082570901327
"6x6",0.654591935478151,0.0473061890823625,0.160462884101001
"0x10",0.765860906830907,0.000542804532636817,0.127744449751282
"7x12",0.681629624668927,0.000775435046624024,0.223457857396445
"12x7",0.66933731991034,0.00077543504666192,0.240129061352185
"6x18",0.500880146454589,0.000775435046643369,0.35081760132439
"3x14",0.680831586390185,0.000775435046624022,0.248454024887778
"15x11",0.367123066168722,0.00577194500138808,0.559058043931453
"7x3",0.316430228116591,0.000775435046661922,0.560317186349549
"9x16",0.3967525775752,0.0232709974733309,0.398406337875986
"1x10",0.163716328615948,0.0259989952479828,0.739530424047262
"17x5",0.710936445860134,0.00437081672089448,0.273411991115677
"9x6",0.959486865892706,0.00026597422099204,0.000265974221005048
"6x7",0.70078196297086,0.00852165628922517,0.239141718061534
"0x0",0.674337492507597,0.076820689223393,0.138061513500018
"0x1",0.625226055889649,0.0376818730015716,0.2981199835022
"0x2",0.72624489781899,0.0815288514954812,0.0817691560203157
"0x3",0.680253554957098,0.00175495619328973,0.27727752232071
"0x4",0.812925251735521,0.000542804532636816,0.117118501475388
"0x5",0.83623761014993,0.0778746435207004,0.0507737025982352
"0x6",0.798585550119357,0.0985791806755879,0.0440446827108459
"0x7",0.75395170482554,0.0837954896127908,0.0683893110022796
"0x8",0.966356407855145,0.000265974220992037,0.000265974214090353
"0x9",0.917908743480051,0.0343254173374468,0.000379963172856604
"0x11",0.808497850918628,0.134254869127772,0.000379963172874533
"0x12",0.996874223911877,0.0278112351959525,0.0357912049095597
"0x13",0.75770760307948,0.155387493402925,0.00054280453265229
"0x14",0.897300918706729,0.0427787137469508,0.000612219033076874
"0x15",0.859403069963666,0.000542804532636817,0.0638672780191725
"0x16",0.742742037430774,0.116339845862355,0.0277227548768615
"0x17",0.712292940911247,0.130908746891369,0.0668784764838928
"0x18",0.555967556280089,0.293742712931639,0.0795810685213617
"0x19",0.839959210914049,0.0257121886781411,0.0857183168835665
"0x20",0.774222264553137,0.0215889992402177,0.119286139293188
"0x21",0.675791788308011,0.000775435046643368,0.233900001638003
"0x22",0.506311836737492,0.134016503619999,0.162519988322843
"0x23",0.444628655141272,0.210188270965411,0.28407258334543
"0x24",0.695621848712948,0.105646658182018,0.131538319865244
"0x25",0.457215851014069,0.265150324264547,0.250484193984896
"0x26",0.602694895094529,0.137439537073682,0.219182359669029
"0x27",0.478390096551202,0.1254578606859,0.280675957163881
"0x28",0.376381127665814,0.0944593768932796,0.395484469648659
"0x29",0.378072054807893,0.113922241531106,0.430186592662849
"0x30",0.39096638556566,0.271888377203719,0.20903045866629
"0x31",0.576028997631748,0.0761959037375732,0.235868691648694
"0x32",0.51137474300752,0.0263285637310269,0.415229865835872
"0x33",0.748297073935414,0.0775167066216252,0.184721450600224
"0x34",0.475734767578488,0.0750832258794348,0.27348239203827
"0x35",0.419626939425743,0.0410813985880521,0.491796404220034
"0x36",0.45493812789746,0.0782307959970746,0.30861322357902
"0x37",0.365397194565902,0.194523890295546,0.382707283585957
"0x38",0.393349386527816,0.302155746687106,0.2739267663897
"0x39",0.251108142233898,0.245776032354588,0.380473721109887
"0x40",0.463191133560332,0.177212051982443,0.286092872300587
"0x41",0.142457337521173,0.24480459464941,0.590349178322002
"0x42",0.253361930327403,0.144177924936157,0.498250190160085
"0x43",0.324372953356239,0.233460333080269,0.307664299045022
"0x44",0.0890386331077703,0.468345715204405,0.295771438419505
"0x45",0.410378117095849,0.139572888362112,0.353070504346059
"0x46",0.38835565249833,0.244470256065549,0.335075198991989
"0x47",0.214092394971851,0.3957696247868,0.337971428613819
"0x48",0.261039322889633,0.204381983444879,0.45991687848018
"0x49",0.384918805435842,0.350043307195353,0.221358300707897
"1x0",0.80542653702406,0.0997575702602531,0.0287262250475718
"1x1",0.757560905682861,0.169156935451587,0.042936670115119
"1x2",0.728448959805521,0.0688860948483638,0.135233554469036
"1x3",0.695357279886551,0.125038732306461,0.175546811036672
"1x4",0.918259639650064,0.0732521572325763,0.000379963172856605
"1x5",0.874733218229702,0.00952512058350156,0.0384005914119349
"1x6",0.974943958579639,0.000265974220992042,0.000265974220999624
"1x7",0.910418604764815,0.000265974220992031,0.000265974221005039
"1x8",0.740146160490815,0.134995863220868,0.000542804532663336
"1x9",0.996496989549358,0.00026597422099204,0.000265974220999623
"1x11",0.855671755733214,0.000542804532636815,0.0490010311318763
"1x12",0.645759793486019,0.188752479010852,0.0332095684103842
"1x13",0.859017080926503,0.000542804532636817,0.0905218588515744
"1x14",0.917122978375352,0.00460722664460955,0.0339060796236452
"1x15",0.792226874830291,0.138433851824169,0.000542804532652291
"1x16",0.657675346795607,0.079465393756961,0.154073515901093
"1x17",0.779400346044906,0.0672387610620743,0.0586274093631533
"1x18",0.849106696349169,0.000542804532636816,0.100293768479412
"1x19",0.866771068766341,0.00558589408698235,0.122289229392687
"1x20",0.656570459779891,0.0620893704857453,0.231133920568752
"1x21",0.580897811230805,0.233431468437359,0.135622312562076
