,Cancer,Ductal,Stroma
6x14,0.5107288,0.0005571208,0.4887141
3x8,0.60399646,0.0006994436,0.39530417
16x11,0.78454435,0.00086631556,0.21458942
2x6,0.65062326,0.0015485759,0.34782815
3x12,0.96341187,0.0012906409,0.035297487
16x15,0.36325693,0.0009166734,0.6358264
5x6,0.65900064,0.0009503672,0.34004906
9x13,0.22377002,0.0009925856,0.7752374
15x15,0.0358133,0.00057402573,0.96361274
2x13,0.21291193,0.0025802585,0.7845079
10x10,0.96244305,0.00087968784,0.036677204
7x4,0.5040534,0.033082522,0.46286407
8x16,0.6751367,0.0013028218,0.32356045
16x16,0.56549263,0.0010001141,0.4335073
6x6,0.6532203,0.07135993,0.27541977
0x10,0.7974902,0.0011803068,0.2013295
7x12,0.67364216,0.0016436689,0.32471418
12x7,0.6572692,0.0004216995,0.34230918
6x18,0.46190897,0.0010974504,0.5369936
3x14,0.62418246,0.0004990731,0.3753184
15x11,0.3004504,0.0018937624,0.6976558
7x3,0.26658118,0.00048733616,0.7329315
9x16,0.43794593,0.0035876683,0.5584664
1x10,0.12059729,0.0204915,0.85891116
17x5,0.64504045,0.0010326247,0.35392696
9x6,0.99861944,0.00075822795,0.0006223564
6x7,0.6564268,0.0019012212,0.34167206
0x0,0.7472125,0.058541525,0.1942459
0x1,0.5966424,0.03225149,0.37110612
0x2,0.8076812,0.06785014,0.12446868
0x3,0.6322237,0.00084002316,0.36693624
0x4,0.81538486,0.0013494694,0.18326569
0x5,0.8393332,0.08190721,0.07875961
0x6,0.80707437,0.110137925,0.08278768
0x7,0.8208139,0.058039457,0.12114668
0x8,0.9980978,0.0009926801,0.00090960885
0x9,0.97918886,0.019757014,0.0010541104
0x11,0.87812835,0.121610135,0.0002614407
0x12,0.9158361,0.04022286,0.043941025
0x13,0.8373407,0.16219196,0.0004673017
0x14,0.9360898,0.06340946,0.0005007622
0x15,0.89518005,0.00064669386,0.10417322
0x16,0.8295602,0.1400826,0.030357098
0x17,0.7254386,0.17783351,0.096727885
0x18,0.5158123,0.33408004,0.15010764
0x19,0.8376269,0.013246373,0.14912681
0x20,0.81882983,0.0070047327,0.17416538
0x21,0.6361285,0.00063629705,0.36323527
0x22,0.6179321,0.14964455,0.23242337
0x23,0.38772246,0.22563805,0.3866395
0x24,0.6710533,0.13413936,0.19480728
0x25,0.4019427,0.22853705,0.36952025
0x26,0.58333874,0.14299023,0.273671
0x27,0.5171727,0.099479005,0.38334832
0x28,0.33336473,0.09465759,0.5719776
0x29,0.33457562,0.10986024,0.5555641
0x30,0.4022708,0.27625942,0.32146984
0x31,0.5925764,0.08015892,0.32726476
0x32,0.45832527,0.005517043,0.53615767
0x33,0.6570757,0.07038421,0.27254006
0x34,0.40649986,0.081016704,0.5124834
0x35,0.34960112,0.048695628,0.6017032
0x36,0.45021626,0.103907384,0.4458763
0x37,0.3161278,0.17616998,0.5077023
0x38,0.3498534,0.3042783,0.34586832
0x39,0.28000173,0.21144783,0.5085504
0x40,0.42056403,0.19229689,0.38713905
0x41,0.09828477,0.2831883,0.61852694
0x42,0.20023763,0.13984102,0.65992135
0x43,0.32347983,0.2585702,0.41794997
0x44,0.11249979,0.47191894,0.4155813
0x45,0.40255183,0.13106218,0.466386
0x46,0.29762447,0.22926944,0.4731061
0x47,0.15206592,0.37989393,0.46804014
0x48,0.22325338,0.16226408,0.6144825
0x49,0.3515982,0.32319856,0.3252032
1x0,0.8572566,0.1036497,0.039093785
1x1,0.79690444,0.14490497,0.0581906
1x2,0.73507905,0.046554193,0.21836683
1x3,0.5841839,0.13984503,0.2759711
1x4,0.9105327,0.08839198,0.001075254
1x5,0.9462164,0.0011707578,0.05261286
1x6,0.9984781,0.000880685,0.00064118154
1x7,0.9989307,0.0006887981,0.0003805366
1x8,0.86048347,0.13919094,0.0003255351
1x9,0.9976915,0.0016389843,0.0006694583
1x11,0.9248537,0.0011723009,0.07397396
1x12,0.7281157,0.2295727,0.042311583
1x13,0.85602415,0.0009808316,0.14299504
1x14,0.95421886,0.0016307299,0.04415042
1x15,0.89821774,0.10124317,0.00053910946
1x16,0.6656127,0.06365126,0.27073607
1x17,0.829497,0.075035796,0.09546725
1x18,0.8470057,0.0014617386,0.15153253
1x19,0.7940691,0.017121615,0.18880925
1x20,0.570291,0.06452378,0.36518523
1x21,0.5629036,0.259486,0.1776105
1x22,0.5335585,0.14014976,0.32629177
1x23,0.59999114,0.02179325,0.37821558
1x24,0.6934957,0.0007729195,0.3057314
1x25,0.5382841,0.0023883525,0.45932755
1x26,0.5706403,0.10810952,0.3212502
1x27,0.39438537,0.18543483,0.42017978
1x28,0.47144577,0.22153537,0.30701888
1x29,0.10637708,0.45581457,0.43780836
1x30,0.39279523,0.093013145,0.5141916
1x31,0.5257855,0.02524359,0.44897088
1x32,0.31871206,0.21089214,0.4703958
1x33,0.4577159,0.045813885,0.49647027
1x34,0.3115094,0.24406101,0.44442964
1x35,0.2630806,0.19299641,0.543923
1x36,0.42715043,0.19321765,0.3796319
1x37,0.24620944,0.28553808,0.46825254
1x38,0.31756935,0.18550804,0.49692267
1x39,0.59400463,0.048143424,0.35785195
1x40,0.30465475,0.04201317,0.6533321
1x41,0.28658643,0.07314622,0.6402673
1x42,0.281297,0.22685337,0.4918496
1x43,0.21345711,0.060914088,0.72562885
1x44,0.0965606,0.24653718,0.6569022
1x45,0.34454933,0.097974636,0.55747604
1x46,0.42191735,0.19072592,0.38735673
1x47,0.24797897,0.19880843,0.5532126
1x48,0.30851784,0.4181284,0.2733538
1x49,0.46048218,0.09716618,0.44235158
2x0,0.90876305,0.0010152737,0.09022174
2x1,0.8575112,0.0006631763,0.14182563
2x2,0.88518095,0.06896578,0.045853358
2x3,0.99827963,0.0011139874,0.0006063894
2x4,0.85396355,0.14535852,0.00067791174
2x5,0.7517718,0.053915385,0.19431287
2x7,0.99929994,0.00049559673,0.00020443645
2x8,0.9971564,0.00050040206,0.0023432276
2x9,0.99841696,0.0012746704,0.00030841737
2x10,0.9977085,0.0016381916,0.00065329275
2x11,0.9973095,0.0022853988,0.00040500122
2x12,0.9992809,0.00050831,0.00021070988
2x14,0.9983561,0.0012254707,0.0004183127
2x15,0.9988938,0.00077718846,0.0003289692
2x16,0.6619695,0.0009914966,0.337039
2x17,0.87643874,0.007576809,0.11598445
2x18,0.67932904,0.0013866456,0.31928432
2x19,0.57124865,0.23371519,0.19503619
2x20,0.7938792,0.0007341774,0.20538664
2x21,0.5792699,0.14876759,0.2719625
2x22,0.62795514,0.19716626,0.17487867
2x23,0.5926362,0.058139734,0.349224
2x24,0.6969203,0.04461559,0.25846407
2x25,0.5692883,0.10378341,0.32692826
2x26,0.5759785,0.1358519,0.28816962
2x27,0.5011358,0.06288334,0.4359809
2x28,0.24056531,0.12064066,0.638794
2x29,0.47936082,0.22836614,0.2922731
2x30,0.39158967,0.2754899,0.33292046
2x31,0.33499798,0.1161532,0.5488488
2x32,0.2874483,0.33890074,0.37365103
2x33,0.34813213,0.1477635,0.5041044
2x34,0.485134,0.14936076,0.36550522
2x35,0.60687846,0.06988565,0.32323596
2x36,0.30394313,0.048933048,0.6471238
2x37,0.26835206,0.460382,0.27126592
2x38,0.24462174,0.15689649,0.5984818
2x39,0.21412046,0.355702,0.43017754
2x40,0.25435224,0.16069771,0.58495003
2x41,0.18926498,0.39482754,0.41590753
2x42,0.33058864,0.22161351,0.44779786
2x43,0.17298877,0.15181966,0.6751916
2x44,0.12690449,0.46230063,0.41079485
2x45,0.2575331,0.29844603,0.44402093
2x46,0.20009753,0.13662681,0.66327566
2x47,0.15670097,0.13796763,0.70533144
2x48,0.20520256,0.3211326,0.4736649
2x49,0.19742604,0.37442523,0.42814872
3x0,0.85203916,0.05268559,0.09527518
3x1,0.87224424,0.127161,0.00059475616
3x2,0.9797075,0.019954542,0.00033794623
3x3,0.9037407,0.09579706,0.00046226583
3x4,0.9987948,0.0006573589,0.00054780854
3x5,0.99842364,0.0013292643,0.0002471506
3x6,0.997804,0.0015651418,0.00063086516
3x7,0.99870175,0.0008689492,0.00042930903
3x9,0.9295251,0.07006965,0.00040523915
3x10,0.99794483,0.0017012284,0.00035401422
3x11,0.9984736,0.00085768435,0.0006687926
3x13,0.99123055,0.008520618,0.00024883705
3x15,0.9985245,0.0009726922,0.0005028765
3x16,0.8728233,0.0011692109,0.12600754
3x17,0.9982684,0.0011487963,0.00058279966
3x18,0.90896654,0.0018833145,0.08915017
3x19,0.8733761,0.04881769,0.07780628
3x20,0.7522746,0.0012760129,0.2464494
3x21,0.46026284,0.12504318,0.414694
3x22,0.8136436,0.00084859674,0.18550783
3x23,0.7541176,0.05245867,0.19342375
3x24,0.47601,0.10948304,0.4145069
3x25,0.29727226,0.17175686,0.5309709
3x26,0.38661093,0.14127618,0.4721129
3x27,0.5001783,0.1955844,0.30423734
3x28,0.392542,0.33689672,0.27056125
3x29,0.5050882,0.04575464,0.44915724
3x30,0.2793847,0.15387677,0.56673855
3x31,0.33922622,0.08655136,0.57422245
3x32,0.5812123,0.068348885,0.35043883
3x33,0.35553753,0.036887765,0.6075747
3x34,0.19817963,0.13411234,0.667708
3x35,0.13123453,0.2710304,0.5977351
3x36,0.42280146,0.15778385,0.41941464
3x37,0.24647883,0.18140057,0.57212067
3x38,0.35782737,0.1800857,0.46208695
3x39,0.28318596,0.095060825,0.6217532
3x40,0.1070735,0.21513788,0.6777886
3x41,0.20456795,0.20452254,0.59090954
3x42,0.2720955,0.25482148,0.47308305
3x43,0.21917617,0.18666746,0.5941563
3x44,0.4123454,0.25119758,0.33645704
3x45,0.34978697,0.25081208,0.3994009
3x46,0.41014925,0.11300226,0.47684848
3x47,0.26894912,0.3448239,0.38622704
3x48,0.5464372,0.12679318,0.3267696
3x49,0.23239687,0.30413046,0.46347255
4x0,0.89141953,0.108166724,0.0004138145
