,Cancer,Ductal,Stroma
6x14,0.51931417,0.04578595,0.43489993
3x8,0.61287373,0.019943038,0.36718318
16x11,0.6840911,0.13158846,0.18432051
2x6,0.58418185,0.08257478,0.33324334
3x12,0.76816297,0.19819516,0.033641867
16x15,0.37465358,0.02130184,0.6040446
5x6,0.6042519,0.09734337,0.29840466
9x13,0.20074047,0.030326493,0.768933
15x15,0.014830568,0.004069191,0.98110026
2x13,0.2114771,0.025558706,0.7629642
10x10,0.8495382,0.0972431,0.05321869
7x4,0.5306985,0.064692244,0.40460926
8x16,0.68025273,0.054832283,0.26491502
16x16,0.5387477,0.063672565,0.39757967
6x6,0.53915244,0.21013653,0.25071105
0x10,0.70707107,0.12129356,0.17163537
7x12,0.6307314,0.0932821,0.2759865
12x7,0.5940316,0.10676116,0.29920727
6x18,0.45499918,0.06500195,0.47999886
3x14,0.58487326,0.055914532,0.35921222
15x11,0.3075927,0.046966977,0.64544034
7x3,0.26863974,0.0159853,0.71537495
9x16,0.3595405,0.1226134,0.5178461
1x10,0.1340996,0.028118908,0.8377815
17x5,0.5598859,0.11198139,0.32813266
9x6,0.9008374,0.096852764,0.002309846
6x7,0.6139263,0.08694934,0.29912433
0x0,0.6192289,0.22173087,0.15904024
0x1,0.5621103,0.084581204,0.3533084
0x2,0.6713035,0.2276563,0.101040184
0x3,0.5714215,0.08757421,0.34100422
0x4,0.71070206,0.121690884,0.16760704
0x5,0.7480758,0.18339232,0.06853188
0x6,0.7131588,0.21896654,0.06787466
0x7,0.6767365,0.21308441,0.11017916
0x8,0.7905887,0.2083765,0.0010348645
0x9,0.78727996,0.21174107,0.0009789785
0x11,0.75611705,0.2434919,0.00039096552
0x12,0.8247903,0.133488,0.04172174
0x13,0.7303785,0.26922116,0.00040027665
0x14,0.72636026,0.272839,0.0008007151
0x15,0.75120753,0.15911083,0.089681685
0x16,0.75454813,0.21509907,0.030352805
0x17,0.6616471,0.2508504,0.08750252
0x18,0.54270923,0.31710264,0.14018814
0x19,0.69983536,0.17113309,0.12903155
0x20,0.5967121,0.24442308,0.15886481
0x21,0.6271309,0.03618392,0.33668518
0x22,0.51985663,0.25472355,0.22541983
0x23,0.39784765,0.2534975,0.34865487
0x24,0.59190613,0.24356955,0.16452429
0x25,0.46800327,0.19135626,0.3406405
0x26,0.5719153,0.20569065,0.22239408
0x27,0.53706515,0.13616163,0.32677326
0x28,0.27657244,0.19373263,0.5296949
0x29,0.3814249,0.08217851,0.53639656
0x30,0.4144168,0.28967625,0.29590693
0x31,0.49798605,0.22017199,0.28184196
0x32,0.44033405,0.07619722,0.48346874
0x33,0.55826694,0.21627149,0.22546166
0x34,0.42667687,0.118514836,0.4548083
0x35,0.38317868,0.050172765,0.56664854
0x36,0.4041262,0.21707232,0.3788015
0x37,0.29864067,0.2097175,0.49164182
0x38,0.4538655,0.21275362,0.3333809
0x39,0.2064607,0.3067765,0.4867628
0x40,0.40504327,0.26419866,0.33075812
0x41,0.19313547,0.20831254,0.598552
0x42,0.1950087,0.16422834,0.640763
0x43,0.33959967,0.28952694,0.37087342
0x44,0.18010113,0.43119252,0.38870642
0x45,0.40230685,0.14104396,0.45664918
0x46,0.38495472,0.19116457,0.4238808
0x47,0.2981875,0.26623142,0.4355811
0x48,0.2786604,0.13855411,0.5827855
