,Cancer,Ductal,Stroma
6x14,0.5122162,0.00066322536,0.4871206
3x8,0.60816973,0.0008376483,0.39099264
16x11,0.78219974,0.0013250086,0.2164753
2x6,0.6579954,0.004266674,0.3377379
3x12,0.95507175,0.0021392002,0.042789128
16x15,0.35370827,0.001119215,0.64517254
5x6,0.66105205,0.00234607,0.3366019
9x13,0.2094056,0.0012804639,0.789314
15x15,0.0201622,0.0006813383,0.97915643
2x13,0.19711334,0.0068862946,0.79600036
10x10,0.9451694,0.0022441368,0.052586474
7x4,0.48357496,0.048704807,0.4677202
8x16,0.673135,0.0024047173,0.3244603
16x16,0.5678715,0.001543167,0.43058532
6x6,0.6432554,0.066521645,0.290223
0x10,0.78976715,0.0013162991,0.20891647
7x12,0.67145973,0.0021425013,0.32639778
12x7,0.65890706,0.00046321072,0.34062976
6x18,0.4643764,0.0011745633,0.53444904
3x14,0.6259701,0.0007211794,0.37330875
15x11,0.30692723,0.0033910044,0.68968177
7x3,0.26475632,0.00060398155,0.7346397
9x16,0.43215203,0.010558756,0.5572892
1x10,0.11862376,0.032119416,0.8492568
17x5,0.64038324,0.0021077087,0.3575091
9x6,0.9983031,0.0010260848,0.0006708059
6x7,0.65684867,0.006167045,0.3369843
0x0,0.732087,0.06876754,0.19914545
0x1,0.5808211,0.038628343,0.38055056
0x2,0.7839926,0.083579846,0.1324275
0x3,0.6254021,0.0012839566,0.373314
0x4,0.8162907,0.0021652966,0.18154402
0x5,0.8058021,0.101263314,0.09293463
0x6,0.7868969,0.1255506,0.087552495
0x7,0.8041619,0.07087266,0.12496545
0x8,0.9978077,0.001231913,0.00096038857
0x9,0.9523036,0.046002522,0.0016939132
0x11,0.8413974,0.15831769,0.0002848934
0x12,0.8744305,0.06549589,0.060073648
0x13,0.81641585,0.18306167,0.0005224431
0x14,0.9248791,0.074318826,0.0008021178
0x15,0.88682777,0.0008659117,0.11230636
0x16,0.8112697,0.14841732,0.040312976
0x17,0.71337503,0.1759133,0.110711664
0x18,0.510289,0.33138254,0.15832843
0x19,0.8234976,0.025837466,0.15066493
