"","Cancer","Stroma","Ductal","coordX","coordY"
"6x14",0.440321372413673,0.468156327408965,0.0915223001773616,6,14
"3x8",0.491370390570779,0.388227950321846,0.120401659107375,3,8
"16x11",0.609070211223244,0.257618781769446,0.13331100700731,16,11
"2x6",0.499305409794734,0.385263988683057,0.115430601522208,2,6
"3x12",0.688428902959503,0.153479504271108,0.15809159276939,3,12
"16x15",0.316704265498431,0.583915741823392,0.099379992678177,16,15
"5x6",0.495554195168066,0.367003588230591,0.137442216601343,5,6
"9x13",0.234236834782859,0.677644435352262,0.0881187298648792,9,13
"15x15",0.140823968151849,0.805575291443682,0.053600740404469,15,15
"2x13",0.238582466345105,0.666871056246313,0.0945464774085822,2,13
"10x10",0.704870633270149,0.163583768082425,0.131545598647426,10,10
"7x4",0.374726048828403,0.456483373265867,0.16879057790573,7,4
"8x16",0.509567474036905,0.333322111115952,0.157110414847143,8,16
"16x16",0.476234718248564,0.418003840723679,0.105761441027757,16,16
"6x6",0.502747581365167,0.311960789572429,0.185291629062405,6,6
"0x10",0.613318489996623,0.25905912088342,0.127622389119957,0,10
"7x12",0.476781741683878,0.361468633943417,0.161749624372705,7,12
"12x7",0.528451670492387,0.367888808133305,0.103659521374308,12,7
"6x18",0.407666066505035,0.488689498618407,0.103644434876558,6,18
"3x14",0.518417964947113,0.399833149710409,0.0817488853424778,3,14
"15x11",0.277806448998914,0.623063059098866,0.0991304919022201,15,11
"7x3",0.285903277246173,0.64650070484216,0.067596017911667,7,3
"9x16",0.376162687575187,0.503891681325889,0.119945631098925,9,16
"1x10",0.152480192271398,0.748953592960131,0.0985662147684709,1,10
"17x5",0.521036515602314,0.37026472056128,0.108698763836405,17,5
"9x6",0.747792943040174,0.129429367383993,0.122777689575833,9,6
"6x7",0.511098178158657,0.359586429623263,0.129315392218081,6,7
"0x0",0.601947450277819,0.22487532136043,0.173177228361751,0,0
"0x1",0.489240545066782,0.379309400794686,0.131450054138532,0,1
"0x2",0.601797508437962,0.202506819885038,0.195695671677,0,2
"0x3",0.513458223642268,0.39081444776568,0.0957273285920519,0,3
"0x4",0.608166921649216,0.266393135523025,0.125439942827759,0,4
"0x5",0.611562173893127,0.172098968340363,0.21633885776651,0,5
"0x6",0.568459814577298,0.191606787058467,0.239933398364234,0,6
"0x7",0.635844243022198,0.210125646242248,0.154030110735555,0,7
"0x8",0.680704109320891,0.152625486688316,0.166670403990793,0,8
"0x9",0.720311931657263,0.133765833666212,0.145922234676525,0,9
"0x11",0.625401978975253,0.112652341393823,0.261945679630924,0,11
"0x12",0.629625962498473,0.139515891480135,0.230858146021392,0,12
"0x13",0.653944652643558,0.107622712616344,0.238432634740098,0,13
"0x14",0.653698019819886,0.121004290464198,0.225297689715916,0,14
"0x15",0.674480328494685,0.194638005705162,0.130881665800153,0,15
"0x16",0.585749430197206,0.15113243056592,0.263118139236874,0,16
"0x17",0.565498118980612,0.191907810942834,0.242594070076554,0,17
"0x18",0.430261213735153,0.257993677676686,0.311745108588161,0,18
"0x19",0.612124897604642,0.248406823019367,0.13946827937599,0,19
"0x20",0.591427925727562,0.252048512454803,0.156523561817635,0,20
"0x21",0.530615582996056,0.37940043303843,0.0899839839655133,0,21
"0x22",0.466898082040545,0.28197375874642,0.251128159213034,0,22
"0x23",0.342014449712236,0.407662593022465,0.250322957265299,0,23
"0x24",0.500686027665507,0.259847875878982,0.239466096455511,0,24
"0x25",0.385206264417383,0.37505180325497,0.239741932327646,0,25
"0x26",0.485016445906527,0.293377822109312,0.221605731984161,0,26
"0x27",0.441534160093561,0.38923673419226,0.16922910571418,0,27
"0x28",0.287964568217696,0.537080163949801,0.174955267832503,0,28
"0x29",0.336343537457356,0.49648382242194,0.167172640120704,0,29
"0x30",0.368621373516819,0.362481679837371,0.268896946645811,0,30
"0x31",0.458657220234622,0.332772484126669,0.208570295638709,0,31
"0x32",0.398437935535163,0.480261374159889,0.121300690304948,0,32
"0x33",0.499635655957313,0.315366327325022,0.184998016717664,0,33
"0x34",0.353489440399494,0.468859673054915,0.177650886545591,0,34
"0x35",0.312928828414259,0.532803344611382,0.154267826974359,0,35
"0x36",0.366306229693606,0.433810225437787,0.199883544868607,0,36
"0x37",0.316441868819071,0.47881551896948,0.204742612211449,0,37
"0x38",0.31838271192973,0.37273626657171,0.30888102149856,0,38
"0x39",0.302699245673522,0.470570474465122,0.226730279861357,0,39
"0x40",0.353759921141681,0.408283356893058,0.237956721965262,0,40
"0x41",0.161259727626995,0.56675645595988,0.271983816413124,0,41
"0x42",0.223758940898365,0.603065443876575,0.17317561522506,0,42
"0x43",0.311257445262883,0.40343235338653,0.285310201350586,0,43
"0x44",0.194250131924132,0.409324888059509,0.396424980016359,0,44
"0x45",0.380471657944124,0.440639248759383,0.178889093296493,0,45
"0x46",0.309984322071162,0.464051518786777,0.225964159142061,0,46
"0x47",0.209595174887246,0.454440278490476,0.335964546622278,0,47
"0x48",0.247784486862097,0.552262592326296,0.199952920811607,0,48
"0x49",0.333085747263915,0.360382767968391,0.306531484767694,0,49
"1x0",0.629117438968981,0.141774196231272,0.229108364799747,1,0
"1x1",0.594408256361371,0.175218578216616,0.230373165422013,1,1
"1x2",0.559132084055761,0.27884265134242,0.162025264601818,1,2
"1x3",0.445841125743495,0.317488338649005,0.2366705356075,1,3
"1x4",0.65245904320222,0.107984267510115,0.239556689287665,1,4
