	Cancer	Ductal	Stroma
6x14	0.29795998	0.3981079	0.3039321
3x8	0.4151919	0.30513322	0.27967492
16x11	0.40591133	0.45553973	0.13854901
2x6	0.33073905	0.395957	0.27330393
3x12	0.4151092	0.5396859	0.045204844
16x15	0.22493646	0.30381522	0.47124836
5x6	0.34021622	0.43828928	0.22149445
9x13	0.107980765	0.2748448	0.61717445
15x15	0.014776064	0.11542094	0.869803
2x13	0.17207634	0.1997056	0.62821805
10x10	0.5513905	0.39730656	0.051302973
7x4	0.3841773	0.3118791	0.30394363
8x16	0.45338535	0.3431594	0.20345527
16x16	0.37021774	0.339359	0.2904233
6x6	0.30854976	0.5148298	0.1766204
0x10	0.37799206	0.4960888	0.12591915
7x12	0.38050506	0.3809163	0.23857865
12x7	0.30527192	0.4706867	0.22404142
6x18	0.30718562	0.29863542	0.39417893
3x14	0.34833384	0.38579732	0.26586887
15x11	0.18501829	0.28316504	0.53181666
7x3	0.17160048	0.25136134	0.57703817
9x16	0.20938556	0.3772034	0.41341105
1x10	0.1115737	0.15171193	0.7367143
17x5	0.31722873	0.4178807	0.26489058
9x6	0.54330766	0.43487632	0.021816064
6x7	0.37073147	0.3888023	0.2404662
0x0	0.33079827	0.5314176	0.13778415
0x1	0.35231438	0.34527236	0.30241328
0x2	0.39164174	0.5082866	0.10007164
0x3	0.3177276	0.39539465	0.28687775
0x4	0.3985024	0.4619071	0.13959052
0x5	0.45915496	0.47796425	0.0628808
0x6	0.42077813	0.5249888	0.054233067
0x7	0.36032546	0.5375906	0.10208392
0x8	0.41385248	0.56481427	0.021333382
0x9	0.48480126	0.50184935	0.013349377
0x11	0.45757765	0.54242235	2.1525696e-12
0x12	0.5246691	0.43769774	0.037633114
0x13	0.48369074	0.5163093	3.2975946e-12
0x14	0.4205194	0.5704692	0.009011342
0x15	0.40119353	0.52545995	0.07334648
0x16	0.4503254	0.50610745	0.04356716
0x17	0.4040603	0.5379034	0.058036275
0x18	0.30394903	0.5404464	0.15560457
0x19	0.39763668	0.49747077	0.10489262
0x20	0.3181459	0.570826	0.11102814
0x21	0.40326276	0.31877857	0.27795872
0x22	0.30419567	0.508349	0.18745542
0x23	0.24384776	0.44212234	0.3140299
0x24	0.34660128	0.52679986	0.1265989
0x25	0.31836286	0.34033465	0.34130242
0x26	0.33257037	0.49615577	0.17127381
0x27	0.36375064	0.33417746	0.3020719
0x28	0.15441757	0.4277801	0.41780236
0x29	0.29214287	0.26493108	0.44292605
0x30	0.29854214	0.46694458	0.2345133
0x31	0.2623122	0.5066425	0.23104526
0x32	0.23394348	0.38131967	0.38473687
0x33	0.31231332	0.5073835	0.18030317
0x34	0.27157998	0.39015922	0.33826077
0x35	0.30921918	0.21662128	0.47415948
0x36	0.23863892	0.459516	0.30184516
0x37	0.15989405	0.45541528	0.3846907
0x38	0.31769145	0.40345576	0.27885285
0x39	0.067816794	0.55782604	0.37435716
0x40	0.23212616	0.4772406	0.29063326
0x41	0.17502666	0.25283685	0.57213646
0x42	0.119638585	0.34563488	0.53472656
0x43	0.2087534	0.49706823	0.2941784
0x44	0.13520497	0.49898586	0.36580914
0x45	0.28084186	0.34836364	0.37079448
0x46	0.25815928	0.34689566	0.39494506
0x47	0.19848146	0.3720925	0.42942604
0x48	0.25878882	0.21956716	0.521644
0x49	0.37108392	0.33938155	0.28953454
1x0	0.4108559	0.56832707	0.020817028
1x1	0.39026982	0.53685856	0.07287162
1x2	0.36264795	0.46999645	0.16735561
1x3	0.38384384	0.42797157	0.18818459
1x4	0.5373258	0.4574684	0.0052058594
1x5	0.5066176	0.45078543	0.042596966
1x6	0.4706108	0.5067179	0.022671213
1x7	0.4309959	0.56357014	0.0054339543
1x8	0.43802375	0.5619762	3.1781014e-12
1x9	0.4916205	0.48932248	0.019057041
1x11	0.37208092	0.57003623	0.05788282
1x12	0.31759468	0.6451703	0.037235092
1x13	0.44576222	0.4415148	0.11272301
1x14	0.40247303	0.5193155	0.078211494
1x15	0.39712784	0.5862721	0.016600108
1x16	0.38864085	0.39094335	0.22041583
1x17	0.38133663	0.5507121	0.06795129
1x18	0.48067325	0.42835742	0.09096931
1x19	0.4974956	0.3763369	0.12616749
1x20	0.29442483	0.44486305	0.26071212
1x21	0.37266615	0.50160426	0.12572958
1x22	0.3007294	0.46757683	0.23169382
1x23	0.46195635	0.2690936	0.26895005
1x24	0.32764587	0.44206706	0.23028706
1x25	0.3566058	0.30569744	0.3376967
1x26	0.3342324	0.43706027	0.22870734
1x27	0.19163635	0.5071965	0.30116716
