,Cancer,Ductal,Stroma
0x0,0.60853076,0.23472776,0.15674147
0x1,0.5586638,0.09157119,0.34976503
0x2,0.66437,0.23847663,0.09715339
0x3,0.56487733,0.09920489,0.33591774
0x4,0.70129603,0.13199182,0.16671212
0x5,0.73867375,0.19299105,0.068335205
0x6,0.7043408,0.22841275,0.06724647
0x7,0.6691095,0.2229331,0.10795739
0x8,0.7784467,0.22073223,0.0008210984
0x9,0.7742714,0.22468032,0.0010482656
0x10,0.8706935,0.12831923,0.0009872899
0x11,0.7498236,0.24978316,0.0003932722
0x12,0.8168693,0.14198479,0.04114588
0x13,0.7199488,0.27953082,0.00052036915
0x14,0.71524495,0.28394502,0.00081003556
0x15,0.7380619,0.17364371,0.08829432
0x16,0.7434451,0.22606228,0.030492702
0x17,0.65697247,0.25673765,0.08628982
0x18,0.5354725,0.32719103,0.1373365
0x19,0.6899661,0.18415357,0.12588033
0x20,0.5893894,0.25515848,0.15545216
0x21,0.62319857,0.044441234,0.3323602
0x22,0.5144552,0.2672448,0.21830007
0x23,0.39552456,0.2611178,0.34335765
0x24,0.58300704,0.2543699,0.16262296
0x25,0.4627669,0.19717471,0.34005845
0x26,0.5670168,0.21170427,0.22127897
0x27,0.5366241,0.13944922,0.3239267
0x28,0.27582806,0.2021449,0.5220271
0x29,0.38034672,0.08573911,0.5339142
0x30,0.40943423,0.2955644,0.29500136
0x31,0.49457186,0.22805873,0.2773694
0x32,0.43561852,0.0852181,0.47916335
0x33,0.5489663,0.22511975,0.22591396
0x34,0.42126524,0.1278064,0.45092836
0x35,0.3817849,0.054295257,0.56391984
0x36,0.39544287,0.22927915,0.375278
0x37,0.29449773,0.21737042,0.48813188
0x38,0.44992587,0.21716493,0.33290923
0x39,0.20370388,0.31465745,0.48163864
0x40,0.39811948,0.27421507,0.3276654
0x41,0.19031626,0.20816338,0.60152036
0x42,0.19230224,0.16905229,0.63864547
0x43,0.3339535,0.2957627,0.37028387
0x44,0.17492244,0.43725452,0.38782302
0x45,0.39778772,0.14662209,0.45559016
0x46,0.38065466,0.19423866,0.4251066
0x47,0.29481903,0.2694985,0.43568248
0x48,0.27400926,0.14397688,0.58201385
0x49,0.5110476,0.19595854,0.2929938
1x0,0.72202444,0.24966149,0.028314132
1x1,0.67098385,0.26957726,0.05943888
1x2,0.62128675,0.18903434,0.1896789
1x3,0.5834437,0.18449876,0.23205765
1x4,0.77699256,0.22244209,0.00056528207
1x5,0.81342095,0.13554978,0.051029243
1x6,0.82541835,0.17404291,0.00053870847
1x7,0.73810726,0.26134,0.0005528538
1x8,0.72479415,0.27482453,0.0003813394
1x9,0.8368581,0.16279313,0.000348793
1x10,0.73636967,0.26310623,0.000524105
1x11,0.71137434,0.22203419,0.06659147
1x12,0.5988562,0.35081747,0.0503263
1x13,0.7502188,0.12342288,0.12635829
1x14,0.7117353,0.22847512,0.05978956
1x15,0.7160297,0.28327426,0.0006960407
1x16,0.61168826,0.16075332,0.22755839
1x17,0.66171414,0.263681,0.074604884
1x18,0.75559026,0.12320359,0.121206105
1x19,0.71710974,0.13285838,0.15003185
1x20,0.5188128,0.15921071,0.32197654
1x21,0.59284794,0.2465128,0.16063918
1x22,0.5088223,0.20391364,0.28726405
1x23,0.62823534,0.047883116,0.3238816
1x24,0.5807597,0.13678907,0.2824512
1x25,0.4986131,0.09347503,0.40791187
1x26,0.5178033,0.17405576,0.30814096
1x27,0.3746696,0.2526478,0.3726827
1x28,0.43778804,0.270836,0.291376
1x29,0.2406485,0.33589622,0.4234553
1x30,0.3557493,0.14383975,0.500411
1x31,0.44350213,0.1306979,0.42579997
1x32,0.354231,0.21459857,0.4311704
1x33,0.4436137,0.111664824,0.4447215
1x34,0.33311948,0.24554762,0.42133287
1x35,0.3311114,0.15256397,0.51632464
1x36,0.4336365,0.23429264,0.33207086
1x37,0.32589102,0.23970741,0.4344016
1x38,0.35277033,0.19551247,0.45171723
1x39,0.57256395,0.12433708,0.303099
1x40,0.2665618,0.12553445,0.6079038
1x41,0.29959732,0.104573295,0.59582937
1x42,0.33472136,0.2226777,0.4426009
1x43,0.20659545,0.10602339,0.68738115
1x44,0.10654749,0.24813198,0.6453206
1x45,0.37819842,0.12161718,0.5001845
1x46,0.37896466,0.2513586,0.36967674
1x47,0.31006795,0.14230677,0.54762536
1x48,0.2635452,0.482054,0.25440082
1x49,0.47930557,0.11588199,0.40481243
2x0,0.81050915,0.10284341,0.0866475
2x1,0.6875566,0.18015908,0.13228436
2x2,0.7185864,0.23012024,0.051293317
2x3,0.79447716,0.20454884,0.00097403524
2x4,0.76327056,0.23620157,0.0005278257
2x5,0.5378365,0.31131813,0.15084536
2x6,0.7845351,0.21477592,0.0006889395
2x7,0.78194535,0.2176817,0.0003728627
2x8,0.80374706,0.18544818,0.010804723
2x9,0.7864306,0.21298169,0.00058767333
2x10,0.7996446,0.19999518,0.00036024355
2x11,0.75852036,0.24097343,0.0005062039
2x12,0.86893654,0.13065031,0.0004130932
2x13,0.7950352,0.20414008,0.000824799
2x14,0.7733015,0.22623901,0.00045957576
2x15,0.80441594,0.19484308,0.00074096624
2x16,0.59219486,0.10817107,0.29963407
2x17,0.76931196,0.12382739,0.10686062
2x18,0.6358411,0.08871167,0.27544725
2x19,0.52540576,0.3104819,0.16411236
2x20,0.69841313,0.11662266,0.18496425
2x21,0.57489544,0.18934469,0.23575985
2x22,0.53589445,0.30619928,0.15790626
2x23,0.52537054,0.17156743,0.30306205
2x24,0.68556046,0.10157509,0.2128644
2x25,0.4648741,0.24377806,0.2913478
2x26,0.59838724,0.16154227,0.24007049
2x27,0.4410261,0.15150669,0.4074672
2x28,0.2524057,0.12003466,0.62755966
2x29,0.4802661,0.2675303,0.2522036
2x30,0.4398046,0.26837385,0.29182148
2x31,0.35467675,0.14175336,0.50356984
2x32,0.3660151,0.28637007,0.3476148
2x33,0.3381467,0.20482913,0.45702425
2x34,0.43766508,0.25675458,0.30558032
2x35,0.5099445,0.2011799,0.28887558
2x36,0.26535296,0.106325254,0.62832177
2x37,0.3861384,0.3826489,0.23121263
2x38,0.35147333,0.089426026,0.5591006
2x39,0.23446037,0.3619391,0.40360054
2x40,0.2921762,0.17479357,0.53303033
2x41,0.26975998,0.35503113,0.37520882
2x42,0.3699543,0.22744456,0.40260118
2x43,0.21239042,0.13464887,0.6529607
2x44,0.23362046,0.4282411,0.3381385
2x45,0.33580664,0.24209793,0.42209545
2x46,0.25705463,0.11772668,0.6252187
2x47,0.23214935,0.083532006,0.68431866
2x48,0.2526723,0.30810815,0.4392195
2x49,0.2695493,0.3240849,0.40636578
3x0,0.72447395,0.18881376,0.0867123
3x1,0.744957,0.25431353,0.0007294718
3x2,0.74510586,0.25451243,0.00038166254
3x3,0.70280576,0.2968239,0.00037038076
3x4,0.7712656,0.22791402,0.0008203899
3x5,0.8021992,0.19728865,0.0005121418
3x6,0.7749263,0.2239501,0.0011236403
3x7,0.8135999,0.18572405,0.00067605404
3x8,0.8293872,0.17022482,0.00038804574
3x9,0.7219897,0.27773148,0.00027879296
3x10,0.8369126,0.16269611,0.0003913784
3x11,0.84403473,0.1554252,0.000540073
3x12,0.7734284,0.225883,0.0006886178
3x13,0.7460121,0.253676,0.00031183494
3x14,0.76331335,0.23054466,0.006142088
3x15,0.79558736,0.2039496,0.0004629623
3x16,0.74838734,0.14667176,0.10494091
3x17,0.76884633,0.2289795,0.0021740776
3x18,0.79119265,0.11066257,0.0981449
3x19,0.73307246,0.19453415,0.072393395
3x20,0.63622296,0.14272404,0.22105306
3x21,0.47109488,0.17109257,0.35781255
