,Cancer,Ductal,Stroma
0x0,0.7314198,0.06904458,0.19953567
0x1,0.58216655,0.037963934,0.3798695
0x2,0.7860676,0.08410327,0.12982911
0x3,0.6272887,0.0011581338,0.3715532
0x4,0.8165972,0.0020061254,0.1813966
0x5,0.80456287,0.101413146,0.09402402
0x6,0.786703,0.12574789,0.08754914
0x7,0.8072791,0.06887008,0.123850785
0x8,0.9979761,0.0012490288,0.00077480584
0x9,0.9521398,0.0460987,0.0017615432
0x10,0.9973065,0.0015123656,0.0011810702
0x11,0.84084684,0.15885249,0.00030061166
0x12,0.873877,0.06618979,0.05993326
0x13,0.81575274,0.18358159,0.0006656229
0x14,0.9252012,0.07394269,0.00085612363
0x15,0.88685817,0.0014585328,0.111683324
0x16,0.81126916,0.14787604,0.040854756
0x17,0.7136725,0.17570919,0.110618345
0x18,0.51049715,0.33279425,0.1567086
0x19,0.82481295,0.025378743,0.14980829
0x20,0.8001291,0.025317928,0.17455302
0x21,0.6487309,0.00084206066,0.35042703
0x22,0.615295,0.14773361,0.23697133
0x23,0.38151178,0.23969954,0.37878868
0x24,0.66185904,0.14297427,0.19516669
0x25,0.3892281,0.23439527,0.37637663
0x26,0.58286554,0.14626165,0.2708728
0x27,0.5057261,0.11396816,0.3803057
0x28,0.33639213,0.09863939,0.5649685
0x29,0.33368134,0.11511115,0.5512075
0x30,0.40280938,0.27913928,0.3180514
0x31,0.58329743,0.09283723,0.3238653
0x32,0.45390078,0.01645926,0.52963996
0x33,0.65059394,0.07903355,0.2703725
0x34,0.41749755,0.08030221,0.50220025
0x35,0.34287953,0.059925057,0.5971954
0x36,0.45155537,0.114056215,0.4343884
0x37,0.32533175,0.18027824,0.49439
0x38,0.34432653,0.30695528,0.3487182
0x39,0.27141276,0.20403521,0.52455205
0x40,0.41020453,0.20036356,0.3894319
0x41,0.10597926,0.27992427,0.61409646
0x42,0.19649437,0.13969222,0.6638134
0x43,0.31639287,0.2637364,0.41987076
0x44,0.11393259,0.46144396,0.42462343
0x45,0.39881468,0.13449933,0.46668598
0x46,0.3009517,0.23042855,0.4686198
0x47,0.1585346,0.3755293,0.4659361
0x48,0.22259955,0.16672175,0.6106786
0x49,0.34684902,0.32648718,0.3266638
1x0,0.8358067,0.11633289,0.04786038
1x1,0.76292235,0.16323864,0.07383907
1x2,0.73313165,0.054588903,0.2122795
1x3,0.57999384,0.14954154,0.2704646
1x4,0.8744608,0.12345761,0.0020815732
1x5,0.9283176,0.007425181,0.06425724
1x6,0.9968183,0.0021899664,0.0009917459
1x7,0.9986384,0.00087094324,0.000490677
1x8,0.8229939,0.17659649,0.00040962666
1x9,0.9965638,0.0030445685,0.00039165295
1x10,0.96619636,0.033067033,0.0007366317
1x11,0.9085509,0.0011528408,0.09029629
1x12,0.70144945,0.24049143,0.058059067
1x13,0.8462606,0.0014061678,0.15233326
1x14,0.9417943,0.0031362511,0.055069506
1x15,0.86414784,0.13502923,0.00082297454
1x16,0.6526781,0.077160485,0.27016142
1x17,0.8124365,0.08160487,0.10595861
1x18,0.84996355,0.0021882055,0.14784825
1x19,0.7698135,0.042485677,0.18770081
1x20,0.5721348,0.07063369,0.35723153
1x21,0.5622399,0.2593784,0.17838176
1x22,0.52375615,0.14148265,0.33476114
1x23,0.6011227,0.030765593,0.36811173
1x24,0.6954604,0.0008174793,0.30372208
1x25,0.54461354,0.0042311163,0.45115525
1x26,0.5722612,0.105722755,0.322016
1x27,0.39461133,0.18727554,0.4181132
1x28,0.4741228,0.219483,0.3063942
1x29,0.11027943,0.4510325,0.43868807
1x30,0.38950783,0.095597714,0.5148945
1x31,0.5214773,0.034782927,0.4437397
1x32,0.31616628,0.22012937,0.46370432
1x33,0.45921338,0.05235326,0.48843342
1x34,0.30334657,0.242267,0.4543864
1x35,0.2583594,0.19880149,0.5428391
1x36,0.4292261,0.19470245,0.37607145
1x37,0.2451026,0.2801968,0.4747006
1x38,0.32399905,0.1857243,0.49027658
1x39,0.58806795,0.059966404,0.35196567
1x40,0.3020772,0.043606862,0.65431595
1x41,0.2867862,0.080636375,0.6325774
1x42,0.28827488,0.22806647,0.48365864
1x43,0.21260555,0.06817675,0.71921766
1x44,0.099148095,0.25566867,0.6451832
1x45,0.3460893,0.10396395,0.5499468
1x46,0.4099268,0.20375451,0.3863187
1x47,0.24576542,0.19725393,0.55698067
1x48,0.31428254,0.41918722,0.26653022
1x49,0.4579489,0.09440214,0.4476489
2x0,0.8948621,0.0012744535,0.1038635
2x1,0.84033424,0.00093444524,0.15873133
2x2,0.8539115,0.08719774,0.058890764
2x3,0.99556375,0.0014363185,0.0029999248
2x4,0.810735,0.1885081,0.0007569506
2x5,0.7325196,0.06683115,0.20064923
2x6,0.98106104,0.017969877,0.0009690952
2x7,0.9988819,0.0007760557,0.0003420796
2x8,0.9804943,0.0009492295,0.018556446
2x9,0.99654555,0.0030012045,0.00045328075
2x10,0.9856964,0.012882945,0.0014206748
2x11,0.9879841,0.0115820225,0.0004338341
2x12,0.9990628,0.0006356936,0.00030147942
2x13,0.9982284,0.0013518586,0.00041982037
2x14,0.99749756,0.0018563711,0.0006460602
2x15,0.9980165,0.00120107,0.00078253256
2x16,0.6679647,0.0013028035,0.33073246
2x17,0.8572718,0.022195805,0.12053238
2x18,0.6874615,0.0015160264,0.3110225
2x19,0.5596186,0.24015644,0.20022503
2x20,0.7955408,0.00098779,0.20347136
2x21,0.56714755,0.15720467,0.27564767
2x22,0.6202335,0.19879922,0.18096727
2x23,0.57624483,0.06847671,0.35527846
2x24,0.68114203,0.063692115,0.2551658
2x25,0.56208205,0.1062092,0.33170882
2x26,0.57307404,0.14967224,0.27725372
2x27,0.5018846,0.06561828,0.4324971
2x28,0.22734132,0.11704454,0.65561414
2x29,0.47928816,0.23004557,0.29066628
2x30,0.39052722,0.28722683,0.3222459
2x31,0.3225915,0.12049247,0.556916
2x32,0.28540733,0.34181836,0.3727743
2x33,0.34753862,0.15258576,0.49987558
2x34,0.47944713,0.15728793,0.36326495
2x35,0.5999277,0.07996915,0.32010317
2x36,0.29755962,0.05297942,0.649461
2x37,0.27179426,0.4518002,0.27640554
2x38,0.23554929,0.17331041,0.5911403
2x39,0.21407627,0.35779226,0.4281315
2x40,0.2620014,0.16670135,0.5712973
2x41,0.18913087,0.39195916,0.41891003
2x42,0.3285315,0.22959699,0.44187152
2x43,0.1729163,0.15811445,0.6689692
2x44,0.13424276,0.46660942,0.39914787
2x45,0.25743333,0.3034954,0.4390713
2x46,0.20153418,0.14529367,0.65317214
2x47,0.15281752,0.1409189,0.70626354
2x48,0.20647928,0.30845118,0.4850695
2x49,0.20417573,0.3668321,0.42899212
3x0,0.8419631,0.05845362,0.09958328
3x1,0.84545255,0.15340234,0.0011450758
3x2,0.9270455,0.0726233,0.0003311509
3x3,0.8733602,0.12613049,0.00050930143
3x4,0.9971385,0.0012384215,0.001623058
3x5,0.9957717,0.003708429,0.000519874
3x6,0.9933722,0.0058976808,0.0007301183
3x7,0.9985483,0.00086928543,0.00058243936
3x8,0.99905705,0.0005953624,0.00034763
3x9,0.9065105,0.09321363,0.00027588868
3x10,0.9925202,0.0070021916,0.00047764453
3x11,0.99853975,0.0009828662,0.0004774243
3x12,0.99598306,0.0033963267,0.00062057556
3x13,0.9700333,0.029677173,0.0002895363
3x14,0.98570883,0.0022302892,0.012060896
3x15,0.99745727,0.0019687354,0.0005740772
3x16,0.8632913,0.0020471998,0.13466144
3x17,0.99500096,0.00411235,0.00088665844
3x18,0.9010345,0.002115795,0.096849754
3x19,0.85647166,0.06324487,0.08028344
3x20,0.74813277,0.0017338407,0.2501334
3x21,0.45387062,0.12646638,0.41966295
3x22,0.8145225,0.0009379406,0.18453957
3x23,0.73878884,0.06664688,0.1945643
3x24,0.47405937,0.112321764,0.4136189
3x25,0.2897813,0.18077785,0.5294409
3x26,0.3856841,0.15354714,0.46076876
3x27,0.49174863,0.19812255,0.31012884
3x28,0.39413497,0.33320007,0.27266496
3x29,0.49761763,0.061143477,0.44123885
3x30,0.28125238,0.159346,0.55940163
3x31,0.33560917,0.09377973,0.5706112
3x32,0.5690952,0.08186792,0.3490369
3x33,0.35994357,0.042076062,0.5979804
3x34,0.18787095,0.13983189,0.6722972
3x35,0.13486372,0.27635145,0.5887848
3x36,0.42061156,0.16611588,0.41327256
3x37,0.24845274,0.18350758,0.5680397
3x38,0.36055493,0.18974628,0.44969878
3x39,0.2520806,0.090714075,0.65720534
