"","Ductal","Cancer","Stroma","coordX","coordY"
"0x0",0.169242683545283,0.597568635110143,0.233188681344575,0,0
"0x1",0.122727021191139,0.483982798232524,0.393290180576337,1,0
"0x2",0.194906969503032,0.588978915184653,0.216114115312316,2,0
"0x3",0.0959886084992055,0.512005683478713,0.392005708022082,3,0
"0x4",0.119475783815857,0.624021575524224,0.25650264065992,4,0
"0x5",0.220756186378656,0.598783439369247,0.180460374252097,5,0
"0x6",0.210594255880868,0.569555475992445,0.219850268126687,6,0
"0x7",0.166112647319901,0.611649957529584,0.222237395150515,7,0
"0x8",0.150518475846339,0.691350641576772,0.158130882576889,8,0
"0x9",0.150144522638481,0.715593336692281,0.134262140669238,9,0
"0x10",0.138789489447093,0.711032508580473,0.150178001972435,10,0
"0x11",0.26228127312779,0.60610441706355,0.13161430980866,11,0
"0x12",0.221431456510349,0.628256496644095,0.150312046845556,12,0
"0x13",0.231614312232094,0.641995552097407,0.126390135670499,13,0
"0x14",0.231583176694335,0.644952212716304,0.123464610589361,14,0
"0x15",0.125996508028884,0.668436917808566,0.205566574162551,15,0
"0x16",0.253507326611639,0.583624169982883,0.162868503405479,16,0
"0x17",0.232211344270111,0.552196242692456,0.215592413037433,17,0
"0x18",0.271631600310093,0.436439233107204,0.291929166582702,18,0
"0x19",0.144403770819384,0.580918183889448,0.274678045291169,19,0
"0x20",0.176591396619294,0.578496199935801,0.244912403444906,20,0
"0x21",0.0978278350618922,0.521717304488474,0.380454860449634,21,0
"0x22",0.23178409420338,0.46344273063274,0.30477317516388,22,0
"0x23",0.256061353964136,0.318739759995569,0.425198886040295,23,0
"0x24",0.210448151746266,0.497044981500692,0.292506866753042,24,0
"0x25",0.211073539836247,0.404020565247946,0.384905894915806,25,0
"0x26",0.207817277337144,0.490286772279096,0.301895950383761,26,0
"0x27",0.17063991502283,0.423739157442284,0.405620927534886,27,0
"0x28",0.158291639317744,0.282113269880509,0.559595090801746,28,0
"0x29",0.158714843219842,0.341549945355433,0.499735211424725,29,0
"0x30",0.244536243493225,0.365174557034103,0.390289199472672,30,0
"0x31",0.203031961397846,0.435913083111865,0.361054955490289,31,0
"0x32",0.101562204051379,0.392086293500578,0.506351502448043,32,0
"0x33",0.175805720317086,0.500901029915201,0.323293249767713,33,0
"0x34",0.151995570495237,0.343483801939923,0.50452062756484,34,0
"0x35",0.140003554337177,0.294599967894335,0.565396477768487,35,0
"0x36",0.196827557524543,0.350617358434803,0.452555084040655,36,0
"0x37",0.185016166885818,0.319420666122886,0.495563166991295,37,0
"0x38",0.289980121536473,0.313742067931076,0.396277810532452,38,0
"0x39",0.203699526115043,0.279318519509746,0.516981954375211,39,0
"0x40",0.235659653096998,0.339380881472115,0.424959465430887,40,0
"0x41",0.255125009952639,0.167700751097344,0.577174238950018,41,0
"0x42",0.162507492888165,0.199173439456442,0.638319067655393,42,0
"0x43",0.282568543629077,0.309574194851261,0.407857261519663,43,0
"0x44",0.353966868753742,0.194414658727015,0.451618472519244,44,0
"0x45",0.149948679921794,0.387056827847396,0.46299449223081,45,0
"0x46",0.209293747966417,0.298102378492134,0.492603873541449,46,0
"0x47",0.302780869815749,0.216688258190043,0.480530871994208,47,0
"0x48",0.180334712842725,0.234691423301826,0.584973863855449,48,0
"0x49",0.290118665623595,0.340365299819774,0.369516034556632,49,0
"1x0",0.221356641234979,0.631867880528699,0.146775478236322,0,1
"1x1",0.23086388573188,0.584204293826135,0.184931820441984,1,1
"1x2",0.167686973858584,0.55367976221794,0.278633263923476,2,1
"1x3",0.23358473529856,0.430760937594409,0.335654327107031,3,1
"1x4",0.230458462751206,0.651145345286138,0.118396191962657,4,1
"1x5",0.147653637837898,0.678180106278403,0.174166255883699,5,1
"1x6",0.196048305150187,0.653765797698253,0.15018589715156,6,1
"1x7",0.131172480804157,0.720748462205608,0.148079056990236,7,1
"1x8",0.249050239654541,0.605950166393667,0.144999593951792,8,1
"1x9",0.196194535707506,0.669088146776386,0.134717317516108,9,1
"1x10",0.198233166150366,0.65680907316684,0.144957760682794,10,1
"1x11",0.162937540607562,0.642742842439906,0.194319616952532,11,1
"1x12",0.283101388414594,0.528498493727402,0.188400117858003,12,1
"1x13",0.157181709389773,0.619782846847326,0.223035443762901,13,1
"1x14",0.117810164865731,0.695063213578208,0.187126621556061,14,1
"1x15",0.2360415081775,0.619303733960941,0.144654757861559,15,1
"1x16",0.156556709129749,0.499415082020412,0.344028208849839,16,1
"1x17",0.208638318286384,0.589388298106823,0.201973383606793,17,1
"1x18",0.166998216361357,0.616464559132595,0.216537224506048,18,1
"1x19",0.224875369238327,0.506796961567295,0.268327669194378,19,1
"1x20",0.175153838072775,0.448080826346951,0.376765335580273,20,1
"1x21",0.261609437072251,0.470610134360035,0.267780428567714,21,1
"1x22",0.1705978287351,0.457641584755756,0.371760586509144,22,1
"1x23",0.116367322446593,0.488684916523203,0.394947761030204,23,1
"1x24",0.0980403618513715,0.544328536791982,0.357631101356646,24,1
