"","Cancer","Ductal","Stroma"
"0x0",0.674495454742643,0.0768583456192546,0.137994543938396
"0x1",0.625335267863044,0.0377279960755036,0.298034374266387
"0x2",0.726297901965826,0.0815807080267786,0.08175324056228
"0x3",0.68033240488467,0.0017634850704608,0.27719732674488
"0x4",0.813039014645774,0.000542804532636817,0.117049381129695
"0x5",0.836284099197832,0.0778832205832743,0.0507456329347305
"0x6",0.798625340612847,0.0986842309279042,0.0440359481513571
"0x7",0.753954375026914,0.0838839310411221,0.0683762892412873
"0x8",0.966451453256279,0.000265974220992037,0.000265974214090351
"0x9",0.918015382896919,0.034367890333447,0.000379963172856604
"0x10",0.994755379398757,0.000379963172845771,0.00158015380165618
"0x11",0.808470887627377,0.134348593651785,0.000379963172772755
"0x12",0.997049406793301,0.0278398964282804,0.0357738353188796
"0x13",0.757664671266979,0.155512438731811,0.000542804532652294
"0x14",0.897372948091465,0.0428335820207773,0.000611066593334044
"0x15",0.859555863859701,0.000542804532636818,0.0638452022224454
"0x16",0.742687478488589,0.116468488131496,0.0277125717167438
"0x17",0.712334849849835,0.13100266580592,0.066874854323889
"0x18",0.556050557110192,0.293867137386783,0.0795541029328332
"0x19",0.840128141632056,0.0257428157680425,0.0857066606595983
"0x20",0.774093328546033,0.0216504119609169,0.119268797020448
"0x21",0.675980650959656,0.000775435046643368,0.233836311582402
"0x22",0.506343564055051,0.134136737296787,0.16241245827651
"0x23",0.444657563384243,0.21032815350081,0.283982549604689
"0x24",0.695490228040954,0.105777398390167,0.131463123432717
"0x25",0.457288784464131,0.265280730651301,0.250404193134708
"0x26",0.602828164926974,0.137511388310377,0.219160941862008
"0x27",0.478438724530171,0.125539918021042,0.280644854492681
"0x28",0.376331949934031,0.0945434779466258,0.395469814496548
"0x29",0.378135479268902,0.113991264419694,0.430081454267959
"0x30",0.391018808214952,0.272016673886976,0.208934078179817
"0x31",0.576063028759814,0.0762859929119077,0.235796235139529
"0x32",0.51145254701493,0.0263635059422803,0.415124640452907
"0x33",0.748374235550567,0.0775908688720506,0.184669367735555
"0x34",0.475838198337907,0.0751566185860798,0.273327417859357
"0x35",0.419734696484791,0.0411147637228697,0.491706087010119
"0x36",0.454965387056608,0.0783174381682944,0.308519752533191
"0x37",0.365441772788977,0.194634546022987,0.382574875591613
"0x38",0.393357792608765,0.3023159650235,0.27381057130571
"0x39",0.251081800615242,0.245895899436066,0.380383656903391
"0x40",0.46318086010762,0.177341012828183,0.286082778298503
"0x41",0.142478296236237,0.244916234914439,0.590238980321865
"0x42",0.25344590287477,0.144244601052855,0.498116365155374
"0x43",0.32441735569035,0.233554615679565,0.307553810425909
"0x44",0.0890465697839917,0.468499681712462,0.295720209249814
