,Cancer,Ductal,Stroma
0x0,0.7538447,0.05794135,0.18821394
0x1,0.6056526,0.02344434,0.37090304
0x2,0.8118075,0.073964,0.11422851
0x3,0.63999456,0.00065551937,0.3593499
0x4,0.8243657,0.0011712897,0.17446308
0x5,0.8401289,0.08364372,0.07622737
0x6,0.82807976,0.100204654,0.07171553
0x7,0.84682393,0.0467469,0.10642921
0x8,0.9983831,0.00095754594,0.00065932237
0x9,0.9808998,0.018227564,0.0008725411
0x10,0.99883753,0.00066084776,0.00050156674
0x11,0.87645876,0.123281784,0.00025944033
0x12,0.918175,0.042170398,0.03965463
0x13,0.84907764,0.15036926,0.0005530617
0x14,0.9521155,0.047420826,0.00046364949
0x15,0.9102059,0.001194683,0.08859937
0x16,0.8531912,0.123478435,0.023330357
0x17,0.7320583,0.17554943,0.09239234
0x18,0.53917646,0.32519582,0.13562776
0x19,0.8491593,0.009334688,0.14150605
0x20,0.8319065,0.008417347,0.15967615
0x21,0.6501027,0.00068532047,0.34921202
0x22,0.6287475,0.14932312,0.22192937
0x23,0.3933522,0.23029296,0.3763548
0x24,0.67805696,0.13446428,0.18747869
0x25,0.4024989,0.23272613,0.364775
0x26,0.59396666,0.14213537,0.26389793
0x27,0.5262212,0.0960785,0.37770027
0x28,0.33825603,0.090992816,0.57075113
0x29,0.34101957,0.10713061,0.5518498
0x30,0.4120594,0.27582505,0.31211558
0x31,0.6060254,0.07732375,0.31665084
0x32,0.46662116,0.0032621094,0.5301168
0x33,0.66723686,0.06631836,0.26644468
0x34,0.41931498,0.07621032,0.50447476
0x35,0.35331002,0.043091662,0.6035983
0x36,0.45857424,0.10485694,0.43656883
0x37,0.32392251,0.17679733,0.49928015
0x38,0.35626528,0.3062228,0.33751193
0x39,0.28015366,0.20899065,0.5108557
0x40,0.42943537,0.19110104,0.37946358
0x41,0.0993728,0.28223008,0.6183971
0x42,0.19911622,0.13717449,0.6637093
0x43,0.32571182,0.26263803,0.41165012
0x44,0.10767081,0.47640973,0.41591945
0x45,0.4029447,0.13133106,0.4657243
0x46,0.30119103,0.2288393,0.46996963
0x47,0.15374792,0.3806138,0.4656383
0x48,0.22143221,0.16021997,0.6183478
0x49,0.3534988,0.32252243,0.32397878
1x0,0.86710143,0.10209544,0.030803122
1x1,0.802095,0.1442227,0.05368233
1x2,0.7450978,0.044553094,0.21034902
1x3,0.59347355,0.13861258,0.2679139
1x4,0.91214186,0.08702278,0.0008353056
1x5,0.9505983,0.0011913567,0.04821033
1x6,0.99827963,0.0011857802,0.0005345491
1x7,0.99894047,0.00066624384,0.00039332756
1x8,0.85901815,0.14061937,0.00036251603
1x9,0.99814945,0.0015633726,0.0002871504
1x10,0.99402213,0.005535875,0.00044195575
1x11,0.9351032,0.00086741196,0.064029455
1x12,0.7316362,0.23262264,0.035741188
1x13,0.86432767,0.00093800516,0.13473432
1x14,0.96588176,0.001064623,0.03305365
1x15,0.9014808,0.098062776,0.00045642434
1x16,0.6757468,0.061405104,0.2628481
1x17,0.8380632,0.07478882,0.087148026
1x18,0.8653166,0.0013000509,0.13338332
1x19,0.81615996,0.0073788944,0.17646115
1x20,0.5725695,0.06243989,0.36499062
1x21,0.5737457,0.25856483,0.16768949
1x22,0.5381348,0.14037704,0.32148817
1x23,0.61451256,0.015370679,0.37011683
1x24,0.70645285,0.0006282904,0.29291886
1x25,0.55003566,0.0021209565,0.44784334
1x26,0.5815638,0.103596956,0.31483927
1x27,0.4029844,0.18367659,0.41333896
1x28,0.48186716,0.22133654,0.29679626
1x29,0.104479946,0.46304762,0.4324725
1x30,0.39927277,0.08863021,0.51209706
1x31,0.5413247,0.018097203,0.4405781
1x32,0.32064295,0.21253853,0.4668185
1x33,0.4728155,0.036398515,0.4907859
1x34,0.314761,0.24310328,0.44213566
1x35,0.26307723,0.19127586,0.5456469
1x36,0.43433383,0.19387405,0.37179214
1x37,0.24146111,0.2835078,0.47503108
1x38,0.32156894,0.18401808,0.49441308
1x39,0.6031212,0.0458153,0.35106352
1x40,0.31010884,0.031558525,0.65833265
1x41,0.2871345,0.06719779,0.6456677
1x42,0.28732362,0.22887792,0.48379844
