	Cancer	Ductal	Stroma
0x0	0.7858007	0.05830501	0.15589425
0x1	0.635159	0.020653727	0.3441873
0x2	0.85019696	0.049421344	0.100381725
0x3	0.68452406	1.4136774e-12	0.31547594
0x4	0.86360526	1.9504975e-12	0.13639471
0x5	0.86850697	0.07688558	0.05460741
0x6	0.87787074	0.113586545	0.008542713
0x7	0.86383784	0.053019278	0.08314289
0x8	1.0	2.3914516e-12	2.5493167e-12
0x9	0.9709419	0.029058097	2.3564197e-12
0x10	1.0	1.8665427e-12	1.2759903e-12
0x11	0.8739908	0.12600924	5.871476e-13
0x12	0.93240875	0.033239868	0.03435138
0x13	0.84775	0.15225	1.0505866e-12
0x14	0.94097793	0.05902208	1.3379769e-12
0x15	0.9261417	1.9255936e-12	0.0738583
0x16	0.86574686	0.13425316	2.5319905e-12
0x17	0.79792166	0.15782459	0.044253733
0x18	0.57724303	0.2999102	0.122846805
0x19	0.8649173	0.0144788455	0.12060386
0x20	0.87983495	3.297891e-11	0.12016503
0x21	0.6963096	1.594402e-12	0.30369034
0x22	0.6353012	0.16632858	0.19837022
0x23	0.433497	0.2232721	0.34323093
0x24	0.75960994	0.121742815	0.118647225
0x25	0.44274467	0.2277205	0.32953486
0x26	0.6605938	0.1359328	0.2034734
0x27	0.5671625	0.09904957	0.3337879
0x28	0.40807956	0.087046586	0.5048739
0x29	0.4086455	0.083750024	0.5076045
0x30	0.46759158	0.2763478	0.2560606
0x31	0.640433	0.07939091	0.2801761
0x32	0.5144745	0.017514938	0.46801054
0x33	0.7257036	0.055102367	0.21919408
0x34	0.5222332	0.098675124	0.3790917
0x35	0.42065755	0.032084405	0.547258
0x36	0.55500644	0.10742929	0.3375643
0x37	0.39824453	0.17437316	0.42738235
0x38	0.40222198	0.29759175	0.30018625
0x39	0.30404028	0.23406026	0.46189946
0x40	0.4833801	0.19771904	0.31890082
0x41	0.09899334	0.31388286	0.58712375
0x42	0.26293856	0.13246047	0.60460097
0x43	0.3435899	0.2943031	0.36210707
0x44	0.13819803	0.49583927	0.36596268
0x45	0.45851746	0.1263438	0.41513872
0x46	0.3534482	0.25061575	0.39593607
0x47	0.18123235	0.3932355	0.42553216
0x48	0.27458096	0.18025829	0.5451608
0x49	0.41406614	0.3134098	0.27252403
1x0	0.882254	0.089424	0.028321978
1x1	0.8261747	0.12380289	0.050022405
1x2	0.7959648	0.034648858	0.16938637
1x3	0.66355914	0.124523066	0.21191783
1x4	0.9315429	0.06845714	1.7860582e-12
1x5	0.9936761	2.2975539e-12	0.006323895
1x6	1.0	3.622186e-12	1.7409132e-12
1x7	1.0	1.3318252e-12	9.0701914e-13
1x8	0.86342615	0.13657385	8.6992355e-13
1x9	1.0	5.8625826e-12	1.4244093e-12
1x10	0.98652595	0.013474058	9.487967e-13
1x11	0.94505423	2.0197023e-12	0.05494572
1x12	0.74994045	0.21721336	0.032846138
1x13	0.8962138	1.8887181e-12	0.10378617
1x14	0.9740656	4.0518765e-12	0.025934419
1x15	0.8891759	0.110824145	1.8794898e-12
1x16	0.76910084	0.053810045	0.17708914
1x17	0.8636145	0.065251954	0.07113355
1x18	0.88117605	3.4228102e-12	0.11882396
