	Cancer	Ductal	Stroma
0x0	0.33328483	0.5295092	0.13720597
0x1	0.35434452	0.34383926	0.30181623
0x2	0.39524361	0.505099	0.099657394
0x3	0.31885397	0.39558026	0.28556573
0x4	0.3994221	0.46193308	0.13864477
0x5	0.46150374	0.47563168	0.06286457
0x6	0.42264047	0.5233074	0.05405216
0x7	0.36361775	0.53479487	0.101587385
0x8	0.4140079	0.5654983	0.02049371
0x9	0.4882223	0.49920553	0.012572165
0x10	0.56015545	0.4273623	0.0124822715
0x11	0.46021274	0.53978723	2.1231593e-12
0x12	0.52842826	0.43416965	0.03740203
0x13	0.48789245	0.5121076	3.2568679e-12
0x14	0.42099753	0.57000315	0.008999302
0x15	0.40287983	0.5246049	0.07251523
0x16	0.45351723	0.50321877	0.04326406
0x17	0.40640283	0.53642213	0.05717507
0x18	0.30652675	0.53786826	0.15560499
0x19	0.39945656	0.49594858	0.10459487
0x20	0.3209022	0.56927663	0.109821215
0x21	0.4058209	0.31685618	0.2773229
0x22	0.30572736	0.50718194	0.18709064
0x23	0.24643008	0.44094738	0.3126226
0x24	0.34876493	0.5254893	0.12574577
0x25	0.3210448	0.33799958	0.3409556
0x26	0.3354105	0.49394995	0.17063954
0x27	0.36651757	0.33238888	0.30109355
0x28	0.15586317	0.42686108	0.4172758
0x29	0.29450515	0.262791	0.44270384
0x30	0.30070034	0.46476305	0.23453662
0x31	0.26190084	0.5089977	0.2291015
0x32	0.23678285	0.37837416	0.38484302
0x33	0.312637	0.508286	0.17907703
0x34	0.27362868	0.3882884	0.33808294
0x35	0.3125391	0.21287888	0.47458202
0x36	0.24172233	0.45680237	0.30147532
0x37	0.16259547	0.4528589	0.38454568
0x38	0.3199504	0.40170774	0.27834186
0x39	0.06896223	0.5568289	0.3742089
0x40	0.23456848	0.4754018	0.2900297
0x41	0.17739187	0.2506121	0.57199603
0x42	0.12151289	0.34347084	0.53501624
0x43	0.21136785	0.49387965	0.2947525
0x44	0.13634425	0.49994352	0.36371225
0x45	0.28226086	0.3476977	0.3700415
0x46	0.26107866	0.34474027	0.394181
0x47	0.20085092	0.36979157	0.42935747
0x48	0.26132932	0.21788421	0.52078646
0x49	0.3741664	0.33659008	0.2892435
1x0	0.41166708	0.56763315	0.020699847
1x1	0.39231643	0.5349166	0.072767
1x2	0.3633203	0.47126636	0.1654134
1x3	0.38673106	0.42568383	0.18758509
1x4	0.5389813	0.45595518	0.005063504
1x5	0.5090781	0.44835454	0.04256747
1x6	0.47168154	0.50662607	0.021692375
1x7	0.43252704	0.5625283	0.004944667
