	Cancer	Ductal	Stroma
0x0	0.7446906	0.0828743	0.17243509
0x1	0.6396492	0.03837932	0.3219715
0x2	0.82244545	0.071021184	0.106533386
0x3	0.69897974	3.1412212e-12	0.30102026
0x4	0.88483375	3.0726892e-12	0.11516626
0x5	0.8154089	0.11993418	0.06465684
0x6	0.81388056	0.13102554	0.05509396
0x7	0.822591	0.08982928	0.0875797
0x8	1.0	4.730485e-12	2.7047169e-12
0x9	0.9336218	0.06637822	7.862003e-12
0x10	0.9962954	8.204905e-12	0.0037045993
0x11	0.8412569	0.1587431	5.9718663e-13
0x12	0.90179336	0.0669767	0.031229878
0x13	0.80293274	0.19706723	1.505534e-12
0x14	0.9037553	0.09624468	1.8046749e-12
0x15	0.90671164	5.0543133e-12	0.09328839
0x16	0.8142877	0.17517133	0.010540982
0x17	0.78644705	0.1698154	0.043737583
0x18	0.5653572	0.31994006	0.11470275
0x19	0.8348001	0.037040167	0.12815969
0x20	0.88850874	1.4944618e-10	0.11149123
0x21	0.7226253	3.146684e-12	0.27737474
0x22	0.60936874	0.20775266	0.18287854
0x23	0.43672532	0.2625005	0.30077422
0x24	0.7391861	0.15812527	0.10268863
0x25	0.4634046	0.22596592	0.3106294
0x26	0.63728327	0.16293576	0.19978091
0x27	0.5629112	0.11868283	0.31840593
0x28	0.42068452	0.10159932	0.47771612
0x29	0.41528255	0.113873616	0.47084385
0x30	0.46473366	0.30328828	0.23197798
0x31	0.62027776	0.113853805	0.26586843
0x32	0.5047588	0.051222436	0.4440188
0x33	0.70629156	0.08678584	0.2069226
0x34	0.5326626	0.11452369	0.35281375
0x35	0.4135863	0.04797307	0.5384406
0x36	0.52159613	0.13765922	0.3407446
0x37	0.40796027	0.19045503	0.40158468
0x38	0.4085979	0.34425917	0.24714299
0x39	0.3211278	0.23814535	0.4407268
0x40	0.45794404	0.23238343	0.30967253
0x41	0.09670092	0.34659746	0.55670166
0x42	0.28026256	0.1304203	0.58931714
0x43	0.34745374	0.34082103	0.31172523
0x44	0.15579495	0.46278152	0.38142347
0x45	0.48641118	0.14405051	0.36953825
