,x,y
0x0,0,0
0x1,0,1
0x2,0,2
0x3,0,3
0x4,0,4
0x5,0,5
0x6,0,6
0x7,0,7
0x8,0,8
0x9,0,9
0x10,0,10
0x11,0,11
0x12,0,12
0x13,0,13
0x14,0,14
0x15,0,15
0x16,0,16
0x17,0,17
0x18,0,18
0x19,0,19
0x20,0,20
0x21,0,21
0x22,0,22
0x23,0,23
0x24,0,24
0x25,0,25
0x26,0,26
0x27,0,27
0x28,0,28
0x29,0,29
0x30,0,30
0x31,0,31
0x32,0,32
0x33,0,33
0x34,0,34
0x35,0,35
0x36,0,36
0x37,0,37
0x38,0,38
0x39,0,39
0x40,0,40
0x41,0,41
0x42,0,42
0x43,0,43
0x44,0,44
0x45,0,45
0x46,0,46
0x47,0,47
0x48,0,48
0x49,0,49
1x0,1,0
1x1,1,1
1x2,1,2
1x3,1,3
1x4,1,4
1x5,1,5
1x6,1,6
1x7,1,7
1x8,1,8
1x9,1,9
1x10,1,10
1x11,1,11
1x12,1,12
1x13,1,13
1x14,1,14
1x15,1,15
1x16,1,16
1x17,1,17
1x18,1,18
1x19,1,19
1x20,1,20
1x21,1,21
1x22,1,22
1x23,1,23
1x24,1,24
1x25,1,25
1x26,1,26
1x27,1,27
1x28,1,28
1x29,1,29
1x30,1,30
1x31,1,31
1x32,1,32
1x33,1,33
1x34,1,34
1x35,1,35
1x36,1,36
1x37,1,37
1x38,1,38
1x39,1,39
1x40,1,40
1x41,1,41
1x42,1,42
1x43,1,43
1x44,1,44
1x45,1,45
1x46,1,46
1x47,1,47
1x48,1,48
1x49,1,49
2x0,2,0
2x1,2,1
2x2,2,2
2x3,2,3
2x4,2,4
2x5,2,5
2x6,2,6
2x7,2,7
2x8,2,8
2x9,2,9
2x10,2,10
2x11,2,11
2x12,2,12
2x13,2,13
2x14,2,14
2x15,2,15
2x16,2,16
2x17,2,17
2x18,2,18
2x19,2,19
2x20,2,20
2x21,2,21
2x22,2,22
2x23,2,23
2x24,2,24
2x25,2,25
2x26,2,26
2x27,2,27
2x28,2,28
2x29,2,29
2x30,2,30
2x31,2,31
2x32,2,32
2x33,2,33
2x34,2,34
2x35,2,35
2x36,2,36
2x37,2,37
2x38,2,38
2x39,2,39
2x40,2,40
2x41,2,41
2x42,2,42
2x43,2,43
2x44,2,44
2x45,2,45
2x46,2,46
2x47,2,47
2x48,2,48
2x49,2,49
3x0,3,0
3x1,3,1
3x2,3,2
3x3,3,3
3x4,3,4
3x5,3,5
3x6,3,6
3x7,3,7
3x8,3,8
3x9,3,9
3x10,3,10
3x11,3,11
3x12,3,12
3x13,3,13
3x14,3,14
3x15,3,15
3x16,3,16
3x17,3,17
3x18,3,18
3x19,3,19
3x20,3,20
3x21,3,21
3x22,3,22
3x23,3,23
3x24,3,24
3x25,3,25
3x26,3,26
3x27,3,27
3x28,3,28
3x29,3,29
3x30,3,30
3x31,3,31
3x32,3,32
3x33,3,33
3x34,3,34
3x35,3,35
3x36,3,36
3x37,3,37
3x38,3,38
3x39,3,39
3x40,3,40
3x41,3,41
3x42,3,42
3x43,3,43
3x44,3,44
3x45,3,45
3x46,3,46
3x47,3,47
3x48,3,48
3x49,3,49
4x0,4,0
4x1,4,1
4x2,4,2
4x3,4,3
4x4,4,4
4x5,4,5
4x6,4,6
4x7,4,7
4x8,4,8
4x9,4,9
4x10,4,10
4x11,4,11
4x12,4,12
4x13,4,13
4x14,4,14
4x15,4,15
4x16,4,16
4x17,4,17
4x18,4,18
4x19,4,19
4x20,4,20
4x21,4,21
4x22,4,22
4x23,4,23
4x24,4,24
4x25,4,25
4x26,4,26
4x27,4,27
4x28,4,28
4x29,4,29
4x30,4,30
4x31,4,31
4x32,4,32
4x33,4,33
4x34,4,34
4x35,4,35
4x36,4,36
4x37,4,37
4x38,4,38
4x39,4,39
4x40,4,40
4x41,4,41
4x42,4,42
4x43,4,43
4x44,4,44
4x45,4,45
4x46,4,46
4x47,4,47
4x48,4,48
4x49,4,49
5x0,5,0
5x1,5,1
5x2,5,2
5x3,5,3
5x4,5,4
5x5,5,5
5x6,5,6
5x7,5,7
5x8,5,8
5x9,5,9
5x10,5,10
5x11,5,11
5x12,5,12
5x13,5,13
5x14,5,14
5x15,5,15
5x16,5,16
5x17,5,17
5x18,5,18
5x19,5,19
5x20,5,20
5x21,5,21
5x22,5,22
5x23,5,23
5x24,5,24
5x25,5,25
5x26,5,26
5x27,5,27
5x28,5,28
5x29,5,29
5x30,5,30
5x31,5,31
5x32,5,32
5x33,5,33
5x34,5,34
5x35,5,35
5x36,5,36
5x37,5,37
5x38,5,38
5x39,5,39
5x40,5,40
5x41,5,41
5x42,5,42
5x43,5,43
5x44,5,44
5x45,5,45
5x46,5,46
5x47,5,47
5x48,5,48
5x49,5,49
6x0,6,0
6x1,6,1
6x2,6,2
6x3,6,3
6x4,6,4
6x5,6,5
6x6,6,6
6x7,6,7
6x8,6,8
6x9,6,9
6x10,6,10
6x11,6,11
6x12,6,12
6x13,6,13
6x14,6,14
6x15,6,15
6x16,6,16
6x17,6,17
6x18,6,18
6x19,6,19
6x20,6,20
6x21,6,21
6x22,6,22
6x23,6,23
6x24,6,24
6x25,6,25
6x26,6,26
6x27,6,27
6x28,6,28
6x29,6,29
6x30,6,30
6x31,6,31
6x32,6,32
6x33,6,33
6x34,6,34
6x35,6,35
6x36,6,36
6x37,6,37
6x38,6,38
6x39,6,39
6x40,6,40
6x41,6,41
6x42,6,42
6x43,6,43
6x44,6,44
6x45,6,45
6x46,6,46
6x47,6,47
6x48,6,48
6x49,6,49
7x0,7,0
7x1,7,1
7x2,7,2
7x3,7,3
7x4,7,4
7x5,7,5
7x6,7,6
7x7,7,7
7x8,7,8
7x9,7,9
7x10,7,10
7x11,7,11
7x12,7,12
7x13,7,13
7x14,7,14
7x15,7,15
7x16,7,16
7x17,7,17
7x18,7,18
7x19,7,19
7x20,7,20
7x21,7,21
7x22,7,22
7x23,7,23
7x24,7,24
7x25,7,25
7x26,7,26
7x27,7,27
7x28,7,28
7x29,7,29
7x30,7,30
7x31,7,31
7x32,7,32
7x33,7,33
7x34,7,34
7x35,7,35
7x36,7,36
7x37,7,37
7x38,7,38
7x39,7,39
7x40,7,40
7x41,7,41
7x42,7,42
7x43,7,43
7x44,7,44
7x45,7,45
7x46,7,46
7x47,7,47
7x48,7,48
7x49,7,49
8x0,8,0
8x1,8,1
8x2,8,2
8x3,8,3
8x4,8,4
8x5,8,5
8x6,8,6
8x7,8,7
8x8,8,8
8x9,8,9
8x10,8,10
8x11,8,11
8x12,8,12
8x13,8,13
8x14,8,14
8x15,8,15
8x16,8,16
8x17,8,17
8x18,8,18
8x19,8,19
8x20,8,20
8x21,8,21
8x22,8,22
8x23,8,23
8x24,8,24
8x25,8,25
8x26,8,26
8x27,8,27
8x28,8,28
8x29,8,29
8x30,8,30
8x31,8,31
8x32,8,32
8x33,8,33
8x34,8,34
8x35,8,35
8x36,8,36
8x37,8,37
8x38,8,38
8x39,8,39
8x40,8,40
8x41,8,41
8x42,8,42
8x43,8,43
8x44,8,44
8x45,8,45
8x46,8,46
8x47,8,47
8x48,8,48
8x49,8,49
9x0,9,0
9x1,9,1
9x2,9,2
9x3,9,3
9x4,9,4
9x5,9,5
9x6,9,6
9x7,9,7
9x8,9,8
9x9,9,9
9x10,9,10
9x11,9,11
9x12,9,12
9x13,9,13
9x14,9,14
9x15,9,15
9x16,9,16
9x17,9,17
9x18,9,18
9x19,9,19
9x20,9,20
9x21,9,21
9x22,9,22
9x23,9,23
9x24,9,24
9x25,9,25
9x26,9,26
9x27,9,27
9x28,9,28
9x29,9,29
9x30,9,30
9x31,9,31
9x32,9,32
9x33,9,33
9x34,9,34
9x35,9,35
9x36,9,36
9x37,9,37
9x38,9,38
9x39,9,39
9x40,9,40
9x41,9,41
9x42,9,42
9x43,9,43
9x44,9,44
9x45,9,45
9x46,9,46
9x47,9,47
9x48,9,48
9x49,9,49
10x0,10,0
10x1,10,1
10x2,10,2
10x3,10,3
10x4,10,4
10x5,10,5
10x6,10,6
10x7,10,7
10x8,10,8
10x9,10,9
10x10,10,10
10x11,10,11
10x12,10,12
10x13,10,13
10x14,10,14
10x15,10,15
10x16,10,16
10x17,10,17
10x18,10,18
10x19,10,19
10x20,10,20
10x21,10,21
10x22,10,22
10x23,10,23
10x24,10,24
10x25,10,25
10x26,10,26
10x27,10,27
10x28,10,28
10x29,10,29
10x30,10,30
10x31,10,31
10x32,10,32
10x33,10,33
10x34,10,34
10x35,10,35
10x36,10,36
10x37,10,37
10x38,10,38
10x39,10,39
10x40,10,40
10x41,10,41
10x42,10,42
10x43,10,43
10x44,10,44
10x45,10,45
10x46,10,46
10x47,10,47
10x48,10,48
10x49,10,49
11x0,11,0
11x1,11,1
11x2,11,2
11x3,11,3
11x4,11,4
11x5,11,5
11x6,11,6
11x7,11,7
11x8,11,8
11x9,11,9
11x10,11,10
11x11,11,11
11x12,11,12
11x13,11,13
11x14,11,14
11x15,11,15
11x16,11,16
11x17,11,17
11x18,11,18
11x19,11,19
11x20,11,20
11x21,11,21
11x22,11,22
11x23,11,23
11x24,11,24
11x25,11,25
11x26,11,26
11x27,11,27
11x28,11,28
11x29,11,29
11x30,11,30
11x31,11,31
11x32,11,32
11x33,11,33
11x34,11,34
11x35,11,35
11x36,11,36
11x37,11,37
11x38,11,38
11x39,11,39
11x40,11,40
11x41,11,41
11x42,11,42
11x43,11,43
11x44,11,44
11x45,11,45
11x46,11,46
11x47,11,47
11x48,11,48
11x49,11,49
12x0,12,0
12x1,12,1
12x2,12,2
12x3,12,3
12x4,12,4
12x5,12,5
12x6,12,6
12x7,12,7
12x8,12,8
12x9,12,9
12x10,12,10
12x11,12,11
12x12,12,12
12x13,12,13
12x14,12,14
12x15,12,15
12x16,12,16
12x17,12,17
12x18,12,18
12x19,12,19
12x20,12,20
12x21,12,21
12x22,12,22
12x23,12,23
12x24,12,24
12x25,12,25
12x26,12,26
12x27,12,27
12x28,12,28
12x29,12,29
12x30,12,30
12x31,12,31
12x32,12,32
12x33,12,33
12x34,12,34
12x35,12,35
12x36,12,36
12x37,12,37
12x38,12,38
12x39,12,39
12x40,12,40
12x41,12,41
12x42,12,42
12x43,12,43
12x44,12,44
12x45,12,45
12x46,12,46
12x47,12,47
12x48,12,48
12x49,12,49
13x0,13,0
13x1,13,1
13x2,13,2
13x3,13,3
13x4,13,4
13x5,13,5
13x6,13,6
13x7,13,7
13x8,13,8
13x9,13,9
13x10,13,10
13x11,13,11
13x12,13,12
13x13,13,13
13x14,13,14
13x15,13,15
13x16,13,16
13x17,13,17
13x18,13,18
13x19,13,19
13x20,13,20
13x21,13,21
13x22,13,22
13x23,13,23
13x24,13,24
13x25,13,25
13x26,13,26
13x27,13,27
13x28,13,28
13x29,13,29
13x30,13,30
13x31,13,31
13x32,13,32
13x33,13,33
13x34,13,34
13x35,13,35
