,Cancer,Ductal,Stroma
0x0,6,1,1
0x1,7,1,1
0x2,6,1,1
0x3,7,0,1
0x4,7,0,2
0x5,7,1,1
0x6,7,1,1
0x7,6,1,1
0x8,8,0,0
0x9,7,1,0
0x10,9,0,0
0x11,8,1,0
0x12,7,1,1
0x13,7,2,0
0x14,8,0,0
0x15,7,0,1
0x16,6,2,1
0x17,6,2,1
0x18,5,2,2
0x19,5,1,2
0x20,6,0,2
0x21,5,0,3
0x22,5,1,3
0x23,4,2,3
0x24,5,1,2
0x25,5,1,3
0x26,4,1,4
0x27,4,1,4
0x28,3,1,5
0x29,3,1,5
0x30,4,1,3
0x31,4,1,4
0x32,4,1,4
0x33,4,1,4
0x34,3,1,4
0x35,3,1,5
0x36,3,1,4
0x37,2,1,5
0x38,3,1,4
0x39,2,2,4
0x40,2,2,4
0x41,2,1,5
0x42,2,1,5
0x43,3,2,4
0x44,2,2,4
0x45,3,1,4
0x46,3,2,4
0x47,2,3,4
0x48,3,1,4
0x49,3,2,4
1x0,6,1,1
1x1,7,1,1
1x2,6,1,2
1x3,6,1,2
1x4,8,1,0
1x5,7,1,1
1x6,9,0,0
1x7,9,0,0
1x8,8,1,0
1x9,8,0,0
1x10,10,0,0
1x11,8,0,1
1x12,6,1,1
1x13,7,0,1
1x14,8,0,1
1x15,8,1,0
1x16,6,1,2
1x17,7,1,1
1x18,7,0,1
1x19,6,1,2
1x20,5,1,2
1x21,5,1,3
1x22,5,1,3
1x23,5,1,3
1x24,5,0,3
1x25,4,0,4
1x26,4,1,4
1x27,4,2,3
1x28,4,1,4
1x29,2,2,4
1x30,3,1,4
1x31,4,1,4
1x32,3,2,4
1x33,3,1,4
1x34,3,1,4
1x35,3,2,4
1x36,3,1,4
1x37,2,1,5
1x38,3,2,4
1x39,3,1,4
1x40,2,1,5
1x41,3,1,5
1x42,3,2,4
1x43,3,1,5
1x44,2,2,4
1x45,2,1,5
1x46,2,2,4
1x47,2,2,5
1x48,2,3,3
1x49,2,2,4
2x0,7,0,1
2x1,8,0,1
2x2,7,1,1
2x3,8,0,0
2x4,8,1,0
2x5,7,0,2
2x6,10,0,0
2x7,10,0,0
2x8,10,0,0
2x9,10,0,0
2x10,10,0,0
2x11,10,0,0
2x12,10,0,0
2x13,10,0,0
2x14,10,0,0
2x15,9,0,0
2x16,7,0,2
2x17,7,0,1
2x18,6,0,2
2x19,5,1,2
2x20,6,0,2
2x21,5,1,2
2x22,6,1,2
2x23,5,0,3
2x24,5,1,2
2x25,4,1,4
2x26,4,2,3
2x27,3,1,5
2x28,3,2,4
2x29,4,1,3
2x30,3,2,4
2x31,3,1,4
2x32,3,2,4
2x33,3,1,5
2x34,3,2,4
2x35,4,2,3
2x36,2,1,5
2x37,3,2,3
2x38,2,2,5
2x39,2,2,4
2x40,2,1,5
2x41,2,3,4
2x42,2,2,4
2x43,3,2,4
2x44,2,3,3
2x45,3,2,3
2x46,2,2,4
2x47,2,2,5
2x48,2,3,4
2x49,2,2,4
3x0,6,1,2
3x1,7,1,0
3x2,8,1,0
3x3,7,1,0
3x4,9,0,0
3x5,10,0,0
3x6,10,0,0
3x7,10,0,0
3x8,10,0,0
3x9,10,0,0
3x10,10,0,0
3x11,10,0,0
3x12,10,0,0
3x13,10,0,0
3x14,10,0,0
3x15,10,0,0
3x16,8,0,1
3x17,8,0,0
3x18,7,0,2
3x19,6,1,1
3x20,5,0,3
3x21,5,1,2
3x22,6,0,2
3x23,6,0,2
3x24,4,1,4
3x25,4,1,4
3x26,4,1,4
3x27,4,1,3
3x28,3,2,3
3x29,4,1,3
3x30,3,2,4
3x31,3,1,5
3x32,3,1,4
3x33,3,1,5
3x34,3,1,4
3x35,2,2,5
3x36,3,1,5
3x37,3,1,4
3x38,2,2,5
3x39,3,1,5
3x40,2,1,5
3x41,2,2,5
3x42,2,2,5
3x43,2,2,5
3x44,3,2,4
3x45,2,2,4
3x46,3,2,4
3x47,3,1,4
3x48,3,2,3
3x49,3,2,3
4x0,7,1,0
4x1,7,0,1
4x2,7,1,1
4x3,7,1,0
4x4,10,0,0
4x5,10,0,0
4x6,10,0,0
4x7,10,0,0
4x8,10,0,0
4x9,10,0,0
4x10,10,0,0
4x11,10,0,0
4x12,10,0,0
4x13,10,0,0
4x14,10,0,0
4x15,10,0,0
4x16,10,0,0
4x17,7,0,1
4x18,7,0,2
4x19,6,1,1
4x20,7,0,1
4x21,6,0,2
4x22,5,2,2
4x23,5,0,3
4x24,4,1,3
4x25,3,2,4
4x26,4,1,4
4x27,3,1,4
4x28,3,1,4
4x29,3,1,5
4x30,3,1,5
4x31,2,2,4
4x32,3,2,4
4x33,3,1,4
4x34,3,1,4
4x35,3,2,4
4x36,2,1,5
4x37,2,1,5
4x38,2,2,4
4x39,3,2,4
4x40,2,1,5
4x41,2,3,4
4x42,2,2,5
4x43,3,1,4
4x44,2,2,5
4x45,3,2,4
4x46,2,2,5
4x47,3,2,3
4x48,2,2,5
4x49,2,2,4
5x0,6,1,1
5x1,7,0,2
5x2,9,0,0
5x3,10,0,0
5x4,10,0,0
5x5,10,0,0
5x6,10,0,0
5x7,10,0,0
5x8,10,0,0
5x9,10,0,0
5x10,10,0,0
5x11,10,0,0
5x12,10,0,0
5x13,10,0,0
5x14,10,0,0
5x15,10,0,0
5x16,10,0,0
5x17,10,0,0
5x18,6,1,1
5x19,7,1,1
5x20,6,1,2
5x21,6,1,2
5x22,5,1,3
5x23,5,0,3
5x24,4,1,4
5x25,4,1,4
5x26,4,0,4
5x27,3,1,4
5x28,4,0,5
5x29,3,1,4
5x30,3,0,5
5x31,3,1,4
5x32,3,1,5
5x33,2,2,4
5x34,2,2,5
5x35,3,1,5
5x36,3,2,4
5x37,2,1,6
5x38,2,2,5
5x39,2,2,5
5x40,3,1,4
5x41,3,1,5
5x42,1,2,5
5x43,2,1,6
5x44,2,2,5
5x45,2,2,4
5x46,2,3,4
5x47,2,2,4
5x48,3,2,3
5x49,3,2,3
6x0,6,1,1
6x1,7,0,1
6x2,10,0,0
6x3,10,0,0
6x4,10,0,0
6x5,10,0,0
6x6,10,0,0
6x7,10,0,0
6x8,10,0,0
6x9,10,0,0
6x10,10,0,0
6x11,10,0,0
6x12,10,0,0
6x13,10,0,0
6x14,10,0,0
6x15,10,0,0
6x16,10,0,0
6x17,10,0,0
6x18,10,0,0
6x19,8,0,0
6x20,6,2,1
6x21,5,1,2
6x22,6,0,2
6x23,5,0,4
6x24,3,2,4
6x25,4,1,3
6x26,3,1,4
6x27,3,1,4
6x28,3,1,4
6x29,2,2,4
6x30,3,1,5
6x31,2,1,5
6x32,2,1,6
6x33,2,2,5
6x34,2,1,5
6x35,3,2,4
6x36,3,1,5
6x37,2,1,5
