,Cancer,Ductal,Stroma
0x0,0.75,0.125,0.125
0x1,0.7777777777777778,0.1111111111111111,0.1111111111111111
0x2,0.75,0.125,0.125
0x3,0.875,0.0,0.125
0x4,0.7777777777777778,0.0,0.2222222222222222
0x5,0.7777777777777778,0.1111111111111111,0.1111111111111111
0x6,0.7777777777777778,0.1111111111111111,0.1111111111111111
0x7,0.75,0.125,0.125
0x8,1.0,0.0,0.0
0x9,0.875,0.125,0.0
0x10,1.0,0.0,0.0
0x11,0.8888888888888888,0.1111111111111111,0.0
0x12,0.7777777777777778,0.1111111111111111,0.1111111111111111
0x13,0.7777777777777778,0.2222222222222222,0.0
0x14,1.0,0.0,0.0
0x15,0.875,0.0,0.125
0x16,0.6666666666666666,0.2222222222222222,0.1111111111111111
0x17,0.6666666666666666,0.2222222222222222,0.1111111111111111
0x18,0.5555555555555556,0.2222222222222222,0.2222222222222222
0x19,0.625,0.125,0.25
0x20,0.75,0.0,0.25
0x21,0.625,0.0,0.375
0x22,0.5555555555555556,0.1111111111111111,0.3333333333333333
0x23,0.4444444444444444,0.2222222222222222,0.3333333333333333
0x24,0.625,0.125,0.25
0x25,0.5555555555555556,0.1111111111111111,0.3333333333333333
0x26,0.4444444444444444,0.1111111111111111,0.4444444444444444
0x27,0.4444444444444444,0.1111111111111111,0.4444444444444444
0x28,0.3333333333333333,0.1111111111111111,0.5555555555555556
0x29,0.3333333333333333,0.1111111111111111,0.5555555555555556
0x30,0.5,0.125,0.375
0x31,0.4444444444444444,0.1111111111111111,0.4444444444444444
0x32,0.4444444444444444,0.1111111111111111,0.4444444444444444
0x33,0.4444444444444444,0.1111111111111111,0.4444444444444444
0x34,0.375,0.125,0.5
0x35,0.3333333333333333,0.1111111111111111,0.5555555555555556
0x36,0.375,0.125,0.5
0x37,0.25,0.125,0.625
0x38,0.375,0.125,0.5
0x39,0.25,0.25,0.5
0x40,0.25,0.25,0.5
0x41,0.25,0.125,0.625
0x42,0.25,0.125,0.625
0x43,0.3333333333333333,0.2222222222222222,0.4444444444444444
0x44,0.25,0.25,0.5
0x45,0.375,0.125,0.5
0x46,0.3333333333333333,0.2222222222222222,0.4444444444444444
0x47,0.2222222222222222,0.3333333333333333,0.4444444444444444
0x48,0.375,0.125,0.5
0x49,0.3333333333333333,0.2222222222222222,0.4444444444444444
1x0,0.75,0.125,0.125
1x1,0.7777777777777778,0.1111111111111111,0.1111111111111111
1x2,0.6666666666666666,0.1111111111111111,0.2222222222222222
1x3,0.6666666666666666,0.1111111111111111,0.2222222222222222
1x4,0.8888888888888888,0.1111111111111111,0.0
1x5,0.7777777777777778,0.1111111111111111,0.1111111111111111
1x6,1.0,0.0,0.0
1x7,1.0,0.0,0.0
1x8,0.8888888888888888,0.1111111111111111,0.0
1x9,1.0,0.0,0.0
1x10,1.0,0.0,0.0
1x11,0.8888888888888888,0.0,0.1111111111111111
1x12,0.75,0.125,0.125
1x13,0.875,0.0,0.125
1x14,0.8888888888888888,0.0,0.1111111111111111
1x15,0.8888888888888888,0.1111111111111111,0.0
1x16,0.6666666666666666,0.1111111111111111,0.2222222222222222
1x17,0.7777777777777778,0.1111111111111111,0.1111111111111111
1x18,0.875,0.0,0.125
1x19,0.6666666666666666,0.1111111111111111,0.2222222222222222
1x20,0.625,0.125,0.25
1x21,0.5555555555555556,0.1111111111111111,0.3333333333333333
1x22,0.5555555555555556,0.1111111111111111,0.3333333333333333
1x23,0.5555555555555556,0.1111111111111111,0.3333333333333333
1x24,0.625,0.0,0.375
1x25,0.5,0.0,0.5
1x26,0.4444444444444444,0.1111111111111111,0.4444444444444444
1x27,0.4444444444444444,0.2222222222222222,0.3333333333333333
