"","Cancer","Ductal","Stroma"
"0x0",0.703234526975941,0.0628474208937133,0.132644691877675
"0x1",0.638056459820366,0.0187033593045914,0.308757956601253
"0x2",0.745891060525716,0.0623170638768042,0.0620286049240631
"0x3",0.667743691763247,0.000775435046646131,0.282122692655306
"0x4",0.820775351479818,0.000542804532636817,0.0946545640992228
"0x5",0.8657115697703,0.0541509020359794,0.0280667756143321
"0x6",0.841370525170065,0.0764324171741703,0.0261344073330483
"0x7",0.79451763781616,0.0641607615015385,0.0487050224667546
"0x8",0.915783986823192,0.00037996317284577,0.000379963172815985
"0x9",0.911994811841022,0.00997079440891572,0.000379963172856604
"0x10",0.873914769304599,0.000542804532636815,0.066059760107679
"0x11",0.794478445338505,0.104533515762383,0.000542804532951453
"0x12",1.05111143956117,0.000304636656407937,0.00709464279751739
"0x13",0.75678659313733,0.124650230115391,0.000542804532663342
"0x14",0.871760431943982,0.0195475665778306,0.000379963172856607
"0x15",0.842414022246216,0.000542804532636814,0.0432341460731281
"0x16",0.785263097381602,0.0819585447203031,0.0106913946249862
"0x17",0.722145523840726,0.116771781358978,0.052027713179398
"0x18",0.554108685025154,0.282175343610608,0.0510929200271378
"0x19",0.868822897411782,0.00551496917755468,0.0674415642059952
"0x20",0.764841403656256,0.00596495373327086,0.0955040186648246
"0x21",0.638013059868266,0.000775435046604674,0.234789249479242
"0x22",0.51199502936246,0.126280706131067,0.145010196968049
"0x23",0.437424063017795,0.200402511184862,0.287892430865243
"0x24",0.715115507783777,0.086181499834605,0.121774637224172
"0x25",0.458086808491826,0.277703605152226,0.254361314221453
"0x26",0.618627998667472,0.116533825815557,0.2224629640367
"0x27",0.465880338871326,0.116256814249686,0.288685943768298
"0x28",0.352600822150639,0.0853262680158307,0.421968690878749
"0x29",0.37131213442226,0.109342720035592,0.453474116869208
"0x30",0.390685998346235,0.268486339415822,0.195908388166676
"0x31",0.604602655359731,0.0540630177150966,0.231456720671377
"0x32",0.503962392250212,0.0067540494697169,0.414658996275249
"0x33",0.771693323260621,0.0573311987175181,0.167235730422115
"0x34",0.463845059647867,0.0609362510490057,0.290670741968595
"0x35",0.432056084209315,0.0221664485745428,0.516781091942042
"0x36",0.429468566067405,0.0643958593472092,0.325105346080342
"0x37",0.375533925109945,0.182154659851189,0.38383540771962
"0x38",0.4395727875606,0.258041245371939,0.262481870688837
"0x39",0.236298528242733,0.243788491191383,0.406643095307945
"0x40",0.494678517405376,0.149584007044861,0.285288594752973
"0x41",0.130772700917265,0.223690933357441,0.613670033124187
"0x42",0.241283739932348,0.138184756432192,0.514278193562436
"0x43",0.337562699728668,0.2183234415232,0.305509322396828
"0x44",0.0744904015393786,0.473518514205928,0.296448811259796
"0x45",0.415326579958661,0.13204058527381,0.356363374211929
"0x46",0.387597204965135,0.22902989130718,0.343285920268943
"0x47",0.196234616900822,0.407097908360986,0.352816781367366
"0x48",0.26098604056827,0.193880586256956,0.450326665843783
"0x49",0.39297899668593,0.355346138716792,0.21208780925308
"1x0",0.857026099699531,0.0807780863974853,0.00223988777992297
"1x1",0.824578603790354,0.146084681857776,0.0107233863217145
"1x2",0.762281036641593,0.052335248396278,0.124828048357111
"1x3",0.717534385889709,0.0949468507431325,0.168934491199333
"1x4",0.932491604143742,0.031207250555401,0.000379963172856602
"1x5",0.880213899567375,0.00037996317285525,0.0149077122936949
"1x6",0.921612347469578,0.000379963172845766,0.000379963172864347
"1x7",0.852932093682901,0.000379963172843121,0.000379963172875389
"1x8",0.733791413543209,0.104715478194237,0.000542804533152874
"1x9",0.931863405986027,0.00037996317284577,0.000379963172856606
"1x10",0.283878733961205,0.000775435046661922,0.586376939147423
"1x11",0.862288834613817,0.000379963172846352,0.022017025111244
"1x12",0.662859635430314,0.167460643029722,0.00624503989997853
"1x13",0.860123083787396,0.000542804532636813,0.0680137091211436
"1x14",0.931448759831977,0.00026597422099204,0.000265974220992042
"1x15",0.806583368046902,0.0940349543956379,0.000542804532652293
"1x16",0.649606878875127,0.0619548755714979,0.142274187982714
"1x17",0.823961336496074,0.041543145802855,0.037079837383729
"1x18",0.855129448679134,0.000542804532636814,0.0818101396837957
"1x19",0.895942229141768,0.000379963172845772,0.104545202514068
"1x20",0.665881393497928,0.0434045458370431,0.235773801211067
"1x21",0.591918736775687,0.225879276532807,0.117787393441038
"1x22",0.41372670003538,0.129120914278704,0.227749573556303
"1x23",0.704665940892028,0.0127836366391528,0.266442489863014
"1x24",0.696805271531842,0.000775435046646129,0.193970308229324
"1x25",0.526672952026617,0.000775435046624023,0.365917433029607
"1x26",0.711173888705789,0.0676006916027215,0.19805308841925
"1x27",0.424460660589562,0.17851691678705,0.301232207184495
"1x28",0.447976572599533,0.218948087212983,0.209571945273489
"1x29",0.116571882364418,0.545176360784589,0.352123140587338
"1x30",0.441894594373627,0.0648525972620158,0.429251986911683
"1x31",0.609675476833523,0.00211713812141553,0.352002280771768
"1x32",0.370672964573969,0.258371259745553,0.341699213910006
"1x33",0.464793724238785,0.0562113538124518,0.388775725375218
"1x34",0.317105849915116,0.217279413134322,0.335131939591342
"1x35",0.294933672529986,0.230088643141211,0.388501028587489
"1x36",0.471159247002283,0.142962818966789,0.272926307769769
"1x37",0.237657462764676,0.296115807394773,0.33830011672445
"1x38",0.419568819054022,0.157959754286314,0.394849332511665
"1x39",0.713813244447409,0.0362496128877454,0.253451345750564
"1x40",0.323436882522807,0.0209624584642601,0.461497436532314
"1x41",0.320917622314215,0.07936749186433,0.512877503835024
"1x42",0.332663650785669,0.2069732635054,0.368523622698379
"1x43",0.251144693868857,0.0773270458663703,0.544488730933202
"1x44",0.0428014623262251,0.326358173696656,0.52099274389456
"1x45",0.357099184324753,0.116459471609256,0.440869552242928
"1x46",0.461935787405169,0.220133186078464,0.282850224534964
"1x47",0.271336973006364,0.223821959316125,0.410692349429557
"1x48",0.290195238980609,0.450017791531885,0.156181392526325
"1x49",0.509373202219802,0.042323769650874,0.317731346483824
"2x0",0.844991551213984,0.000542804532636816,0.0552125185185549
"2x1",0.876867275972568,0.000379963172845773,0.0683648974612913
"2x2",0.879790295067657,0.0463067822283518,0.000379963172826814
"2x3",0.814884658158449,0.000379963172845771,0.000379963172864341
"2x4",0.823622642723225,0.075296193019988,0.000542804532652295
"2x5",0.714889122080079,0.030013892975804,0.123756168495291
"2x6",0.481165701873148,0.0119027928336851,0.411898772531337
"2x7",0.78331125970624,0.000379963172864332,0.000379963172808214
"2x8",0.900182581686054,0.000265974220992041,0.000265974220999624
"2x9",0.880429640872083,0.000379963172845772,0.000379963172772772
"2x10",0.914598570817561,0.00026597422099204,0.000265974221005043
"2x11",0.897436338972172,0.000379963172845771,0.000379963172772769
"2x12",0.868824500519433,0.000379963172864336,0.000379963172647047
"2x13",0.173765350972421,0.00054280453263003,0.718830321608945
"2x14",0.883297382807211,0.000379963172845772,0.000379963172875409
"2x15",0.861150151714076,0.000379963172845775,0.000379963172875387
"2x16",0.774270235647763,0.000542804532636814,0.212218372217006
"2x17",0.832975631920218,0.0150583966285461,0.0553508681137055
"2x18",0.762172105584031,0.000542804532636819,0.203797405874144
"2x19",0.550609157743117,0.246631289821263,0.103540202026438
"2x20",0.761190096898652,0.000542804532636814,0.116622959703113
"2x21",0.557170485054901,0.117560244468002,0.165082129169255
"2x22",0.662096130594024,0.150233314367919,0.109853650135536
"2x23",0.693181199182106,0.00441685790748565,0.239403606471562
"2x24",0.746436336162336,0.0176339546986679,0.173015405970421
"2x25",0.538927592700299,0.104417327386138,0.212288801632407
"2x26",0.609169579223221,0.100022376619345,0.201099936425218
"2x27",0.539605666558915,0.0508976345395738,0.310677623435743
"2x28",0.251040863430227,0.0988474313133747,0.529404759558881
"2x29",0.568207043534635,0.152314178038288,0.194737247710303
"2x30",0.369225726457751,0.31302909715683,0.22323688177747
"2x31",0.375094785091731,0.0985375407862023,0.466167941680553
"2x32",0.294531322734155,0.360060250948455,0.30275027217313
"2x33",0.284299666941332,0.151023474927928,0.344376273130383
"2x34",0.473665481308662,0.129989755262097,0.271313962340575
"2x35",0.710018036586456,0.0332384274571605,0.23065025827771
"2x36",0.282233014564593,0.0651718215606892,0.54038261767098
"2x37",0.315786232267181,0.33466550742826,0.199655940034982
"2x38",0.303849353542246,0.139696431424699,0.473754942996411
"2x39",0.237695877712714,0.357211136129892,0.352942946490581
"2x40",0.304002768059368,0.127477244619246,0.481969575075967
"2x41",0.205816346634744,0.438648445176637,0.286699845641297
"2x42",0.38005662441368,0.22464226079604,0.327721925140381
"2x43",0.174837141431542,0.158938158011601,0.621658170616795
"2x44",0.0919678622506462,0.491222641211517,0.316251722757644
"2x45",0.272023209714756,0.308593176224604,0.326529296582435
"2x46",0.250623676406386,0.112555831192552,0.547384515820891
"2x47",0.199988314291568,0.126854382904978,0.620370230724891
"2x48",0.19888941516733,0.292652820627287,0.346161524856907
"2x49",0.188620716138341,0.361658007055423,0.351844528999592
"3x0",0.900179459485423,0.0100825046828138,0.0468764714944179
"3x1",0.910838873097296,0.0582312608373383,0.000379963172856611
"3x2",0.834041699256867,0.00468629911680418,0.00037996317264711
"3x3",0.820921642370728,0.0588839931386566,0.000542804532663349
"3x4",0.844700599884776,0.000379963172845787,0.000379963172864304
"3x5",0.890326853277002,0.000379963172845773,0.000379963172875395
"3x6",0.937780822292013,0.000265974220992037,0.000265974221005043
"3x7",0.852150318151347,0.000379963172845771,0.00037996317287539
"3x8",0.524994396053499,0.000775435046716687,0.45032745888752
"3x9",0.835416025980111,0.0261946615079444,0.000542804532951387
"3x10",0.890860859744406,0.000379963172845773,0.000379963172727779
"3x11",0.815882320777529,0.00037996317284577,0.000379963172864328
"3x12",0.915342901014624,0.000379963172845771,0.0268662497184945
"3x13",0.875557040177854,0.000379963172845772,0.000379963172808182
"3x14",0.606827056682048,0.000775435046614353,0.268333565784404
