"","Cancer","Ductal","Macrophages","Mast","mDCs","Monocytes","pDCs","T"
"0x0",0.70219707391715,0.0793253774351838,0.0241043024635243,6.98182327163784e-05,0.122313445124756,6.9818233000651e-05,6.98182330104108e-05,6.98182330104104e-05
"0x1",0.616885570284855,0.0394022665100363,0.211475181820803,0.000997208504158224,0.0830630920861629,0.000142486189818325,0.000142486189817165,0.000142486189817164
"0x2",0.761015460624876,0.0814842581748967,9.97403328720142e-05,9.97403309894836e-05,0.079187974656655,0.00231455624321446,9.9740332872015e-05,9.97403328720148e-05
"0x3",0.665771023379689,0.00188180876853884,0.187167373785311,9.97403397613003e-05,0.0939935602415995,9.97403328720148e-05,9.97403328720149e-05,9.97403328720112e-05
"0x4",0.803338985818613,0.000104986969869946,0.0696548050156365,9.97403353590593e-05,0.00318097415837357,0.0514626566780671,9.97403328720146e-05,9.9740332872015e-05
"0x5",0.82170271064542,0.0791573561089703,0.0664437632665801,6.9818234363492e-05,6.98182330104106e-05,6.98182330104103e-05,6.98182330104105e-05,0.000454010639026113
"0x6",0.765515981568924,0.102069170312837,9.97403328720152e-05,0.085948383856577,9.9740332854882e-05,9.97403328722096e-05,9.97403328720151e-05,9.97403328720154e-05
"0x7",0.789706575129585,0.0772038784050488,0.0525434428443876,9.97403356468652e-05,0.0235883162183815,9.97403328720146e-05,0.0113871040118761,9.97403328720152e-05
"0x8",0.979603920874155,8.05714332805517e-05,6.98182330702964e-05,6.9818230915062e-05,6.9818231686208e-05,6.98182330139133e-05,6.98182330104105e-05,6.98182306499077e-05
"0x9",0.929670350150356,0.0371278446378015,6.98182330104097e-05,6.98182330210846e-05,0.00153483646287882,6.98182330139194e-05,6.9818233010403e-05,0.000446441569377615
"0x10",0.865747974072976,0.00356267713141142,0.0466881771743377,9.9740335084623e-05,0.0485024554949592,9.97403328720139e-05,0.00399058802659392,9.97403328720142e-05
"0x11",0.808170473424969,0.139235814719489,6.98182330104111e-05,6.98182341922001e-05,6.98182330044694e-05,6.98182330045585e-05,6.98182330104086e-05,6.98182330104103e-05
"0x12",0.898516038315914,0.0450474159620858,0.0465819405932733,6.98182336300776e-05,6.98182330173763e-05,0.000210469467207435,6.98182330104105e-05,6.98182330104059e-05
"0x13",0.779809408560908,0.163626759559616,6.98182330104056e-05,6.98182338033695e-05,6.98182330074172e-05,6.98182330109737e-05,6.98182330104104e-05,6.98182330104124e-05
"0x14",0.886584939897203,0.0501788072978803,6.98182330104106e-05,6.98182330345056e-05,6.98182330098953e-05,0.00114977046076445,6.9818233010955e-05,6.98182330104111e-05
"0x15",0.868379292796322,6.98182330104104e-05,6.98182330104103e-05,6.98182332373831e-05,0.0670787442238312,6.98182330104093e-05,0.00535466095195712,0.00414103898144198
"0x16",0.760384206230002,0.125078969246772,9.97403328720142e-05,0.0565903227991509,9.97403328871333e-05,9.97403328720113e-05,9.97403328720151e-05,9.97403328720155e-05
"0x17",0.692417440316316,0.127854495010743,0.00410690295349342,0.0980947684333259,9.97403328654059e-05,0.00623629095981573,9.97403328720149e-05,9.9740332872015e-05
