"","Cancer","Ductal","Macrophages","Mast","mDCs","Monocytes"
"0x0",0.766547993971168,0.0796361663740318,9.30909773472154e-05,9.30909738347357e-05,0.0823184378543367,9.30909773498674e-05
"0x1",0.7028228149851,0.0352793730411308,0.00013298711049602,0.000132987110975518,0.18523841731369,0.00709460763828909
"0x2",0.818148810879825,0.072997882212612,9.30909773472141e-05,9.30909788090837e-05,0.0418137555722227,9.3090977356503e-05
"0x3",0.737393781755186,0.000132987110496021,0.00013298711049602,0.000132987108904264,0.173203393471137,0.00777794143032392
"0x4",0.872676275960832,0.000132987110496019,0.0145988425710444,0.000132987109131234,0.0122760617874186,0.0330631280950778
"0x5",0.883938886160456,0.0587139739280928,9.30909773472142e-05,9.30909791601422e-05,0.00789191899032118,9.30909773498679e-05
"0x6",0.799556116587346,0.0972080785040855,0.000132987110496019,0.0323755629801708,0.000132987110499338,0.000132987110499813
"0x7",0.822759601330138,0.0682104239959976,9.30909773472142e-05,9.30909748758563e-05,0.0403817678002025,9.30909773565034e-05
"0x8",0.944003710993914,9.3090977347212e-05,9.30909773472132e-05,9.3090979108714e-05,9.30909773402856e-05,9.30909773472143e-05
"0x9",0.936932108109398,0.0129908027607113,9.30909773472086e-05,9.30909837730469e-05,9.30909773472133e-05,9.30909773565053e-05
"0x10",0.909046623474901,9.30909773472144e-05,9.30909773472141e-05,9.30909744124066e-05,0.0431957874948363,9.3090977356503e-05
"0x11",0.811211981199109,0.105381118656473,9.30909773472139e-05,9.30909757423192e-05,9.30909772369128e-05,9.30909773737697e-05
"0x12",0.971758861483396,0.0162249449634766,0.00634618750762673,9.30909744046963e-05,9.30909773460534e-05,9.30909773472162e-05
"0x13",0.796439847079974,0.125366508735306,9.30909773472146e-05,9.30909915388488e-05,9.30909773498759e-05,9.30909773737479e-05
"0x14",0.922822623251224,0.0225705220846408,6.51636841430443e-05,6.51636824222453e-05,6.51636841458856e-05,6.51636841495528e-05
"0x15",0.892889073991976,0.000132987110496017,0.000132987110496021,0.000132987110250524,0.0285662719426569,0.00013298711046948
"0x16",0.798002979905849,0.103091164355724,0.000132987110496022,0.0192484392024845,0.000132987110552083,0.000132987110509291
"0x17",0.752349661256895,0.129760504174273,0.000189981586422886,0.0437681647415172,0.000189981586432171,0.0032226812477314
"0x18",0.609210017907174,0.30293015269774,0.0354777026766132,0.00013298710454256,0.0149749392624841,0.00117075970826925
"0x19",0.914817493128401,0.0141248011003228,0.0194478823598331,0.000132987113810275,0.0233508631097626,0.000682417218616272
"0x20",0.849572762949381,0.00454710092071881,9.30909773472136e-05,9.30909788006748e-05,0.029875694199603,0.0448611516303475
"0x21",0.742386181997303,0.000132987110496022,0.000132987110496018,0.000132987104804496,0.166629298289767,0.000132987110489385
"0x22",0.617948973602111,0.139297701105286,0.0286433405169424,0.000132987109133193,0.0367733544282524,0.0388907254816239
"0x23",0.496059750698165,0.246527031863556,0.0425087688361287,0.000189981593210559,0.138312583042725,0.00522936650556382
"0x24",0.743798701086967,0.0944824942276722,0.0294257753480292,0.0582979135569755,0.000132987110499338,0.00458429500462271
"0x25",0.422482132731326,0.316841061486187,0.00186988596350854,0.000189981584147297,0.188063458637358,0.000189981586422886
"0x26",0.648563251435782,0.167714142561502,0.000189981586422886,0.0338130602716773,0.0932751234318978,0.000189981586422886
"0x27",0.567162129220679,0.150663586827771,0.0288960749671378,0.0316027022491615,0.124806578963354,0.00986905224503663
"0x28",0.447869293686999,0.120258979525262,0.0189714818476442,0.0640010041498791,0.191200449215761,0.0374886255627169
"0x29",0.455629501404904,0.143771933187972,0.0119700862569352,0.000189981584144509,0.31663084558201,0.00112342995143189
"0x30",0.454326772903718,0.297648352339113,0.0617645661307971,0.00018998158392183,0.0716044855396677,0.0146167122619869
"0x31",0.697247728453729,0.0739239197178808,0.00013298711049602,0.00013298711039856,0.167738345645839,0.00013298711049602
"0x32",0.526154125906863,0.0461971749345408,0.0499259935655621,0.000189981592900033,0.268063682429343,0.000189981586422886
"0x33",0.769998783265751,0.0739974735573312,9.30909773472149e-05,9.30909744410494e-05,0.11790540050614,9.30909773425696e-05
"0x34",0.515183605579555,0.0847088976713456,0.0603500693141779,0.164752191325244,0.0213080460060146,0.0131305333807742
"0x35",0.474514907187587,0.0564686906904531,0.000271402266318409,0.0636830034201662,0.298673406575865,0.000271402266318408
"0x36",0.515323907309574,0.0992048527382914,0.0262969582601639,0.109372968329778,0.0944394402680694,0.0113432759806495
"0x37",0.447974464029571,0.221175032121699,0.0411657730735805,0.000189981593211957,0.255525898472981,0.00895745456162821
"0x38",0.442127704269292,0.32099149183002,0.0453209286912511,0.000189981592881236,0.0836043591521714,0.0562853473541011
"0x39",0.313496304438105,0.296934534803772,0.00223691085915208,0.000189981579782038,0.293417618294241,0.000189981586422886
"0x40",0.496458435874545,0.215902187496789,0.029837590311426,0.040340238399194,0.11756012905772,0.000387717523312012
"0x41",0.166775583256539,0.310530512733651,0.00345930307442611,0.000387717524050734,0.308737321307339,0.0805393648088698
"0x42",0.282886376143288,0.178204586309199,0.0478909038812096,0.103080233614246,0.244160353443766,0.0224573855554237
"0x43",0.371953796087387,0.292696026734758,0.014591301949655,0.000189981584150043,0.194225049259999,0.0176928254954294
"0x44",0.0929820810329762,0.588257491627625,0.00013298711049602,0.0581187086915901,0.152325402216976,0.00013298711049602
"0x45",0.50989993960595,0.152121656949087,0.0744893052696908,0.00018998158415007,0.13294988120999,0.0312698859563756
"0x46",0.406297036690012,0.28273736281741,0.00185527800284646,0.0651154228106756,0.180706327003715,0.000431578536718433
"0x47",0.218229800532593,0.472491937673391,0.0155443744299064,0.000189981579784478,0.201622347335628,0.0234129138129322
"0x48",0.293496697696616,0.241236771559727,0.0218272634456792,0.0003877175251874,0.278492099523787,0.0600605382829586
"0x49",0.397280591158193,0.395820190407907,0.048391350831958,0.000189981583921599,0.0965418245232468,0.00714472381966496
"1x0",0.865425236823834,0.0934303559378145,0.000465026529290508,9.3090979026487e-05,9.30909773495363e-05,9.3090977356503e-05
"1x1",0.813568594189983,0.166169955160083,0.0040189195401125,9.30909788251429e-05,9.3090977347214e-05,9.30909773561642e-05
"1x2",0.779323320256862,0.0560000136605333,0.0160330710742006,0.000132987104785478,0.085369654619564,0.000132987110499812
"1x3",0.729609741835647,0.120515866422814,9.30909773472139e-05,9.30909742097319e-05,0.121434434525457,9.30909773472142e-05
"1x4",0.968090781938931,0.0344784561612184,6.51636841430486e-05,6.51636784512703e-05,6.51636841430496e-05,6.51636841495525e-05
"1x5",0.90918247054259,0.00013298711049602,0.000132987110496021,0.020367965807479,0.000132987110425494,0.00439712890661003
"1x6",0.956200859873993,0.000100385150864404,9.30909773472139e-05,9.30909788040446e-05,9.30909773565056e-05,9.30909773565049e-05
"1x7",0.927804264152512,9.30909773472167e-05,9.3090977347213e-05,9.30909707644721e-05,9.30909773517452e-05,9.30909863340286e-05
"1x8",0.786408050780146,0.115356466814261,9.30909773472139e-05,9.30909741556503e-05,9.30909773517839e-05,9.309097754104e-05
"1x9",0.970294852470263,7.19922602103881e-05,6.51636841430501e-05,6.5163682518402e-05,6.51636841446741e-05,6.51636841449076e-05
"1x10",0.400377424718649,0.000189981586422886,0.0406759511784208,0.000189981586432536,0.408498205627872,0.0355548350057785
"1x11",0.930773187508867,9.3090977347221e-05,9.30909773472141e-05,9.30909830959418e-05,0.0156102001542295,9.30909773498671e-05
"1x12",0.738434564113475,0.167156145314136,9.30909773472147e-05,9.30909746983727e-05,0.00949641490427665,9.30909773425694e-05
"1x13",0.92585632524179,9.30909773472126e-05,9.30909773472143e-05,9.30909787959624e-05,0.0478000760575136,9.30909773565028e-05
"1x14",0.916886855725262,9.30909773472141e-05,9.30909773472151e-05,9.30909747152452e-05,9.30909773446549e-05,0.0255018317906014
"1x15",0.86250708904173,0.102616754401672,9.30909773472153e-05,9.3090974847616e-05,9.30909773472167e-05,9.30909773495383e-05
"1x16",0.684402866458544,0.072043575389611,0.000189981586422886,0.0862534665720128,0.0481175200721509,0.000189981586422887
"1x17",0.85678896037953,0.0532715829350743,9.30909773472134e-05,9.30909771482411e-05,0.027295535537812,9.30909773517634e-05
"1x18",0.883712091524246,9.30909773472133e-05,0.000460865006047672,9.30909791214602e-05,0.0403360189280121,0.000755018302805943
"1x19",0.89164950965712,0.000128043070024898,9.30909773472142e-05,9.30909788096722e-05,0.0671613042957093,9.30909773565029e-05
"1x20",0.738505951280356,0.0672507496991275,0.00831342371013944,0.000132987110687377,0.151582291966453,0.00148363601623235
"1x21",0.594439647886948,0.275163388616198,0.01799876768401,0.0252221975846899,0.000189981586422886,0.027681176116108
"1x22",0.525952091375568,0.170638192925942,0.000271402266318408,0.068622629030073,0.0983302276049294,0.000271402266345489
"1x23",0.745751849515758,0.0285768235402955,0.00013298711049602,0.000132987104768099,0.173426698984975,0.00417518029512415
"1x24",0.777064719815618,0.000132987110496018,0.0187047994897463,0.000132987104754085,0.12768167058881,0.00013298711049602
"1x25",0.639067299218533,0.00013298711049602,0.0158586232161203,0.000132987105107777,0.233114081611508,0.00879798678188371
"1x26",0.724491634033259,0.0862749214301077,0.00894282678367406,0.000132987104767745,0.0154392810664251,0.124604669783964
"1x27",0.495829204306148,0.232344295351274,0.00013298711049602,0.000132987104758305,0.205055364046246,0.00013298711049602
"1x28",0.54616695413532,0.244719256334675,0.0331548226447482,0.000189981592881234,0.0890606382961064,0.0244920909703399
"1x29",0.110855144986578,0.591857937583756,0.0480106351538172,0.000189981586564249,0.10517835396136,0.0712833031672823
"1x30",0.507071313982443,0.0957590872099934,0.000271402266318408,0.0479352420714145,0.260228263641758,0.000271402266318408
"1x31",0.678687025676795,0.0229158057855567,0.000132987110496021,0.00013298711351088,0.177165979791337,0.0774702228466264
"1x32",0.416149263995034,0.317095091171041,0.000189981586422886,0.000189981584155415,0.221787464529034,0.00601356923506793
"1x33",0.515329536707333,0.102807644640844,0.00198361390333003,0.000189981586326889,0.27126655197109,0.000189981586422885
"1x34",0.359669494737897,0.277181311473158,0.00927894381615931,0.0956600129907047,0.133924326072494,0.00486611229915138
"1x35",0.338954877329169,0.293300753089747,0.0347242967888096,0.00027140226635101,0.257190189729623,0.011101913466051
"1x36",0.512927284212084,0.191249040952336,0.0554107905355923,0.0568490331728771,0.0868174653283816,0.00477477728431298
"1x37",0.292306670898272,0.354803507758527,0.0233405425461872,0.054261224920522,0.106778976561425,0.0591073089733907
"1x38",0.45709262568085,0.202844002935419,0.000189981586422886,0.000189981584147531,0.251514132890701,0.0174701577249512
"1x39",0.728205903976756,0.0600359346938454,0.0273048583833373,0.0578650490431979,0.0273271613054456,0.0488413595734847
"1x40",0.408933833956706,0.0647390596700013,0.023354237069988,0.0815498079105081,0.27840456837287,0.000387717523312011
"1x41",0.379395098166607,0.13905706825276,0.0716787530426781,0.000189981584149218,0.25679029588327,0.0100423581719819
"1x42",0.364259913196408,0.263303043832135,0.000189981586422886,0.000189981584112295,0.282539922914647,0.000189981586422886
"1x43",0.358836622837572,0.121229709052333,0.00818339130895426,0.000189981584476145,0.355478607343134,0.0508643650597085
"1x44",0.0921971164272156,0.372431243250481,0.00781676968014463,0.000189981584159514,0.401315136109135,0.000189981586422885
"1x45",0.39729543446372,0.175244171880251,0.000271402266318408,0.0226568304172621,0.299643738890248,0.000271402266318408
"1x46",0.501665190142752,0.254810403524468,0.0646159049970292,0.0612521469028722,0.00253280597782899,0.0584223680676501
"1x47",0.311610315589624,0.285373657888931,0.0648864506358841,0.000654152523613278,0.228237372045108,0.0120388553995269
"1x48",0.303788827966281,0.500962180716985,0.00655602753046197,0.00018998158414844,0.12100487337235,0.000189981586422884
"1x49",0.589749290894665,0.0825102141392773,0.000189981586422885,0.0530283001479341,0.181114782626437,0.000189981586422886
"2x0",0.922826569225535,9.30909773472127e-05,0.00124647517245861,9.30909791124935e-05,0.0177843594619589,9.30909773498682e-05
"2x1",0.915438260211967,0.000132987110496018,0.000881107458099451,0.000132987110168931,0.0482863500492464,0.000132987110509364
"2x2",0.870903512515105,0.0473591123175267,0.0123880295331017,9.30909787932799e-05,9.30909773458787e-05,0.0039470545832107
"2x3",0.919508012520017,9.30909773472126e-05,9.30909773472146e-05,9.30909572665629e-05,9.30909773495392e-05,9.30909773374741e-05
