"","Cancer","Ductal","Macrophages","Mast","mDCs","Monocytes"
"0x0",0.709392032971187,0.052950971184708,0.000132987110496019,0.000132987111080568,0.119183977576617,0.0001329871105491
"0x1",0.653574396385815,0.0131868956253552,0.000271402266318409,0.000271402266318414,0.243548876734743,0.0175965854846241
"0x2",0.81826789180835,0.0398729502590907,0.000132987110496021,0.000132987110590413,0.0591603439997678,0.00013298711049602
"0x3",0.67207084177433,0.000189981586422885,0.000189981586422886,0.000189981585654637,0.217575437166376,0.018384746890763
"0x4",0.82129667922161,0.000189981586422886,0.018648448804342,0.0001899815865578,0.0190999064485576,0.0410478730819592
"0x5",0.874099889560795,0.0184955488591161,0.000132987110496021,0.000132987110509485,0.0283007869700006,0.000132987110509291
"0x6",0.808324713459947,0.0662065915156431,0.00013298711049602,0.0519858811395896,0.00013298711049602,0.000132987110499811
"0x7",0.803624302440517,0.0502661108931004,0.00013298711049602,0.000132987110452368,0.0636866205706486,0.000132987110496021
"0x8",0.92962756718194,9.30909773471783e-05,9.30909773472239e-05,9.30909791623122e-05,9.30909773472136e-05,9.30909773472141e-05
"0x9",0.913617218361091,9.96104415826487e-05,9.30909773472146e-05,9.30909773608897e-05,9.30909773472149e-05,9.3090977347213e-05
"0x10",0.859860318049809,0.000132987110496019,0.00013298711049602,0.000132987113260819,0.0719466246129657,0.000132987110509291
"0x11",0.824245986313138,0.0942186822700445,6.51636841430491e-05,6.51636779746352e-05,6.51636841514414e-05,6.51636842820103e-05
"0x12",0.984094004972404,9.30909773472145e-05,0.00876774739068386,9.30909773532999e-05,9.3090977347214e-05,9.3090977347214e-05
"0x13",0.76612193697613,0.120983485105348,9.30909773472254e-05,9.30909658220909e-05,9.3090977347213e-05,9.30909773564872e-05
"0x14",0.942975602557963,0.000979082249295728,6.51636841430535e-05,6.51636821701139e-05,6.51636841430499e-05,6.5163684139798e-05
"0x15",0.838137248356073,0.000132987110496019,0.00013298711049602,0.00102368138567895,0.0456940233502788,0.00013298711049602
"0x16",0.835291069039527,0.0562598887476003,0.000132987110496019,0.031156685229024,0.000132987110500285,0.000132987110496021
"0x17",0.738730478541564,0.101849385945084,0.000189981586422887,0.0604067633330282,0.000189981586422889,0.0057953173105641
"0x18",0.558366011053186,0.311857841542183,0.0413832213898007,0.000271402266316073,0.0165481974399788,0.00429280546888835
"0x19",0.855176006706599,0.00013298711049602,0.0205693663103129,0.000132987111325011,0.0401722884571319,0.00509128913689654
"0x20",0.79437942051017,0.0112840737180218,0.000189981586422882,0.000189981586422886,0.0385256855870607,0.056798362777141
"0x21",0.667515222674925,0.000189981586422887,0.000189981586422883,0.000189981586422886,0.222473267833446,0.000189981586422886
"0x22",0.61333273529955,0.0999491921826667,0.0313516528308455,0.000271402266311697,0.0459536811552009,0.0509702741981563
"0x23",0.467445261541881,0.206126594370265,0.0520041480798535,0.000271402269377551,0.161182681224702,0.0195469493283486
