"","Cancer","Ductal","Macrophages","Mast","mDCs","Monocytes"
"0x0",0.712956259818867,0.0531760769844509,0.000132987110496022,0.000132987110207815,0.121845842927612,0.00013298711050929
"0x1",0.659683693241244,0.014024446996534,0.000271402266318409,0.000271402266318405,0.243650990998991,0.0201566429322686
"0x2",0.81781566452991,0.049362518369975,0.000132987110496021,0.000132987110496064,0.0551300651603976,0.00013298711049602
"0x3",0.684794155727005,0.000189981586422884,0.000189981586422886,0.000189981586422903,0.208173939751527,0.0198851366504656
"0x4",0.830634006999959,0.000189981586422884,0.0172432124730616,0.000189981586311162,0.0174840917850028,0.0414987643428963
"0x5",0.887402442944201,0.0214107885037069,0.00013298711049602,0.00013298711044347,0.0235797699371758,0.00013298711050929
"0x6",0.812916936362849,0.0669559817114972,0.00013298711049602,0.0486396423701716,0.00013298711049602,0.000132987110499812
"0x7",0.80255264640593,0.0564480672322337,0.00013298711049602,0.000132987110452942,0.0595734192688278,0.00013298711049602
"0x8",0.924281093820835,9.30909773471668e-05,9.30909773472077e-05,9.3090979106548e-05,9.30909773471909e-05,9.30909773472142e-05
"0x9",0.913494007513003,9.73168510978787e-05,9.30909773472063e-05,9.30909772690011e-05,9.30909773472146e-05,9.30909773472217e-05
"0x10",0.858362102498448,9.30909773472134e-05,9.30909773472147e-05,9.30909785664176e-05,0.0706992961683101,9.30909773471969e-05
"0x11",0.821399331356282,0.0961963539719899,6.51636841430486e-05,6.51636878581408e-05,6.51636841520479e-05,6.51636842820589e-05
"0x12",0.985770336550428,9.30909773472139e-05,0.00848288346750865,9.30909773527827e-05,9.30909773472144e-05,9.30909773472141e-05
"0x13",0.780003758233965,0.123911158050551,9.30909773472181e-05,9.30909832094347e-05,9.30909773472083e-05,9.30909773565042e-05
"0x14",0.936003995393745,0.00372910370995082,6.51636841430473e-05,6.51636867995995e-05,6.51636841430491e-05,6.51636841397981e-05
"0x15",0.843485880684863,0.000132987110496017,0.000132987110496021,0.000697620629386068,0.0453070832254183,0.00013298711049602
"0x16",0.836779053251143,0.0573000023751517,0.000132987110496023,0.0305379054790105,0.000132987110485705,0.00013298711049602
