"","Cancer","Ductal","Macrophages","Mast","mDCs","Monocytes"
"0x0",0.365460535387521,0.348077644455364,0.000132987110496019,0.000132987104846308,0.154054629320517,0.000132987110499812
"0x1",0.43593111720107,0.134052369129864,0.000271402266318408,0.000639381194586963,0.281098888621527,0.0110363520126517
"0x2",0.454609762529339,0.381145983172769,0.00013298711049602,0.000132987113498277,0.0751708588156522,0.00307076035342491
"0x3",0.437449259499234,0.12665449257443,0.000189981586422886,0.000189981579554187,0.273209580426917,0.0139190213369171
"0x4",0.498555439320308,0.222067531160029,0.0328818582561048,0.000189981588515606,0.0577440483167618,0.0386310437540779
"0x5",0.565606236400765,0.251184317649943,0.00153784208026283,9.30909788163751e-05,0.0630882086175315,9.30909773565034e-05
"0x6",0.491855012250258,0.311206554020462,0.0102328458176334,0.0637260108489493,0.000189981586422885,0.000189981586428302
"0x7",0.438232462952588,0.308680750268704,0.010732737375835,0.000189981584127259,0.0925637454227826,0.000189981586441843
"0x8",0.576161174309198,0.283359942815147,0.00371564199543733,0.000132987113821415,0.00013298711049602,0.00427862075733862
"0x9",0.545794447820289,0.315232508516429,9.30909773472139e-05,9.30909773521542e-05,0.0083942236205298,9.30909773565031e-05
"0x10",0.628105014936082,0.106320908568796,0.00406516149788994,9.30909787918584e-05,0.110157865506614,9.30909773565031e-05
"0x11",0.539448348786231,0.355585740041717,0.00278944351268627,0.000132987111357802,0.000132987110499233,0.000132987110499811
"0x12",0.668219387018193,0.209287145017011,0.0166055606775483,0.000132987110977002,0.0222972110940832,0.00808364252165352
"0x13",0.514569358816318,0.373887023715939,9.30909773472138e-05,9.30909788235102e-05,9.30909773472141e-05,9.30909773498602e-05
"0x14",0.580419886903745,0.299662588258511,0.00506210889768889,0.000132987110609363,0.0032640824949041,0.000692573962095405
"0x15",0.538322432754771,0.21210178969964,0.00013298711049602,0.000154882949001257,0.0870114277944232,0.00013298711050929
"0x16",0.518530246067361,0.3248873475639,0.000189981586422886,0.0365482084111505,0.000189981586427628,0.000888310487644803
"0x17",0.454066249356481,0.334018747096054,0.0143207437893173,0.0644864736824029,0.000271402266304867,0.00755527296219444
"0x18",0.308193115851696,0.489300243091697,0.0468670019579362,0.00018998158415005,0.0536816755776612,0.0151695453779988
"0x19",0.539010466464799,0.23374227518124,0.0205604201566065,0.000132987113496777,0.0746350154287834,0.0062123238793581
"0x20",0.379025113390357,0.385511781061618,0.000189981586422887,0.000189981580110817,0.0592731693026411,0.0576842362707001
"0x21",0.520997514558755,0.0311805133438802,0.00013298711049602,0.000132987109157827,0.269142503345346,0.000132987110496021
"0x22",0.36470922020471,0.307184873882282,0.0336913054426309,0.000271402261200541,0.070783757299077,0.0459767257785623
"0x23",0.257903437756488,0.40672535375047,0.0498126755948614,0.000189981584476691,0.190796613463614,0.016818742211068
"0x24",0.373833699605878,0.347887829801583,0.0458800818707906,0.0777050050294996,0.00374801558575063,0.00926286672214566
"0x25",0.318469815889972,0.330690591785767,0.0128945924564817,0.000189981584476008,0.246698062273705,0.00360010242416942
"0x26",0.37767481428664,0.302306656660631,0.000387717523312012,0.0432165027122528,0.151463510097381,0.0063015913438074
"0x27",0.361574219234268,0.222512203876154,0.0337125215526869,0.0421445834509723,0.180026411228334,0.0169367592579843
"0x28",0.220469613910157,0.249412971428298,0.0202516781973902,0.0733989964578994,0.236083857852908,0.045558380627978
"0x29",0.319795441068488,0.155560478220552,0.0135403374337069,0.000271402265240186,0.386614444934545,0.0108888969951162
"0x30",0.2647625384554,0.375133802496465,0.068902231221545,0.000387717523097175,0.128111163151796,0.0206597106431409
"0x31",0.37852939700584,0.288923888049728,0.000189981586422886,0.000189981587056793,0.236575764356399,0.00147436199474034
"0x32",0.310572893506314,0.129469721487751,0.0574743774415944,0.000271402265237288,0.341702706352742,0.000271402266318408
"0x33",0.360912370921043,0.355568711548268,0.000189981586422886,0.000189981584134967,0.183098066526304,0.00174140903311709
"0x34",0.306146321517032,0.179195076354731,0.0726947542100306,0.180732188054548,0.049263339460586,0.0240430534168377
"0x35",0.313778833937491,0.101848482455337,0.000271402266318408,0.0731803482734696,0.367693979942267,0.000271402266318408
"0x36",0.299978721795898,0.211685090580235,0.0319858254003606,0.121384602777316,0.139921161687386,0.0156353212053946
"0x37",0.244765099933951,0.28307886920078,0.0477091263377423,0.000189981584474061,0.326840468127306,0.0174330510808761
"0x38",0.320368201631439,0.340248762297011,0.0633790223063836,0.0002714022655661,0.121280540296089,0.0630001719398966
"0x39",0.125561192145345,0.411440381942083,0.00784085817284504,0.000189981579786267,0.351215500787407,0.0042093400907026
