"","Cancer","Ductal","Stroma"
"0x0",0.705674411140602,0.0629692708546601,0.133386353974928
"0x1",0.640292857829859,0.0187581717958278,0.309740597091828
"0x2",0.748104124036945,0.0622891694493157,0.0622247100207318
"0x3",0.670375667565629,0.00077543504664613,0.283016677584315
"0x4",0.823723343857531,0.000542804532636814,0.0947264445325483
"0x5",0.868345595466305,0.054183252547916,0.0281781014408782
"0x6",0.843529344800541,0.076790182134318,0.026148181753507
"0x7",0.797397518811407,0.064302304326854,0.0487791122989499
"0x8",0.919664867304328,0.00037996317284577,0.000379963172856602
"0x9",0.915280720522842,0.0100380313319108,0.000379963172856606
"0x10",0.876903140709232,0.000542804532636817,0.0662634545047044
"0x11",0.798166462537089,0.104678413636827,0.000542804532468049
"0x12",1.05343621943028,0.000351215381898988,0.00718834131265581
"0x13",0.759096970493,0.125389460934403,0.00054280453266334
"0x14",0.874582924483204,0.0197723450371041,0.000379963172856607
"0x15",0.845342487024801,0.000542804532636814,0.0433644679796746
"0x16",0.787794847118748,0.0821969200738794,0.0106417965034857
"0x17",0.724325699241657,0.116961302992417,0.0520316243917168
"0x18",0.556116299687257,0.28330121821716,0.0511447334788153
"0x19",0.872108332058807,0.00556078360127314,0.0676441421144796
"0x20",0.766994088876186,0.00597478565359738,0.0958473327120523
"0x21",0.639909510175833,0.00077543504660468,0.235848654250568
"0x22",0.513946761995919,0.126601762802106,0.145163700241399
"0x23",0.439015783976169,0.200844369410753,0.289249448617666
"0x24",0.717870285561204,0.085667910032381,0.121908109065924
"0x25",0.459390815186783,0.279190297546299,0.255240389682485
"0x26",0.620760799096615,0.11665714977017,0.223332274723915
"0x27",0.467419614742849,0.116548185774609,0.289658183266424
"0x28",0.354059128162869,0.0856464430494054,0.423236608440676
"0x29",0.372224320657145,0.109860127675682,0.455746804391283
"0x30",0.391844290090438,0.269560103742752,0.196051564747407
"0x31",0.606863867615899,0.0541190400657544,0.232670675179344
"0x32",0.505455823275534,0.00687815599509386,0.416624880239173
"0x33",0.774324171550417,0.0577359389687941,0.167919829843813
"0x34",0.466075094725577,0.0610341175647283,0.29056766787937
"0x35",0.433346641221746,0.0223027461030068,0.519273401984653
"0x36",0.431267939439456,0.0646834164185902,0.325546887415223
"0x37",0.376708968498565,0.183010749470678,0.385239598760646
"0x38",0.441767008975366,0.258287561111069,0.263303451734035
"0x39",0.236277376455362,0.245157719873471,0.408019312041281
"0x40",0.496304761773369,0.150207115715554,0.285985618629218
"0x41",0.131449955060216,0.224137629236029,0.616909520850848
"0x42",0.242161889151192,0.139022036751521,0.51522598108728
"0x43",0.338988502745444,0.218668263034369,0.30651433364705
"0x44",0.0752149714656724,0.474693512174912,0.298040644049379
"0x45",0.417132325780775,0.132487038195454,0.357318779048362
"0x46",0.388668397483347,0.229997967535116,0.344477055742064
"0x47",0.197113163843242,0.407823708894606,0.35429214791919
"0x48",0.262073421239845,0.194543099067417,0.452271178133485
"0x49",0.394273401234622,0.356210298249696,0.213093350768908
"1x0",0.860238081110397,0.0807246079509326,0.00227810410684354
"1x1",0.825779004042846,0.147490428644415,0.0108067208449625
"1x2",0.764690544065066,0.0524534892232077,0.125441851404243
"1x3",0.721171208477173,0.0941036910240381,0.169905399586823
"1x4",0.936018265236677,0.031436857793958,0.000379963172856601
"1x5",0.883551563780906,0.000379963172883685,0.014516786607005
"1x6",0.92415540985185,0.000379963172845771,0.000379963172864345
"1x7",0.856343096382436,0.000379963172843051,0.000379963172864338
"1x8",0.735892849720777,0.105197850781486,0.000542804532679112
"1x9",0.934733552322572,0.000379963172845769,0.000379963172856607
"1x10",0.285365672292072,0.000775435046661919,0.587990293090115
"1x11",0.864976341488568,0.000379963172836023,0.0222382911903298
"1x12",0.664635207261924,0.168101107647266,0.00624853600323228
"1x13",0.863318832491989,0.000542804532636816,0.0681914968158784
"1x14",0.934356148670873,0.00026597422099204,0.00026597422099204
"1x15",0.809422206527383,0.0942711048607911,0.000542804532652295
"1x16",0.652218286672556,0.0620594519521691,0.142567980225914
"1x17",0.826254608359061,0.0417744313730901,0.0371792742742644
"1x18",0.858796084426548,0.000542804532636817,0.0819897634988408
"1x19",0.898850949588625,0.000379963172845773,0.105023138086498
"1x20",0.667850216700629,0.0434069244116262,0.236963489949452
"1x21",0.593652203486412,0.226819908674493,0.118063874491146
"1x22",0.414627302263413,0.129726291347442,0.2284049112424
"1x23",0.706925831514257,0.0127028695659632,0.26748382868226
"1x24",0.699101762775967,0.000775435046646127,0.194873284447596
"1x25",0.529248641934619,0.000775435046624025,0.367389434079914
"1x26",0.713666801623836,0.0678061811073942,0.198290750291311
"1x27",0.42590894090776,0.179025760629731,0.302725980382428
"1x28",0.449249906669018,0.220046098967762,0.210522441090699
"1x29",0.116616651337694,0.547886692606253,0.353368031930302
"1x30",0.443586361821841,0.0651084622934275,0.430807963415319
"1x31",0.611083895417292,0.00229792710986906,0.353627930174895
"1x32",0.372146494229428,0.258853406453502,0.343788650746043
"1x33",0.466596449680452,0.0563426070954389,0.390614249903491
"1x34",0.318315916342061,0.217852763856728,0.336469869076076
"1x35",0.295757375592555,0.230684385753504,0.389901584806642
"1x36",0.473198129538998,0.143222627270928,0.273845076887179
"1x37",0.238710083545317,0.296853000441079,0.339361572061523
"1x38",0.42110389909906,0.158758173036331,0.396014894607948
"1x39",0.716328422256621,0.0363857573337768,0.254110106924762
"1x40",0.32441322053993,0.0211695184302079,0.463053355561073
"1x41",0.321702484556403,0.0797643332616413,0.515667089447939
"1x42",0.333564619114388,0.207611682885149,0.370294456072675
"1x43",0.251939895321896,0.0776154775898321,0.546570249129168
"1x44",0.0429475719739635,0.32754365121816,0.522939888360253
"1x45",0.358227423064181,0.117268810529293,0.442042120130374
"1x46",0.463438164756206,0.220746556304702,0.283875336051322
"1x47",0.272581542900636,0.224654170225217,0.412363347041501
"1x48",0.291882504377352,0.450994543508201,0.156433336907579
"1x49",0.511036357384792,0.0420807214423749,0.319454935677107
"2x0",0.84770264544684,0.000542804532636811,0.055695506668492
"2x1",0.879816671892881,0.000379963172845769,0.0685963848635673
"2x2",0.88177415205703,0.0468276346923451,0.000379963172826814
"2x3",0.818026510126452,0.000379963172845767,0.000379963172864342
"2x4",0.826458078072636,0.0757759583851624,0.000542804532652296
"2x5",0.716714267637709,0.0300270719282992,0.124328649548741
"2x6",0.482520216639776,0.0120295595856098,0.413207301278676
"2x7",0.786394304015451,0.000379963172864329,0.000379963172808217
"2x8",0.903348004209493,0.00026597422099204,0.000265974220999623
"2x9",0.884151056277924,0.000379963172845773,0.000379963172875217
"2x10",0.91748875101078,0.00026597422099204,0.000265974221005038
"2x11",0.900861312518096,0.000379963172845772,0.000379963172772737
"2x12",0.872115664129069,0.000379963172864338,0.000379963172808215
"2x13",0.174415718960097,0.000542804532630046,0.72121291227448
"2x14",0.886674283479064,0.00037996317284577,0.000379963172875409
