"","Cancer","Ductal","Macrophages","Mast","mDCs","Monocytes"
"0x0",0.366768715175181,0.349271621446153,0.000132987110496018,0.000132987111285491,0.154976505459012,0.000132987110499811
"0x1",0.43798205096103,0.134174434003729,0.000271402266318408,0.000643228303021717,0.281971997768127,0.0110737068610622
"0x2",0.455539094853352,0.382761197001266,0.00013298711049602,0.000132987113511147,0.0754594487140726,0.00309329230743047
"0x3",0.439322345107021,0.127106932354476,0.000189981586422886,0.0001899815795567,0.273786837210147,0.0139819580753058
"0x4",0.500606738961137,0.222915374124021,0.0327880979023553,0.000189981584150025,0.0578973086261002,0.0386827821251034
"0x5",0.568339914451521,0.251565666705854,0.00153390921380158,9.30909788269525e-05,0.0634270989571513,9.30909773565034e-05
"0x6",0.493917765946013,0.311967078465741,0.0103178544679993,0.064006388503997,0.000189981586422886,0.000189981586428302
"0x7",0.440787521579275,0.308926325689263,0.0108967011865911,0.000189981584154706,0.0926291904038937,0.000189981586441843
"0x8",0.579473092743227,0.28314051360441,0.00377267925150214,0.000132987111634374,0.00013298711049602,0.00427323236503476
"0x9",0.548256648874372,0.315381134150276,9.30909773472141e-05,9.30909773517127e-05,0.00854920220683173,9.30909773565032e-05
"0x10",0.63053141458713,0.106250661029265,0.00411626742160502,9.30909744351597e-05,0.110487320326276,9.30909773565031e-05
"0x11",0.541755665988311,0.356395923409767,0.00283157464256109,0.000132987111351322,0.000132987110484567,0.000132987110499811
"0x12",0.670115153010992,0.210045635705532,0.016636413533314,0.000132987110425693,0.0225045124864222,0.00811688846805452
"0x13",0.516533601909818,0.375058526006565,9.30909773472134e-05,9.30909788444987e-05,9.30909773472138e-05,9.30909773498597e-05
"0x14",0.582457027468847,0.300106849730216,0.00507221333850125,0.000189981585831177,0.00334113675013781,0.000701044903731973
"0x15",0.540961684104064,0.212276080220919,0.00013298711049602,0.000156484242020772,0.0873285392544341,0.00013298711050929
"0x16",0.520417209468682,0.325752068358447,0.000189981586422886,0.0367882777592717,0.000189981586427627,0.000928575518548783
"0x17",0.455998394468072,0.334124489652127,0.0144302170210361,0.0647308684698111,0.000271402266304867,0.00752549903218491
"0x18",0.30996485393997,0.490178656381153,0.04721217427296,0.000189981579784468,0.0537446457867977,0.0152176911048048
"0x19",0.541930182677744,0.233595966596386,0.0206145835998595,0.000132987117867643,0.0748841805211239,0.00624391463176356
"0x20",0.381103300944025,0.386003005455954,0.000189981586422886,0.00018998158414962,0.0596162255075039,0.0578520107418907
"0x21",0.522291372050356,0.0316170979831702,0.00013298711049602,0.000132987104802105,0.270010356661623,0.000132987110496021
"0x22",0.365983311718193,0.308098954830486,0.0337791858573697,0.000271402265239985,0.071106200182684,0.0461595848046203
"0x23",0.258795685847585,0.407922969015584,0.0501063358330104,0.000189981584476032,0.19149043704765,0.0168996929544267
"0x24",0.375235730943812,0.349193335453208,0.0460703751521942,0.0779042327082808,0.00373654539345244,0.00944268385213158
"0x25",0.319690047523816,0.332045765304243,0.0129134481275963,0.00018998158447788,0.247545956275113,0.00373097099596529
"0x26",0.379029223918489,0.303093762823058,0.000387717523312012,0.0433797271747719,0.152182939410929,0.00629834053035216
"0x27",0.362876558993812,0.222753880643612,0.0340920728237325,0.0424177157089683,0.180167267611665,0.0169298001294222
"0x28",0.221809655694398,0.250015417302645,0.0203744336061177,0.0737319662375798,0.236833164534719,0.0456650653871798
"0x29",0.320831380158601,0.156327678394343,0.0133244172722766,0.000271402265239388,0.388427360472904,0.0110281728820932
"0x30",0.265799065157947,0.376521876024477,0.0694385608797218,0.000271402266334974,0.128193177330627,0.0205178004350674
"0x31",0.380409852465545,0.289097692790527,0.000189981586422886,0.000189981587789042,0.237456808210565,0.00147774047569296
"0x32",0.311707600310098,0.129964062730054,0.057620553982313,0.000271402265241378,0.343007728014433,0.000271402266318408
"0x33",0.362779219092373,0.356672289882207,0.000189981586422886,0.000189981579780767,0.183826540830154,0.00180368839482797
"0x34",0.307874331457285,0.179238928077669,0.0729216649205624,0.181391661449397,0.0493976659016991,0.0242398118041696
"0x35",0.315341517256573,0.101666530160927,0.000271402266318408,0.0735467775519984,0.369448261233474,0.000271402266318408
"0x36",0.300995063571632,0.212393001081995,0.0322599758125151,0.121970878793645,0.140243309538384,0.0156910817254635
"0x37",0.245873288165319,0.283965421707857,0.0479167103057979,0.000189981584476018,0.327701183832243,0.0174611674274604
"0x38",0.321924667280236,0.341040951969144,0.0637771605258725,0.000271402274297249,0.1216014765545,0.0633191787446754
"0x39",0.125911391795701,0.412706906952392,0.00775731175846409,0.000189981579781352,0.352335607833391,0.00426092577162416
"0x40",0.307533771357919,0.351602688130487,0.0392449267327418,0.0498240907797124,0.162180209546882,0.000387717523312012
"0x41",0.13089631775433,0.293923842368682,0.00651982692550054,0.000271402265991431,0.371088282993034,0.0856109015264639
"0x42",0.114328371000583,0.269468115893475,0.0593577835081474,0.112081823987676,0.27844664918268,0.0299646836931507
"0x43",0.241295039215378,0.357173987149358,0.0154428252552258,0.000271402266332175,0.251054731475777,0.0242313219927898
"0x44",0.125456655545452,0.487538982325277,0.0126791840539952,0.067437365319088,0.184190707692579,0.00402038982966165
"0x45",0.31439154385856,0.233851762843546,0.0791778968688806,0.000271402274297234,0.193621926391407,0.0376343867290367
"0x46",0.253249232208721,0.327958795491456,0.00570604364334018,0.0763022061990574,0.239387500438826,0.00636936911589977
"0x47",0.196154640023098,0.401413599547853,0.0258759543334648,0.0001899815885156,0.2652826457317,0.0302615378878144
"0x48",0.247675837324994,0.242153802960296,0.0267207619188843,0.000387717534244704,0.322168395564669,0.0675698760295794
"0x49",0.33303663734438,0.35249668165382,0.0583346919616149,0.000189981583921962,0.149722573818859,0.0113052237955211
"1x0",0.492626220247464,0.398998588487027,0.0124925007363669,0.000132987113833422,0.0143175407425508,0.0029681520809071
"1x1",0.481386321775056,0.380112056080754,0.0224817628037653,0.000132987113486231,0.0316128233124762,0.000132987110489385
"1x2",0.47005407173812,0.241487224360419,0.0226580613592471,0.000132987108910183,0.141256580241441,0.00013298711050929
"1x3",0.435535217011636,0.290588534917119,0.000132987110496021,0.000132987104770243,0.192993750435455,0.00013298711049602
"1x4",0.621993171300863,0.313762574984666,9.30909773472133e-05,9.30909769194901e-05,0.00430461753904056,9.30909773565028e-05
"1x5",0.629718669757396,0.173843518484748,0.000189981586422886,0.0363327620557843,0.000189981586438093,0.0166927793322901
"1x6",0.585164226771726,0.299037772209698,0.00353287435329344,0.000132987111302728,0.00305152225889918,0.000132987110499812
"1x7",0.575296477905801,0.273856018497017,0.00013298711049602,0.000132987109718928,0.00622408327291176,0.000132987110499134
"1x8",0.508876144828168,0.360790445874643,0.000871554847477784,0.000132987111905694,0.000132987110509289,0.00013298711050252
"1x9",0.660811831590896,0.228912510152444,0.0135022274918034,0.000132987113505965,0.00013298711049602,0.000291933534025565
"1x10",0.256517341635359,0.0183506493271353,0.0419976070144153,0.000271402273743136,0.496415644331537,0.0417819222925279
"1x11",0.466756423367039,0.370389343048418,0.000189981586422886,0.000189981588493334,0.0597455723749448,0.00457401020931895
"1x12",0.4169978921906,0.426182134267568,0.00013298711049602,0.000132987113831691,0.0524685935332182,0.000132987110495916
"1x13",0.618263011045878,0.170506923001824,6.51636841430499e-05,6.51636779802681e-05,0.111633604924393,6.51636841397986e-05
"1x14",0.581953527036889,0.210317513820436,0.0140647638150192,0.000189981579795901,0.00018998158644866,0.047831606181181
"1x15",0.505269791621748,0.407253542583006,0.00733108866009451,0.000132987113832439,0.00013298711049602,0.00013298711050929
"1x16",0.421222870203413,0.230424368698378,0.00376353247280457,0.10452316115646,0.0866392842206818,0.000387717523312012
"1x17",0.453707897260286,0.364036032350583,0.00013298711049602,0.000132987110649963,0.0711483311534912,0.000132987110499811
"1x18",0.574583055420876,0.153397062582092,0.0079491422313544,0.0001329871091353,0.104129918046859,0.0031400937505088
"1x19",0.593146791237538,0.178101389775918,0.00118702856652681,0.000132987104786761,0.135038991614957,0.000132987110489385
"1x20",0.423527070566016,0.228069208963915,0.00761233767445602,0.000282467795279064,0.230096830184359,0.00555319412271092
"1x21",0.391892204961596,0.364791536941884,0.0450060586881187,0.040155214301546,0.000271402266318408,0.0348965317687747
"1x22",0.318070423187027,0.269001793294102,0.000387717523312012,0.0861729154481327,0.153410813623726,0.0003877175233507
"1x23",0.539599034784516,0.0591368748830036,0.00622526390772852,0.000189981587053525,0.25747885367874,0.0075567047703205
"1x24",0.492122036560649,0.122874213682575,0.023913104931043,0.000132987104540047,0.202518711699888,0.00446312094751088
"1x25",0.448998583897036,0.043799026965854,0.0072490767565663,0.000189981584475488,0.32939414124728,0.0161649327426725
"1x26",0.36843342026033,0.327682698627864,0.0270244268976918,0.0002714022481038,0.0567714820002929,0.135705688745013
"1x27",0.24559789970628,0.382348489916919,0.000189981586422886,0.000189981588516503,0.273896576178462,0.0127665180904692
"1x28",0.295621664334092,0.371788757939286,0.0469121658164243,0.000189981588287383,0.133153091268767,0.0310874773317486
"1x29",0.176385621683552,0.473036880514652,0.0604387064842556,0.000271402266350966,0.157254831769555,0.0804801145527339
"1x30",0.289437560711519,0.19772532024764,0.0109894776534201,0.0588159769977931,0.323028869316572,0.000670499996750526
"1x31",0.386393383703407,0.153725380798193,0.000189981586422886,0.000189981584153727,0.253131898289456,0.0888264952533268
"1x32",0.291814893563985,0.292754758600292,0.0094100480747528,0.000189981584150432,0.297990058283733,0.0133695198744912
"1x33",0.310345264170501,0.199126688824233,0.00269892587888914,0.000271402265256178,0.343754950862448,0.000271402266318408
"1x34",0.230656956187732,0.317919123807616,0.0203825308606979,0.107667604790361,0.178495512447731,0.00862812892488858
"1x35",0.268768551497023,0.273055765411739,0.043943009788657,0.000674182840385309,0.31482161235382,0.0158927018532043
"1x36",0.322982791881216,0.299729735959516,0.0574341177527594,0.0688574714478791,0.128326056452893,0.0127996710472015
"1x37",0.251056178884434,0.333137882489993,0.041970995375456,0.0644373766328201,0.147233540916634,0.0608268578301274
"1x38",0.243110984657727,0.342104047938897,0.000189981586422886,0.000189981584149664,0.319644652315489,0.0224797386016292
"1x39",0.423946729769739,0.215508750553145,0.0334148045238536,0.0741338128323479,0.0744594810608373,0.0572401553201961
"1x40",0.207442583910618,0.1851039935572,0.0258413570666525,0.0865119501498446,0.344199165570478,0.000553882176160017
"1x41",0.20123630167536,0.200283239563261,0.0782324183644682,0.0002714022739713,0.350547339670261,0.0154527421327987
"1x42",0.224047098473389,0.346229560636388,0.00268307077467542,0.000189981588504898,0.336516547318418,0.00233744104953218
"1x43",0.152214684736405,0.22115258932881,0.0127641371731904,0.000271402273971246,0.426412259515135,0.056130803734107
"1x44",0.0938835188166343,0.324573648542861,0.0134972916802567,0.000189981584114628,0.443802774915835,0.000189981586422886
"1x45",0.294063156088045,0.164785024461347,0.000387717523312012,0.0288349347734404,0.370149327866078,0.00439515144841564
"1x46",0.229987145816989,0.425998433223964,0.0826244479328864,0.0756249350833448,0.0226156648300478,0.0715622945441737
"1x47",0.255754517208629,0.219221887564855,0.0782526262477251,0.0027440491274057,0.280986795553306,0.0199619741822579
"1x48",0.183548519198995,0.566949450882468,0.0157775774158097,0.000132987104773564,0.171432644098879,0.000871577328162672
"1x49",0.398578471418314,0.140188907326885,0.000271402266318408,0.065831252506965,0.254050891443075,0.000271402266318408
"2x0",0.68199036569734,0.0752808842525939,0.00797673360578239,0.000132987113829292,0.0910706212201938,0.000132987110489385
"2x1",0.521062861581606,0.272570388661576,0.000920420082076001,0.000189981586819059,0.108351955297249,0.00414067114616377
"2x2",0.519838359363627,0.290518211902414,0.0397387265630018,0.000189981588524448,0.00263334762728274,0.00669863318770027
"2x3",0.600541527138211,0.262399737224964,0.000132987110496022,0.000132987110333234,0.00515398874939992,0.000132987110583767
"2x4",0.552987684917152,0.325833268972156,0.00013298711049602,0.000132987109465337,0.00488667827283987,0.00013298711050929
"2x5",0.3867209223284,0.334296294502913,0.000189981586422886,0.000189981588510615,0.126698041691903,0.00360586336896136
"2x6",0.324184270719713,0.166433887311329,0.000387717523312012,0.049510973368292,0.287644441831509,0.0151201898307636
"2x7",0.531776823851545,0.319401959151694,0.000132987110496018,0.000132987110321686,0.00213980969120587,0.000132987110502518
"2x8",0.621053198549476,0.231643933671361,0.00823617108433278,0.000132987109616428,0.00534224788370118,0.00997718912714136
"2x9",0.564378126982527,0.308789064653293,0.00013298711049602,0.000132987111368639,0.00344228737553218,0.000132987110506389
"2x10",0.632894728680346,0.270901915353427,6.51636841430499e-05,6.51636866609677e-05,0.00702683626038971,6.51636841449078e-05
"2x11",0.578992174139026,0.323678653544227,0.00649786412139448,0.000132987113564343,0.000132987110499432,0.00013298711050929
"2x12",0.725525218642025,0.128473980292781,0.00865709206321848,0.000132987111578182,0.000132987110507153,0.000132987110431776
"2x13",0.111554355032679,0.0991426294906455,0.0683954452126159,0.0806206285086967,0.482542228203234,0.0133192379959313
"2x14",0.599669105013895,0.290512350978155,0.00013298711049602,0.000132987109176967,0.000132987110499338,0.00244959143902069
"2x15",0.649937377060509,0.230131248438655,0.00452192512702708,0.000132987111380772,0.00106847111011387,0.000132987110499811
"2x16",0.485660678587077,0.104357402609049,0.0088575368927525,0.000189981584150154,0.222522509575521,0.0178965051793387
"2x17",0.583584500528386,0.154686605843094,0.00138157487356368,0.000132987111644573,0.0953861252781356,0.000449361429417633
"2x18",0.468779837990415,0.176479728715819,0.00932393218123899,0.000132987105085157,0.208973577289625,0.00398776655225342
"2x19",0.349331031174663,0.409770617057365,0.00640174294356807,0.000189981586697463,0.126987243885549,0.00610526078426318
"2x20",0.52862708602331,0.20390279069148,0.000189981586422886,0.000889418003931371,0.135765499190822,0.00968952405881866
"2x21",0.387546581185546,0.298641795601178,0.013560379230521,0.113951895820126,0.0682233565814966,0.00155058999255086
"2x22",0.391801410444069,0.365851916818125,0.026217316923292,0.000189981584150036,0.0822717968191971,0.0178703519653356
"2x23",0.353719918532979,0.332035827123268,0.00984693320465669,0.000419160467491588,0.216978742486761,0.0151559186645746
"2x24",0.51497193843047,0.144928453058614,0.00521992407260323,0.0741060415953886,0.0995643772081698,0.00405923583841777
"2x25",0.294475734267959,0.342321335792114,0.000271402266318408,0.000651037384892041,0.227496194151657,0.0026403533685306
"2x26",0.418386425496844,0.266776912832323,0.000271402266318408,0.0597999905347822,0.132998141413447,0.00175073230574516
"2x27",0.350627129316775,0.169229408751127,0.0927141044510185,0.000189981592881179,0.191270673258738,0.0473039396028771
"2x28",0.174853166123432,0.172707825253104,0.0719432909528432,0.224469844146318,0.158385116011777,0.0131643662994582
"2x29",0.386153371373834,0.317187561810195,0.00742897568393463,0.00018998158851821,0.204129540369921,0.00380900984358399
"2x30",0.259245616903174,0.39799545857206,0.0762508528711663,0.0517118123159125,0.0352865606256954,0.0575871090902304
"2x31",0.257391072501115,0.260449257864177,0.00158392731426496,0.0007289282125294,0.364315270748564,0.0219557368879057
"2x32",0.201215466631753,0.453734790989988,0.034148626554064,0.000607198430588395,0.155189393515957,0.0687366556056574
"2x33",0.231163367807334,0.258613322043407,0.0594903937469574,0.0903633057510629,0.186022534008811,0.00517956321734398
"2x34",0.30868826646353,0.310351951746707,0.000271402266318408,0.0447571007653301,0.194533463891632,0.000271402266345492
"2x35",0.389421625643566,0.271190245277143,0.0118551860920309,0.000271402265240123,0.203770323790253,0.0234154584790633
"2x36",0.21703122633157,0.153642778651609,0.0311675867986877,0.000189981584148293,0.472304044616427,0.0020034172470252
"2x37",0.279565849314098,0.437963210529529,0.00354182568165573,0.043282185090349,0.133147373147255,0.00533931518637613
"2x38",0.305313924654685,0.143563262135622,0.0217786559313554,0.0783136656044724,0.318142856718984,0.0150844499850941
"2x39",0.1298322520393,0.501493279960322,0.0295878678170648,0.000189981586760432,0.247948102294824,0.0151534190510652
"2x40",0.203400383927303,0.307840916811237,0.000271402266318408,0.00027140227429793,0.327270044030234,0.0634499195638745
"2x41",0.190858111129387,0.477145831096001,0.00639818477554379,0.000189981584146681,0.242288629811203,0.0073778096215117
"2x42",0.221795188508494,0.416505840872357,0.015372129288681,0.0347516160577076,0.245923594323456,0.0106713867169388
"2x43",0.173942950052893,0.201865666070251,0.024655945328434,0.000744296490113298,0.454666680975753,0.0160230198066259
"2x44",0.130295679804568,0.551318213427425,0.00198997215086395,0.0539812839174716,0.193566915076881,0.000189981586413407
"2x45",0.248504327510841,0.334075943096427,0.0536971458217543,0.000271402265239985,0.2309106346044,0.0150976178396244
"2x46",0.196902653856897,0.170626395557557,0.00998401195036533,0.0914479262425863,0.38123160694717,0.00984257131329729
"2x47",0.228136231285354,0.12425325707224,0.014640784646311,0.0954773876299669,0.412782150803163,0.0138378654949816
"2x48",0.153731117717046,0.368969546121515,0.0156584176667606,0.0788408403266118,0.221243087015203,0.0116347800034156
"2x49",0.218765304961129,0.376527054595443,0.0310024034515533,0.0668716311076816,0.179217405952025,0.0200822780539277
"3x0",0.548870188936953,0.251251801209343,0.0209326117282431,0.0432912894162314,0.0140599385044749,0.00455245565479613
"3x1",0.596093032276318,0.318317020814424,0.0093549772885236,0.00013298711163899,0.000132987110496019,0.00073567166128328
"3x2",0.509995378401039,0.361381909050145,0.00453046800536494,0.000132987110267189,0.00013298711049602,0.000132987110499812
"3x3",0.574390572994811,0.270848156074354,0.00013298711049602,0.000132987110525903,0.00430387682215134,0.000132987110543142
"3x4",0.594457307704106,0.275006759532332,0.00013298711049602,0.000132987112360471,0.0100187719031465,0.000132987110499814
"3x5",0.542871151288579,0.328730075018279,0.00287301942382453,0.000132987111531582,0.000132987110494361,0.000132987110499811
"3x6",0.606946891534773,0.267647248763572,0.00476703047276115,0.000132987113299444,0.00738030732814061,0.00013298711050929
"3x7",0.636978903047358,0.232257482456116,0.00013298711049602,0.00013298710912465,0.00484430419834079,0.000599446679223829
"3x8",0.407384864439293,0.0468349488636953,0.0162963703416982,0.00018998158828744,0.380741687196966,0.0265304702246493
"3x9",0.512619967770703,0.354164724435086,0.00013298711049602,0.000132987108287004,0.000132987110569682,0.00013298711050692
"3x10",0.69256635340896,0.211897740242701,9.30909773472139e-05,9.30909788507786e-05,9.30909773389578e-05,9.30909773565034e-05
"3x11",0.626150224896701,0.221785340086411,9.30909773472141e-05,9.30909769692184e-05,0.00864078365818759,9.30909773565015e-05
"3x12",0.564264512313357,0.208446327665311,0.0209936720657138,0.0001329871091241,0.0589564495009087,0.00526985842034799
"3x13",0.560054245581073,0.330086881879,0.00192461723721412,0.00013298711023278,0.000132987110497843,0.000132987110499811
"3x14",0.438900659005857,0.121269892795636,0.0024538169187428,0.000189981579554638,0.274404223958574,0.00749342127231979
"3x15",0.581278942236903,0.292990730971483,9.3090977347214e-05,9.30909788128986e-05,0.00565638201264264,9.30909773565038e-05
"3x16",0.526286789783367,0.213517602806313,0.00013298711049602,0.000132987113288794,0.102621324955121,0.000132987110499811
"3x17",0.595965556780328,0.276348714052494,0.00013298711049602,0.000132987110203845,0.00552528215957595,0.000132987110509291
"3x18",0.596785176280948,0.168166737513668,0.0130784814516895,0.000132987104767646,0.0384809655599624,0.037420006520481
"3x19",0.551346263389688,0.286758836910433,0.0283208405220238,0.000189981586284582,0.0328491388857347,0.00796509812700115
"3x20",0.512984647788102,0.17441881942559,0.0724029724160245,0.000189981584144856,0.0983805721341127,0.0033764854618847
"3x21",0.350922599950621,0.231750246657154,0.000387717523312012,0.116976568905401,0.160296604212294,0.0024439424492212
"3x22",0.569728530846347,0.108490095491806,0.0573552828233151,0.000132987104773998,0.0945880186484559,0.000132987110489385
"3x23",0.547139761148915,0.194001533550951,0.0334833368378826,0.000132987104768191,0.0987591597676159,0.00777480077401357
"3x24",0.314067134631909,0.238464154389424,0.0085896824186537,0.000189981584155414,0.271318013271416,0.00995659541365036
"3x25",0.189319292425495,0.334679946600279,0.00586751084181187,0.0769509722325125,0.304385142845386,0.000387717523312011
"3x26",0.252046023591819,0.291088185884938,0.00772169071585696,0.000189981584452264,0.329127733063815,0.000189981586441843
"3x27",0.372792189661027,0.315748843764682,0.0708021043972419,0.0602710998591652,0.0417365834117198,0.0566878658436637
"3x28",0.225014557719936,0.523351355262841,0.0199099921863525,0.00018998158414665,0.137344759628678,0.00548482908048647
"3x29",0.358284177678718,0.201765945321589,0.00276621247773598,0.000189981584479838,0.326980320874421,0.0113637775966433
"3x30",0.271241270233103,0.213324960445864,0.0347851165301388,0.000271402274282738,0.337076083526506,0.000271402266318408
"3x31",0.226914749840793,0.244435833662341,0.03704514197332,0.000271402265569108,0.333182456526837,0.0131595386067022
"3x32",0.263035069362467,0.403918355557277,0.0153327465308724,0.000189981584150085,0.19743607817119,0.0203452176065514
"3x33",0.320712263535472,0.095411308836106,0.0244412938433419,0.000189981592880949,0.406376483697333,0.0139393044992043
"3x34",0.186249773252184,0.203529294735335,0.0205624720825853,0.000271402265240142,0.427723322596145,0.0576235995471757
"3x35",0.159688975831625,0.287123921287957,0.0495572663781495,0.072035025790647,0.246940304504834,0.057250935129252
"3x36",0.374936336095625,0.233742111213121,0.0602948102497873,0.0330369336760735,0.17435334789174,0.0205871538846831
"3x37",0.186872526043444,0.305187193759029,0.0119365635697645,0.0427975793039411,0.328852059764166,0.000553882176160017
"3x38",0.272243871825255,0.294043646126094,0.0865345707895561,0.000271402267220399,0.200026015815127,0.0195921817910858
"3x39",0.165480927504633,0.227670034960326,0.0225521150417591,0.0959436783474586,0.317583243715693,0.0123616516265919
"3x40",0.13595255615292,0.270318596505018,0.0705008224388237,0.0851701327139756,0.328606178448075,0.0120250539248537
"3x41",0.128201749794401,0.37273243259141,0.0287748734715846,0.0001899815928741,0.383855117696178,0.000189981586422886
"3x42",0.224610947125818,0.365505802609943,0.0540940207400868,0.000189981584139164,0.281314087534713,0.000189981586422886
"3x43",0.175038736642219,0.270563436314398,0.026397821922012,0.0797158047849633,0.300129255662861,0.0143401638555798
"3x44",0.254540117497731,0.436877697295194,0.0233827997740618,0.000189981584150086,0.119885881234114,0.0785385683197395
"3x45",0.311020437078004,0.317868855419482,0.0270239462008254,0.000271402274297277,0.174249877861646,0.0861933834351454
"3x46",0.239498457369759,0.257821589865102,0.0139696553584143,0.0791713314683533,0.228429204146682,0.0297630162369637
"3x47",0.258607565616511,0.377417436854144,0.0597307204236279,0.0574788921724199,0.092268532622996,0.0376701005162778
"3x48",0.412405792877719,0.264947777662489,0.000189981586422886,0.000189981592882991,0.134822436545532,0.0955544811701961
"3x49",0.203288622840547,0.419961826345562,0.0303927818710574,0.000132987104767861,0.255755742150167,0.0182985334917115
"4x0",0.557144303742909,0.338492854154635,0.00013298711049602,0.000132987110223302,0.00657910286875126,0.00144261734897759
"4x1",0.458997832937946,0.254483878016558,0.00111012118546172,0.000132987113801229,0.171852749072763,0.00013298711050929
"4x2",0.45704889587902,0.349915439866899,0.0127144956346035,0.000189981585693396,0.0896547347970231,0.000189981586413407
"4x3",0.680252226689132,0.226494847559125,0.00013298711049602,0.00304620836180773,0.000132987110499338,0.000132987110514029
"4x4",0.590478297026794,0.293651649107327,0.00013298711049602,0.000132987110157687,0.00190671947564257,0.000132987110502761
"4x5",0.632515092443917,0.209610327526853,0.0102345821832609,0.000132987110727407,0.00013298711049602,0.000132987110509291
"4x6",0.63832313134214,0.208598239054068,0.000899108348749363,0.000132987110186568,0.000133725229731071,0.000132987110499811
"4x7",0.645592855543937,0.238012206774954,9.30909773472141e-05,9.30909792233104e-05,0.00544366239534169,9.30909773565025e-05
"4x8",0.657143315517178,0.235755376547809,9.30909773472145e-05,9.30909785458603e-05,9.30909773495364e-05,9.30909773498677e-05
"4x9",0.573721682726178,0.288461792977844,0.00362160460304197,0.000132987113443307,0.00013298711049602,0.000132987110499812
"4x10",0.571441045660142,0.302565448783277,0.00234979889602151,0.000132987110198393,0.0029634457903495,0.000132987110509291
"4x11",0.61910012539217,0.259872729416355,9.30909773472141e-05,9.30909745055743e-05,9.30909791661741e-05,9.30909773498678e-05
"4x12",0.483955986207621,0.393050357177766,0.0028122824906692,0.000132987111633217,0.00270939701487646,0.00013298711050252
"4x13",0.624387113201488,0.198097776027674,0.0101992415520175,0.000132987110589956,0.000132987110499337,0.000132987110499811
"4x14",0.540297605530872,0.316556675035906,0.00013298711049602,0.000132987111645057,0.00609599002695008,0.000872485206917317
"4x15",0.564734731562647,0.308771378162657,0.0062945704134868,0.00018998158670417,0.00238346028838612,0.000189981586428302
"4x16",0.621353070271895,0.268354731136373,9.30909773472141e-05,9.30909774696868e-05,9.30909773495357e-05,9.30909773565031e-05
"4x17",0.642735067784216,0.153365247709113,0.0269623445300442,0.000132987104773475,0.00013298711049252,0.0418732062244202
"4x18",0.475231751969649,0.305991932291375,0.000189981586422885,0.000189981579783769,0.0499914570206499,0.0428734443371595
"4x19",0.490632988661659,0.215477248207669,0.00239955572257693,0.000189981593204579,0.153186022878156,0.0110002548295782
"4x20",0.561021478805138,0.287975905947655,0.0163523725663541,0.000132987105086577,0.00013298711049602,0.0110592514768303
"4x21",0.546621659842518,0.155510298992341,0.0231038729569233,0.000132987109462426,0.12295347912348,0.0210207048230916
