"","Ductal","Cancer","mDCs","pDCs","Macrophages","Mast","T","Monocytes"
"0x0",0.0865774578051118,0.570121561015221,0.0895861707859458,0,0.0920542672263682,0.0266561657165958,0.135004377450758,0
"0x1",0.0742544798110487,0.518800730896434,0.076111045148168,0.000447658408221489,0.247989296538634,0.00257430473302393,0.0798224844644694,0
"0x2",0.13622736712034,0.580184742103077,0.030290822728831,0.0470267372691514,0,0.0102873691700947,0.189729716992779,0.00625324461572701
"0x3",0.0253802589231697,0.554240048361008,0.113345621678107,0.0133804360162624,0.195867186229671,0.0222905056654844,0.0754959431262983,0
"0x4",0.060959535390642,0.615065706230501,0,0.0013804926358616,0.0806399613175178,0.00535027335981123,0.142943138838978,0.0936608922266881
"0x5",0.0923780650052542,0.703847120614668,0,0.0169609684152941,0.109989698569745,0,0.076824147395039,0
"0x6",0.1257721558125,0.723895398013565,0,0.000989026549228872,0,0.0792339983783223,0.0701094212463843,0
"0x7",0.109992242633014,0.621346876186138,0,0.129360555627747,0.03724721909515,0.0188730640023422,0.0831800424556082,0
"0x8",0.0761052895106342,0.744742867869048,0,0.0872115892663274,0,0.0882628423358295,0.00367741101816058,0
"0x9",0.0962873360317085,0.671671567642139,0,0.0876489156952313,0,0.023939726552181,0.12045245407874,0
"0x10",0.0394396774733507,0.690634730351774,0.0215946045347407,0.0764811967788982,0.072458976863699,0.00419636512975349,0.0951944488677838,0
"0x11",0.130849789825118,0.647056519080929,0,0.000272934269996368,0,0.0341956713070241,0.163582659782051,0.0240424257348809
"0x12",0.136419870993674,0.736304849627423,0,0.023140312429981,0.0111448647677862,0.0446873583635663,0.00159258424267032,0.0467101595748991
"0x13",0.182693605214038,0.646420527035995,0,0.0661809285279125,0,0.0375995852509805,0.0671053539710735,0
"0x14",0.107932031147073,0.708470960434672,0,0.0265489895353666,0,0.0365161054999832,0.120464264706323,6.76486765825498e-05
"0x15",0.0850214615834406,0.715960373812407,0.0589087982070686,0.0633758624465465,0,0.0302861674442901,0.0464473365062475,0
"0x16",0.160688575288314,0.659198585799746,0,0.0377890636384317,0,0.0493847502835866,0.0927452394896668,0.000193785500255234
"0x17",0.152376507009451,0.601097089088994,0,0.0203286388860348,0.00258930982306974,0.0715744348236109,0.126892260788952,0.0251417595798876
"0x18",0.285248452275788,0.407477623850792,0.0220855585782132,0.0436165124933246,0,0.0509104016423912,0.121944357208973,0.0687170939505187
"0x19",0.0724955490966133,0.619531860138164,0.0273208299815028,0.0511009927767734,0.0437083784717919,0,0.152643429445006,0.0331989600901484
"0x20",0.04213041325172,0.54824215851353,0.00268112193772771,0.0927180219382516,0,0.0239483404873682,0.20312591402793,0.0871540298434729
"0x21",0.0352160251556613,0.518525689188663,0.103637728328552,0.128219815872196,0.0582641786980889,0.0577698345761806,0.0983667281806582,0
"0x22",0.14749312278307,0.362919868292062,0.0125464160134071,0.0843954523810795,0,0.00972725521154282,0.256244650293261,0.126673235025577
"0x23",0.233723751075613,0.312250587720688,0,0.0801789334382003,0.243812119018255,0.00935113734210183,0.101313391745531,0.0193700796596111
"0x24",0.146709270252248,0.546362704539667,0,0.0102092966386472,0,0.0849077821505286,0.142023097989218,0.0697878484296917
"0x25",0.269212096359511,0.321703634293802,0.102854114231605,0.106588188568197,0.0964656862454121,0.0509088501643381,0.0358920885458822,0.0163753415912525
"0x26",0.137368888065185,0.532261076741262,0.0619124278480656,0.0258773907060874,0.0962933364222877,0.0659550504230669,0.0803318297940455,0
"0x27",0.118354787836595,0.414858097649871,0,0.0690363292555475,0.200713593327188,0.0594337715749134,0.114592752073688,0.0230106682821978
"0x28",0.100200261788079,0.303038601251343,0.077155046288475,0.130467276774785,0.0867123696364074,0.0700193514360162,0.173054231603736,0.0593528612211583
"0x29",0.231116388027116,0.272593249079148,0.237171267713152,0.0973639260504717,0.127226598094703,0.02158268648524,0.00258911426830636,0.010356770281863
"0x30",0.24555494110023,0.273607227950196,0,0.124719939149949,0.0721139177161088,0.0100604226065491,0.101288579871146,0.172654971605822
"0x31",0.106667902851784,0.502129959376331,0.102533852682989,0.146684912034513,0.11688581735652,0.00909578599965485,0.0156007470769105,0.000401022621298018
"0x32",0.101855143823089,0.350695971157734,0.218405508961241,0.114952882226082,0,0.0653927373200396,0.110205676891919,0.0384920796198952
"0x33",0.0975603383782193,0.516760439420047,0.112937142946943,0.0402136075424627,0.0129999924298577,0,0.197716993925304,0.0218114853571657
"0x34",0.0927990492827264,0.376577027283588,0,0.0840651468819332,0.0616712747722591,0.205708213570665,0.145093982800281,0.034085305408548
"0x35",0.0546157264377402,0.365148478254844,0.217875091296352,0.040355891633161,0.194938263841948,0.118294437798096,0.00877211073785905,0
