"","Cancer","Ductal","mDCs","Macrophages","Mast","Monocytes"
"0x0",0.704789132938274,0.0189394102447898,0.121583301056208,0,0.144530630327391,0.0101575254333376
"0x1",0.649098378257495,0.00578304865520743,0.217257255739745,0.00694930860380018,0.0894026648864844,0.0315093438572687
"0x2",0.767483299759491,0.151179380377533,0.0273079963918141,0,0.043372532534565,0.010656790936597
"0x3",0.639686882837303,0,0.173862524339559,0.0258414220287125,0.120662343826195,0.0399468269682299
"0x4",0.858807052246647,0,0,0.00868598307640882,0.0852929511785958,0.0472140134983486
"0x5",0.894566580159217,0.00106090564154201,0.00563127299134011,0,0.0838769294405621,0.0148643117673392
"0x6",0.836097256437225,0.0443052984311622,0,0,0.119597445131612,0
"0x7",0.800441617566487,0.0721821941646274,0.0176981767936261,0.00619303119371699,0.103291543120822,0.000193437160720338
"0x8",0.930372383050731,0.0543428420145055,0,0,0.0152847749347639,0
"0x9",0.856920086116891,0.077606859285715,0.00173581531939531,0,0.0637372392779987,0
"0x10",0.892228959107978,0,0.0603646446160431,0.016159339436395,0.0266201712791735,0.00462688556041036
"0x11",0.835421951036059,0.109963446517601,0,0,0.0546146024463396,0
"0x12",0.949859028083894,0.000155334889572584,0,0,0.0293080626199296,0.0206775744066035
"0x13",0.808850929773694,0.159981337408932,0,0,0.0311677328173735,0
"0x14",0.890213887857402,0.0461049744479575,0,0,0.063681137694641,0
"0x15",0.879689446184604,0.0256274834215246,0.0247023953165383,0.0116746011992713,0.0557950633889426,0.00251101048911895
"0x16",0.854636451335729,0.0357100988636957,0,0,0.105634204368012,0.00401924543256351
"0x17",0.72867495992575,0.115045482749287,0,0,0.146443769316306,0.00983578800865648
"0x18",0.570533072539801,0.259755323638337,0.0125927422713774,0.0348366272324343,0.110245213645172,0.0120370206728779
"0x19",0.824440935356593,0.0243322671922714,0.00134378188320036,0.0177000224586287,0.119954764083276,0.0122282290260305
"0x20",0.793346989453516,0.0711287203661719,0,0,0.0844502552498757,0.0510740349304363
"0x21",0.680811175751316,0.0172819281762808,0.121541235193289,0.00594817518242216,0.160468417549229,0.0139490681474628
"0x22",0.649060503431894,0.182896321631647,0,0.013964229393939,0.0976239326082726,0.0564550129342471
"0x23",0.424893317415103,0.237871958346892,0.159303503539821,0.0691498363298588,0.0677365698830397,0.0410448144852847
"0x24",0.740397545641501,0.0828862141041447,0,0.014301915355011,0.138801813206265,0.0236125116930791
"0x25",0.413942358935603,0.292587760391001,0.150049197332373,0.0242176732377624,0.0798103109452082,0.0393926991580527
"0x26",0.619914355463829,0.121106961702404,0.0815722242877212,0,0.15202604349024,0.0253804150558061
"0x27",0.551526580530349,0.109233142865063,0.122194477931789,0.0435503241076448,0.141922741788309,0.0315727327768451
"0x28",0.431306337613056,0.131708432879955,0.141439898623373,0.0213228972860923,0.209900089698662,0.0643223438988617
"0x29",0.375538075103339,0.185077723210161,0.295539797906927,0,0.0895488410030319,0.0542955627765405
"0x30",0.395583051017824,0.32349134498344,0.0300146320491843,0.109061785680529,0.122779274716361,0.0190699115526612
"0x31",0.657544897464314,0.0378197964987775,0.159875678718714,0.017900487455916,0.11531158573636,0.0115475541259177
"0x32",0.426909774402024,0.140851830905353,0.214442014201202,0.0505781932304853,0.113428451386547,0.0537897358743881
"0x33",0.706968796547598,0.0646185374558528,0.129802248310799,0,0.0872165113996246,0.011393906286125
"0x34",0.53243795690846,0.0259752176024854,0,0.0495970103244469,0.347637090697364,0.0443527244672433
"0x35",0.399571062129025,0.0238360378801266,0.281877530244268,0.0014545173391897,0.209414909351652,0.0838459430557389
"0x36",0.490067852585885,0.118472492106581,0.00107085728917937,0.0642335255807811,0.284612114200692,0.041543158236881
"0x37",0.372452070345019,0.21826615739429,0.0685862143953788,0.101094906382321,0.189230981186616,0.0503696702963755
"0x38",0.49650097152268,0.245895080706118,0,0.0953451827557461,0.0798398932458089,0.0824188717696465
"0x39",0.217918624905566,0.331191011678884,0.271542045446479,0,0.141784310243143,0.0375640077259287
"0x40",0.578380863563173,0.145703144046403,0.0595089790733152,0.0799982413567652,0.132375603106534,0.00403316885380898
"0x41",0.174871079645679,0.224141401603719,0.266104101721731,0.0445778881885875,0.164129413676374,0.126176115163909
"0x42",0.294149095489929,0.18807396195594,0.170429428906264,0.0220848205742647,0.258151902392403,0.0671107906811994
"0x43",0.467401019804988,0.180220148342036,0.0963845070572692,0.0655290134030947,0.137561999593865,0.0529033117987463
"0x44",0.214692646593444,0.42030601034388,0.0976627182567929,0.0490759726714951,0.196722613052972,0.021540039081416
"0x45",0.476713311661941,0.147729687359043,0.0987584446345514,0.101548561367123,0.150298597683497,0.0249513972938445
"0x46",0.376751324441667,0.244637123510662,0.0583153218165115,0.0495492203362754,0.235440628608955,0.0353063812859291
"0x47",0.230214037068756,0.342831796018545,0.189062481938535,0.00416697982576746,0.184408894906794,0.0493158102416025
"0x48",0.355747232372747,0.236786206611812,0.151236983261713,0.0377672667212252,0.149569910394481,0.0688924006380224
"0x49",0.422280546342346,0.292895522621996,0.0983573417168136,0.0754151713148558,0.0849893869991982,0.0260620310047904
"1x0",0.857561874409016,0.0650215296770715,0,0.0321757486640318,0.0452408472498803,0
"1x1",0.700746165297879,0.224807871833838,0.0117850468973631,0.0100921016610239,0.0525688143098963,0
"1x2",0.777793592417916,0.044449310733926,0.0417961980140888,0.065379373499204,0.0705815253348652,0
"1x3",0.701341483152844,0.0728155430377649,0.125722694490494,0.0157674500339494,0.0665281999394264,0.0178246293455217
"1x4",0.886081164679351,0.110357378375916,0.00342466868070291,0.000136788264030689,0,0
"1x5",0.906382609693319,0,0,0,0.0847071227710248,0.00891026753565597
"1x6",0.878754068984017,0.0393991651036206,0,0,0.0818467659123623,0
"1x7",0.884942115960574,0.0347987062824869,0,0,0.0802591777569393,0
"1x8",0.788448950166101,0.138909738519789,0,0,0.0726413113141104,0
"1x9",0.961284641205911,0.00087941829233544,0,0,0.0366052072238777,0.00123073327787585
"1x10",0.410479138606489,0,0.306701175770446,0.0793709882165591,0.134187973927846,0.0692607234786589
"1x11",0.806140665762795,0.142665284579281,0.0109995930013446,0,0.0350027637512366,0.00519169290534285
"1x12",0.640386131993961,0.275979623904546,0.0111360389660428,0,0.0656198170684668,0.00687838806698294
"1x13",0.85022228755543,0.0195113491624496,0.0249678411471566,0,0.0758639317698744,0.0294345903650895
"1x14",0.87964193341877,0.0118809276076873,0,0,0.0718372908040347,0.036639848169508
"1x15",0.828983905707709,0.128158770915323,0,0.0406292927626061,0.00222803061436191,0
"1x16",0.659463990435816,0.0447121856219818,0,0,0.258271790028874,0.0375520339133286
"1x17",0.900615391941149,0.0058186383887582,0.00525034187198185,0.0247241818490145,0.0635914459490961,0
"1x18",0.794438955488379,0.0404381898871728,0.00996868058982841,0.0217745796084351,0.128151256362619,0.00522833806356666
"1x19",0.824997349063035,0.0149548945950876,0.0706994410527711,0.0281461612538449,0.0528730075032982,0.00832914653196313
"1x20",0.634634970479392,0.0766215892301971,0.161740461467885,0.00741219714705953,0.0872766800073417,0.0323141016681249
"1x21",0.61535181767694,0.254854893705669,0,0,0.0797517159466136,0.0500415726707771
"1x22",0.563100148008051,0.155001245410271,0.0432667871294933,0,0.21628128884538,0.0223505306068052
"1x23",0.679566147005466,0,0.149505517436996,0.0322735389964368,0.111757942868375,0.0268968536927253
"1x24",0.739218457258496,0.0033029279955449,0.121662852856788,0.0247425758954292,0.0976192830336675,0.0134539029600739
"1x25",0.632435922785663,0,0.105097069167806,0.0753716542934328,0.163047623881306,0.0240477298717915
"1x26",0.717928760230855,0.0236050130915822,0.0017009630884289,0.0113803648551319,0.100562532788886,0.144822365945116
"1x27",0.433946242402876,0.174443533414674,0.183822137146283,0,0.147888462347323,0.0598996246888449
"1x28",0.532375522134931,0.221343205671773,0.0792429940231358,0.0793259865907907,0.0545138438432701,0.0331984477360991
"1x29",0.180691485274017,0.487691634318964,0.032889551044242,0.0861375169812511,0.120811720208943,0.0917780921725832
"1x30",0.437062193817316,0.124510884451312,0.209856140612956,0.0716072210397403,0.139019347830546,0.0179442122481303
"1x31",0.578920059600579,0.0439355475239195,0.114281908383728,0.0245792954493158,0.13963428402895,0.0986489050135066
"1x32",0.345059831903667,0.253417809121996,0.182020391310807,0.0440461016652822,0.129987904382329,0.0454679616159192
"1x33",0.506834771020202,0.0830283997481382,0.27399823321723,0,0.107614843838251,0.028523752176178
"1x34",0.42055427570942,0.184956330714956,0.0932878454377784,0.0110578603011913,0.244964541473462,0.0451791463631921
"1x35",0.414607619212493,0.145405022201903,0.200515079910316,0.0613265705932147,0.155597987580076,0.022547720501997
"1x36",0.596958240529668,0.114114777005069,0,0.112005634197474,0.166970807999851,0.00995054026793823
