"","mDCs","Macrophages","Mast","Monocytes"
"0x0",0.439227724262789,0,0.494776782080956,0.0659954936562546
"0x1",0.534281894465264,0.0154858111231693,0.360672561204222,0.0895597332073448
"0x2",0.335603363002858,0.036503681686075,0.581686554645657,0.04620640066541
"0x3",0.458414038345085,0.0475311073549466,0.394333984872352,0.0997208694276162
"0x4",0.334715984052011,0.0293751342954554,0.537000322949057,0.0989085587034764
"0x5",0.349738315384881,0,0.532417201704456,0.117844482910663
"0x6",0.410715725883238,0.0519803640101997,0.440372622534975,0.096931287571588
"0x7",0.329367787124201,0,0.586506103637901,0.0841261092378983
"0x8",0.333090823042028,0.0290365319179011,0.540401847775989,0.0974707972640818
"0x9",0.35860406769052,0.00269755499444965,0.528473723326092,0.110224653988939
"0x10",0.40079526123608,0.0229480720288103,0.483732775235651,0.092523891499459
"0x11",0.310335536586213,0.0752066982637995,0.493368578956997,0.12108918619299
"0x12",0.417706760538786,0.0110848601579652,0.470660218540661,0.100548160762588
"0x13",0.321299571264947,0.0730608977559895,0.521750123790617,0.0838894071884468
"0x14",0.448567020626561,0,0.462353540835276,0.0890794385381635
"0x15",0.337263156069902,0,0.53021580921566,0.132521034714437
"0x16",0.436403360748785,0.0569381749054952,0.409376968708183,0.0972814956375374
"0x17",0.458940825674086,0.0330467195562197,0.42956283920485,0.078449615564844
"0x18",0.368142287089394,0.0607591704410498,0.469906234047656,0.1011923084219
"0x19",0.207702693722729,0.0669429844552297,0.670852011715478,0.0545023101065638
"0x20",0.350171566056174,0,0.522365049245095,0.127463384698731
"0x21",0.373770744143939,0.0396308445807673,0.500431444792954,0.0861669664823399
"0x22",0.21536417315779,0.0703837166716356,0.609012215766423,0.105239894404151
"0x23",0.414781937001033,0.0981233735140068,0.384448426925551,0.102646262559409
"0x24",0.470157093429387,0.0293981405363798,0.422332418369482,0.0781123476647521
"0x25",0.256273467126366,0.117073372599067,0.506671966824304,0.119981193450263
"0x26",0.453289755590888,0.0010801599781706,0.417096300522872,0.128533783908069
"0x27",0.449068112165739,0.0770206533758776,0.401405678866304,0.0725055555920788
"0x28",0.419567566253099,0.0461865413422272,0.423751245008415,0.110494647396259
"0x29",0.50017767516759,0.00506874664874957,0.380507976528852,0.114245601654809
"0x30",0.25857246340345,0.167960198790659,0.491150640826796,0.0823166969790951
"0x31",0.392062920009817,0.0509680604705955,0.485466498048717,0.0715025214708712
"0x32",0.355835162988999,0.0879031343608857,0.450656008095301,0.105605694554815
"0x33",0.356177963231011,0.0545090549703844,0.509667410905091,0.079645570893514
"0x34",0.32919608088578,0.0600626792903671,0.52765018104889,0.0830910587749625
"0x35",0.49086487585216,0.0320985943077582,0.367928753778206,0.109107776061876
"0x36",0.263299683918823,0.0823441395367717,0.549901755896955,0.10445442064745
"0x37",0.305805896088698,0.122696968395576,0.488384616290822,0.0831125192249042
"0x38",0.251099979120141,0.156785721488845,0.459943369702613,0.132170929688401
"0x39",0.472955065176813,0.00300934268757671,0.422865699319568,0.101169892816042
"0x40",0.442445957756645,0.0913793185981099,0.400867059742747,0.0653076639024978
"0x41",0.381030242677821,0.0653362289826514,0.385757863415241,0.167875664924287
"0x42",0.326878143689154,0.0695693270014701,0.484790330094893,0.118762199214483
"0x43",0.293190359074641,0.0961785972052572,0.489069791452693,0.121561252267409
"0x44",0.420640114610618,0.0661567470308771,0.393891980621777,0.119311157736728
"0x45",0.294663586701739,0.140193011305402,0.506342697884915,0.0588007041079439
"0x46",0.364732206974097,0.0885942820056616,0.451988345074889,0.0946851659453529
"0x47",0.399634552609168,0.00383846441617508,0.478278552391737,0.11824843058292
"0x48",0.331019370931521,0.0908860191538001,0.453055208022377,0.125039401892301
"0x49",0.401345047202331,0.111142632942979,0.412115752837113,0.0753965670175775
"1x0",0.399731482476062,0.0604964162146859,0.455942227438558,0.0838298738706943
"1x1",0.324215953643757,0.0635205842199904,0.539755190091064,0.0725082720451891
"1x2",0.430924555788983,0.0695134723637536,0.45975558543467,0.0398063864125939
"1x3",0.359954944741193,0.0948747319431377,0.444748069005039,0.100422254310629
"1x4",0.362520436715139,0.0697055342325922,0.42256878941285,0.145205239639419
"1x5",0.522914369346343,0.00929699436615675,0.385760917959635,0.0820277183278649
"1x6",0.409843618293038,0,0.504969010316764,0.0851873713901985
"1x7",0.409848139546997,0,0.465554318410719,0.124597542042283
"1x8",0.367253735212775,0.0367669235911997,0.508752601932323,0.0872267392637021
"1x9",0.302230057047247,0.0779397922053294,0.558474251476033,0.0613558992713903
"1x10",0.519093410982044,0.0883155354120511,0.304338639690547,0.0882524139153584
"1x11",0.363660291867266,0.0183176233575009,0.534113160671069,0.0839089241041634
"1x12",0.321464470368487,0,0.551320386431838,0.127215143199676
"1x13",0.263287991540801,0.0304603090506742,0.56898144805113,0.137270251357395
"1x14",0.38515825036018,0,0.513297249906074,0.101544499733746
"1x15",0.369220363864506,0.0838696026112612,0.458757048132889,0.0881529853913441
"1x16",0.245811176747812,0.0470231765616594,0.563958481107707,0.143207165582822
"1x17",0.309936091380453,0.0698582059004057,0.546845175442306,0.0733605272768348
"1x18",0.175414368585151,0.121971206478377,0.637129636144602,0.0654847887918702
"1x19",0.400872288176694,0.0393582547556376,0.452884250599964,0.106885206467704
"1x20",0.506098682633013,0.0120665711096466,0.388395924202906,0.0934388220544346
"1x21",0.467096822089614,0.0152764280420822,0.386998119365636,0.130628630502667
