"","Cancer","Ductal","Macrophages","Mast","mDCs","Monocytes"
"0x0",0.367474575401222,0.348683374397199,0.000132987110496022,0.000132987104759618,0.155007800382631,0.000132987110499812
"0x1",0.43753180352078,0.134488450966321,0.000271402266318408,0.000643285184774178,0.281954731761683,0.011081457370591
"0x2",0.454776038870946,0.383381524167989,0.00013298711049602,0.000132987113499105,0.0754509751949321,0.00310141171856308
"0x3",0.440063688662196,0.126571768620237,0.000189981586422886,0.00018998157955857,0.273807661319069,0.0139886491873628
"0x4",0.499987031218344,0.223386435076453,0.0328305075169278,0.000189981588515606,0.0578712392662263,0.0386723022376152
"0x5",0.567609676946687,0.252093124468662,0.00153769708900463,9.30909788133213e-05,0.0634211064694157,9.30909773565033e-05
"0x6",0.494730050620394,0.311388517900849,0.0103118890739042,0.0639971426844495,0.000189981586422886,0.000189981586428302
"0x7",0.441477476227692,0.308404701717918,0.0108631285603676,0.000189981584161857,0.0926746782957015,0.000189981586441843
"0x8",0.580277790375892,0.282556419079861,0.00376001180821283,0.00013298710944164,0.00013298711049602,0.00427918609985651
"0x9",0.549021898593742,0.314790652499907,9.3090977347214e-05,9.3090977351537e-05,0.00857347156356912,9.30909773565031e-05
"0x10",0.629242134453154,0.10709453176945,0.00413933285338728,9.30909788153486e-05,0.110467105301565,9.3090977356503e-05
"0x11",0.542641909220049,0.355768382839568,0.00282720614766151,0.00013298711137518,0.000132987110498985,0.000132987110499811
"0x12",0.671035595990037,0.209428771320215,0.0165950913157879,0.000132987110424747,0.0225602447372227,0.00812072912953573
"0x13",0.517269100323936,0.374534709726652,9.30909773472132e-05,9.30909787904191e-05,9.30909773472141e-05,9.30909773498595e-05
"0x14",0.583242802427428,0.299543236957854,0.00505149790716745,0.000189981586379223,0.00336786209241154,0.000703553902902919
"0x15",0.540114218984788,0.212990510969622,0.00013298711049602,0.000156862567356843,0.0873090528590733,0.00013298711050929
"0x16",0.521355717621455,0.325039781450085,0.000189981586422886,0.0367785389211924,0.000189981586427628,0.000930820112879106
