"","Macrophages","Mast","mDCs","Monocytes"
"0x0",0.0246641098536587,0.158346355762876,0.555414072941703,0.0350845002905013
"0x1",0.0274754650133158,0.0876005627063473,0.698480751353855,0.0769116790009732
"0x2",0.063541788343982,0.145881453691024,0.510214441039199,0.0598892973627589
"0x3",0.0235499269634817,0.0925238686316135,0.682468520647829,0.0811067920323843
"0x4",0.0682710034573288,0.157443738011764,0.426162296272826,0.116984973258253
"0x5",0.0233344759282156,0.155139278275081,0.492550466242689,0.0533779872859834
"0x6",0.0870474807527598,0.270581161274311,0.353610591414508,0.0370789072003017
"0x7",0.058275400875804,0.140582163000538,0.542951640934861,0.0426375899307269
"0x8",0.075394460999343,0.18494347369889,0.386191125220203,0.0641683417707538
"0x9",0.061568651246339,0.176053971153544,0.469575255520431,0.0495813094252891
"0x10",0.0420293841782529,0.118319757890925,0.603105957247225,0.0429195984859621
"0x11",0.0932803557156785,0.189432428761431,0.354824690249589,0.0589551333419052
"0x12",0.0956503432489079,0.146726507442954,0.412725594566414,0.059681782450034
"0x13",0.0746313466585426,0.193195729228444,0.410966221092132,0.0380424438325159
"0x14",0.0334152960981787,0.209800279225981,0.416958443665402,0.0506855571244357
"0x15",0.0710075852924121,0.122069592527411,0.487216334859462,0.0476092524044029
"0x16",0.0786666787651965,0.277112373974418,0.309921333520147,0.0614954011965539
"0x17",0.0839452289917813,0.285241676070146,0.340192474979933,0.0450236893178641
"0x18",0.121208751708749,0.146715226473602,0.49087755409576,0.0754784899963506
"0x19",0.103154055989667,0.126012259829789,0.557869883636823,0.0375167027955733
"0x20",0.000830823264240025,0.131615375685678,0.5022311772664,0.163639223004251
"0x21",0.019550617173731,0.112971370336143,0.711707535161107,0.0424200116480043
"0x22",0.107583082306891,0.130042853312464,0.462056770492703,0.110143686603567
"0x23",0.128036301215843,0.0476105735842062,0.625400046285949,0.0904191946780411
"0x24",0.129318583483439,0.289384917343459,0.294102214512188,0.0682253733961872
"0x25",0.0784273692230802,0.0900343831031788,0.700850891388504,0.0598687296979684
"0x26",0.0413158593208609,0.199708693376426,0.515907554976588,0.0666762035797727
"0x27",0.124191004952494,0.172058779287937,0.554372642340941,0.0661971325801956
"0x28",0.0428405494604306,0.182097491855753,0.621040352073634,0.109961501237615
"0x29",0.0453996674965468,0.0533761602330716,0.809706766850653,0.071930553994282
"0x30",0.138552520552542,0.102330004922079,0.52080452215268,0.0686677367298194
"0x31",0.0581532061831987,0.080883248284415,0.724043071053339,0.0539096736161826
"0x32",0.153888750947123,0.0691711566722363,0.683119498105337,0.029742050660818
"0x33",0.0411681154474694,0.109173244290091,0.656494690871641,0.0540340377222712
"0x34",0.126625342565862,0.389249225094571,0.306548340164196,0.0759888365792105
"0x35",0.0396863976359961,0.17466202515535,0.662238338818935,0.0496208023102989
"0x36",0.0920692849428437,0.297074425236984,0.437388994028859,0.0650337217971506
"0x37",0.126827002358092,0.0834184643684573,0.681616784015575,0.0770961625412656
"0x38",0.127281470686186,0.118595871225641,0.504414201915554,0.146001069438797
"0x39",0.0500506040931,0.0924424679746731,0.77245998352661,0.0584957548861917
"0x40",0.116864088648392,0.215481557779373,0.531994433763296,0.0392825859093819
"0x41",0.0790617557743542,0.0459238273183425,0.608055999599459,0.175969988697828
"0x42",0.104616486779069,0.244003771735647,0.585309146776642,0.0918730301331928
"0x43",0.0618433695395196,0.106322085318752,0.689631393191217,0.0724082922970016
"0x44",0.0666091678718286,0.232385868497644,0.541422043336019,0.0556377851498604
"0x45",0.195718382000204,0.108270361947762,0.564823889736279,0.0771853205581672
"0x46",0.0574824989694925,0.20616469197198,0.565405422080231,0.0567498282360206
"0x47",0.114165765290048,0.10465332032881,0.621828866366525,0.0734806506081922
"0x48",0.0817049419422296,0.000407103399477612,0.734586331937609,0.160267868560073
"0x49",0.163342380139345,0.114797459671615,0.55480093404939,0.0594704733753117
"1x0",0.082053540315461,0.164678223527137,0.412799600064121,0.0578659204663122
"1x1",0.0905000618221292,0.179121027914589,0.446791627704992,0.0487556836457365
"1x2",0.0454073941053385,0.137475337636648,0.598400703635852,0.0496885133634706
"1x3",0.0288666031008388,0.122718816847348,0.652957147637423,0.0593266669914628
"1x4",0.0261061419185533,0.184200358178657,0.458441116618268,0.0653577985900941
"1x5",0.0407080104483718,0.252545831221318,0.373463125227121,0.0598397823748735
"1x6",0.0952213775661273,0.184153994969009,0.38996350560576,0.0505412713990563
"1x7",0.0288417308444169,0.151201356838637,0.503982438601387,0.0267957752622958
"1x8",0.0846946794289587,0.219748453016502,0.389549446652932,0.0213332123609916
"1x9",0.118738006882011,0.161267432443366,0.343365298786467,0.0531224110655243
"1x10",0.10149435431489,0.0483020992166931,0.889421866959419,0.103508617960236
"1x11",0.0748022176846134,0.164791884179089,0.534121786589767,0.0359435928324106
"1x12",0.0448721607017403,0.152598741858874,0.531459789889463,0.0472881003411053
"1x13",0.0556912922067808,0.147447140210723,0.562504485901222,0.0450144626082344
"1x14",0.0966166690261104,0.14267118714399,0.330838415574317,0.128787059865025
"1x15",0.0889577671296558,0.184376702019622,0.460925962453109,0.0477443679448143
"1x16",0.0558739954168044,0.272103335804912,0.454606153806732,0.0502096746901878
"1x17",0.0814192257399743,0.177151483985238,0.48075185315198,0.0245801736567511
"1x18",0.114173840849949,0.151527481479085,0.380486627153713,0.0624083742815845
"1x19",0.063180068394164,0.127926719197629,0.522616245791694,0.0560921703509061
"1x20",0.0481461427563638,0.103678201066956,0.688934078802311,0.0599114316137193
"1x21",0.121474496747064,0.197545221739582,0.369207157941033,0.105030136886092
"1x22",0.0537175218089365,0.265545405399072,0.522881883468236,0.0352168833900397
"1x23",0.0612803241982539,0.0850317989713337,0.622739733662336,0.0743092668885545
"1x24",0.10861889712879,0.100658791379975,0.611820058198278,0.0474605222652862
"1x25",0.0669397318592028,0.0852795902116932,0.683951475700285,0.0565664331979857
"1x26",0.0832146798307262,0.0916390245366869,0.444742705353973,0.258461154627926
"1x27",0.036491250201382,0.0455171637067674,0.762212846928505,0.0772750872923026
