"","Cancer","Ductal","Stroma"
"0x0",0.703274476551806,0.0628745262026127,0.132953893305299
"0x1",0.637869293661764,0.0187501194988307,0.308738125785916
"0x2",0.745957761032591,0.0623654410012602,0.0622076685700227
"0x3",0.667606454513817,0.000775435046646128,0.282096025622273
"0x4",0.819912932299547,0.000542804532636814,0.0942845754705086
"0x5",0.865803502175927,0.0542079517951378,0.0282169776961165
"0x6",0.841543656932662,0.0764868484389614,0.0262505004393397
"0x7",0.793721740309462,0.0642331081995604,0.0485851966220931
"0x8",0.914484171571595,0.000379963172845778,0.000379963172856611
"0x9",0.912251502620997,0.0100265158337447,0.0003799631728566
"0x10",0.873549126766507,0.000542804532636818,0.0660637930364014
"0x11",0.794790858253018,0.104605791121651,0.000542804532468053
"0x12",1.05040761922619,0.000410567459622101,0.00712602837893796
"0x13",0.757023600507397,0.124712880349057,0.00054280453266334
"0x14",0.869319993237042,0.0196784238996876,0.000379963172856606
"0x15",0.842563816940813,0.00054280453263681,0.0433880007561265
"0x16",0.785458648466574,0.0820055965689923,0.0107637544679807
"0x17",0.721845530974674,0.116818481528755,0.0520504049030527
"0x18",0.55415163627618,0.282176316943131,0.0513023653876987
"0x19",0.868098893137968,0.00558363641918593,0.0673181819897126
"0x20",0.764860067795142,0.00599876599837868,0.0957236032354779
"0x21",0.63798028562589,0.000775435046687581,0.2352375807455
"0x22",0.511948542398733,0.126314170763113,0.145305417576229
"0x23",0.437359246166372,0.20041453363484,0.288433484388969
"0x24",0.715143678019802,0.086236624717743,0.122080891531128
"0x25",0.458084623160382,0.27769055384216,0.254836652144223
"0x26",0.618677589362547,0.116549814188812,0.222885309095165
"0x27",0.465825886105282,0.116272412646227,0.289214445417133
"0x28",0.35250932139642,0.0853380229105782,0.421833111547795
"0x29",0.371170681964662,0.109367950290027,0.452409204171575
"0x30",0.390649782271961,0.268484798297517,0.196317735815065
"0x31",0.604570976151132,0.0540895401490006,0.231897407631504
