,Cancer,Ductal,Macrophages,Mast,Monocytes,mDCs
6x14,0.56771916,0.00077844877,0.007118758,0.17750484,0.041484196,0.20539454
3x8,0.65839064,0.0011376397,0.06981853,0.14091407,0.009954347,0.11978486
16x11,0.83215934,0.0013939131,0.018673152,0.00045029706,0.0049217413,0.14240162
2x6,0.73006344,0.004530494,0.05186653,0.00025763654,0.15926518,0.05401682
3x12,0.9601236,0.003624323,0.0048961565,0.00022522194,0.0019961868,0.029134598
16x15,0.45826352,0.0019651046,0.21531172,0.0006174481,0.028330665,0.2955116
5x6,0.7445357,0.006282722,0.11573741,0.0003775542,0.024313753,0.10875286
9x13,0.2952751,0.0044528088,0.18645953,0.13499849,0.10614863,0.27266553
15x15,0.063213795,0.002027386,0.29070896,0.0008174673,0.09321007,0.5500223
2x13,0.26874843,0.011336626,0.13108042,0.0005115357,0.016274128,0.5720489
10x10,0.94938815,0.0035338919,0.00043248243,0.00010238914,0.046058826,0.00048427598
7x4,0.52707994,0.057821188,0.02377371,0.11635456,0.0799294,0.19504121
8x16,0.71973664,0.0039535053,0.052232437,0.07597127,0.003103164,0.14500299
16x16,0.6276309,0.0015374889,0.0072885263,0.12469176,0.041123077,0.19772814
6x6,0.6896786,0.06700531,0.010154807,0.14321367,0.0015601469,0.088387474
0x10,0.8197275,0.0011638937,0.0025163596,0.105827995,0.0004751511,0.07028913
7x12,0.7215834,0.0029302812,0.121202655,0.07020863,0.030353386,0.053721618
12x7,0.7126627,0.0007025978,0.08730082,0.09429503,0.0024385455,0.102600254
6x18,0.52330685,0.0008326133,0.005116756,0.28093475,0.00074013724,0.18906887
3x14,0.6878461,0.0009952555,0.022980614,0.1199832,0.036012083,0.13218279
15x11,0.36995775,0.0028562276,0.25738698,0.19299972,0.0977027,0.07909663
7x3,0.35105732,0.0010098491,0.13133325,0.00047500848,0.022009432,0.49411523
9x16,0.535901,0.0150022805,0.26871356,0.0002926526,0.0008158282,0.17927466
1x10,0.16955014,0.042662937,0.26618502,0.00056798203,0.09456224,0.42647168
17x5,0.71184593,0.003910197,0.2052238,0.00031859818,0.00092320127,0.07777832
9x6,0.99772805,0.0008925097,0.0005719943,0.00013815673,0.00018164115,0.00048762074
6x7,0.7126858,0.008595413,0.14580344,0.06583807,0.054772366,0.012304851
0x0,0.7694079,0.07514004,0.040348932,0.00017833518,0.00049048464,0.114434294
0x1,0.6680913,0.042105522,0.20447706,0.0013088289,0.0012369995,0.082780205
0x2,0.8147973,0.09327769,0.0025675609,0.00023618292,0.0032259682,0.085895345
0x3,0.7072813,0.001939318,0.18610565,0.00019840339,0.0011502547,0.103325054
0x4,0.8532806,0.0038793443,0.087916374,0.000205655,0.052429006,0.0022889867
0x5,0.8236632,0.100443,0.07364092,0.00033189147,0.00028944662,0.0016315309
0x6,0.79793423,0.11042525,0.00053701387,0.09019737,0.0006025928,0.00030350586
0x7,0.83429676,0.06914081,0.08027529,0.00027682586,0.00073597213,0.0152743645
0x8,0.9975619,0.0011719789,0.00042714647,0.00016076888,0.00028862825,0.0003895045
0x9,0.95058584,0.04548956,0.001592649,0.0003237704,0.00028241766,0.001725673
0x11,0.8337578,0.16528173,0.0002642664,0.00029122215,0.0002599721,0.00014498552
0x12,0.87464046,0.07352408,0.05009139,0.00013931515,0.0008820906,0.00072259747
0x13,0.82162774,0.17719755,0.00045006262,0.00010877684,0.0003174448,0.00029841412
0x14,0.9206697,0.076900974,0.0006678466,0.00014117181,0.000917498,0.00070289057
0x15,0.917716,0.0008187597,0.001501884,0.00020749247,0.00036860717,0.07938715
0x16,0.7938895,0.1482698,0.00033759134,0.056829534,0.00035650714,0.00031698443
0x17,0.71997887,0.17718533,0.0027400886,0.0917455,0.0076471725,0.0007029758
0x18,0.5662402,0.31284449,0.06444255,0.00039425655,0.048260733,0.007817725
0x19,0.8494279,0.03736749,0.068777986,0.00025327806,0.020911569,0.023261752
0x20,0.8316944,0.030975243,0.002001649,0.0004317085,0.060835868,0.07406119
0x21,0.72229457,0.0011692282,0.04693227,0.00045891377,0.0008968589,0.22824806
0x22,0.6705864,0.15402085,0.0018047577,0.00034300395,0.09646853,0.076776534
0x23,0.43964088,0.25185004,0.29698363,0.00025218233,0.0084765535,0.0027968534
0x24,0.6882482,0.13286087,0.0033194558,0.13397229,0.038461648,0.0031374649
0x25,0.46190816,0.22989734,0.19231561,0.000355999,0.001408222,0.11411463
0x26,0.6213877,0.14354439,0.084749244,0.06790233,0.00081623433,0.08160004
0x27,0.5639296,0.12053294,0.21929303,0.0671629,0.011789592,0.017292013
0x28,0.40345743,0.10080621,0.14354116,0.13199109,0.042633496,0.17757067
0x29,0.40736878,0.12086733,0.16082864,0.00041831055,0.0050829,0.30543396
0x30,0.4671796,0.285447,0.099491544,0.00040456152,0.10589466,0.04158263
0x31,0.6250431,0.11545279,0.050272465,0.0004955889,0.0110444045,0.19769162
0x32,0.5366444,0.028016528,0.026116813,0.00047541512,0.05687827,0.3518686
0x33,0.6945132,0.08829301,0.05468865,0.00020981503,0.0008745736,0.16142075
0x34,0.46519193,0.072821334,0.09271179,0.3435489,0.018246952,0.007479072
0x35,0.39813554,0.064775825,0.13617487,0.14804502,0.001537909,0.2513308
0x36,0.49080324,0.11506264,0.1351884,0.20782545,0.012420326,0.03869989
0x37,0.38075697,0.19100565,0.22852252,0.00035464644,0.008423389,0.19093679
0x38,0.38995177,0.31856304,0.15552312,0.00025954997,0.08886001,0.046842545
0x39,0.3340112,0.23753077,0.06010907,0.0003168185,0.0015192424,0.36651292
0x40,0.4460022,0.21610051,0.09463857,0.093214415,0.009186689,0.14085758
