"","Cancer","Ductal","mDCs","Macrophages","Mast","Monocytes"
"0x0",0.704789159771144,0.0189393801902501,0.121583299419932,0,0.144530635211609,0.0101575254070649
"0x1",0.649098382012437,0.00578304552109502,0.217257255032061,0.00694930856242042,0.0894026650467496,0.0315093438252367
"0x2",0.767483303468793,0.151179375016699,0.0273079960715127,0,0.0433725346654187,0.0106567907775773
"0x3",0.639686885376948,0,0.173862521325175,0.0258414218778949,0.120662344720711,0.0399468266992712
"0x4",0.858807038610516,0,0,0.00868598593979768,0.0852929637464551,0.0472140117032316
"0x5",0.89456657624726,0.0010609035403063,0.00563126916018154,0,0.0838769415289613,0.0148643095232905
"0x6",0.836097279640586,0.0443052704053792,0,0,0.119597449954035,0
"0x7",0.800441619287839,0.0721821901858268,0.017698179537408,0.00619302665888108,0.103291546223676,0.000193438106369232
"0x8",0.930372387632145,0.0543428272343686,0,0,0.0152847851334861,0
"0x9",0.85692008658843,0.0776068538604664,0.00173581637943258,0,0.0637372431716708,0
"0x10",0.892228951796138,0,0.0603646457950088,0.0161593371967927,0.0266201796106372,0.00462688560142319
"0x11",0.835421932454085,0.109963443818201,0,0,0.0546146237277145,0
"0x12",0.949859028391644,0.000155331535924059,0,0,0.0293080669837744,0.0206775730886573
"0x13",0.808850939218894,0.159981331402021,0,0,0.0311677293790851,0
"0x14",0.890213879451028,0.0461049603568345,0,0,0.0636811601921372,0
"0x15",0.87968945801193,0.0256274658360086,0.0247023942710397,0.0116746036519323,0.0557950720996196,0.00251100612946944
"0x16",0.854636472772459,0.0357100756787371,0,0,0.105634206698073,0.00401924485073112
"0x17",0.728674965924322,0.115045477633639,0,0,0.146443768306481,0.00983578813555753
"0x18",0.570533047697113,0.259755325556217,0.0125927490777312,0.0348366196268309,0.110245235553192,0.0120370224889158
"0x19",0.82444091548655,0.0243322652528638,0.00134378914006753,0.0177000165472678,0.119954785637336,0.0122282279359152
"0x20",0.793346977862417,0.0711287151180848,0,0,0.084450273640671,0.0510740333788268
"0x21",0.680811177855555,0.0172819243994688,0.121541234590613,0.00594817659272673,0.160468418989739,0.0139490675718982
"0x22",0.649060519783122,0.182896306766923,0,0.0139642296488403,0.0976239308136158,0.056455012987498
"0x23",0.42489332616117,0.23787194942997,0.159303503524563,0.0691498357632831,0.067736570784775,0.0410448143362382
"0x24",0.740397557515033,0.0828862011875428,0,0.0143019173125642,0.138801813727006,0.0236125102578536
"0x25",0.413942366447073,0.292587750673755,0.150049195592488,0.0242176712746697,0.0798103182937522,0.0393926977182614
"0x26",0.619914358103446,0.121106960302567,0.0815722238842858,0,0.152026043293968,0.0253804144157339
"0x27",0.551526584990614,0.109233140700077,0.122194476201211,0.0435503239821709,0.141922741401914,0.031572732724012
"0x28",0.431306346004989,0.131708423304105,0.14143989790471,0.021322899267611,0.209900090528979,0.0643223429896063
"0x29",0.375538085559048,0.185077714111144,0.295539797067116,0,0.0895488406626437,0.0542955626000478
"0x30",0.395583058715913,0.323491335776812,0.0300146293508586,0.109061787047944,0.122779278721848,0.0190699103866248
"0x31",0.657544896621529,0.0378197949534583,0.159875676149074,0.0179004874995049,0.115311592113911,0.0115475526625228
"0x32",0.426909783389947,0.140851821931025,0.214442013934506,0.050578193103829,0.113428451685556,0.053789735955137
"0x33",0.706968784461165,0.0646185362432806,0.129802243946272,0,0.0872165288571603,0.0113939064921215
"0x34",0.532437959404533,0.0259752167441666,0,0.0495970092960354,0.347637090215252,0.0443527243400132
"0x35",0.399571069913757,0.0238360336214132,0.281877528900319,0.00145451675438826,0.209414908038724,0.0838459427713986
"0x36",0.490067878340406,0.11847246510953,0.00107085706569813,0.0642335256234907,0.284612115234225,0.0415431586266497
"0x37",0.372452075176751,0.218266153766432,0.0685862134511102,0.101094906137553,0.189230981299927,0.0503696701682266
"0x38",0.496500980888037,0.24589506670614,0,0.0953451827999323,0.0798398985024793,0.0824188711034111
"0x39",0.217918641157842,0.33119099739355,0.271542045377782,0,0.141784308655411,0.0375640074154157
"0x40",0.578380872148728,0.145703137758247,0.0595089764030488,0.0799982424376666,0.132375602635743,0.00403316861656634
"0x41",0.174871093339216,0.224141389469303,0.266104101982377,0.0445778876497138,0.164129412326561,0.126176115232829
"0x42",0.294149099073043,0.188073958078828,0.170429428186577,0.0220848202818611,0.258151903929247,0.067110790450443
