"","mDCs","Macrophages","Mast","Monocytes"
"0x0",0.605631811817857,0,0.384077897198444,0.0102902909836997
"0x1",0.658337476470811,0.0172158332332672,0.319744149420165,0.0047025408757563
"0x2",0.508704211795516,0.00231742034502793,0.488750212732913,0.000228155126542372
"0x3",0.627315082488277,0.0231717488650205,0.316903036177805,0.0326101324688982
"0x4",0.506219527757462,0.00116236693346996,0.458495955111588,0.0341221501974798
"0x5",0.551509469028227,0,0.408839973606153,0.0396505573656199
"0x6",0.54058532303115,0.0339078703376553,0.408848445397771,0.0166583612334243
"0x7",0.48516593638451,0.000345392607845716,0.501626147622065,0.0128625233855794
"0x8",0.405826801097952,0.0202693375507838,0.552450087786166,0.0214537735650976
"0x9",0.465163481129184,0.00187503900282004,0.510756193859553,0.0222052860084426
"0x10",0.589525907439417,0.00714763390382198,0.380655611696575,0.0226708469601856
"0x11",0.481206454560728,0.0235354276441148,0.462141437556338,0.0331166802388192
"0x12",0.560410652184952,0.0174003175606611,0.411114409294796,0.0110746209595911
"0x13",0.479228793934415,0.0188983386244177,0.489681466584108,0.0121914008570588
"0x14",0.550057224860208,0.000910439824152905,0.446945253830128,0.00208708148551089
"0x15",0.501822651788857,0.0136730012159078,0.440217750869986,0.0442865961252485
"0x16",0.552705955085849,0.037674230365324,0.364420399534331,0.0451994150144955
"0x17",0.562941175779383,0.0260368087906664,0.408750525918803,0.00227148951114773
"0x18",0.547931832403989,0.0305767566125549,0.395402153531671,0.0260892574517853
"0x19",0.462512002866552,0.0312665024849325,0.505938448492818,0.000283046155696634
"0x20",0.522895680748504,0,0.442311155795107,0.0347931634563894
"0x21",0.557161730175784,0.021027970468188,0.421810299356028,0
"0x22",0.353630139192461,0.0736270161961202,0.540752356722412,0.0319904878890076
"0x23",0.575937318560127,0.0713089731419827,0.335765695465022,0.016988012832868
"0x24",0.547026380014091,0.0283820432052149,0.404801150923385,0.0197904258573091
"0x25",0.469993480076292,0.0551187888062583,0.454852599818141,0.0200351312993085
"0x26",0.612234380886817,0,0.363838875326798,0.023926743786385
"0x27",0.624390241712103,0.0203158341183486,0.350338272622019,0.00495565154752955
"0x28",0.546321338084728,0.0193844479242784,0.401114100151538,0.0331801138394557
"0x29",0.665090063384031,0,0.326981559127046,0.00792837748892293
"0x30",0.496371080990167,0.106607742287287,0.381515349883963,0.0155058268385826
"0x31",0.58152301878241,0.00655260023233175,0.404299734132158,0.00762464685310098
"0x32",0.550492019785488,0.0392420634550386,0.394951347632086,0.0153145691273873
"0x33",0.55430682470821,0.0150343257217202,0.430658849570069,0
"0x34",0.456744517755038,0.0207485221818184,0.519723818944732,0.00278314111841152
"0x35",0.637666771979989,0.0161336828948237,0.337812314182906,0.00838723094228126
"0x36",0.479337832765732,0.039798010256965,0.474176685451367,0.00668747152593614
"0x37",0.474817753588383,0.0862350939685548,0.437649632775104,0.00129751966795848
"0x38",0.473826771802,0.079851510352071,0.392882537171164,0.0534391806747649
"0x39",0.628860234092917,0.000842385829093134,0.354035945029847,0.0162614350481436
"0x40",0.60086699226375,0.0444621136498137,0.35086492748129,0.00380596660514611
"0x41",0.588925566810622,0.031787003256207,0.29977267301261,0.0795147569205614
"0x42",0.519879167939591,0.0191845993944452,0.430094392094582,0.0308418405713815
"0x43",0.481814997442376,0.0784909480263594,0.41782611879297,0.0218679357382944
"0x44",0.608993297460712,0.00624073335036036,0.355308941878523,0.029457027310405
"0x45",0.528484665843148,0.077955300469316,0.390733671008598,0.0028263626789383
"0x46",0.511438008519096,0.047635729482159,0.419245410736802,0.021680851261943
"0x47",0.576574169416327,0.00479288769835791,0.37899422583328,0.0396387170520347
"0x48",0.562685408578234,0.0219000342408474,0.387573936925475,0.0278406202554437
"0x49",0.58680281604045,0.0651559565013565,0.339023581751221,0.00901764570697251
"1x0",0.53771589019509,0.00154546734123583,0.446048998180495,0.0146896442831786
"1x1",0.496749049111836,0.0339898821362213,0.469261068751942,0
"1x2",0.565199251225655,0.0441218355984343,0.390591564460002,8.73487159088619e-05
"1x3",0.556355844416353,0.0564527817046054,0.360353799354831,0.026837574524211
"1x4",0.479990069749846,0.0748723399641311,0.400016437068955,0.0451211532170682
"1x5",0.610165133920901,0,0.361453190920309,0.0283816751587904
"1x6",0.557298816836496,0,0.440910234808675,0.00179094835482911
"1x7",0.562860442417441,0,0.413176710354682,0.0239628472278776
"1x8",0.512362774546692,0.0366931767760232,0.439188349143284,0.0117556995340006
"1x9",0.475922910235989,0.0473189319457571,0.476758157818254,0
"1x10",0.654764632334332,0.0620933171551306,0.256745742976316,0.0263963075342215
"1x11",0.49920185204716,0.0439315754126638,0.456104213580922,0.000762358959254469
"1x12",0.464408649538942,0,0.501332951803344,0.0342583986577144
"1x13",0.447159962237853,0.0461794628582567,0.469088682857193,0.0375718920466973
"1x14",0.554464326301268,0.000171999277137918,0.417536318221087,0.0278273562005065
"1x15",0.493090663274559,0.0467157946313254,0.426768926190409,0.0334246159037067
"1x16",0.423914133543086,0.00772231782960133,0.526336174474312,0.0420273741530001
"1x17",0.48202138680475,0.0320811366664292,0.485001792273513,0.000895684255307842
"1x18",0.419960341141274,0.0486807611714825,0.5306470449855,0.00071185270174404
"1x19",0.577832406556381,0.0226209513041877,0.391073110405393,0.00847353173403866
"1x20",0.635206834886671,0.00937969289692031,0.344533816533059,0.0108796556833488
"1x21",0.563676224448935,0.0339752732925765,0.358573125973101,0.0437753762853884
"1x22",0.469240702950985,0.0418604740322424,0.485080441367925,0.00381838164884832
"1x23",0.60884073633823,0.0224052652788145,0.356549728148484,0.0122042702344713
"1x24",0.571316003741123,0.0284809491735043,0.392316998065975,0.00788604901939751
"1x25",0.483735655926273,0.0712566894947186,0.444812738368117,0.00019491621089126
"1x26",0.471401635692241,0.0127578587001282,0.394567911476317,0.121272594131313
"1x27",0.579229292470113,0.0128917103148314,0.367166318919815,0.04071267829524
"1x28",0.541123025009233,0.0613859044804678,0.383423775891113,0.014067294619187
"1x29",0.545269782682464,0.0693131244678852,0.326695350363941,0.0587217424857098
"1x30",0.511268260897877,0.146381546406768,0.342350192695355,0
"1x31",0.513471970149312,0.0322275628526065,0.38554165664365,0.0687588103544322
"1x32",0.537836521518557,0.072544491531366,0.38804997986555,0.00156900708452718
"1x33",0.610890941671684,0.012623512326228,0.36880682451254,0.0076787214895477
"1x34",0.544943998042012,0.0153944403806192,0.426000800551607,0.0136607610257618
"1x35",0.611814050497243,0.03965549717518,0.348530452327577,0
"1x36",0.532880407133002,0.0617757020232446,0.405343890843753,0
"1x37",0.50535680557507,0.0427832612702502,0.398695459399668,0.0531644737550118
"1x38",0.591147546855829,0.0183992552852704,0.365737899432139,0.0247152984267616
"1x39",0.462155533867974,0.0866452657272296,0.387270945965492,0.063928254439305
"1x40",0.581907510650326,0.0457425225235183,0.370878451194311,0.00147151563184421
"1x41",0.65823324675839,0.0936785287985376,0.246853829466566,0.00123439497650669
"1x42",0.648942793118349,0.00116905432955973,0.334909358524327,0.0149787940277641
"1x43",0.602868884120636,0.0221731624873396,0.332033662320971,0.0429242910710538
"1x44",0.648038448464181,0.0123540475211302,0.339607504014689,0
"1x45",0.67530011637924,0.0125609616757877,0.276232064912263,0.0359068570327091
"1x46",0.498055310356424,0.0813127958800109,0.386822525040622,0.0338093687229434
"1x47",0.526349618052535,0.114417079607999,0.348660538856903,0.0105727634825634
"1x48",0.551969952120179,0.0137984980722608,0.429797003979,0.00443454582856045
"1x49",0.556239771337598,0.0351667488312413,0.398380028710217,0.0102134511209431
"2x0",0.516902283108805,0.0218327442852013,0.461264972605994,0
"2x1",0.557185551353162,0.00348305712654806,0.438800346724656,0.000531044795633934
"2x2",0.522335466371354,0.0652604686844256,0.41202973150095,0.000374333443270537
"2x3",0.534532321059505,0.0190435587996614,0.439922951566943,0.00650116857389118
"2x4",0.468242660840008,0.00295759350633364,0.479556763493573,0.0492429821600851
"2x5",0.498432694075478,0.00893474994515677,0.481598191394421,0.0110343645849446
"2x6",0.624831478615413,0.0290610714830947,0.321204620276759,0.0249028296247325
"2x7",0.512221376726303,0.0159169278933723,0.444413508911321,0.0274481864690043
"2x8",0.538309986688047,0,0.445576810114181,0.0161132031977715
"2x9",0.556978054439472,0.00327345330916542,0.429260780513997,0.0104877117373661
"2x10",0.480863230879196,0.0126828984581812,0.463694437925026,0.0427594327375964
"2x11",0.491110317449655,0.00327422371924693,0.461599048161324,0.0440164106697743
"2x12",0.513872113822294,0.0449573718450235,0.422834814853636,0.0183356994790463
"2x13",0.601278013042327,0.0396427985715508,0.304355645874525,0.0547235425115978
"2x14",0.547077248961225,0,0.432004298817436,0.0209184522213387
"2x15",0.518186238649719,0,0.473367889594146,0.00844587175613491
"2x16",0.502815006862492,0.000272385286541153,0.483844218911385,0.0130683889395811
"2x17",0.44042856989115,0.0447458174840055,0.514263498334091,0.000562114290752757
"2x18",0.542653754257544,0.04902849986886,0.402031725300231,0.00628602057336484
"2x19",0.495420465989456,0.0198464013256152,0.447424612000387,0.0373085206845411
"2x20",0.46380991014848,0.0062397889767265,0.528842576727879,0.00110772414691427
"2x21",0.439260312542611,0.0622476074074281,0.492395557909859,0.00609652214010134
"2x22",0.451909087068395,0.0417642332117156,0.497207497074913,0.00911918264497679
"2x23",0.518919548730688,0.0419733249108023,0.412047781126768,0.0270593452317415
"2x24",0.559178566252332,0.00207676493730759,0.438342171514223,0.000402497296138187
"2x25",0.573701686923711,0.0299769841680594,0.39632132890823,0
"2x26",0.572872214839315,0.0125210305360162,0.401833690160177,0.0127730644644918
"2x27",0.525218730545,0.0946790582369363,0.37597321317504,0.0041289980430235
"2x28",0.395445906995322,0.103184132395753,0.484586425361357,0.0167835352475685
"2x29",0.548714798179605,0.017136432883751,0.434148768936644,0
"2x30",0.539290778260912,0.0212341113948159,0.373187657794562,0.0662874525497101
"2x31",0.572053977279755,0.0148328872150465,0.388420311629985,0.024692823875214
"2x32",0.52164651584149,0.0377767207922331,0.388595804479167,0.0519809588871106
"2x33",0.516102575810922,0.0851605896192987,0.388729647291686,0.0100071872780936
"2x34",0.670111245897304,0,0.324221416618166,0.00566733748452945
"2x35",0.57095593901587,0.0173097219431981,0.399167163512709,0.0125671755282223
"2x36",0.644591944156901,0.00379125511354027,0.351069897164372,0.000546903565186723
"2x37",0.516261834101366,0.0494476365498789,0.394027513314296,0.0402630160344593
"2x38",0.629043413701998,0.0443070754792843,0.31025144652076,0.016398064297958
"2x39",0.523272526096415,0.046806327845844,0.396401745269952,0.0335194007877893
"2x40",0.561295057170783,0.00171365173310312,0.375235495473116,0.061755795622998
"2x41",0.590510948510001,0.0338344725321819,0.348088935305924,0.0275656436518928
"2x42",0.552422134786747,0.0474487425959532,0.395640582165232,0.00448854045206767
"2x43",0.645008528135825,0.0201665345914424,0.311675040171087,0.0231498971016457
"2x44",0.517888272941548,0.036016172225644,0.420377268651131,0.0257182861816771
"2x45",0.528577178765638,0.0792448461937248,0.390539586748448,0.00163838829219004
"2x46",0.559079504250621,0.0558150996512583,0.350578963059593,0.0345264330385278
"2x47",0.595413750784023,0.0389769949386134,0.361742353797428,0.00386690047993532
"2x48",0.548595403971872,0.0355685035277726,0.395700617506481,0.0201354749938736
"2x49",0.594500231304386,0.0441874322596355,0.33048080526025,0.0308315311757282
"3x0",0.585269152419517,0.0613857834198505,0.339934825242512,0.0134102389181207
"3x1",0.439220609169419,0.0550270394561628,0.481591454792618,0.0241608965818004
"3x2",0.608323897534706,0.00722434656865487,0.378515172991812,0.00593658290482704
"3x3",0.552936096358773,0.00032344666919399,0.446740456972033,0
"3x4",0.515609505920764,0.0548183635583608,0.412949514463904,0.016622616056971
"3x5",0.493171014671926,0,0.50467714961937,0.00215183570870465
"3x6",0.520026096071839,0.000359858041399983,0.440010158628301,0.0396038872584603
"3x7",0.549237329160825,0,0.441804123664025,0.00895854717514943
"3x8",0.683371642835378,0.0235914202338355,0.266819707248654,0.0262172296821316
"3x9",0.469454554905792,0.00282035211103267,0.477206102452733,0.0505189905304429
"3x10",0.474507537995703,0.027103320275547,0.444271054334809,0.0541180873939413
"3x11",0.518024171460614,0.000884310283712771,0.467742522890267,0.0133489953654067
"3x12",0.571315486469686,0,0.426979455073517,0.00170505845679661
"3x13",0.517064042382254,0.0179883316147326,0.458746302251413,0.00620132375160043
"3x14",0.609684700477727,0.00524806902628147,0.379066799813128,0.00600043068286346
"3x15",0.499830747801465,0,0.443380469673571,0.0567887825249636
"3x16",0.535863362390516,0.0484974038496392,0.400846813765869,0.0147924199939762
"3x17",0.49952114199463,0,0.494392255905342,0.00608660210002832
"3x18",0.457201643571874,0.00756036558880713,0.52491959836509,0.0103183924742292
"3x19",0.513541996472572,0.0246436075414331,0.439061603120192,0.0227527928658024
"3x20",0.517318636281157,0.0174316132266521,0.464724035517647,0.000525714974544822
"3x21",0.455248592561635,0.0210184229392488,0.49482372492632,0.028909259572797
"3x22",0.435846556845599,0.0464275513038371,0.517725891850564,0
"3x23",0.495794363600974,0.0313818552756351,0.471566834660624,0.00125694646276723
"3x24",0.588637373748558,0.0179068011595283,0.39052270704894,0.00293311804297377
"3x25",0.540183648357539,0.0403741392528933,0.41814030726893,0.00130190512063711
"3x26",0.665235020455303,0.0185053395577024,0.316259639986994,0
"3x27",0.484829302312857,0.0568869683081675,0.424224367675043,0.0340593617039327
"3x28",0.531569919124608,0.0742715925309201,0.392178051965795,0.00198043637867704
"3x29",0.594274730337726,0.0213005008312537,0.381151002150086,0.00327376668093345
"3x30",0.625136387651864,0.0460354791237738,0.328171204309699,0.00065692891466318
"3x31",0.638430047463576,0.0369935819270807,0.324576370609343,0
"3x32",0.525615991697311,0,0.437648113592563,0.0367358947101258
"3x33",0.620982055904757,0.0519975444489319,0.31989686384692,0.0071235357993908
"3x34",0.618372618445763,0.0470277776443962,0.28542445544059,0.0491751484692507
"3x35",0.551032654215353,0.058956357741179,0.334169873073088,0.0558411149703791
"3x36",0.530395681199016,0.0615657777268227,0.386490114189394,0.021548426884768
"3x37",0.549303488328915,0.0699505132462004,0.359006103143429,0.021739895281455
"3x38",0.525851710993887,0.130483420641949,0.336686456760971,0.00697841160319419
"3x39",0.586298638117975,0.0142566412168576,0.381277408463201,0.0181673122019668
"3x40",0.536044071394077,0.116350489149021,0.347605439456901,0
"3x41",0.597776614765963,0.0505443625069435,0.345343441799067,0.00633558092802723
"3x42",0.651723776893994,0.0610134049377647,0.281966709474348,0.00529610869389247
"3x43",0.597430804709765,0.0206269897531597,0.367672071938675,0.0142701335984003
"3x44",0.411461115066423,0.0575267655656174,0.4693008107606,0.0617113086073592
"3x45",0.516604664644449,0.0683826891191164,0.3396800619746,0.0753325842618345
"3x46",0.527066500719903,0.0120871862334507,0.422277862958467,0.0385684500881789
"3x47",0.506828843660508,0.112070701957672,0.363168121737006,0.0179323326448137
"3x48",0.492027771873146,0.00116606029176017,0.420451108266419,0.0863550595686742
"3x49",0.568216913336722,0.0445870360992285,0.377850381866913,0.00934566869713724
"4x0",0.550882817402338,0.00232348677308593,0.424425455919212,0.0223682399053644
"4x1",0.556842177401201,0.0026223608408715,0.440535461757927,0
"4x2",0.545016381606676,0,0.454451017837453,0.000532600555870811
"4x3",0.469801486831157,0,0.469149853440094,0.0610486597287492
"4x4",0.552163386599886,0,0.432564222124358,0.0152723912757557
"4x5",0.507879628195433,0,0.454068917572653,0.0380514542319143
"4x6",0.569054969821869,0.00103306858730453,0.399925420366159,0.029986541224668
"4x7",0.520118155627563,0.0303395544481382,0.441024919351153,0.00851737057314546
"4x8",0.527466817489272,0.00991853589090217,0.436110943686221,0.0265037029336046
"4x9",0.510578797521582,0.0017107790073272,0.450253015055581,0.0374574084155096
"4x10",0.506972840369394,0.000309419283165444,0.448151358506907,0.0445663818405337
"4x11",0.506686362968255,0.00329172824674697,0.454576494845004,0.0354454139399939
"4x12",0.483126881406615,0.00123227796556519,0.4965975398309,0.01904330079692
"4x13",0.56394686133294,0.000443979247812701,0.426874749031777,0.00873441038747033
"4x14",0.434391418569122,0.0435835127656293,0.504835057710069,0.0171900109551801
"4x15",0.560872216352032,0.000540382467832311,0.437870335064879,0.0007170661152563
"4x16",0.418149495168228,0.0416127516035667,0.528629754106529,0.0116079991216769
"4x17",0.501689383786929,0.0225374727581805,0.455906219033141,0.0198669244217489
"4x18",0.503083817275899,0,0.480541540046485,0.0163746426776168
"4x19",0.467919582800022,0.0560678751205632,0.442705755821831,0.0333067862575843
"4x20",0.490817741696804,0.0134342824517288,0.495747975851467,0
"4x21",0.405710592958199,0.069325368064023,0.518545018423402,0.00641902055437596
"4x22",0.507766907056539,0.0370327899225917,0.45520030302087,0
"4x23",0.612374909350129,0.0120328359718602,0.367342057519671,0.00825019715833931
"4x24",0.509341667391097,0.0454659343522217,0.402919961081046,0.0422724371756357
"4x25",0.607582783516851,0.0423323918181371,0.343032437572383,0.00705238709262948
"4x26",0.59665364115482,0.0033434863608014,0.368024877176314,0.0319779953080646
"4x27",0.633330216650347,0.0159796048426352,0.329126195844725,0.0215639826622925
"4x28",0.548146708800702,0.0578949892748195,0.377739427549646,0.0162188743748322
