"","Ductal","Cancer","mDCs","Macrophages","Mast","Monocytes"
"0x0",0.0848166547502995,0.680271535512596,0.118432560543444,0.0691781467580214,0.0473011024356393,0
"0x1",0.0778428676081143,0.619391383059923,0.0869305848449554,0.212116372133596,0.00371879235341103,0
"0x2",0.149460861549762,0.753938893879738,0.0544502691528439,0,0.0391128008548762,0.00303717456277945
"0x3",0.0270866146672619,0.656884377661654,0.116844329760447,0.165347944800886,0.0337035765488748,0.000133156560875933
"0x4",0.0557253508696783,0.801382606488452,0,0.0730736177574638,0.0220382149977311,0.0477802098866743
"0x5",0.099099987701076,0.783182258327615,0,0.0998079338766401,0.0179098200946687,0
"0x6",0.12188476607683,0.794147286586536,0,0,0.0822327541986455,0.00173519313798868
"0x7",0.104390689760132,0.786943965030118,0.0134946052757705,0.0452427515939994,0.0434356889287219,0.00649229941125824
"0x8",0.0809384370239678,0.818695952525162,0,0,0.10036561045087,0
"0x9",0.099138298325548,0.830227607268196,0.0194842369296015,0,0.0511498574766547,0
"0x10",0.0389766240825718,0.842804027808837,0.0458759826574781,0.0494114897452535,0.0146265482908268,0.00830532741503277
"0x11",0.134518550722263,0.783029293200054,0,0,0.0561528885852551,0.0262992674924273
"0x12",0.127686258291738,0.785830832377168,0,0.0125858591406366,0.0556831539537186,0.0182138962367383
"0x13",0.182386342668506,0.741205495195069,0.000619947932258277,0,0.0757882142041667,0
"0x14",0.10779222846593,0.820483932640352,0.00222069081471094,0,0.0693709346814524,0.000132213397554832
"0x15",0.0881335984530937,0.809492199927924,0.0653740966572797,0,0.037000104961703,0
"0x16",0.151251578768501,0.778648363921846,0,0,0.0549369882340414,0.0151630690756115
"0x17",0.163098605263392,0.716716079371704,0,0,0.0963942990346089,0.0237910163302949
"0x18",0.310062055910715,0.513575716024505,0.0610542883213662,0.000519660919231634,0.078855719380806,0.0359325594433756
"0x19",0.0819280208361607,0.812189088082707,0.0445176757038692,0.0446329102660958,0,0.0167323051111673
"0x20",0.0615597491609334,0.790105622588083,0.0336119419685656,0,0.0631509387816122,0.051571747500806
"0x21",0.0333669021962082,0.699924704032044,0.137937536490789,0.0368787163681376,0.0918921409128213,0
"0x22",0.196579797443755,0.635408801363887,0.0316592556061545,0,0.0537111149079389,0.0826410306782644
"0x23",0.266676127099908,0.422868475934098,0.00779405276885631,0.237605499381419,0.0518017099912934,0.0132541348244259
"0x24",0.155418377638447,0.697337415875037,0,0,0.101524019455533,0.0457201870309827
"0x25",0.294542151130682,0.412025859197299,0.138801905649999,0.0800633974593261,0.0672518036254372,0.00731488293725644
"0x26",0.141025418561617,0.629853946410363,0.0719807548315218,0.0802684198115971,0.0768714603849008,0
"0x27",0.130288457023829,0.566247667380693,0.0310671593351423,0.187481383127814,0.0732764347062665,0.0116388984262544
"0x28",0.127824978758847,0.482305392034714,0.16058183153047,0.077853404625642,0.110878251664546,0.0405561413857811
"0x29",0.252372360455215,0.339691468913835,0.264813007912168,0.102549545674106,0.0358475503152784,0.00472606672939737
"0x30",0.321461141993253,0.43278018174444,0.0350177572627432,0.0636660542986868,0.0446937260952211,0.102381138605656
"0x31",0.123796428482568,0.609770271028468,0.147516507642767,0.0780175278890392,0.0395709585770201,0.0013283063801366
"0x32",0.113445805862416,0.472948436523534,0.269329521452262,0,0.110051943422514,0.0342242927392735
"0x33",0.106481949309619,0.699838512388662,0.151962399959518,0.00626697674016855,0.0166979345740839,0.0187522270279484
"0x34",0.10593411717613,0.513419440265825,0.0106772878922519,0.0838680755118926,0.269294704024381,0.0168063751295202
"0x35",0.0642677794353513,0.430485755037831,0.22577398151494,0.14603568344598,0.133436800565898,0
"0x36",0.152441326748976,0.478944794747066,0.0605864381571886,0.0962063419129755,0.206864538075245,0.00495656035854877
"0x37",0.227659498134633,0.385260096025246,0.139431683617201,0.101972704194264,0.110503641809555,0.0351723762191003
"0x38",0.322901121514215,0.390052976320998,0.0171512053491459,0.0989721391622894,0.0752008485600981,0.0957217090932545
"0x39",0.293822615943686,0.302449376576269,0.297796370327795,0.0493316796104332,0.0561060155815827,0.000493941960234377
"0x40",0.228623822613684,0.502495494375197,0.115621739666637,0.0462725512700444,0.0686145612782742,0.038371830796163
"0x41",0.287575056235711,0.180471038482505,0.208964553914029,0.182645798494688,0.059707042213478,0.0806365106595882
"0x42",0.208925075400922,0.304314799135174,0.19232110992436,0.0767886675626211,0.20381971365007,0.0138306343268526
"0x43",0.220128151025572,0.435556240834636,0.0776990586025531,0.151398170110774,0.0803525012803561,0.0348658781461086
"0x44",0.441921016988508,0.208239173290762,0.0758373371498483,0.152420853811662,0.12158161875922,0
"0x45",0.17469032162148,0.487599022926753,0,0.232974134291438,0.066428136916025,0.0383083842443032
"0x46",0.287001698767239,0.366692129640324,0.154785061114929,0.0568802922526595,0.130687473851677,0.00395334437317153
"0x47",0.37109299474015,0.232551040349987,0.134191801547538,0.188860280475483,0.0705606261531113,0.00274325673373007
"0x48",0.235031031740996,0.344572508126547,0.240669048284913,0.00625648737050737,0.113017554848835,0.0604533696282008
"0x49",0.321272463598519,0.400578712927598,0.00225227249168571,0.174102011503383,0.0543654072906981,0.0474291321881159
"1x0",0.160242723876975,0.773218047207062,0,0.0493332461101951,0.017205982805767,0
"1x1",0.227228730141394,0.695436809761864,0.03496226844904,0.00891746878475628,0.030373488298663,0.00308123456428335
"1x2",0.0639773594793139,0.789775302551206,0.0925978396195998,0.0122612131829603,0.00180102305689476,0.0395872621100251
"1x3",0.157804661238685,0.645364132566868,0.13804218886428,0,0.0410266171452515,0.0177624001849155
"1x4",0.147683114629036,0.787326884092825,0.00787237015477315,0,0.0571176311233657,0
"1x5",0.0359108392404779,0.897397775908079,0,0,0.0531287320119577,0.0135626528394851
"1x6",0.129329758994905,0.785461802471183,0,0.00848199417250059,0.0706960803340336,0.00603036402737723
"1x7",0.110640191777572,0.823490194655486,0.0036630467778876,0,0.0622065667890539,0
"1x8",0.181363543730824,0.737930558017298,0.013331318603238,0,0.0673745796486406,0
"1x9",0.111209639773367,0.82986224894883,0,0,0.0469313956036955,0.011996715674108
"1x10",0.0264186842900654,0.433896587488971,0.216607093803309,0.211539837119301,0.0351604553449516,0.0763773419534017
"1x11",0.155640937345287,0.767258303820766,0.0387267188583876,0,0.0339962008610762,0.00437783911448305
"1x12",0.236170712864671,0.643884663622444,0.0425156456194478,0,0.0753653516953962,0.0020636261980411
"1x13",0.0804267866224802,0.793868081673974,0.0550551720288135,0,0.0316248451968221,0.0390251144779105
"1x14",0.0661687110887973,0.820950755178195,0,0,0.0833985591165182,0.0294819746164897
"1x15",0.164439540422293,0.764039103237869,0.0119374396111354,0,0.0381410512293261,0.0214428654993772
"1x16",0.0860546430286064,0.647791652131045,0.0862041697505539,0,0.178844685347211,0.00110484974258375
"1x17",0.160537524106894,0.750976579191265,0.0643904639345254,0,0.0191449277347931,0.00495050503252245
"1x18",0.164720533636724,0.691780175960202,0.0721060360281727,0,0.0705496934920688,0.000843560882832844
"1x19",0.160336578838606,0.669579666489606,0.0555622071960607,0.0785700119462087,0.035951535529519,0
"1x20",0.114483617122729,0.608288997085631,0.00246394162333933,0.232482036985527,0.0371551500053313,0.00512625717744232
"1x21",0.277308905703423,0.604719967626816,0.0032182883100445,0.0180329658012474,0.0455767646525418,0.0511431079059274
"1x22",0.170750399828181,0.561552091295073,0.136141473390748,0,0.131556035485997,0
"1x23",0.0648591670424671,0.632407222178048,0.178713061232829,0.016787215266242,0.1026891163346,0.00454421794581432
"1x24",0.0254820168030347,0.736304151856195,0.160659526932945,0,0.0561482662393295,0.0214060381684956
"1x25",0.0824911591440018,0.594443298258789,0.104494170577108,0.129056224428117,0.0434500994928503,0.0460650480991344
