	Cancer	Ductal	Macrophages	Mast	Monocytes	mDCs
0x0	0.28014994	0.30109504	1.740581e-10	1.151513e-12	2.2803217e-06	0.41875276
0x1	0.18609951	3.7184672e-10	0.17753465	9.746196e-13	0.21525685	0.421109
0x2	0.3381969	0.06304903	0.011329666	1.0590672e-12	0.23949957	0.34792483
0x3	0.27954197	8.8305085e-11	0.110719845	7.865432e-13	0.1312707	0.4784675
0x4	0.23540606	2.1103246e-11	0.04634192	1.202488e-12	0.41356322	0.30468872
0x5	0.4435258	0.14777927	2.1246725e-10	1.7460968e-12	0.027023513	0.3816714
0x6	0.4009792	0.20374572	0.0722297	0.25122774	0.07181766	3.352389e-11
0x7	0.43054911	0.108536474	0.112076886	1.3810455e-12	1.318327e-10	0.34883752
0x8	0.95831156	8.119896e-11	2.4000307e-11	2.5125765e-12	0.04168846	1.3355456e-11
0x9	0.91918564	0.080814354	1.3567407e-11	2.0500567e-12	7.777313e-12	1.6664593e-11
0x10	1.5965426e-05	2.114592e-11	0.12987468	1.9824736e-12	0.077910334	0.792199
0x11	0.58617973	0.2715356	0.055247728	0.012683839	0.03498802	0.039365184
0x12	3.1143772e-09	3.8264964e-11	0.7664507	3.763213e-12	0.23354927	8.8459726e-11
0x13	1.0	7.1504364e-10	6.993569e-12	2.4324052e-12	7.539643e-12	9.413569e-12
0x14	0.8884675	7.9063055e-11	2.3205136e-11	4.7432535e-12	0.111532554	1.817987e-11
0x15	0.49165684	2.3562105e-11	8.2143264e-11	1.7763157e-12	0.1682029	0.3401403
0x16	0.48180434	3.6590973e-11	0.05205604	0.46613958	6.2299756e-11	8.2549e-12
0x17	1.632781e-11	1.8665947e-11	3.0588906e-11	0.7351245	0.26487544	1.8300063e-11
0x18	0.21305291	0.25186414	0.20697537	1.0080236e-12	0.13245717	0.19565041
0x19	0.24375471	0.36447707	0.09858431	1.0526042e-12	0.1014078	0.19177614
0x20	0.38052303	2.7664548e-10	1.1604956e-11	1.3731499e-12	0.48111734	0.1383596
0x21	0.47281957	4.063779e-11	2.6173907e-10	9.917749e-13	0.08227408	0.44490638
0x22	0.33813202	0.10379834	0.16730134	7.654716e-13	0.27404654	0.11672173
0x23	0.16252407	0.26501197	0.16054812	8.1666255e-13	0.20269665	0.20921913
0x24	0.22129281	0.1129352	0.20739006	0.24299924	0.13161445	0.08376831
0x25	0.16543601	0.16634248	0.21347348	8.0108825e-13	0.04340175	0.41134626
0x26	0.1573974	0.16855444	0.09073867	0.12724291	0.0760017	0.380065
0x27	0.23034428	0.1043068	0.19514388	0.13151401	0.12507004	0.213621
0x28	0.14608736	0.21024303	0.12880218	0.14563449	0.13392636	0.23530662
0x29	0.28907448	0.11776082	0.08860241	6.2079134e-13	0.17378204	0.33078027
0x30	0.2974082	0.18403283	0.19205362	7.8134824e-13	0.16863082	0.15787451
0x31	0.3022798	0.047357332	0.16126223	1.0475271e-12	0.089191996	0.3999086
0x32	0.2174442	0.14910245	0.21208808	6.935842e-13	0.09704552	0.32431975
0x33	0.2978828	0.096797556	0.049966436	9.835919e-13	0.11991284	0.43544036
0x34	0.1244412	0.25466573	0.19004111	0.2774032	0.15344878	6.8685324e-10
0x35	0.28630218	0.08003191	0.056384597	0.14168198	0.14320083	0.2923985
0x36	0.2676558	0.010099576	0.16712157	0.3356647	0.062098477	0.15735991
0x37	0.05469389	0.229296	0.19687964	6.6663943e-13	0.1896507	0.32947978
