	Macrophages	Mast	Monocytes	mDCs
0x0	1.7501173e-12	1.0123479e-11	9.744734e-13	1.0
0x1	2.9897068e-12	0.09634196	0.03018547	0.87347263
0x2	2.5764873e-11	9.800903e-12	0.010612968	0.98938704
0x3	3.1209698e-12	0.04455819	0.03327183	0.92217
0x4	0.2758694	3.621819e-11	0.40016487	0.32396573
0x5	6.8528074e-12	1.8833856e-11	4.0001127e-12	1.0
0x6	3.2224893e-12	1.0	1.8140217e-12	2.9983156e-12
0x7	1.5904918e-11	1.6323448e-11	5.9647877e-12	1.0
0x8	0.22539906	0.28895754	0.29814368	0.18749967
0x9	0.20542502	0.36108133	0.12881383	0.3046798
0x10	9.766541e-12	8.162211e-12	2.0133916e-12	1.0
0x11	0.24305499	0.40180215	0.1395689	0.21557397
0x12	1.0	4.9591577e-11	9.892078e-11	4.9196078e-11
0x13	0.22647746	0.3600551	0.14568532	0.2677821
0x14	0.1582052	0.32546037	0.34230214	0.17403236
0x15	8.871186e-12	1.6461433e-11	5.485086e-12	1.0
0x16	4.5671023e-12	1.0	2.5435708e-12	3.706617e-12
0x17	3.756845e-12	0.9977721	0.0022279473	1.6355223e-12
0x18	0.6695117	3.0291297e-11	0.09055075	0.2399375
0x19	0.3441357	3.2023113e-11	0.026741926	0.62912244
0x20	9.409398e-12	2.6411769e-11	0.55702364	0.44297642
0x21	3.1386447e-12	0.100013584	1.1049878e-12	0.8999864
0x22	0.38972706	1.2900772e-11	0.3222696	0.28800333
0x23	0.20237975	5.779559e-12	0.053539608	0.74408066
0x24	0.24952725	0.69419485	0.056277897	1.9738668e-12
0x25	2.2370765e-10	3.371062e-12	0.020348428	0.9796516
0x26	1.5013073e-12	0.37324816	0.0029320838	0.62381977
0x27	0.21296723	0.37151188	0.0055561108	0.4099648
0x28	0.095355466	0.37957332	0.040918462	0.4841528
0x29	6.751787e-12	2.710216e-12	0.033337068	0.9666629
0x30	0.59436387	2.4857984e-11	0.07228046	0.3333556
0x31	0.02150567	7.122316e-12	0.00630371	0.9721906
0x32	0.13271032	7.447853e-12	1.4155631e-12	0.86728966
0x33	3.929573e-12	3.965866e-12	0.0074975286	0.99250245
0x34	0.13166009	0.82721174	0.04112819	4.8528985e-12
0x35	6.021614e-12	0.27871642	1.6613934e-12	0.7212836
0x36	0.08038724	0.7068197	0.016351962	0.19644104
0x37	0.1890204	3.646759e-11	0.013770409	0.79720926
0x38	0.41777506	3.4960884e-12	0.21355027	0.36867473
0x39	1.7483221e-12	0.09743044	0.011803876	0.8907657
0x40	0.1252391	0.39187396	1.6988365e-12	0.48288694
0x41	0.07408542	4.9959387e-10	0.12598838	0.7999262
0x42	0.1369959	0.38462386	0.025823327	0.4525569
0x43	0.062426396	1.1189225e-10	0.036702994	0.9008706
0x44	0.021429436	0.4545493	5.491449e-12	0.52402127
0x45	0.45205876	0.05344971	0.04073564	0.4537559
0x46	0.056218687	0.41054177	0.0070118755	0.5262276
0x47	0.046709117	0.10298551	0.057121627	0.79318374
0x48	0.10581916	2.8516062e-10	0.10396493	0.7902159
0x49	0.5038596	4.2971126e-12	0.011610448	0.4845299
1x0	0.57518184	4.4340978e-10	1.0415725e-09	0.42481813
1x1	0.55957115	2.8659346e-11	1.2387227e-11	0.4404288
1x2	0.19025038	4.275659e-12	2.6688142e-12	0.8097496
1x3	2.7495848e-12	3.9814927e-12	2.5287305e-12	1.0
1x4	0.16457948	0.2880131	0.117169365	0.43023807
1x5	6.347207e-12	0.97322303	0.026776943	3.851634e-12
1x6	2.8980085e-09	4.7222143e-10	1.0	4.4077877e-10
1x7	0.18132927	0.43266445	0.11430972	0.27169654
1x8	0.1953033	0.4729255	0.08874337	0.24302784
1x9	2.698909e-10	1.4058943e-10	1.0	1.0151106e-10
1x10	0.14947563	0.093144715	0.036233116	0.7211465
1x11	1.2344492e-11	1.6850375e-11	5.8860018e-12	1.0
1x12	2.5598449e-11	3.325435e-11	1.2819961e-11	1.0
1x13	6.0735904e-12	1.1353174e-11	5.800105e-12	1.0
1x14	1.31026e-11	1.7363786e-11	1.0	9.771649e-12
1x15	0.23600891	0.31973875	0.15767258	0.28657973
1x16	5.425592e-12	0.89693904	2.225856e-12	0.10306099
1x17	9.123574e-12	1.26802934e-11	2.375505e-12	1.0
1x18	9.6978016e-11	0.19857392	1.7453886e-11	0.80142605
1x19	0.04202664	6.085509e-12	3.708103e-12	0.95797336
1x20	0.020364188	6.65701e-12	0.039442476	0.94019336
1x21	0.035696838	0.63373184	0.3305713	1.0140449e-11
1x22	2.4823776e-12	0.7328354	7.536591e-13	0.26716456
1x23	1.7376788e-11	1.2200799e-11	0.04000225	0.9599978
1x24	0.15311429	2.3799128e-11	0.0034649665	0.8434208
1x25	0.027144449	2.1995602e-11	0.06635699	0.9064986
1x26	0.28564417	6.043086e-12	0.588129	0.12622681
1x27	2.824101e-12	0.008620213	0.04012847	0.9512513
1x28	0.38839266	2.776036e-12	0.06505674	0.5465506
1x29	0.29792562	2.3456985e-11	0.22808419	0.47399023
1x30	0.018358715	0.29130882	0.00065184326	0.68968064
1x31	0.045861024	3.898249e-11	0.22581585	0.7283232
1x32	4.8765957e-11	2.5720115e-11	0.041490037	0.95851
1x33	5.6387993e-12	5.79999e-12	1.5187888e-12	1.0
1x34	0.04740888	0.6277403	0.012735731	0.312115
1x35	0.17071909	0.0046673915	1.93303e-09	0.8246135
1x36	0.26609778	0.46034735	8.488272e-12	0.2735549
1x37	0.13865663	0.34305206	0.1614171	0.3568742
1x38	0.034557674	6.5180743e-12	0.044726685	0.92071563
1x39	0.22463354	0.5722147	0.20315172	8.777347e-12
1x40	0.08987934	0.38100478	3.1562977e-12	0.5291159
1x41	0.21589658	8.587082e-11	0.030658085	0.7534453
1x42	2.7311061e-12	4.0574783e-12	1.0609688e-12	1.0
1x43	0.033010796	0.043021396	0.08496158	0.8390062
1x44	0.013414686	2.7784715e-12	3.2624466e-11	0.9865853
1x45	2.8026657e-12	0.14070405	0.0026453023	0.85665065
1x46	0.3912082	0.44535506	0.16343677	3.2349663e-12
1x47	0.3378428	3.7778942e-12	1.39515404e-11	0.6621572
1x48	0.081351414	1.5965286e-11	1.5460072e-11	0.9186486
