	Cancer	Ductal	Macrophages	Mast	Monocytes	mDCs
0x0	0.6038149	0.09888479	3.710761e-10	3.7145105e-12	0.007952516	0.2893477
0x1	0.32757634	0.02289397	0.40796357	0.029933536	0.079934224	0.13169828
0x2	0.58203846	2.711364e-10	3.1264416e-10	4.1595763e-12	0.13456629	0.28339526
0x3	0.4211836	2.8035924e-12	0.3763016	2.9149857e-12	0.026931321	0.17558353
0x4	0.50450987	2.1258874e-12	0.22807376	2.6456693e-12	0.22863257	0.03878379
0x5	0.6729499	0.12887342	0.16508098	2.5708493e-12	4.0380234e-12	0.03309565
0x6	0.62752503	0.114404574	1.8296628e-11	0.23155385	0.026516518	4.313812e-12
0x7	0.62319535	0.11009191	0.09492686	2.7276792e-12	0.043475572	0.12831032
0x8	1.0	4.7454063e-12	4.5411847e-12	2.9766766e-12	4.538734e-12	2.4737976e-12
0x9	0.92739314	0.07260683	6.05985e-12	2.0282242e-12	5.049653e-12	2.5292888e-12
0x10	0.53984904	3.6993373e-12	0.043946322	5.5558e-12	0.10084952	0.315355
0x11	0.756447	0.24355297	4.662509e-12	2.9789786e-12	4.937099e-12	2.4267105e-12
0x12	0.65617335	7.0056396e-12	0.08110351	7.251456e-12	0.26272312	8.106976e-12
0x13	0.769445	0.23055497	2.7535465e-12	1.6762057e-12	2.8999273e-12	2.0842462e-12
0x14	0.98872995	9.777947e-10	4.5776868e-12	3.0633235e-12	0.011270043	2.8794556e-12
0x15	0.729866	3.135865e-12	0.069291145	3.3759204e-12	3.5221923e-10	0.2008428
0x16	0.6005984	0.207282	4.719132e-12	0.1921196	8.4663335e-12	2.2144003e-12
0x17	0.21224894	0.23818539	7.957611e-11	0.36790586	0.1816598	1.2407608e-11
0x18	0.39877093	0.23030329	0.073040865	7.333402e-12	0.23776336	0.0601215
0x19	0.61951107	5.0511793e-05	0.1380532	2.9364746e-12	0.13297148	0.10941365
0x20	0.6357412	5.638537e-12	0.024431204	5.1878003e-12	0.24856493	0.09126264
0x21	0.5745231	2.6569944e-12	0.052982662	2.4096298e-11	0.024619708	0.34787446
0x22	0.4349658	0.13361204	2.1866774e-11	8.7009375e-12	0.2998675	0.13155465
0x23	0.2829506	0.16107515	0.433993	5.071381e-12	0.09872696	0.023254277
0x24	0.48425376	0.09509873	1.1923199e-11	0.22049162	0.19454816	0.0056077912
0x25	0.3375279	0.19701687	0.29054117	3.4661252e-12	0.04540678	0.12950724
0x26	0.29379144	0.17258556	0.2349691	0.09902619	1.1951716e-11	0.19962767
0x27	0.31471655	0.112646535	0.30149204	0.104451396	0.087319694	0.07937369
0x28	0.32131067	0.07742817	0.06932499	0.13088058	0.16911916	0.23193642
0x29	0.31878257	0.056628328	0.1924863	0.02646724	0.11540586	0.29022968
0x30	0.30142954	0.19527547	0.23466164	2.5935415e-12	0.22227558	0.04635778
0x31	0.45320168	0.042233065	0.046056997	8.992803e-12	0.14597146	0.31253678
0x32	0.36910194	0.0007369531	0.01095185	6.6196952e-12	0.22294322	0.39626598
0x33	0.47661588	0.06943891	0.08568201	3.5024197e-12	0.0542025	0.31406072
0x34	0.33845717	0.08960903	0.13616493	0.25232205	0.1727719	0.010674959
0x35	0.348947	0.037911136	0.15354098	0.13689205	0.07392806	0.24878074
0x36	0.3563577	0.06690112	0.17806867	0.23970462	0.10692937	0.052038506
0x37	0.30799395	0.12299935	0.25956473	1.7106977e-12	0.1469119	0.1625301
0x38	0.22780402	0.20484507	0.24902733	2.7463613e-12	0.24502221	0.073301405
0x39	0.20095736	0.19090316	0.15521814	5.5880916e-12	0.07223694	0.3806844
0x40	0.26161516	0.17085439	0.07226857	0.13804662	0.120502904	0.23671237
0x41	0.038492735	0.25731373	0.10953399	2.1180743e-11	0.32774183	0.26691777
0x42	0.19359483	0.08771621	0.17779386	0.18934381	0.17996928	0.17158212
0x43	0.25626317	0.24945264	0.31178457	1.0677437e-11	0.036905605	0.14559397
0x44	0.08933705	0.35642183	0.26076755	0.14491226	0.025797658	0.12276366
0x45	0.35365394	0.09689685	0.29058835	8.90458e-12	0.18762122	0.07123957
0x46	0.20864344	0.2024277	0.1518938	0.13100712	0.10031098	0.20571695
0x47	0.123587385	0.30254883	0.37317678	0.030857584	0.11406662	0.055762805
0x48	0.2229381	0.14683115	0.1307112	0.020728303	0.22514239	0.25364888
0x49	0.2409476	0.23293105	0.4085475	1.9152926e-12	0.10434966	0.013224164
1x0	0.7511208	0.11625865	0.13262047	3.6340835e-12	8.456495e-12	5.69522e-12
1x1	0.6115179	0.10363965	0.17094281	3.1225918e-12	0.11389964	1.5675383e-11
1x2	0.44130042	0.058386505	0.01839609	3.4633772e-12	0.1970494	0.28486753
1x3	0.48115897	0.1127673	0.0181426	1.417596e-11	0.02675256	0.3611786
1x4	0.97303295	0.026967028	6.2298855e-12	4.8483613e-12	3.6055052e-12	8.412459e-12
1x5	0.5675777	5.985483e-12	3.003166e-11	0.19840162	0.23402068	5.8535134e-12
1x6	1.0	4.9504584e-12	6.838666e-12	3.003573e-12	6.5470344e-11	4.256003e-12
1x7	1.0	2.8357475e-12	3.8255714e-12	2.893769e-12	3.813158e-12	2.3683256e-12
1x8	0.70836335	0.29163662	4.203916e-12	3.402494e-12	3.5791589e-12	2.321924e-12
1x9	0.96777093	5.991848e-12	5.2396273e-12	2.6351477e-12	0.032229103	2.7311974e-12
1x10	0.30276638	1.5833787e-12	0.2981745	0.03120326	0.14112838	0.22672749
1x11	0.7948376	2.871889e-12	8.5160066e-11	4.7612526e-12	9.261169e-12	0.20516239
1x12	0.6551342	0.21320733	0.039682098	2.7833961e-12	5.9013914e-12	0.09197636
1x13	0.6890794	3.2970215e-12	2.9385525e-11	2.4681446e-12	0.011777311	0.2991433
1x14	0.7245954	4.1273382e-12	8.316567e-12	3.3717402e-12	0.2754046	3.8294736e-12
1x15	0.7810016	0.21899839	4.378691e-12	2.8953359e-12	4.16635e-12	2.330198e-12
1x16	0.6262972	0.07616421	0.025374742	0.18601568	1.34290894e-11	0.08614816
1x17	0.54453987	2.1603446e-11	2.4798538e-11	7.933228e-12	0.05829716	0.39716294
1x18	0.6740942	3.4068486e-12	3.1398967e-11	0.011460081	0.03365425	0.2807914
1x19	0.52487046	4.9564727e-12	0.15254802	4.9569927e-12	0.07838796	0.24419355
1x20	0.40556473	0.06063431	0.3658381	4.41474e-12	0.0620037	0.10595913
1x21	0.39456344	0.24592446	0.04575886	0.1270022	0.18675101	3.6031078e-12
1x22	0.37534183	0.10023395	2.0427023e-11	0.2683054	9.948844e-12	0.2561189
1x23	0.3764465	0.0694433	0.068589695	0.015471928	0.11780167	0.35224685
1x24	0.44505873	3.0469646e-12	0.034127265	5.097948e-12	0.27117628	0.24963772
1x25	0.48052695	3.0128567e-12	0.22399585	5.573323e-12	0.11605868	0.17941846
1x26	0.40728328	0.081571795	0.113319956	2.3058144e-12	0.37386718	0.023957746
1x27	0.24426259	0.18746261	0.2262084	5.060489e-11	0.06564544	0.27642095
1x28	0.31472307	0.14240283	0.055751998	2.6665543e-12	0.34516847	0.14195362
1x29	0.020406615	0.34315994	0.34794697	0.01473892	0.27374756	3.1558825e-11
1x30	0.342039	0.05175363	0.06422813	0.14982097	0.12962295	0.26253533
1x31	0.35238665	4.2420065e-12	0.18582745	0.015087814	0.25467387	0.19202425
1x32	0.26845002	0.18162811	0.33327898	0.048822187	0.01967536	0.14814533
1x33	0.3808792	0.056972437	0.16795594	1.5497678e-11	0.06492123	0.3292713
1x34	0.22188017	0.1934183	0.12258397	0.18406229	0.115084134	0.1629711
1x35	0.28887078	0.19616526	0.085547686	9.4565146e-12	0.16256039	0.2668559
1x36	0.2924429	0.1458894	0.13887632	0.1295162	0.2032125	0.09006273
1x37	0.13825579	0.22321098	0.1311043	0.11251964	0.26985532	0.12505402
1x38	0.2578791	0.09504311	0.28029293	0.0015182911	0.1574589	0.20780769
1x39	0.39150262	0.0288112	3.6463915e-11	0.16262358	0.28487632	0.13218625
1x40	0.3214876	0.022105815	0.09738572	0.16556844	0.08592609	0.3075263
1x41	0.2879404	0.08771587	0.36370316	4.7438158e-11	0.16565023	0.094990335
1x42	0.22841007	0.19568154	0.061516438	0.025533749	0.07060248	0.41825578
1x43	0.24925359	0.07554014	0.32324004	0.011612765	0.14850299	0.19185041
1x44	0.13894926	0.24149035	0.18226632	3.887121e-12	0.08233182	0.35496226
1x45	0.29714364	0.101388626	0.08135443	0.1017463	0.022851612	0.3955154
1x46	0.2918792	0.12672922	0.10276079	0.15909933	0.3195314	3.0677151e-12
1x47	0.28625932	0.12899871	0.2164487	1.1546163e-11	0.1703719	0.1979213
1x48	0.18743892	0.31499323	0.16210403	2.9552819e-12	0.11700558	0.21845825
1x49	0.33620438	0.08336045	0.15820454	0.12974547	0.097754605	0.19473055
2x0	0.775164	2.959917e-12	0.07675421	1.9406133e-12	0.06717526	0.08090653
2x1	0.47879326	4.808776e-12	0.1760286	4.6712742e-12	0.0541559	0.2910222
2x2	0.73377085	0.041227356	6.200491e-12	5.04459e-12	0.22500178	2.7647292e-12
2x3	1.0	4.597979e-12	4.1418704e-12	3.648065e-11	2.863583e-12	3.3300487e-12
2x4	0.81779563	0.18220432	1.0811339e-11	4.9018758e-12	5.293655e-12	4.2985507e-12
2x5	0.5473106	0.101002	0.121006325	2.106428e-12	8.504771e-12	0.23068102
2x6	0.3452018	0.014307205	0.2200969	0.12424749	0.07275603	0.22339053
2x7	1.0	4.8396907e-12	4.3808694e-12	3.4836984e-12	4.353714e-12	2.5221693e-12
2x8	0.7764688	5.1553453e-12	2.3005757e-11	7.442851e-12	0.22353123	2.7452166e-11
2x9	1.0	6.0399728e-12	3.0315505e-12	2.3008557e-12	3.0532998e-12	1.9893115e-12
2x10	1.0	9.571294e-12	8.4596176e-12	4.799448e-12	5.426509e-12	5.8568554e-12
2x11	1.0	9.041009e-12	5.642868e-12	3.1440798e-12	5.97368e-12	2.49396e-12
2x12	1.0	5.605976e-12	1.0019213e-11	5.0184405e-12	1.1347086e-11	4.9288993e-12
2x13	0.24161339	1.0004121e-11	0.2825273	0.17597401	0.11662615	0.18325914
2x14	1.0	1.322041e-11	3.8893186e-12	3.3362035e-12	1.8475653e-11	2.128035e-12
2x15	0.96232945	4.524231e-12	6.3040046e-12	2.8344332e-12	0.03767053	3.3173865e-12
2x16	0.5253613	2.6645153e-12	2.5686502e-11	5.270757e-12	0.18570991	0.28892875
2x17	0.7743377	9.2664884e-08	2.1222991e-10	5.9989674e-12	1.3409124e-11	0.22566219
2x18	0.5698192	2.402738e-12	0.3371028	5.9319147e-12	1.7384923e-11	0.09307801
2x19	0.42789486	0.1884168	0.2672484	3.0738463e-12	0.020212486	0.09622749
2x20	0.5843099	2.3993145e-12	0.10770409	3.7789377e-12	0.074111655	0.23387444
2x21	0.44330698	0.1042486	0.082106814	0.25174138	1.414495e-11	0.118596196
2x22	0.35770488	0.21659765	0.24472658	5.428468e-12	0.12033453	0.060636286
2x23	0.44406715	1.84226e-11	0.29033953	3.7436564e-12	0.10584544	0.15974791
2x24	0.5196948	0.05464043	0.0037655213	0.1618895	0.063077144	0.19693263
2x25	0.41508618	0.081797905	0.13365878	7.755851e-12	0.057709415	0.31174764
2x26	0.3839263	0.09942029	0.0025108878	0.20537744	5.911228e-11	0.30876505
2x27	0.3618883	0.06656686	0.2978742	4.314379e-12	0.22770776	0.045962885
2x28	0.2819087	0.09309421	0.13855653	0.25594112	0.17880115	0.05169823
2x29	0.3705543	0.17351837	0.09199352	3.0965864e-12	0.151016	0.2129178
2x30	0.17087789	0.26388937	0.14525585	0.118267335	0.30170956	5.6304e-12
2x31	0.3010736	0.112307526	0.15337296	0.008081408	0.102226965	0.3229376
2x32	0.19690666	0.28412017	0.33833313	8.5603425e-12	0.15221718	0.028422885
2x33	0.24529833	0.11715827	0.31389096	0.12882824	0.19482416	4.8267345e-11
2x34	0.2820324	0.12663977	0.23973715	0.13627009	0.01316608	0.20215446
2x35	0.39091125	0.04635454	0.111280024	4.4727867e-12	0.20836776	0.24308637
2x36	0.30747125	0.06722871	0.18059589	0.0059779617	0.11799165	0.3207346
