	Cancer	Ductal	Stroma
0x0	0.6721242	0.15075585	0.17711994
0x1	0.52709115	0.053228658	0.4196802
0x2	0.70574766	0.11033197	0.18392038
0x3	0.60901767	3.711903e-12	0.39098227
0x4	0.75179386	2.1017892e-12	0.24820617
0x5	0.7231208	0.1982206	0.078658625
0x6	0.71108854	0.20942709	0.07948442
0x7	0.706907	0.15152393	0.14156914
0x8	1.0	2.710589e-12	1.1974578e-12
0x9	0.9116981	0.08830185	1.0251246e-12
0x10	0.7967784	6.824138e-11	0.20322162
0x11	0.7434755	0.25652447	5.69836e-13
0x12	0.84804934	0.081658565	0.070292115
0x13	0.74914616	0.2508538	6.891282e-13
0x14	0.8704737	0.12952629	8.6793756e-13
0x15	0.8683085	2.9373435e-12	0.13169156
0x16	0.72454965	0.2754504	2.6445875e-12
0x17	0.5874513	0.2951192	0.11742953
0x18	0.47532958	0.33918822	0.18548217
0x19	0.7447382	0.034282528	0.2209792
0x20	0.78184855	0.02867699	0.18947437
0x21	0.63087195	1.3869641e-12	0.36912805
0x22	0.4989313	0.22347587	0.27759284
0x23	0.3828756	0.25802636	0.3590981
0x24	0.59068877	0.20007044	0.20924084
0x25	0.35220426	0.25760993	0.39018583
0x26	0.49045098	0.22002831	0.28952068
0x27	0.4370739	0.17511448	0.3878116
0x28	0.29780886	0.14365937	0.55853176
0x29	0.36564922	0.11339198	0.5209588
0x30	0.38405794	0.29674926	0.31919274
0x31	0.49804124	0.15785225	0.34410653
0x32	0.4436446	0.036554873	0.5198005
0x33	0.54186213	0.12790877	0.3302291
0x34	0.38367972	0.15618478	0.46013552
0x35	0.35286438	0.09684086	0.5502947
0x36	0.4230081	0.16820478	0.40878713
0x37	0.3409116	0.1995503	0.4595381
0x38	0.3345981	0.32515597	0.34024593
0x39	0.25541443	0.27910927	0.46547633
0x40	0.3442991	0.2644642	0.3912367
0x41	0.11882982	0.34855533	0.5326148
0x42	0.21192355	0.15557216	0.6325043
0x43	0.2877546	0.33252177	0.37972364
0x44	0.086810835	0.48853523	0.424654
0x45	0.37466237	0.1500296	0.475308
0x46	0.2678103	0.2553555	0.4768342
0x47	0.18151133	0.41168323	0.40680543
0x48	0.24625184	0.2000543	0.5536939
0x49	0.31822395	0.34451172	0.3372643
1x0	0.7642451	0.19501987	0.040735032
1x1	0.7159171	0.19828942	0.08579349
1x2	0.6074218	0.12791719	0.26466104
1x3	0.5038187	0.19615957	0.3000217
1x4	0.867515	0.132485	9.0184257e-13
1x5	0.91957843	0.009626872	0.07079464
1x6	1.0	2.1495628e-11	9.604418e-13
1x7	1.0	1.5968966e-12	7.1559165e-13
1x8	0.76304173	0.23695828	6.089063e-13
1x9	1.0	2.1841534e-11	9.612566e-13
1x10	0.31188986	9.66029e-13	0.6881101
1x11	0.8878635	2.600445e-12	0.11213653
1x12	0.63367593	0.3068301	0.059493907
1x13	0.81485206	3.815021e-12	0.18514797
1x14	0.94819605	1.3833529e-11	0.051803984
1x15	0.79145473	0.20854521	7.9006826e-13
1x16	0.6273997	0.12419484	0.24840546
1x17	0.7182128	0.153633	0.12815416
1x18	0.80853045	2.6729187e-12	0.19146954
1x19	0.7150394	0.055384822	0.22957581
1x20	0.50964636	0.12829131	0.36206236
1x21	0.5045713	0.3003156	0.1951131
1x22	0.48190603	0.16263297	0.35546094
1x23	0.51378506	0.09291732	0.3932976
1x24	0.6636879	2.5195377e-12	0.33631214
1x25	0.5380366	4.7874955e-12	0.46196336
1x26	0.5381521	0.17124262	0.29060525
1x27	0.34887594	0.24960472	0.4015193
1x28	0.44651058	0.2317181	0.3217713
1x29	0.12224542	0.46020436	0.41755027
1x30	0.37655193	0.11444907	0.50899905
1x31	0.50221044	0.059951976	0.43783757
1x32	0.29733214	0.23671623	0.46595165
1x33	0.43080828	0.07148074	0.49771094
1x34	0.3039077	0.25090134	0.44519097
1x35	0.24506679	0.27341825	0.48151496
1x36	0.36692047	0.24521494	0.38786462
1x37	0.17939049	0.34343752	0.47717196
1x38	0.32859793	0.17949651	0.49190557
1x39	0.49187425	0.13752057	0.37060523
