"","Ductal","Cancer","Stroma","coordX","coordY"
"0x0",0.168355939688258,0.593738423890629,0.237905636421113,0,0
"0x1",0.118914535269417,0.484441949492515,0.396643515238068,0,1
"0x2",0.189505886587066,0.595402404169744,0.215091709243191,0,2
"0x3",0.097294091371231,0.515620414374355,0.387085494254415,0,3
"0x4",0.117326456141112,0.624915839856701,0.257757704002187,0,4
"0x5",0.216242010712803,0.597437867127102,0.186320122160095,0,5
"0x6",0.21156929343911,0.574029425377736,0.214401281183154,0,6
"0x7",0.161743773460878,0.612708057860609,0.225548168678513,0,7
"0x8",0.158469518246678,0.706808919835264,0.134721561918058,0,8
"0x9",0.145247106920485,0.734639103172678,0.120113789906837,0,9
"0x10",0.131150868704318,0.635948903797887,0.232900227497794,0,10
"0x11",0.258962581442665,0.621129326753721,0.119908091803615,0,11
"0x12",0.225645773836522,0.647167744546884,0.127186481616593,0,12
"0x13",0.222175685701052,0.650478907630274,0.127345406668674,0,13
"0x14",0.236566885497621,0.658467073897063,0.104966040605317,0,14
"0x15",0.130936727958565,0.672420405348189,0.196642866693246,0,15
"0x16",0.249844581538329,0.588191864542438,0.161963553919234,0,16
"0x17",0.22982175704755,0.553143755402504,0.217034487549945,0,17
"0x18",0.262893083998302,0.454287042270456,0.282819873731242,0,18
"0x19",0.138017677660684,0.58586127250492,0.276121049834396,0,19
"0x20",0.170399154455679,0.578889653127228,0.250711192417093,0,20
"0x21",0.0974057252535686,0.526506089516625,0.376088185229806,0,21
"0x22",0.224229840546291,0.458537379166604,0.317232780287105,0,22
"0x23",0.258861577532175,0.323326538136737,0.417811884331088,0,23
"0x24",0.201210165986007,0.494452033676844,0.304337800337149,0,24
"0x25",0.210144778939158,0.413404601633275,0.376450619427568,0,25
"0x26",0.205371759499225,0.489534709159254,0.305093531341521,0,26
"0x27",0.161277982342871,0.428593094258433,0.410128923398695,0,27
"0x28",0.149357516310051,0.277165011146391,0.573477472543558,0,28
"0x29",0.154115136258789,0.340490666384012,0.505394197357199,0,29
"0x30",0.242527415215285,0.367924234492826,0.389548350291889,0,30
"0x31",0.196865046527692,0.441269981422756,0.361864972049552,0,31
"0x32",0.0984709358595208,0.385383707987698,0.516145356152781,0,32
"0x33",0.167962673699069,0.500792017105523,0.331245309195408,0,33
"0x34",0.154261836425893,0.335322434949031,0.510415728625076,0,34
"0x35",0.140586072039048,0.29209761608534,0.567316311875611,0,35
"0x36",0.189904957355496,0.337036068650993,0.473058973993511,0,36
"0x37",0.188688992136288,0.321730518134484,0.489580489729228,0,37
"0x38",0.281928581114155,0.320704491988936,0.397366926896909,0,38
"0x39",0.198092802496658,0.266759593303124,0.535147604200218,0,39
"0x40",0.226804556941387,0.338174428186713,0.435021014871901,0,40
"0x41",0.246110062289686,0.168930865259657,0.584959072450657,0,41
"0x42",0.157045447480052,0.190350005312897,0.652604547207051,0,42
"0x43",0.273098412218236,0.304675735247035,0.422225852534729,0,43
"0x44",0.339832431927361,0.202371484719091,0.457796083353549,0,44
"0x45",0.147030979529108,0.374263907311319,0.478705113159573,0,45
"0x46",0.207493729539309,0.302384160810838,0.490122109649853,0,46
"0x47",0.301643578920044,0.216677265605151,0.481679155474805,0,47
"0x48",0.178332275675794,0.228865327015482,0.592802397308724,0,48
"0x49",0.291202938109643,0.332027405466129,0.376769656424228,0,49
"1x0",0.21769880496976,0.632395481408334,0.149905713621906,1,0
"1x1",0.228657043490275,0.596400699656337,0.174942256853388,1,1
"1x2",0.15789693562458,0.562350252837529,0.279752811537891,1,2
"1x3",0.222456264848773,0.430552446013138,0.346991289138089,1,3
"1x4",0.225500671948991,0.658625605535121,0.115873722515888,1,4
"1x5",0.145267269096907,0.682991916968218,0.171740813934874,1,5
"1x6",0.195006469161478,0.668209072819954,0.136784458018568,1,6
"1x7",0.121685294660794,0.72185053996829,0.156464165370916,1,7
"1x8",0.244586754091867,0.614256498678202,0.141156747229931,1,8
"1x9",0.186086620242716,0.688828269359711,0.125085110397572,1,9
"1x10",0.0595944227277676,0.251545685343841,0.688859891928391,1,10
"1x11",0.152021379788398,0.646571805573661,0.201406814637941,1,11
"1x12",0.284080985374347,0.539648370693191,0.176270643932463,1,12
"1x13",0.157730432301597,0.622581347883546,0.219688219814857,1,13
"1x14",0.113316469546361,0.692201434522077,0.194482095931562,1,14
"1x15",0.226737582653549,0.63791461568963,0.135347801656821,1,15
"1x16",0.153645950927969,0.511372101228505,0.334981947843526,1,16
"1x17",0.196600000081687,0.59826958600182,0.205130413916493,1,17
"1x18",0.162133761688392,0.617588631724507,0.220277606587102,1,18
"1x19",0.221948011852878,0.510740871939175,0.267311116207947,1,19
"1x20",0.176360249853338,0.440493018133123,0.38314673201354,1,20
"1x21",0.255578556356421,0.489604132786815,0.254817310856764,1,21
"1x22",0.163810587418624,0.45021335233865,0.385976060242726,1,22
"1x23",0.1116836439841,0.497173361560178,0.391142994455721,1,23
"1x24",0.0844548346391563,0.543745615710621,0.371799549650223,1,24
"1x25",0.149402523630621,0.405075237622888,0.445522238746491,1,25
"1x26",0.165773835168651,0.470809842522373,0.363416322308976,1,26
"1x27",0.203509199126857,0.348003677459395,0.448487123413748,1,27
"1x28",0.235622018465933,0.398952857457883,0.365425124076184,1,28
"1x29",0.339651285850004,0.167727147154381,0.492621566995616,1,29
"1x30",0.157157802106516,0.338835063429833,0.504007134463651,1,30
"1x31",0.148832173582698,0.405833104479143,0.445334721938158,1,31
"1x32",0.205575410382082,0.325382102234095,0.469042487383823,1,32
"1x33",0.133769344803554,0.393228210142279,0.473002445054168,1,33
"1x34",0.210844802362106,0.299980035508712,0.489175162129182,1,34
"1x35",0.20449119104866,0.269379669771173,0.526129139180168,1,35
"1x36",0.222613064611026,0.343559096816997,0.433827838571976,1,36
"1x37",0.249974600433301,0.235201626070185,0.514823773496514,1,37
"1x38",0.206039849956105,0.295786588145747,0.498173561898148,1,38
"1x39",0.16365725791136,0.427267380549161,0.409075361539478,1,39
"1x40",0.125887885852059,0.244055921875411,0.630056192272531,1,40
"1x41",0.132287873404743,0.303937433019979,0.563774693575278,1,41
"1x42",0.225407385733949,0.278537849640537,0.496054764625514,1,42
"1x43",0.121131807285562,0.240647056665762,0.638221136048677,1,43
"1x44",0.202899996890755,0.215774968909518,0.581325034199727,1,44
"1x45",0.143911707563615,0.31267127117265,0.543417021263735,1,45
"1x46",0.204921776711432,0.350837761394408,0.444240461894161,1,46
"1x47",0.200059551919083,0.248248011533477,0.551692436547439,1,47
"1x48",0.349908618839949,0.312506316414338,0.337585064745713,1,48
"1x49",0.166447246214463,0.391802765720636,0.441749988064901,1,49
"2x0",0.107915169114602,0.728742012113993,0.163342818771404,2,0
"2x1",0.145822669811457,0.594732419122159,0.259444911066384,2,1
"2x2",0.185424976246483,0.646994144285846,0.167580879467672,2,2
"2x3",0.16592215036202,0.691780484212249,0.142297365425731,2,3
"2x4",0.273325499964301,0.586905898814914,0.139768601220785,2,4
"2x5",0.173543072962555,0.557064211753255,0.26939271528419,2,5
"2x6",0.16357836955509,0.34376521143455,0.49265641901036,2,6
"2x7",0.158752696082033,0.720973926889703,0.120273377028264,2,7
"2x8",0.142615197644114,0.690320012670321,0.167064789685565,2,8
"2x9",0.149331451856807,0.730622123240055,0.120046424903138,2,9
"2x10",0.181916877639632,0.677197190022842,0.140885932337526,2,10
"2x11",0.178059731458957,0.685853900109651,0.136086368431392,2,11
"2x12",0.104883673536143,0.755829281998362,0.139287044465495,2,12
"2x13",0.0991750379542367,0.173315868445824,0.727509093599939,2,13
"2x14",0.168982701685581,0.698503544120498,0.132513754193922,2,14
"2x15",0.170137182453737,0.702717660004632,0.127145157541631,2,15
"2x16",0.105189113344464,0.54490477777712,0.349906108878416,2,16
"2x17",0.140600961754903,0.647980902316665,0.211418135928432,2,17
"2x18",0.0929229137700872,0.565951070231077,0.341126015998836,2,18
"2x19",0.261411454827029,0.47138740266287,0.267201142510101,2,19
"2x20",0.129138879871214,0.591740071739101,0.279121048389685,2,20
