"","Cancer","Ductal","mDCs","Macrophages","Mast","Monocytes","coordX","coordY"
"0x0",0.365849429686109,0.282841046893599,0,0.169597289920011,0.181712233500281,0,0,0
"0x1",0.340365631735027,0.203023368086528,0,0.229599488626912,0.202703008543227,0.0243085030083055,0,1
"0x2",0.370906118162653,0.277489446618639,0,0.0518197534166557,0.205374743983172,0.0944099378188804,0,2
"0x3",0.330184485886374,0.178278879635237,0,0.273468291105697,0.182532217577305,0.0355361257953882,0,3
"0x4",0.383851623396904,0.25383641800821,0,0.0127735739688659,0.162326394087002,0.187211990539018,0,4
"0x5",0.445531665529508,0.262475690862142,0,0.0595759046592943,0.213553617956027,0.0188631209930293,0,5
"0x6",0.397564076572389,0.276934180226008,0,0.0108649844930129,0.224718240573571,0.0899185181350191,0,6
"0x7",0.39752595890545,0.280472964769407,0,0.143211781311205,0.158622337393725,0.0201669576202119,0,7
"0x8",0.491874968611888,0.236241511140583,0,0.0143397718904057,0.237583234167794,0.0199605141893288,0,8
"0x9",0.478549299985015,0.272985811202836,0,0.0125799934433288,0.173001326975094,0.062883568393726,0,9
"0x10",0.445060669180355,0.24466090000598,0,0.0726985231423252,0.206154743441622,0.0314251642297184,0,10
"0x11",0.380189468690501,0.377903070168497,0,0.0122541421327027,0.187659618153827,0.0419937008544718,0,11
"0x12",0.441621619348583,0.304309481961938,0,0.0125770194319435,0.156143072594077,0.085348806663458,0,12
"0x13",0.435265780180694,0.33711585604099,0,0.0125662052064722,0.162449370898933,0.0526027876729109,0,13
"0x14",0.479061380799174,0.274160408715001,0,0.014242887773434,0.198151077481023,0.0343842452313678,0,14
"0x15",0.420001869784103,0.249352423736397,0,0.0134468685653072,0.22920664338104,0.0879921945331534,0,15
"0x16",0.374123770274953,0.306320507538481,0,0.0118434213666934,0.224813907300117,0.0828983935197555,0,16
"0x17",0.341678579704115,0.325074683132112,0,0.0148849026601934,0.255790419624633,0.0625714148789464,0,17
"0x18",0.304296191991957,0.374280904734014,0,0.0137940300621456,0.163015904972621,0.144612968239262,0,18
"0x19",0.394075562861654,0.274681791817966,0,0.0788368730176249,0.191662743594873,0.0607430287078815,0,19
"0x20",0.411493995788774,0.245022204131233,0,0.0127350875545102,0.0982125609179152,0.232536151607568,0,20
"0x21",0.327711045128738,0.182423075081454,0,0.263398865044699,0.219362579331303,0.00710443541380517,0,21
"0x22",0.231850401945442,0.359838377495559,0,0.0105676934743481,0.230468224704258,0.167275302380393,0,22
"0x23",0.191488191562408,0.327578900575695,0,0.146298741768483,0.162626443360001,0.172007722733413,0,23
"0x24",0.343120989749518,0.268117733450836,0,0.0113127926751216,0.260045777324018,0.117402706800507,0,24
"0x25",0.253768961721633,0.304944318122535,0,0.271859302384173,0.169291928172426,0.000135489599232814,0,25
"0x26",0.289578854725368,0.285809409709069,0,0.0889044025367229,0.257839214136003,0.0778681188928374,0,26
"0x27",0.268724727401664,0.258645524612472,0,0.1741265919155,0.190918621310521,0.107584534759843,0,27
"0x28",0.148493622535903,0.215300843080096,0,0.14095080236427,0.305338906174752,0.18991582584498,0,28
"0x29",0.218281657866473,0.231869307366479,0,0.372416538662005,0.155459290400613,0.0219732057044297,0,29
"0x30",0.251219013424648,0.342684553629155,0,0.183080311660439,0.185711798470924,0.0373043228148348,0,30
"0x31",0.300238280246113,0.283744497697782,0,0.266071540990032,0.125989130031161,0.0239565510349127,0,31
"0x32",0.255613687502403,0.216352711482285,0,0.343798428347282,0.143315769965934,0.0409194027020963,0,32
"0x33",0.341952103400206,0.293907018590608,0.0119072077364956,0.193421583803277,0.158812086469414,0,0,33
"0x34",0.209815859722105,0.180245752817875,0,0.0100023079300624,0.438439701693267,0.16149637783669,0,34
"0x35",0.193923817455711,0.184455899186802,0,0.368999386850748,0.252620896506739,0,0,35
"0x36",0.189119674348489,0.261980541856168,0,0.0869605193887575,0.351366916063566,0.11057234834302,0,36
"0x37",0.208816256740846,0.26376941149983,0,0.249760619822682,0.122261789338134,0.155391922598508,0,37
"0x38",0.243114580067601,0.319857706344066,0,0.00964485013465357,0.125034943590653,0.302347919863026,0,38
"0x39",0.173465231282665,0.314314448445738,0.147630227374233,0.189136908240408,0.175453184656957,0,0,39
"0x40",0.187213027115465,0.330959533834262,0,0.10228798664927,0.234119257817744,0.145420194583259,0,40
"0x41",0.112503529535278,0.283319431428811,0,0.241062599491717,0.0982799681863723,0.264834471357822,0,41
"0x42",0.118911997389513,0.193589407409458,0,0.26174455850289,0.274901271977931,0.150852764720208,0,42
"0x43",0.213276677449994,0.314426471443147,0,0.141534014487823,0.209862260806247,0.120900575812789,0,43
"0x44",0.128145984744922,0.398070332818784,0,0.139813339633271,0.274604403609478,0.0593659391935447,0,44
"0x45",0.24534709063519,0.248201552725458,0,0.0810843860249361,0.18114515951491,0.244221811099506,0,45
"0x46",0.255078883906109,0.227892314750127,0,0.160449724680299,0.282387137994343,0.0741919386691227,0,46
"0x47",0.136834612492259,0.339981900190595,0,0.210496099120494,0.173884989618766,0.138802398577885,0,47
"0x48",0.134402795647895,0.248976089972914,0,0.192272191478126,0.182603288880182,0.241745634020883,0,48
"0x49",0.231464548764394,0.371563305015564,0,0.180802940757771,0.135282289910641,0.0808869155516308,0,49
"1x0",0.394972641555822,0.310098179586117,0,0.0132519287258646,0.200382011205899,0.0812952389262978,1,0
"1x1",0.411003200203912,0.307477837155782,0,0.0337911834380651,0.17876227350981,0.0689655056924308,1,1
"1x2",0.349304525544433,0.265845781104378,0,0.131139496445772,0.209709826289147,0.0440003706162708,1,2
"1x3",0.325495189921846,0.297143233630527,0,0.202264572278369,0.175097004169258,0,1,3
"1x4",0.423810643013532,0.318449510374392,0,0.0127805591206137,0.165748199768597,0.0792110877228664,1,4
"1x5",0.43502776773118,0.252999328433353,0,0.0137504674348372,0.2119412480585,0.0862811883421297,1,5
"1x6",0.479117856521522,0.249491692693521,0,0.0126828057030687,0.229134588783867,0.0295730562980216,1,6
"1x7",0.492897335657997,0.247648064028869,0,0.0111620372176796,0.203183714324515,0.0451088487709391,1,7
"1x8",0.430137340059408,0.283802484342137,0,0.0134923389920439,0.205265755152935,0.0673020814534765,1,8
"1x9",0.523331570995838,0.23126701608811,0,0.0122175387236881,0.166434058103481,0.0667498160888827,1,9
