"","Cancer","Ductal","mDCs","Macrophages","Mast","Monocytes","coordX","coordY"
"0x0",0.222477083663918,0.223738861309998,0.165970069558171,0.113448571364632,0.185148877297184,0.0892165368060963,0,0
"0x1",0.197756663954485,0.147814659730317,0.198793526199044,0.140105448110605,0.175372411669745,0.140157290335803,0,1
"0x2",0.223304812277076,0.221493400845722,0.127801904728133,0.131052019779314,0.170989147194279,0.125358715175477,0,2
"0x3",0.194997639206585,0.147001707249972,0.216999395329613,0.129725703542373,0.160924854980281,0.150350699691176,0,3
"0x4",0.216435260479734,0.203433715515054,0.0717459628385123,0.14744532191696,0.175156611745799,0.185783127503941,0,4
"0x5",0.262530390351447,0.23374268965764,0.141981469251886,0.072956027082613,0.18160686707664,0.107182556579774,0,5
"0x6",0.246508255254168,0.232784066724251,0.0631629607718128,0.116775335435871,0.233362711990979,0.107406669822918,0,6
"0x7",0.228087957629587,0.216683027049414,0.16584862604759,0.144476936907487,0.163113464513706,0.0817899878522155,0,7
"0x8",0.278380457092688,0.213719435096022,0.136881480546961,0.105625508654245,0.179313563270918,0.0860795553391658,0,8
"0x9",0.289086598647678,0.205443267590927,0.0911208950447314,0.102985901284407,0.182720154165964,0.128643183266292,0,9
"0x10",0.253652211984699,0.201138108418234,0.117190559875409,0.131419483591699,0.177066742279784,0.119532893850175,0,10
"0x11",0.246722182242454,0.272672797587792,0.0646131625068699,0.144266837995674,0.188906379714268,0.0828186399529424,0,11
"0x12",0.263865624306181,0.242999247242379,0.0653561216399168,0.168037641068753,0.158823805414493,0.100917560328278,0,12
"0x13",0.267205375186435,0.253467678477633,0.0758539359249061,0.0943732236084196,0.185852256757356,0.12324753004525,0,13
"0x14",0.299751996284688,0.22167591242629,0.0823951559147817,0.0869537210093123,0.186573824651393,0.122649389713535,0,14
"0x15",0.245728072926592,0.204522851628545,0.111671863846797,0.112880561429216,0.190897129071059,0.134299521097791,0,15
"0x16",0.224698976460342,0.263129675604893,0.0650280505891989,0.107227532338283,0.219949609570834,0.11996615543645,0,16
"0x17",0.208428872956061,0.233028532699454,0.0908206169688996,0.128579529088874,0.234169115513888,0.104973332772823,0,17
"0x18",0.178575256161645,0.24826818838412,0.102420910175371,0.147057906933241,0.172664133648111,0.151013604697511,0,18
"0x19",0.213168871150928,0.207534656275325,0.121532393141845,0.169661665559378,0.194984568023424,0.0931178458491009,0,19
"0x20",0.218133606925246,0.205091049606927,0.127486640767613,0.0639633905894971,0.146783399164992,0.238541912945724,0,20
"0x21",0.19596039695079,0.142118058510629,0.201043006542243,0.135476169958244,0.208385597190827,0.117016770847267,0,21
"0x22",0.159138679780873,0.227525120587698,0.102112554966962,0.14388898649338,0.222459833113052,0.144874825058035,0,22
"0x23",0.119577428398488,0.227288842320457,0.156163552669191,0.199741994159437,0.13981390106132,0.157414281391108,0,23
"0x24",0.211361596674647,0.204641999391494,0.0714855824674293,0.150967483070114,0.226271576402825,0.135271761993491,0,24
"0x25",0.151262474279823,0.191101982918342,0.170024146853575,0.189701634832752,0.180035799029986,0.117873962085523,0,25
"0x26",0.190109796180478,0.218503198685379,0.122015302986735,0.130126866008634,0.214305195372843,0.12493964076593,0,26
"0x27",0.155223234097584,0.182326923810214,0.177217818938195,0.163074771078145,0.194098374651451,0.12805887742441,0,27
"0x28",0.0916867487843131,0.143721465622198,0.187931817741753,0.176311130751567,0.212340716057722,0.188008121042448,0,28
"0x29",0.127184064677352,0.142269784691676,0.237901311723823,0.170127983572814,0.155568224800702,0.166948630533632,0,29
"0x30",0.14892994074725,0.228274028171753,0.154132703456932,0.186331119699708,0.176792825743939,0.105539382180417,0,30
"0x31",0.159015869075179,0.219928049770523,0.190690656886934,0.148147163826893,0.179730533679549,0.102487726760921,0,31
