"","mDCs","Macrophages","Mast","Monocytes","coordX","coordY"
"0x0",0.412458376359536,0.181945617328558,0.205038782483754,0.200557223828152,0,0
"0x1",0.434352707362344,0.162501028021464,0.173082078213273,0.230064186402919,0,1
"0x2",0.383961869496003,0.163409236031797,0.188275426924326,0.264353467547874,0,2
"0x3",0.440792300249877,0.175554018167094,0.150310624068631,0.233343057514398,0,3
"0x4",0.323703744158303,0.168037610838624,0.198856456219916,0.309402188783156,0,4
"0x5",0.429713170637998,0.13040516830684,0.214469345671617,0.225412315383546,0,5
"0x6",0.358463981194667,0.154168738487454,0.261358322064371,0.226008958253509,0,6
"0x7",0.483750077696122,0.129993612461594,0.15738952832941,0.228866781512874,0,7
"0x8",0.420318450709911,0.181566430623856,0.180791080968812,0.217324037697422,0,8
"0x9",0.42129761310375,0.111300004630647,0.218728299610307,0.248674082655296,0,9
"0x10",0.410894289239102,0.187948576239659,0.165173414244419,0.23598372027682,0,10
"0x11",0.38240847031846,0.206807942743267,0.184854307088124,0.22592927985015,0,11
"0x12",0.383428664989219,0.191633741691458,0.18225237484373,0.242685218475593,0,12
"0x13",0.365193792288286,0.154427162232532,0.228098140535742,0.25228090494344,0,13
"0x14",0.393583368296838,0.146004256633698,0.220783361038174,0.23962901403129,0,14
"0x15",0.43084285740957,0.148180359132995,0.174200632863046,0.246776150594389,0,15
"0x16",0.36148044453794,0.14783631028834,0.226707468455921,0.263975776717799,0,16
"0x17",0.373669171888473,0.154738504229068,0.241085058191633,0.230507265690826,0,17
"0x18",0.38771236857865,0.192315978334026,0.173033965397919,0.246937687689405,0,18
"0x19",0.419982512098862,0.177115359479975,0.186209487483585,0.216692640937578,0,19
"0x20",0.322907509196153,0.149691222513577,0.177010286697152,0.350390981593117,0,20
"0x21",0.44161881987965,0.161953075237745,0.185467863436444,0.210960241446162,0,21
"0x22",0.383717104802124,0.164780108438771,0.19513707834625,0.256365708412855,0,22
"0x23",0.377383972737506,0.218473138145882,0.15148079095458,0.252662098162032,0,23
"0x24",0.346758624449501,0.175908889309408,0.225392596036169,0.251939890204922,0,24
"0x25",0.406704281366127,0.194965738304015,0.187177299652672,0.211152680677186,0,25
"0x26",0.423668254400211,0.127760059275945,0.211116446568714,0.23745523975513,0,26
"0x27",0.403595893908868,0.170295514565076,0.180966285976253,0.245142305549803,0,27
"0x28",0.362565938785922,0.169139917005467,0.203416452733655,0.264877691474956,0,28
"0x29",0.384803403242273,0.177141337436539,0.164927162451718,0.27312809686947,0,29
"0x30",0.365066768843037,0.196679929036643,0.170813228231412,0.267440073888909,0,30
"0x31",0.42874834998398,0.193972312333328,0.144207871538256,0.233071466144436,0,31
"0x32",0.37922753969965,0.251923115569235,0.144534392793223,0.224314951937892,0,32
"0x33",0.428439873130605,0.179600155241321,0.181854191250231,0.210105780377843,0,33
"0x34",0.294717830509569,0.179072961088183,0.274832372107575,0.251376836294672,0,34
"0x35",0.409158218684877,0.16929144698024,0.180869310717051,0.240681023617832,0,35
"0x36",0.355417530860013,0.178358474854599,0.237172212596136,0.229051781689252,0,36
"0x37",0.377628939305111,0.203373607587899,0.13702829425848,0.28196915884851,0,37
"0x38",0.334104303098109,0.19504868113834,0.156719437447205,0.314127578316345,0,38
"0x39",0.439452651925767,0.190692596061804,0.157636228420351,0.212218523592078,0,39
"0x40",0.337048796702294,0.1833437953196,0.233734444337967,0.245872963640139,0,40
"0x41",0.295071469425606,0.18350508902297,0.128205815138042,0.393217626413381,0,41
"0x42",0.326182039026171,0.204819132267453,0.198077189042474,0.270921639663902,0,42
"0x43",0.367015683107562,0.19546775326591,0.181515397467881,0.256001166158647,0,43
"0x44",0.348961349311114,0.162303153795474,0.230178514974617,0.258556981918794,0,44
"0x45",0.341619979602074,0.191362582822277,0.169764124944465,0.297253312631184,0,45
"0x46",0.341793196998451,0.18289537946358,0.237099694715545,0.238211728822424,0,46
"0x47",0.378513815912548,0.187044839764053,0.166654829427787,0.267786514895611,0,47
"0x48",0.326401116628952,0.168875730648374,0.153151059313819,0.351572093408855,0,48
"0x49",0.395994101942538,0.21388182865799,0.157863439101247,0.232260630298225,0,49
"1x0",0.410070626780973,0.174579397713419,0.181954631386903,0.233395344118705,1,0
"1x1",0.438491979304864,0.15638549244894,0.179899770740877,0.22522275750532,1,1
"1x2",0.441318228525557,0.172858348056039,0.174310425795301,0.211512997623102,1,2
"1x3",0.41490371142002,0.191088072066033,0.173825633329058,0.22018258318489,1,3
"1x4",0.368806433894914,0.1563494870532,0.201446385805788,0.273397693246098,1,4
"1x5",0.41412976666792,0.127088769564623,0.210816154304006,0.247965309463452,1,5
"1x6",0.399278484698704,0.182572240617299,0.186519816175538,0.231629458508458,1,6
"1x7",0.450885390634908,0.152488797617298,0.188906225364,0.207719586383794,1,7
"1x8",0.384295242795614,0.179512810522774,0.210553174083479,0.225638772598133,1,8
"1x9",0.392163034723397,0.18367267503417,0.207260381164114,0.21690390907832,1,9
"1x10",0.398373708664495,0.19744089500627,0.145609962380177,0.258575433949059,1,10
"1x11",0.41718032620969,0.168988957376182,0.173728585186554,0.240102131227575,1,11
"1x12",0.427798136114495,0.166963129515034,0.187041855018445,0.218196879352026,1,12
"1x13",0.390137116568141,0.169805588823494,0.179979679182707,0.260077615425657,1,13
"1x14",0.39839941190274,0.159557478299418,0.158370928049874,0.283672181747968,1,14
"1x15",0.402394452188717,0.159808188560045,0.219435127814935,0.218362231436303,1,15
"1x16",0.372418558663772,0.198556816218626,0.248146261719968,0.180878363397634,1,16
"1x17",0.424928051210811,0.167285073199452,0.19953711371306,0.208249761876676,1,17
"1x18",0.397793941605063,0.194540514284082,0.175435743243127,0.232229800867728,1,18
"1x19",0.404862786900025,0.160854703857334,0.167804890330004,0.266477618912637,1,19
"1x20",0.445121447349429,0.187697490497034,0.142581069391275,0.224599992762262,1,20
"1x21",0.355417219514111,0.173013689176023,0.208610570348108,0.262958520961758,1,21
"1x22",0.375629577713755,0.174122876004853,0.232227029004162,0.218020517277229,1,22
"1x23",0.392187854724344,0.190748336062242,0.174970119589283,0.242093689624131,1,23
"1x24",0.411358578702071,0.191354916131437,0.174746244749389,0.222540260417103,1,24
"1x25",0.429834181375318,0.138527055849539,0.192368462561172,0.239270300213971,1,25
"1x26",0.281315527188275,0.145059439507514,0.143745123528766,0.429879909775445,1,26
"1x27",0.411496503604593,0.185659593299356,0.172372958230145,0.230470944865906,1,27
"1x28",0.398867447615405,0.164455259752022,0.147721476353446,0.288955816279126,1,28
"1x29",0.270246653595728,0.236723126162173,0.15041483610113,0.342615384140968,1,29
"1x30",0.395593895752021,0.15463210766833,0.202978287001321,0.246795709578328,1,30
"1x31",0.325303279973353,0.176087254516044,0.160872451724793,0.337737013785812,1,31
"1x32",0.387522610079836,0.201581636603619,0.165920720061925,0.244975033254619,1,32
"1x33",0.4541824934432,0.168002157290002,0.163550659656939,0.214264689609859,1,33
"1x34",0.356102233822248,0.182180407805785,0.215540640389094,0.246176717982873,1,34
"1x35",0.372917034851966,0.231367897508336,0.1430471093131,0.252667958326599,1,35
"1x36",0.373246600303369,0.191002475729821,0.171285239981325,0.264465683985486,1,36
"1x37",0.320183768845926,0.177567284425338,0.179186260372347,0.323062686356389,1,37
"1x38",0.422912956487492,0.18229813878786,0.152365868740239,0.24242303598441,1,38
"1x39",0.292332330139888,0.159726443912231,0.22222626706206,0.325714958885821,1,39
"1x40",0.404205257311012,0.1705991706283,0.218205408372656,0.206990163688032,1,40
"1x41",0.437495363966851,0.190623075088356,0.139823274633849,0.232058286310943,1,41
"1x42",0.414543626409025,0.20195877136652,0.162617902436528,0.220879699787926,1,42
"1x43",0.416270058824019,0.182254529386372,0.121352989588714,0.280122422200895,1,43
"1x44",0.445486501514578,0.192405268007605,0.138370604564664,0.223737625913154,1,44
"1x45",0.397546658393331,0.189749296843094,0.188523611840946,0.224180432922629,1,45
"1x46",0.297160523769125,0.173671596409463,0.190657215712481,0.338510664108932,1,46
"1x47",0.370649511675583,0.227755413210406,0.144942638330607,0.256652436783404,1,47
"1x48",0.426786550183593,0.170799943520756,0.169976127853277,0.232437378442375,1,48
"1x49",0.361629177537338,0.178765568038889,0.232932794358743,0.226672460065031,1,49
"2x0",0.402878654159393,0.17745486326524,0.214008320393545,0.205658162181821,2,0
"2x1",0.408305873204235,0.165363436141544,0.203759007528032,0.222571683126189,2,1
"2x2",0.41895500408011,0.181121249093191,0.181320142692209,0.21860360413449,2,2
"2x3",0.41028727620959,0.157844550656057,0.19925963016658,0.232608542967773,2,3
"2x4",0.405810997032926,0.188617495364233,0.174104999793186,0.231466507809655,2,4
"2x5",0.450378344778439,0.167732113293672,0.16990049262209,0.211989049305799,2,5
"2x6",0.410291342729612,0.189017880649597,0.165543824725958,0.235146951894833,2,6
"2x7",0.425019897069607,0.162210790080727,0.210136245301697,0.202633067547969,2,7
"2x8",0.398862368552593,0.161950146782829,0.191692046325022,0.247495438339555,2,8
"2x9",0.428633026676551,0.167558476797244,0.195789674411276,0.208018822114929,2,9
"2x10",0.351105253573895,0.184000967049249,0.21366278306633,0.251230996310526,2,10
"2x11",0.403155122561716,0.147729796013176,0.201691772070639,0.24742330935447,2,11
"2x12",0.399848566811804,0.174649699560606,0.21420209086817,0.211299642759421,2,12
"2x13",0.374789104944808,0.208421233409897,0.160293308012293,0.256496353633002,2,13
"2x14",0.410401865297936,0.141377980788119,0.211696496692965,0.23652365722098,2,14
"2x15",0.404543066056333,0.147292629499528,0.216836709467751,0.231327594976389,2,15
"2x16",0.414735731584018,0.164153767650432,0.169019997031942,0.252090503733608,2,16
"2x17",0.421034164439046,0.16916516812365,0.201797602635748,0.208003064801556,2,17
"2x18",0.501333959549087,0.144156610988207,0.158758190402348,0.195751239060358,2,18
"2x19",0.388735669761416,0.167749388953193,0.195673869736502,0.247841071548889,2,19
"2x20",0.384840411845639,0.159002885655872,0.221551638279499,0.234605064218991,2,20
"2x21",0.333507994267799,0.183397146940593,0.252989077733936,0.230105781057672,2,21
"2x22",0.366942113802096,0.197969767248563,0.184246549615669,0.250841569333671,2,22
"2x23",0.402814736600711,0.175116302187387,0.148003157884863,0.274065803327039,2,23
"2x24",0.362294851214762,0.148051470835714,0.236970928303716,0.252682749645807,2,24
"2x25",0.409851044223318,0.188626922783497,0.169044485003143,0.232477547990042,2,25
"2x26",0.381538702648326,0.155462779250671,0.210898951839039,0.252099566261964,2,26
"2x27",0.367808829088331,0.187893294714248,0.151801653602549,0.292496222594872,2,27
"2x28",0.24218115678096,0.20371230765147,0.301116545060126,0.252989990507444,2,28
"2x29",0.409085464063709,0.183530813867806,0.199557029312262,0.207826692756222,2,29
"2x30",0.334849400808033,0.16537879507943,0.147817372363759,0.351954431748779,2,30
"2x31",0.39094090330515,0.170707268990689,0.197548690737199,0.240803136966963,2,31
"2x32",0.348936000878237,0.180685756931705,0.134305734809045,0.336072507381013,2,32
"2x33",0.334841211480438,0.186254578511757,0.229246251619491,0.249657958388314,2,33
"2x34",0.424399114874046,0.171168386382533,0.200882921605265,0.203549577138156,2,34
"2x35",0.406883428357709,0.179647742774603,0.159765023288225,0.253703805579462,2,35
"2x36",0.437317682622774,0.195310017040461,0.128848020836587,0.238524279500178,2,36
"2x37",0.340849135860757,0.18748943544393,0.242160701037703,0.22950072765761,2,37
"2x38",0.297737415609378,0.208651021150333,0.208026126869705,0.285585436370585,2,38
"2x39",0.376833906031891,0.177313114721983,0.168754277676329,0.277098701569796,2,39
"2x40",0.381049680332576,0.184043967593615,0.156770040081428,0.278136311992381,2,40
"2x41",0.377032424708353,0.216972713614199,0.164169935823806,0.241824925853642,2,41
"2x42",0.342934594833011,0.184038647665475,0.239642031816842,0.233384725684672,2,42
"2x43",0.405578874295448,0.216154671598591,0.155189476733553,0.223076977372408,2,43
