"","Cancer","Ductal","mDCs","Macrophages","Mast","Monocytes","coordX","coordY"
"0x0",0.333146869906123,0.280507489158486,0.134648019786912,0.0646906962449435,0.110012861931919,0.076994062971617,0,0
"0x1",0.289818028288733,0.161660163571906,0.222405916170081,0.0749934247239568,0.127789929045352,0.123332538199971,0,1
"0x2",0.35601463356276,0.257840510576753,0.0723530776983079,0.125094632254553,0.0944968201684633,0.0942003257391634,0,2
"0x3",0.270822757417284,0.207679864858784,0.219432122065326,0.0754604783141106,0.108091183067805,0.118513594276692,0,3
"0x4",0.334788029517679,0.212520698283292,0.0859043137298126,0.0912684473155408,0.110714724283979,0.164803786869696,0,4
"0x5",0.428783202991042,0.253642411723756,0.0959228734843948,0.0593605231881121,0.0795932804027275,0.0826977082099669,0,5
"0x6",0.352713826337316,0.260115985379619,0.0337066222972624,0.0906891955793407,0.162973432891269,0.0998009375151924,0,6
"0x7",0.334819269168202,0.279096623238368,0.125983544643905,0.0967346358108868,0.0888741426139951,0.0744917845246439,0,7
"0x8",0.347815907305143,0.271298346691979,0.0641515327251317,0.104958583798569,0.116780310978629,0.0949953185005483,0,8
"0x9",0.407738147735285,0.260052774835179,0.056336207607379,0.0731266276668224,0.110453699693322,0.0922925424620118,0,9
"0x10",0.404699891837085,0.178801055641175,0.107748289174684,0.124871346205567,0.106940168916266,0.0769392482252223,0,10
"0x11",0.382382314790334,0.289965809017552,0.0304384089379462,0.130374479947028,0.0983445006848984,0.0684944866222418,0,11
"0x12",0.433718761140719,0.233302161243513,0.0563977185260175,0.0980021609496049,0.0954015008191655,0.0831776973209801,0,12
"0x13",0.404480730202334,0.274757983131611,0.0200067191204769,0.137822277338426,0.0895868881673989,0.0733454020397529,0,13
"0x14",0.406878744669681,0.277224908722663,0.0404138438724304,0.0496468840609396,0.127690496453937,0.0981451222203491,0,14
"0x15",0.35604859292012,0.236906974364833,0.0879384310744479,0.121537307542372,0.119941125309747,0.0776275687884807,0,15
"0x16",0.342195934032272,0.285538016231454,0.0100547579675353,0.108255428031817,0.149223761185872,0.104732102551051,0,16
"0x17",0.332658671576825,0.275925362483435,0.0486554835693349,0.0941227935135666,0.167185325890618,0.0814523629662202,0,17
"0x18",0.25824631609894,0.260131243622522,0.121039137960899,0.114563997757029,0.0939192366466498,0.15210006791396,0,18
"0x19",0.317163903516713,0.264000311481861,0.103647502947332,0.10935834134805,0.114649650797957,0.0911802899080872,0,19
"0x20",0.302025848242662,0.284033350802102,0.0973831892719157,0.0498961607254652,0.0842236344906264,0.182437816467229,0,20
"0x21",0.348235377266039,0.146424482360654,0.205302883263709,0.0720769580003845,0.128090902744026,0.0998693963651867,0,21
"0x22",0.242852444111691,0.2665505356702,0.0844880910314331,0.102511618566868,0.154576426127616,0.149020884492192,0,22
"0x23",0.237148469845177,0.228674169675132,0.178207339273727,0.138876098702239,0.0708715598536351,0.146222362650091,0,23
"0x24",0.263538478833802,0.256125469713121,0.0574332459953447,0.133472171496171,0.202180713377769,0.0872499205837928,0,24
"0x25",0.289439899135381,0.186354506931004,0.193185487268848,0.147398628645262,0.0957285677565418,0.0878929102629644,0,25
"0x26",0.328982530981693,0.22451685064981,0.127971091660178,0.0786724806108079,0.132984127709938,0.106872918387573,0,26
"0x27",0.295020763973112,0.171421983284259,0.171748542283518,0.121387984534965,0.114137932601729,0.126282793322416,0,27
"0x28",0.144789090321056,0.1833569587176,0.198561027740502,0.12889466383125,0.193519334728636,0.150878924660956,0,28
"0x29",0.242710174584834,0.147413708279641,0.288946801631659,0.103905141723052,0.0874694879487833,0.129554685832031,0,29
"0x30",0.245509920532344,0.213745989855593,0.167486805890393,0.120030238670527,0.126956156200994,0.126270888850147,0,30
"0x31",0.273596483509421,0.236611148194216,0.175973849415684,0.115978228207377,0.0918403664605944,0.105999924212707,0,31
"0x32",0.206438257846075,0.191799242949322,0.266764953310766,0.123796800281359,0.0901116974775606,0.121089048134917,0,32
"0x33",0.292747707832839,0.238579712392528,0.171215378887118,0.124568972418952,0.0892224867541396,0.0836657417144231,0,33
"0x34",0.19927480959263,0.141127220669193,0.125231702089868,0.0707509449416522,0.329858445238455,0.133756877468201,0,34
"0x35",0.238813269578111,0.0995035106876224,0.263125751138175,0.062132584487007,0.190900765958189,0.145524118150895,0,35
"0x36",0.182077482573881,0.204584668779212,0.137597717410925,0.10622257941197,0.242668463815691,0.12684908800832,0,36
"0x37",0.187073739453051,0.20606228426806,0.253129326488477,0.131997256729577,0.0552649947930406,0.166472398267794,0,37
"0x38",0.25926883522432,0.202797385261991,0.121235350217625,0.12916149131591,0.0876134865006175,0.199923451479537,0,38
"0x39",0.151343952186499,0.277546940396156,0.278708057759858,0.0681041203806684,0.117338481993198,0.10695844728362,0,39
"0x40",0.221233385495539,0.261681778404065,0.171995279257193,0.102212620019606,0.129355398601982,0.113521538221615,0,40
"0x41",0.158382680819303,0.150488960029675,0.251687434814166,0.114266737622399,0.0890853774128415,0.236088809301615,0,41
"0x42",0.121529317863933,0.148214598911365,0.26396514113622,0.104920516472548,0.202328045520515,0.159042380095419,0,42
"0x43",0.222557932900173,0.242071496974421,0.139000206085612,0.135947438268594,0.130583671623156,0.129839254148044,0,43
"0x44",0.175828135522547,0.256742557860512,0.163895617706123,0.106083065251658,0.169275389893636,0.128175233765523,0,44
"0x45",0.228253268675412,0.167885700811566,0.166865669456943,0.158138758956791,0.109285238530167,0.169571363569122,0,45
"0x46",0.216498412566974,0.172958602976399,0.204993917984129,0.110753270445485,0.186771236627218,0.108024559399794,0,46
"0x47",0.204373869564067,0.196490748055547,0.19466998415783,0.123211832490881,0.106917332056718,0.174336233674958,0,47
"0x48",0.176954915136386,0.136503965164561,0.266100763609564,0.0561128072397692,0.148489467158539,0.215838081691181,0,48
"0x49",0.276499041410583,0.191623034640687,0.169129012803092,0.149836332658926,0.0988563717488959,0.114056206737817,0,49
"1x0",0.380139838483988,0.267814238569946,0.0546333782503359,0.110569193562693,0.104818403297361,0.0820249478356764,1,0
"1x1",0.3644586903239,0.262701647307317,0.0679148889336657,0.122815853445138,0.0960204275372258,0.0860884924527539,1,1
