	Cancer	Ductal	Stroma
6x14	0.62640625	1.4699419e-12	0.37359372
3x8	0.6906951	1.8653982e-12	0.30930486
16x11	0.8266852	1.8888786e-12	0.17331478
2x6	0.7295622	4.980569e-12	0.2704378
3x12	0.9712875	2.365524e-12	0.028712433
16x15	0.4405983	2.2745388e-12	0.5594017
5x6	0.7393221	5.2016906e-12	0.26067796
9x13	0.28788465	6.276964e-12	0.71211535
15x15	0.033653457	0.00071937364	0.9656272
2x13	0.25271687	0.0009989612	0.7462842
10x10	0.9726181	2.4997918e-12	0.027381886
7x4	0.59652394	0.039905794	0.36357024
8x16	0.76668125	5.6743156e-12	0.23331875
16x16	0.6784667	2.624946e-12	0.3215333
6x6	0.74712765	0.060227443	0.19264486
0x10	0.870602	2.048788e-12	0.12939796
7x12	0.74924946	4.2813175e-12	0.25075057
12x7	0.74919456	1.0254511e-12	0.25080547
6x18	0.5813275	2.3120084e-12	0.41867253
3x14	0.7211659	1.4154172e-12	0.2788341
15x11	0.38076118	1.02697685e-11	0.6192388
7x3	0.32024366	1.5163104e-12	0.6797563
9x16	0.50635576	0.0047793863	0.4888649
1x10	0.13947746	0.029920071	0.83060247
17x5	0.71311975	2.3281743e-12	0.28688028
9x6	1.0	1.7081256e-12	1.1301419e-12
6x7	0.73732764	4.5694503e-12	0.2626724
0x0	0.7909733	0.059460662	0.14956604
0x1	0.64869535	0.026758805	0.32454583
0x2	0.8538481	0.044510596	0.10164135
0x3	0.6913173	1.5200926e-12	0.3086827
0x4	0.8709183	1.9627462e-12	0.1290817
0x5	0.86787146	0.07522861	0.056899935
0x6	0.86040854	0.11657442	0.023017045
0x7	0.85340667	0.060806885	0.08578648
0x8	1.0	2.666706e-12	2.2816419e-12
0x9	0.97071993	0.029280111	7.985924e-12
0x11	0.8759038	0.124096245	6.438296e-13
0x12	0.9306683	0.040347505	0.028984154
0x13	0.84055793	0.15944211	1.1698045e-12
0x14	0.93618876	0.06381129	1.9916772e-12
0x15	0.92281705	2.019451e-12	0.077182926
0x16	0.85106015	0.1489399	3.9991094e-11
0x17	0.797049	0.16501887	0.037932172
0x18	0.5680272	0.30741805	0.12455475
0x19	0.8669569	0.014769666	0.118273444
0x20	0.8673456	0.0015880899	0.13106638
0x21	0.70654124	1.6672057e-12	0.2934588
0x22	0.63112706	0.16704205	0.20183088
0x23	0.430955	0.23357932	0.3354657
0x24	0.7641468	0.12359242	0.11226078
0x25	0.46373078	0.22729526	0.308974
0x26	0.66500944	0.1353641	0.1996264
0x27	0.56244963	0.11001421	0.3275362
0x28	0.42250156	0.093022265	0.48447615
0x29	0.41594845	0.086042464	0.4980091
0x30	0.46570253	0.28338882	0.25090855
0x31	0.6392051	0.08217505	0.27861986
0x32	0.526581	0.019916212	0.45350277
0x33	0.7327041	0.053956416	0.21333946
0x34	0.53053653	0.104080655	0.36538288
0x35	0.4288731	0.03938718	0.5317397
0x36	0.5481741	0.111538686	0.3402872
0x37	0.39158672	0.18692079	0.42149246
0x38	0.4038487	0.30229762	0.29385367
0x39	0.3126569	0.24465944	0.44268367
0x40	0.48514602	0.20019263	0.31466132
0x41	0.102050565	0.32254028	0.5754092
0x42	0.27183634	0.14037265	0.58779097
0x43	0.3471751	0.29563192	0.357193
0x44	0.14251915	0.4975484	0.35993245
0x45	0.46790847	0.13801494	0.39407656
0x46	0.37508792	0.25179365	0.3731185
0x47	0.18570267	0.40036476	0.41393256
0x48	0.27824715	0.19970722	0.5220457
0x49	0.41619113	0.3198479	0.26396096
1x0	0.8827302	0.08920828	0.02806151
1x1	0.82971	0.11994143	0.05034859
1x2	0.7994481	0.036214832	0.16433707
1x3	0.66696405	0.12703456	0.20600136
1x4	0.9252529	0.07474713	3.9075535e-12
1x5	0.99231595	2.8506778e-12	0.007684067
1x6	1.0	4.2592496e-12	5.5973433e-12
1x7	1.0	1.2736318e-12	1.0597437e-12
1x8	0.8621194	0.13788067	1.0110705e-12
1x9	1.0	8.588232e-12	2.0816571e-12
1x11	0.9404572	1.9671621e-12	0.059542812
1x12	0.7435742	0.21937586	0.037049998
1x13	0.89436424	1.866434e-12	0.105635785
1x14	0.9661676	4.6576623e-12	0.033832382
1x15	0.8870099	0.11299008	3.7436083e-12
1x16	0.77009153	0.058040798	0.17186765
1x17	0.854611	0.068076245	0.07731274
1x18	0.8802974	3.676073e-12	0.119702555
1x19	0.8165384	0.030989833	0.15247175
1x20	0.6616562	0.05698055	0.28136328
1x21	0.6528082	0.24940598	0.09778574
1x22	0.596416	0.13997732	0.26360673
1x23	0.67095536	0.028903514	0.30014116
1x24	0.7521791	1.5845211e-12	0.24782087
1x25	0.61855966	1.963801e-11	0.3814403
1x26	0.65863925	0.11023761	0.23112315
1x27	0.46107584	0.18849328	0.3504309
1x28	0.56306666	0.17830117	0.25863218
1x29	0.1425649	0.47811168	0.37932342
1x30	0.46683514	0.09872842	0.43443644
1x31	0.57589734	0.039394762	0.3847079
1x32	0.36942056	0.2209833	0.40959615
1x33	0.5410084	0.027503809	0.43148777
1x34	0.38826096	0.241853	0.36988604
1x35	0.33744648	0.20566136	0.4568921
1x36	0.5098881	0.1953457	0.2947662
1x37	0.2928453	0.3200352	0.3871195
1x38	0.3974146	0.16461153	0.4379739
1x39	0.7054051	0.047301967	0.24729292
1x40	0.400223	0.048271324	0.5515057
1x41	0.34140754	0.09948447	0.55910796
1x42	0.3479854	0.24003236	0.41198224
1x43	0.26956728	0.078462616	0.6519701
1x44	0.108949095	0.28477672	0.6062741
1x45	0.43051812	0.09742783	0.47205406
1x46	0.5315688	0.19898824	0.2694429
1x47	0.29209438	0.21180627	0.49609938
1x48	0.35520944	0.40983877	0.23495176
1x49	0.54013	0.09461321	0.3652568
2x0	0.92144126	1.8668329e-12	0.07855873
2x1	0.90205765	2.268761e-12	0.09794234
2x2	0.9120086	0.06791525	0.02007608
2x3	1.0	2.2592644e-12	4.9984587e-12
2x4	0.86485904	0.13514096	5.439172e-12
2x5	0.77469283	0.06354877	0.16175836
2x7	1.0	1.296012e-12	6.423708e-13
2x8	0.9906575	1.2716602e-12	0.009342492
2x9	1.0	2.8227607e-12	8.1889367e-13
2x10	0.99272054	0.0072794487	3.1422545e-12
2x11	0.99476683	0.0052331933	8.501447e-13
2x12	1.0	7.8559696e-13	6.049425e-13
2x14	1.0	4.702134e-12	1.259124e-12
2x15	1.0	2.3308426e-12	1.2857683e-12
2x16	0.75191003	2.4800602e-12	0.24808992
2x17	0.8858693	0.017284304	0.09684639
2x18	0.75810647	2.248828e-12	0.24189353
2x19	0.6163827	0.21751058	0.16610678
2x20	0.8443699	2.1583319e-12	0.15563008
2x21	0.65893006	0.15840107	0.18266886
2x22	0.66337705	0.19128342	0.14533952
2x23	0.6747003	0.0566863	0.26861343
2x24	0.7718109	0.047779277	0.18040986
2x25	0.6604816	0.065067105	0.27445132
2x26	0.6580087	0.1300825	0.21190882
2x27	0.5838314	0.06626229	0.34990627
2x28	0.30239093	0.1469662	0.5506429
2x29	0.5475143	0.21683012	0.23565546
2x30	0.48400274	0.29464304	0.22135425
2x31	0.39199254	0.12537718	0.48263028
2x32	0.33711335	0.35862556	0.3042611
2x33	0.3964928	0.16810644	0.4354008
2x34	0.5515158	0.1496761	0.29880813
2x35	0.67467993	0.07153798	0.25378206
2x36	0.34189492	0.06424459	0.5938605
2x37	0.34347627	0.44858006	0.20794363
2x38	0.3215854	0.16724572	0.5111689
2x39	0.23369212	0.39814875	0.36815915
2x40	0.33424708	0.14897385	0.51677907
2x41	0.21900643	0.4113446	0.36964896
2x42	0.4033076	0.24322751	0.3534649
2x43	0.19008482	0.19079453	0.61912066
2x44	0.16848269	0.4806398	0.35087752
2x45	0.2899762	0.33488905	0.37513477
2x46	0.24127148	0.17033385	0.5883947
2x47	0.19948639	0.14855444	0.6519591
2x48	0.25436512	0.34492692	0.40070796
2x49	0.2498497	0.38371047	0.36643982
3x0	0.9270512	0.013016266	0.059932575
3x1	0.88284355	0.11715641	1.7400039e-12
3x2	0.9988422	0.001157827	8.0375664e-13
3x3	0.8965018	0.103498206	1.3178979e-12
3x4	1.0	2.1169292e-12	5.4312227e-12
3x5	1.0	8.0300575e-12	8.7598407e-13
3x6	1.0	2.5402252e-12	1.9423014e-12
3x7	1.0	1.6132522e-12	1.1416391e-12
3x9	0.92441475	0.07558522	7.512777e-13
3x10	1.0	1.4576404e-11	7.848648e-13
3x11	1.0	1.896572e-12	1.165057e-12
3x13	0.97318184	0.026818123	7.0641805e-13
3x15	1.0	5.28784e-12	1.5866198e-12
3x16	0.90355295	3.4272975e-12	0.096447095
3x17	1.0	2.4866422e-12	1.532081e-12
3x18	0.9380753	1.7543144e-11	0.061924696
3x19	0.8891349	0.061002485	0.049862623
3x20	0.82037693	3.6278467e-12	0.1796231
3x21	0.5426746	0.13455743	0.32276797
3x22	0.8503644	1.5068024e-12	0.14963561
3x23	0.80094004	0.05783698	0.14122295
3x24	0.53294015	0.11444884	0.35261098
3x25	0.38590738	0.16928181	0.4448108
3x26	0.43930548	0.14770824	0.41298625
3x27	0.6178065	0.1806649	0.20152856
3x28	0.46066958	0.29483497	0.24449544
3x29	0.5602909	0.058631312	0.3810778
3x30	0.32019046	0.17751707	0.5022924
3x31	0.4147488	0.09505039	0.49020082
3x32	0.62380743	0.07822187	0.2979707
3x33	0.43345255	0.047646992	0.51890045
3x34	0.24358748	0.13220572	0.6242068
3x35	0.17076826	0.3097516	0.51948017
3x36	0.50794184	0.1542144	0.3378438
3x37	0.2918873	0.22234055	0.4857722
3x38	0.42344797	0.19372964	0.3828224
3x39	0.33280602	0.1069794	0.5602146
3x40	0.12580872	0.26261693	0.61157435
3x41	0.23891439	0.23773086	0.5233548
3x42	0.32532102	0.2613802	0.41329882
3x43	0.27693605	0.2101549	0.51290905
3x44	0.44770887	0.2831919	0.26909927
3x45	0.3765527	0.27572247	0.34772485
3x46	0.5124423	0.10085176	0.38670605
3x47	0.29871696	0.39234656	0.3089365
3x48	0.6427706	0.12924497	0.22798449
3x49	0.2759824	0.32821622	0.39580145
4x0	0.92027235	0.079727665	1.4869928e-12
4x1	0.8221089	3.7648023e-12	0.17789108
4x2	0.69645953	0.1907817	0.11275873
4x3	0.9892346	0.01076532	1.7377398e-12
4x4	1.0	2.557232e-12	5.1856295e-13
4x5	1.0	3.6877953e-12	2.0500125e-12
4x6	1.0	1.2188639e-12	6.4027055e-13
4x7	1.0	1.9047546e-12	1.0140784e-12
4x8	1.0	1.8064568e-12	6.837874e-13
4x9	1.0	3.0954948e-12	1.0997903e-12
4x10	1.0	2.4583029e-12	1.3962815e-12
4x11	0.99677736	0.0032226366	7.0983903e-13
4x12	0.98999846	0.010001613	6.892766e-13
4x13	1.0	1.6710686e-12	9.006146e-13
4x14	1.0	5.6342773e-12	1.7333922e-11
4x15	1.0	2.5463661e-12	3.0758304e-12
4x16	1.0	2.8015797e-12	7.323651e-13
4x17	0.96676004	3.5838708e-12	0.033239942
4x18	0.9063863	1.6088197e-12	0.09361363
4x19	0.74262786	0.057271153	0.20010093
4x20	0.98944557	0.005651497	0.004902955
4x21	0.83798605	1.660355e-11	0.16201396
4x22	0.6638045	0.21301168	0.12318387
4x23	0.6242997	0.06599314	0.3097072
4x24	0.67034125	0.08395071	0.24570803
4x25	0.58968556	0.17194085	0.23837356
4x26	0.50702524	0.010234434	0.48274037
4x27	0.58076286	0.089431524	0.32980564
4x28	0.48467335	0.1638311	0.35149553
4x29	0.26360843	0.09314343	0.6432482
4x30	0.43462494	0.14517415	0.4202009
4x31	0.046882667	0.5815327	0.37158465
4x32	0.26442987	0.23446669	0.5011035
4x33	0.48400152	0.11757959	0.39841893
4x34	0.32546848	0.19683458	0.47769696
4x35	0.4716497	0.1312298	0.39712054
4x36	0.29617932	0.1230295	0.58079123
4x37	0.45594308	0.07735271	0.46670428
4x38	0.4283484	0.36333418	0.20831737
4x39	0.22685164	0.39272794	0.3804204
4x40	0.25271356	0.08152134	0.6657651
4x41	0.38505548	0.2767407	0.33820376
4x42	0.35568094	0.15514165	0.48917738
4x43	0.5175876	0.0450263	0.43738604
4x44	0.14473855	0.19103265	0.6642288
4x45	0.3660677	0.28646073	0.3474716
4x46	0.32429197	0.25330845	0.42239952
4x47	0.33610955	0.2457557	0.4181347
4x48	0.18653905	0.24344037	0.5700206
4x49	0.2753507	0.40104643	0.32360286
5x0	0.7226862	0.17094603	0.10636775
5x1	0.8281786	0.0046538482	0.16716757
5x2	1.0	3.2118835e-12	1.043486e-12
5x3	1.0	1.9530658e-11	2.788016e-12
5x4	0.9375492	0.06245086	1.7432009e-12
5x5	1.0	1.5339473e-12	1.2616824e-12
5x7	1.0	1.96766e-12	1.3005811e-12
5x8	1.0	3.7550458e-12	1.1641111e-12
5x9	1.0	3.551206e-12	1.0416568e-12
5x10	1.0	3.1334204e-12	1.8410874e-12
5x11	1.0	1.8474861e-12	8.6448844e-13
5x12	1.0	1.4090301e-12	7.166459e-13
5x13	0.99534714	0.004652858	1.0731862e-12
5x14	1.0	7.87482e-12	1.1958611e-12
5x15	1.0	1.8371223e-12	9.661013e-13
5x16	1.0	1.3060102e-12	6.0190676e-13
5x17	0.98044235	0.019557614	3.1168746e-12
5x18	0.50087166	0.26262325	0.23650508
5x19	0.7850076	0.077561826	0.13743056
5x20	0.8406765	0.06304439	0.09627906
5x21	0.7997888	0.068240814	0.13197038
5x22	0.5698881	0.11051407	0.3195978
5x23	0.62015843	1.2808326e-11	0.37984157
5x24	0.5023976	0.072690114	0.42491224
5x25	0.46344012	0.058580775	0.47797906
5x26	0.57911766	0.026413467	0.39446893
5x27	0.5024643	0.2209376	0.2765981
5x28	0.41583666	5.9936648e-12	0.58416337
5x29	0.4045662	0.029398665	0.5660352
5x30	0.58135605	3.5093692e-12	0.41864392
5x31	0.39270267	0.090863764	0.5164336
5x32	0.43951887	0.26533264	0.29514852
5x33	0.41056108	0.22229168	0.36714727
5x34	0.20185426	0.19523422	0.6029115
5x35	0.27640566	0.11509655	0.6084978
5x36	0.42966822	0.18441072	0.3859211
5x37	0.27116767	0.108253784	0.6205785
5x38	0.2698359	0.27803943	0.45212474
5x39	0.28245613	0.28403908	0.4335048
5x40	0.49600565	0.054554608	0.44943976
5x41	0.4387142	0.057924565	0.5033612
5x42	0.032899838	0.30421942	0.6628808
