	Macrophages	Mast	Monocytes	mDCs
0x0	0.16174735	0.20519724	0.24924035	0.38381508
0x1	0.08062863	0.21287702	0.4141173	0.29237708
0x2	0.13201304	0.22856805	0.33568048	0.30373845
0x3	0.13730793	0.18368246	0.3147505	0.36425918
0x4	0.121886775	0.20943175	0.35638255	0.31229898
0x5	0.08573441	0.2023453	0.3505247	0.3613956
0x6	0.13558869	0.2925076	0.34539372	0.22651
0x7	0.15990728	0.19117482	0.21794048	0.4309774
0x8	0.1524784	0.210417	0.29961044	0.3374942
0x9	0.10693829	0.2001438	0.33170572	0.36121216
0x10	0.10461202	0.2778231	0.31380373	0.3037612
0x11	0.1316456	0.20439917	0.35232472	0.31163055
0x12	0.15264525	0.21007642	0.35287112	0.28440717
0x13	0.15141293	0.28488344	0.28974837	0.27395523
0x14	0.104561076	0.2585063	0.34507263	0.29185998
0x15	0.11792195	0.20752044	0.26642054	0.40813702
0x16	0.13357706	0.24921691	0.33946225	0.27774385
0x17	0.12652618	0.26498973	0.31539252	0.29309157
0x18	0.1507693	0.1913046	0.35096285	0.3069633
0x19	0.15713468	0.29596585	0.19863646	0.348263
0x20	0.06402293	0.19100417	0.40355527	0.34141764
0x21	0.10536868	0.22910841	0.3055342	0.35998878
0x22	0.15094748	0.20137227	0.33937716	0.30830312
0x23	0.20019579	0.11792827	0.33151406	0.35036185
0x24	0.16040893	0.25866985	0.3057326	0.2751886
0x25	0.11873281	0.14162591	0.3952796	0.3443617
0x26	0.07439866	0.23653938	0.40921485	0.27984712
0x27	0.21172442	0.25756225	0.2966118	0.23410155
0x28	0.16197231	0.10830931	0.4209022	0.30881622
0x29	0.08313239	0.12115693	0.4290008	0.36670983
0x30	0.15575817	0.21976133	0.35886863	0.26561192
0x31	0.122502714	0.27981305	0.2674416	0.33024263
0x32	0.17639351	0.1470599	0.41458312	0.2619635
0x33	0.16551028	0.19997366	0.2662143	0.36830178
0x34	0.22392446	0.23459065	0.37752798	0.16395691
0x35	0.13812874	0.15562545	0.40470663	0.30153912
0x36	0.13524479	0.32032463	0.24589205	0.29853863
0x37	0.17724125	0.09155085	0.42088872	0.31031916
0x38	0.20101826	0.1852925	0.38428614	0.22940317
0x39	0.09742068	0.13123532	0.31945354	0.45189053
0x40	0.12521274	0.2205132	0.35187054	0.30240354
0x41	0.19907002	0.12602113	0.65004194	0.024866894
