,Cancer,Ductal,Macrophages,Mast,Monocytes,mDCs
0x0,0.5593977,0.031011177,6.8446997e-12,1.8078004e-12,5.8383125e-12,0.40959114
0x1,0.4460835,0.06492227,0.016464291000000002,0.09543351,0.10188038,0.27521607
0x2,0.6009559,0.014600122,0.016127378,2.9173634e-12,0.10901228,0.25930437
0x3,0.49146438,7.190560000000001e-13,1.8627287e-12,0.07038908,0.077332444,0.36081406
0x4,0.6419186,0.009166933,0.09464335,0.051783137,0.15045450000000002,0.052033484000000005
0x5,0.73111737,6.4768074e-12,2.4345973e-11,5.9454142999999995e-12,0.015036355,0.25384629999999997
0x6,0.60107446,0.08410755,1.1587311e-12,0.314818,1.946823e-12,9.282295e-13
0x7,0.6146305000000001,0.075223014,0.05410332599999999,4.521583e-12,0.007949289,0.24809384
0x8,0.9945504000000001,7.2217774e-13,6.1271756e-12,2.1561232000000005e-12,0.0054495707,1.1592918e-12
0x9,1.0,1.8068665000000002e-12,5.679358e-13,9.779362e-13,3.65157e-13,8.609688500000001e-13
0x10,0.64210653,2.1163297000000004e-12,0.06991166,9.964096000000001e-12,0.0419194,0.24606234
0x11,0.93403697,0.06596303,6.035479999999999e-13,6.839955600000001e-13,3.1519099999999996e-13,4.9525157e-13
0x12,0.7724141999999999,0.05284079,0.13717717,0.006216623,0.0313512,9.701025e-13
0x13,0.8530098,0.14699022,4.0389653e-13,7.506849e-13,3.8970655000000004e-13,6.3654534e-13
0x14,1.0,1.9602143e-12,6.221090999999999e-13,1.45205e-12,1.8638540000000003e-12,6.769075e-13
0x15,0.75501144,4.2963549999999995e-13,1.0319008e-12,1.8172153000000001e-12,0.0077200304,0.23726851
0x16,0.68777883,0.09181262,0.005628192,0.21478024,1.8244453e-12,9.050317499999999e-13
0x17,0.54116267,0.1639884,1.3411852e-12,0.24214461,0.052704352999999995,5.2680684e-13
0x18,0.45040387,0.2802398,0.14409591,1.3566433e-12,0.019240119,0.10602034
0x19,0.65796226,4.919367e-13,0.031485286,0.024644537,0.07003905,0.21586893
0x20,0.67143923,1.1395294e-09,1.6362104e-12,2.0602211e-12,0.27371135,0.05484937
0x21,0.50893223,0.03958351,0.018889716,0.06734156599999999,0.013204533000000001,0.35204840000000004
0x22,0.46501629999999994,0.10686734,0.14131624,1.3967468e-12,0.14562614,0.14117391
0x23,0.3174696,0.19796,0.09500407,0.040658127999999995,0.096355766,0.25255248
0x24,0.52824825,0.07828239,0.06766538,0.24458173,0.08122223,6.890677e-13
0x25,0.32920474,0.17228064,0.04843331,1.1077225e-12,0.04416243,0.40591884
0x26,0.3637371,0.12242319,0.05221092,0.21322595,0.046124532999999995,0.20227835
