,Cancer,Ductal,Macrophages,Mast,Monocytes,T,mDCs,pDCs
0x0,0.75209445,0.08605529,0.066573545,3.2202438e-14,5.8898924e-14,1.2946924e-13,0.09527672,7.801084e-14
0x1,0.6568010999999999,0.021586206,0.29459384,0.0022321423,1.749061e-13,6.2147536e-13,0.024134737000000003,0.0006519950700000001
0x2,0.8195247999999999,0.07332673,2.1626913e-13,4.3163247e-14,0.008204646,1.4340621e-12,0.06889918,0.030044615
0x3,0.6952977,1.5221831e-13,0.28760675,2.8031844e-14,8.760424000000001e-14,4.706044600000001e-13,0.017095467,1.2572829e-13
0x4,0.8610521000000001,1.0484818400000001e-13,0.07897551,3.266435e-14,0.047069195999999994,0.0068090325,2.7867782000000004e-13,0.006094107
0x5,0.8041895,0.11785677,0.07566194,3.1984164e-14,5.0228395999999996e-14,2.2380702000000001e-13,0.0022917814000000002,1.5651629e-13
0x6,0.7869682,0.1284599,1.5533705e-13,0.073572256,0.0042200729999999995,0.0067796409999999994,6.234818000000001e-14,5.9001843e-13
0x7,0.8221441999999999,0.08372089,0.030827112,4.3026587e-14,2.1060482000000002e-13,0.01707393,0.037393205,0.008840641
0x8,1.0,2.1370027e-13,2.1234200999999999e-13,8.003374e-14,9.474793e-14,1.8084416000000002e-13,1.2149294e-13,7.410262700000001e-13
0x9,0.9343128,0.053669497000000004,0.0049625286,1.0099742e-13,1.819839e-13,0.005021982,0.0020332283,3.9715974e-13
0x10,0.8948433000000001,2.8936155e-13,0.036307253,3.2109637000000004e-14,0.008102335,1.6234404e-13,0.0607471,2.2488569000000002e-13
0x11,0.83931804,0.16068202,3.3021114999999996e-14,2.2449057e-14,3.9341874999999996e-14,9.8854356e-14,2.2303096e-14,4.408645e-14
0x12,0.89153576,0.06379815,0.01889276,3.713621e-14,0.025773402,8.7162015e-14,1.4599341999999998e-13,4.0769683e-13
0x13,0.80104184,0.19895813,9.4643565e-14,3.7791000000000005e-14,7.1955036e-14,1.2095449000000002e-13,1.0580811e-13,1.3181451e-13
0x14,0.9085469,0.091453105,9.3471644e-14,5.704268e-14,6.2124644e-13,1.7651168e-13,1.6024678e-13,1.2626876999999998e-13
0x15,0.9170308,2.0814589e-13,1.3231826000000001e-12,3.6750656e-14,8.932405999999999e-14,0.00518049,0.07346562,0.004323103
0x16,0.7660515999999999,0.16931851,5.2811839999999995e-14,0.06362796,8.967591e-14,0.0010018998,3.6731946e-14,1.2960830000000002e-13
0x17,0.7365169,0.15497282,0.0020924010000000002,0.095270395,0.0036858766999999996,0.007461515300000001,2.2294539e-13,2.1535547e-12
0x18,0.5654415,0.30469862,0.018761652,6.191249e-14,0.07535708,0.011858782,0.019219263,0.0046631936
0x19,0.83765584,0.027945913,0.06595044,5.1420016e-14,0.023967447000000003,0.011285656000000002,0.023592007999999998,0.009602624
0x20,0.88790834,9.403110999999999e-13,2.3730207e-13,8.030210499999999e-14,0.057713278,9.424207e-13,0.054378405,1.0994342e-11
0x21,0.7366035,1.5290402e-13,0.050934374000000004,1.3107467999999998e-13,1.4083546e-13,1.9420685e-12,0.19907075,0.013391459
0x22,0.57844585,0.19966465,2.7766719e-13,7.269527e-14,0.09925558,0.035068266,0.07034026,0.017225357
0x23,0.43147266,0.24516563,0.29409596,4.679094e-14,0.029265791,1.3218e-13,2.3399666000000003e-13,2.0466270000000003e-13
0x24,0.6889519000000001,0.14369144,2.7610320000000003e-13,0.111055955,0.038099006,0.0069686290000000005,0.006138213000000001,0.005094914
0x25,0.47546175,0.21576092,0.19742362,8.648099e-14,3.2905256e-12,0.00675704,0.10459669,2.3169895e-12
0x26,0.62590754,0.15581526,0.10962293,0.042397697000000005,6.119742e-14,3.1449276e-13,0.06625655,5.318305999999999e-13
0x27,0.5359716999999999,0.12296873,0.24027741,0.06459069999999999,0.008472983,0.014707153,8.596030999999999e-13,0.013011306
0x28,0.40444446,0.10435648,0.101922326,0.13111694,0.05190560599999999,0.027828269,0.17842585,6.414694e-13
0x29,0.41436255,0.10352578,0.15245646,6.162755e-14,0.0074055693,1.997102e-13,0.30368942,0.018560173
0x30,0.4523934,0.29403582,0.13594392,4.9720007000000007e-14,0.083432086,0.016465062,1.8643743e-12,0.017729707
0x31,0.6188399,0.117587045,0.045566365,4.167628e-14,0.009345805,0.0056536207,0.17355593,0.029451357
0x32,0.5348095,0.03799268,1.0276049000000002e-12,7.415771999999999e-14,0.07304484,5.6379353e-13,0.33140963,0.022743287999999997
0x33,0.7099505,0.08565253,9.2798425e-12,2.9801784e-14,0.007659699,0.007822023,0.18891525,2.2669978999999998e-13
0x34,0.46129084,0.082455344,0.09304223,0.32813594,0.029825643,1.6417298999999999e-12,1.1030697e-12,0.005249984599999999
0x35,0.40604943,0.05294743,0.20201646,0.10851935,2.2251504e-13,3.0037225e-13,0.23046736,1.2979558999999999e-13
0x36,0.47775894,0.13328312,0.139102,0.1988164,0.006878498,0.025118066,0.01904296,1.9223676e-13
0x37,0.41538918,0.17626326,0.1596475,6.095743e-14,0.035107434,5.0752566e-13,0.19672781,0.016864775
0x38,0.39467379999999996,0.33702862,0.10950498,5.175575e-14,0.09950832,0.009246261,0.05003806,2.430728e-13
0x39,0.31824484,0.23639674,0.02641545,3.6677123e-14,0.00034331023999999995,0.049545623,0.36905405,2.0831874e-12
0x40,0.43514907,0.23542981,0.022352373,0.07526808,0.032420415,0.026235519,0.15085489,0.022289865
0x41,0.09150394,0.35189953,0.20634887,5.4151203e-14,0.10922337,2.3466328e-13,0.24102424,7.724545999999999e-13
0x42,0.25654638,0.112439014,0.09351209,0.19069123,0.058186386,0.03501749,0.23216307,0.021444345
0x43,0.32629424,0.33500835,0.16933686,6.550868e-14,9.577367e-13,0.02064858,0.11985178,0.028860177999999997
0x44,0.13265912,0.45606557,0.1860236,0.11034615,1.8851747e-13,0.04529574,0.06960979,1.4684956e-12
0x45,0.47961327,0.12140487,0.29202905,7.424062e-14,0.06864225,0.03831051,1.3269228000000002e-12,2.9697197e-12
0x46,0.35687637,0.24478647,0.10178967,0.13778022,0.010583714,2.9239377e-13,0.14818354,1.9549158999999999e-13
0x47,0.18015529,0.40421724,0.28085732,8.1766706e-14,0.025056697000000003,0.018987501,0.021048123,0.06967792
0x48,0.29727063,0.19625801,0.034757458,1.1623427999999999e-13,0.11493107,0.00981744,0.3282203,0.01874506
0x49,0.41718277,0.31579070000000004,0.20452866,2.9429326e-14,0.042880956,0.005146541,1.6785229e-13,0.014470405
1x0,0.8393280999999999,0.11968356,0.040988277999999996,3.9999955e-14,2.0659340999999999e-13,1.9575585000000002e-13,2.0774884000000003e-13,1.7058861e-13
1x1,0.80970883,0.12845176,0.040885795,4.5551785e-14,0.016531966999999998,2.1735813e-13,0.0044216053,2.686473e-13
1x2,0.7831739000000001,0.050416585,0.000698684,2.4838245000000002e-14,0.03140115,4.6673783000000005e-11,0.12987998,0.0044297427
1x3,0.63452715,0.1733784,0.0022708223999999997,4.5902803e-14,1.3934514999999998e-13,4.0809066e-13,0.1793933,0.010430248
1x4,0.8786616,0.10654142,1.1918865e-13,4.8729242999999995e-14,3.6586775e-14,1.420967e-13,0.009827784,0.0049692728000000005
1x5,0.9421875,8.383396999999999e-13,1.8772081e-13,0.03614202,0.00719829,0.014472202,7.301060000000001e-14,7.9374034e-14
1x6,0.9766030000000001,1.5780753e-11,1.4352911999999998e-13,2.6886097999999998e-14,0.0026068653,2.5527947e-13,1.6970931e-13,0.020790257
1x7,0.9965278000000001,1.1198604e-13,8.1020714e-14,3.4471354e-14,5.6684695e-14,3.3512087e-13,7.630451000000001e-14,0.0034721942999999997
1x8,0.81967604,0.17482017,6.768334e-14,3.052351e-14,4.0550852000000006e-14,0.0045374123999999995,4.9763985e-14,0.0009663912400000001
1x9,0.9793101999999999,0.011231437,3.2670055000000003e-13,3.7015275e-14,0.009458362,2.1806037e-13,6.140046699999999e-13,8.0941867e-13
1x10,0.33489376,8.408838e-14,0.28908047,3.2765586e-14,0.06410186,0.08240071,0.22952326,4.6737755e-13
1x11,0.9271902,2.1862555000000003e-13,1.7818020000000002e-13,3.7996936e-14,8.870685999999999e-14,1.2407493e-13,0.04966212,0.02314779
1x12,0.7311302,0.24215592,0.0012911116,4.8285892e-14,2.0304009e-13,1.610434e-13,0.025422793,1.3532147e-13
1x13,0.8932619,1.9267454e-13,1.635033e-13,3.5502322000000005e-14,1.1519460999999998e-13,5.5604506e-13,0.09388184,0.012856258
1x14,0.9462939,2.5607402e-13,1.3329186e-13,3.9810965e-14,0.053706172999999996,1.3224347e-13,8.227017599999999e-14,8.7098385e-14
1x15,0.8206143,0.15680863,2.2255484e-13,3.6887800000000006e-14,1.3897514000000002e-13,0.00044447882,1.7307153e-13,0.022132555
1x16,0.6849287,0.083177395,3.5716343000000003e-12,0.1642445,2.4021928e-13,7.403595e-13,0.06764939999999998,1.3850374e-12
1x17,0.82257706,0.08962916,7.437226400000001e-14,3.027734e-14,1.1868729000000002e-13,4.4567645000000005e-13,0.059183992000000005,0.028609752999999998
1x18,0.8941829,3.4370125e-13,2.4845845e-13,1.5987038e-13,0.020169288,3.2471354000000003e-13,0.073415026,0.012232779499999999
1x19,0.7779659000000001,0.076899044,0.0778192,4.4596704999999994e-14,0.0028456565999999996,1.0764757400000001e-13,0.050683505999999996,0.013786648
1x20,0.62028503,0.087796435,0.29191849999999997,3.5355033e-14,1.9081098e-13,3.822574e-13,2.3769662e-12,5.258621999999999e-13
1x21,0.6195345999999999,0.24800323,0.023843966,0.077281035,0.03133723,2.7237956e-13,1.2739611e-13,1.0474208e-12
1x22,0.537325,0.13096486,1.6372874e-13,0.16186728,1.0735462999999999e-13,0.050776113,0.10326994,0.015796673
1x23,0.6963746999999999,0.043285962000000004,0.013827082,6.78563e-14,0.020336369,1.9239020000000002e-13,0.22617587,2.0983657e-13
1x24,0.7671647,1.9934476e-13,4.6000573e-12,5.3806328e-14,0.0678128,0.009208759,0.14966904,0.00614469
1x25,0.6177863,3.5326356e-12,0.18544179,1.204925e-13,0.020684173,3.5030840000000003e-13,0.13649978,0.039588016000000004
1x26,0.6750162,0.09283172,0.08992965,5.0013233e-14,0.14222243,3.764715e-13,2.1218591000000002e-13,1.1544647e-13
1x27,0.46940377,0.19094193,0.13498157,4.8063512000000004e-14,1.6814962000000001e-13,0.009587925,0.17932238,0.015762394
1x28,0.5740462,0.18741685,0.04177944,3.5197160000000004e-14,0.103736065,2.1395789000000002e-12,0.093021415,3.856764e-13
1x29,0.10012635,0.48671216,0.2847749,1.0010761e-13,0.12838662,2.4285508e-13,1.5766029999999998e-13,1.1981678e-13
1x30,0.46166083,0.095136665,2.7108453999999997e-12,0.13869745,0.017844439,1.5212587e-12,0.28666058,4.0462636e-13
1x31,0.5784519,0.051705625,0.11688086,5.0947284e-14,0.08504695,0.003175408,0.16473919,1.2101624999999998e-13
1x32,0.38851947,0.20263307,0.30613470000000004,8.860758e-14,1.6344684e-13,2.0277023e-13,0.10271274,2.1727532000000002e-13
1x33,0.55211025,0.048684335999999995,0.108914964,4.7028973e-14,1.5630748000000002e-13,5.9529650000000004e-05,0.29023102,3.7028426e-13
1x34,0.36911878,0.22922331,0.036386058,0.17834465,0.021474773,0.00964596,0.15122351,0.004583016
1x35,0.33850107,0.25196934,0.06569319,5.930249e-14,0.051866505,0.004042935,0.28792697,6.5478135000000006e-12
1x36,0.47473162,0.20932524,0.05317243,0.091849566,0.06105456,0.01528198,0.07049796,0.024086708
1x37,0.2741048,0.33143803,0.06224691,0.08901204,0.10604668,0.020949755,0.116201766,6.3380117e-12
1x38,0.39636415,0.16504338,0.20549566,4.0305754e-14,0.03192108,1.1914773e-13,0.17790124,0.023274502000000002
1x39,0.66584504,0.041009206,5.801266599999999e-13,0.13976754,0.106872156,4.923273699999999e-13,0.046506099999999995,1.5271479999999999e-12
1x40,0.36549664,0.06648641,0.016579619,0.14836062,0.022015585,0.07972129,0.30133990000000005,1.8853326000000003e-12
1x41,0.33347818,0.102396056,0.520051,5.759506e-14,0.044074744000000006,1.6151703e-13,4.1873959999999996e-13,3.6520677999999996e-13
1x42,0.34637868,0.27541047,0.008273316999999999,4.56748e-14,2.4315576e-13,0.009661386,0.36027616,2.2851794e-12
1x43,0.26030210000000004,0.10099698,0.39386553,4.7347312e-14,0.0392282,0.044197164000000004,0.16141014,4.1639418e-12
1x44,0.11677514,0.3036369,0.12627293,4.6289676e-14,0.004299622,0.027619671000000002,0.40628678,0.015108906
1x45,0.42393598,0.12282892,0.007683468000000001,0.05615159,2.757393e-12,0.0013467829999999998,0.38805315,3.4141995000000002e-12
1x46,0.48361441,0.19512384,0.048593294,0.12454298,0.14812547,2.8629147e-13,1.3775771e-13,1.3257029e-13
1x47,0.30181825,0.18576223,0.1849287,5.8350765e-14,0.082376234,9.443597e-13,0.19329916,0.051815394
1x48,0.3478618,0.4018137,0.07513105,3.396734e-14,0.0066080657,0.047148652,0.10105343,0.020383352
1x49,0.51269376,0.0991036,0.08715956,0.1184632,0.003938037,2.8394594e-13,0.17618869,0.0024532033
2x0,0.9015286,1.2845665e-13,0.062334433,5.0256975e-14,0.0033306228000000004,4.3921720000000007e-13,0.032806307,1.3405695000000002e-13
2x1,0.8847565999999999,4.5656415e-13,0.007375786,2.4877364e-14,0.002328047,0.026761591,0.06972291,0.009055069
2x2,0.8591808000000001,0.08773916,6.9516265e-14,3.83764e-14,0.032494258,0.020585805,4.2850445000000004e-14,8.124501e-14
2x3,0.9793174000000001,4.4304120000000003e-13,8.376483599999999e-14,7.216546599999999e-14,3.9642039999999994e-14,0.0021195847,1.2216012e-13,0.018563014
2x4,0.79593104,0.18168017,0.0042947745,4.54696e-14,9.659534599999999e-14,0.0118251275,1.248526e-13,0.00626884
2x5,0.75277394,0.102889076,0.052792285,3.477081e-14,1.0512972500000001e-13,3.1206025e-13,0.0915447,3.147304e-13
2x6,0.5109739999999999,0.060415022,0.18839270000000002,0.07242126,3.206537e-13,0.020653400000000002,0.13865745,0.008486091
2x7,0.99051666,1.0724518000000001e-13,3.1618462999999995e-14,2.6673906e-14,2.5292623999999996e-14,0.009483376,3.6114240000000004e-14,3.8635284e-13
2x8,0.97612154,7.9461353e-14,1.1957378000000002e-13,2.4694419e-14,0.010566853999999999,0.0010405958000000001,0.009176066,0.00309495
2x9,1.0,3.6643483e-13,5.416906e-14,3.1495389999999995e-14,4.1585095999999996e-14,3.7221740000000007e-13,4.9934300000000004e-14,8.028652e-14
2x10,0.9432271000000001,0.04065824,2.9085894e-13,3.7549574e-14,9.000427e-14,4.0989686000000004e-13,0.0016314014000000001,0.014483218999999999
2x11,0.96030027,0.039699692,7.844665e-14,3.4503442999999997e-14,1.07753216e-13,1.3091466000000001e-13,3.430396e-14,4.8101510000000004e-14
2x12,1.0,5.0784084e-14,9.0782105e-14,2.7050922000000003e-14,6.1421354e-13,5.223352e-13,3.7979340000000005e-14,3.6587124e-14
2x13,0.21455106,0.025464436,0.21573704,0.15218946,0.029785644,2.1732071e-12,0.3154778,0.046794508
2x14,0.9817404000000001,0.014953781000000001,7.019252e-14,2.968173e-14,0.0021411283,0.0011647510000000001,4.8080985e-14,3.2374217e-13
2x15,0.99499935,2.9283493e-13,2.2765936000000003e-13,3.4247023e-14,0.0031622562,2.9667753e-13,1.1545184e-13,0.0018384501000000002
2x16,0.7792977,1.6569485999999998e-13,5.1472937e-13,6.494696999999999e-14,0.040054742000000004,0.0030798759999999996,0.16977526,0.007792389499999999
2x17,0.8861732,0.016135503,2.6555383e-13,9.30849e-14,1.01238706e-13,0.0027183408000000004,0.09372653,0.0012464521000000001
2x18,0.76723814,1.7138188000000001e-13,0.19966356,7.039901e-14,1.3945720000000002e-13,5.336629e-13,0.033098325,1.3337089e-12
2x19,0.59201276,0.23278752,0.11110608,3.544037e-14,1.6400664e-12,0.033901583,0.016400335,0.013791699
2x20,0.82851356,2.536163e-13,0.02937924,4.1603104000000004e-14,0.004188984000000001,0.043135494,0.08537516,0.0094076665
2x21,0.57612133,0.17112460000000002,0.01111321,0.14463718,0.00016882511999999998,0.03926738,0.0475235,0.0100440765
2x22,0.62128013,0.22289042,0.07921595,5.6315747999999996e-14,0.023652885,0.03736682,0.015593818999999998,3.8354099999999997e-13
2x23,0.64267576,0.09534249,0.13915722,7.413796e-14,0.006940577,0.012773788999999999,0.10311012,4.1491935000000004e-13
2x24,0.7166695,0.084730014,0.0010422289,0.09382027,0.020446349,5.107449300000001e-13,0.08329168,3.0502686e-13
2x25,0.6300422,0.062060863,0.025584423999999998,3.627915e-14,1.2357594e-13,0.039776046,0.20077154,0.041765008
2x26,0.63439673,0.14064406,2.2558912e-13,0.07942025,2.1773955e-13,0.0049036304,0.13313223,0.007503158
2x27,0.5659969,0.0714128,0.22997063,4.3810445e-14,0.108202256,0.012672737,0.011744693999999998,9.641838e-13
2x28,0.25925463,0.11718959,0.21838348,0.33940256,0.041669276,0.02410051,2.993287e-13,7.605651e-14
2x29,0.5156571,0.25938803,0.025935609,4.5324669999999995e-14,0.015449336999999999,7.862041000000001e-13,0.1639319,0.019638037
2x30,0.42746434,0.30175609999999997,0.060660828,0.08806214,0.12205652,8.740064000000001e-13,2.0796368000000002e-13,2.598805e-13
2x31,0.38935268,0.16648775,0.04141167,6.77125e-14,0.02408262,1.2213634e-12,0.35758537,0.021079905
2x32,0.33098117,0.3633438,0.24825454,1.1429601e-13,0.057420465999999996,2.824648e-13,5.173993e-13,8.494962499999999e-13
2x33,0.37462944,0.15351339,0.22436495,0.14195770000000002,0.08104265,0.005254163399999999,3.1016585e-13,0.019237762
2x34,0.48471850000000005,0.17347689,0.20062423,0.06144909,7.341002e-14,0.034485668,0.045245605999999994,4.969277e-13
2x35,0.6790605,0.07963993,7.327535399999999e-13,4.3227534000000005e-14,0.047415636,3.575272e-13,0.19388394,1.5931977e-13
2x36,0.3269944,0.0990013,0.09511128,4.873614e-14,0.017825924,0.009860425,0.43137747,0.019829156
2x37,0.33277038,0.43805674,0.011993763999999999,0.08700121,2.4438863e-13,1.4459346e-13,0.13017797,1.3685872e-12
2x38,0.2884388,0.1818535,0.35933095,0.15377162,0.016605185,3.9749126e-13,1.5030577e-12,1.4448425e-12
2x39,0.22805332,0.4044877,0.23183689,7.059102e-14,0.020815039,1.6980739000000001e-13,0.11480708,3.0118017e-13
2x40,0.32984695,0.16274627,0.2606903,6.541911e-14,0.051943157000000004,1.8728391999999999e-13,0.19477338,9.570769e-13
2x41,0.20854707,0.41412437,0.25999266,4.6966544000000005e-14,1.7137854e-13,0.006110100500000001,0.111225806,2.0782577999999999e-13
2x42,0.38385895,0.2627213,0.09589994,0.07104164,0.0042193756,0.0025081246,0.17170501,0.008045711
2x43,0.19264984,0.22966109999999998,0.06111115,6.180117e-14,0.025122592000000003,0.02085947,0.46530730000000003,0.0052884607999999994
2x44,0.18034337,0.46793664,0.10011785,0.05698579,8.8399326e-14,7.5971217e-13,0.18913803,0.005478269
2x45,0.30087329999999995,0.34199109999999994,0.13241987,8.84314e-14,0.018030548,0.012353011,0.19315320000000002,0.0011789491000000001
2x46,0.22568317,0.16732712,0.11895823,0.16619588,1.5953996e-13,1.2257114999999999e-12,0.28426355,0.037572034
2x47,0.17891552,0.16750047,0.03922377,0.16312836,0.022416906,3.851547e-13,0.42881499999999995,2.7763633e-12
2x48,0.23953758,0.32143223,0.12592418,0.13940811,3.0492492e-13,0.0068035964,0.16331092,0.0035834459999999997
2x49,0.22827938,0.35433459999999994,0.26726264,0.10995478,4.587955e-13,0.040168624,1.0567473e-13,7.736524599999999e-13
3x0,0.8768832000000001,0.02332997,0.014394585,0.06799649,0.012924381,0.004471376,8.166017000000001e-14,1.7459372e-13
3x1,0.84041756,0.15958244,4.992991e-13,5.4871462e-14,2.8892584e-13,1.1425772e-13,1.7807743e-13,3.136344e-13
3x2,0.9985891,0.00011768006000000002,5.4981183e-14,3.3693212e-14,6.643467e-14,0.0012932746,5.151397599999999e-14,1.6479473e-13
3x3,0.8582704,0.13754606,4.487719e-13,9.517037e-14,5.1497803e-13,9.363706e-13,7.619085e-14,0.0041835327
3x4,0.9711683000000001,1.8524345e-13,1.2243914e-13,2.3150186000000002e-14,3.3947827e-14,0.017185165,9.838022e-13,0.011646618999999999
3x5,0.98210424,0.016900374,7.884645000000001e-14,2.5441884999999998e-14,0.0009954161,1.2626860000000003e-13,5.4528214e-14,9.065378e-14
3x6,0.99832094,1.7172245e-13,0.0016790887,3.5965812e-14,2.657931e-12,3.0951248e-13,2.267212e-13,6.501438e-13
3x7,0.99372286,1.4696507e-13,1.0039808e-13,2.7930099999999998e-14,0.006277119,2.0031729999999998e-13,5.6566570000000004e-14,2.4919956e-13
3x8,0.56257254,1.3082955999999999e-13,0.349514,3.6961624e-14,0.0013863227,0.02283912,0.06368801,9.244215e-13
3x9,0.88686526,0.113134764,4.4835055999999995e-14,2.5114474e-14,5.4559757e-14,1.2257018e-13,2.9687116000000006e-14,6.076327e-14
3x10,0.98567384,0.014326123999999999,5.90583e-14,2.4027589e-14,6.931203000000001e-14,1.1541351e-13,3.5929606e-14,1.3948583e-13
3x11,1.0,1.9671039e-13,1.0094774999999999e-13,3.613456e-14,4.889015e-14,1.1256531e-13,9.233919999999999e-14,1.143722e-13
3x12,0.8884110000000001,0.018122718,0.07808358,5.005588e-14,0.0040869564,0.0051559103,1.3180701e-13,0.006139898
3x13,0.9464853000000001,0.053514734,3.688031e-14,2.184311e-14,4.6311062000000005e-14,7.892411e-14,2.7235933e-14,1.2091273e-13
3x14,0.7143693,3.3986609999999996e-13,0.027820632,5.3286789999999997e-14,0.01876975,0.017291658,0.20738739999999997,0.014361334
3x15,0.9828515,0.008507121,2.1238904000000001e-13,3.4833227e-14,7.790885e-14,2.3702929999999995e-13,8.2220884e-13,0.008641363
3x16,0.88623685,0.0025783437,1.7526681e-13,3.991973e-14,2.4238577999999997e-12,0.02147082,0.07270552,0.01700852
3x17,1.0,1.4898834e-13,1.0056779500000001e-13,3.6566287e-14,4.5336636e-14,9.2207024e-14,1.7335177e-13,1.0942860699999999e-13
3x18,0.9255085999999999,0.008010313,3.7356900999999996e-13,4.935578e-14,0.049442187,3.7356118e-13,0.01703887,2.8711446e-13
3x19,0.8621644,0.07139623,0.042199377,4.4174367e-14,0.024239902999999997,3.0375528e-13,1.1389998e-13,1.4926989e-13
3x20,0.8055668,0.0029300896,0.12257085,5.1460758e-14,0.026356823999999997,0.0050820940000000005,1.914068e-13,0.03749330000000001
3x21,0.48171905,0.13253587,1.7425682e-12,0.21456182,7.834829000000001e-13,0.022504456000000003,0.14867881,2.702672e-12
3x22,0.8658236999999999,1.6412111999999999e-13,0.023005664,4.383110599999999e-14,0.047779754,1.8234211e-13,0.05712674,0.006264186
3x23,0.76992154,0.087335736,0.13252482,5.2321225000000005e-14,0.010218000999999999,3.9136784e-12,9.581405e-14,1.0552002000000001e-12
3x24,0.5109298,0.11867570000000001,0.22173399,4.0067284e-14,1.9484682000000001e-13,0.035638876,0.113021635,2.534732e-13
3x25,0.35785022,0.18572862,2.6184138e-13,0.12076558,1.1477719e-11,8.793712e-12,0.30801582,0.027639786
3x26,0.44025190000000003,0.1536971,0.16486059,2.6243381e-14,1.161159e-13,2.1005749999999999e-13,0.24119052,8.703205e-13
3x27,0.5549251000000001,0.17169935,0.064243734,0.10907753,0.08394045,1.3354601000000001e-12,5.6101635e-13,0.01611393
3x28,0.44856548,0.30263844,0.20167051,5.846952e-14,1.013828e-13,0.016217578,3.1908118e-12,0.030907989
3x29,0.57205313,0.07201151,4.35695e-13,1.4547598e-13,0.014094455,1.8491513e-12,0.3418409,3.2913586e-13
3x30,0.3140949,0.20212434,0.25945053,4.6226583e-14,2.28279e-13,0.023696871,0.20063339,1.6379060999999998e-13
3x31,0.38219549999999997,0.13698065,0.20188132,4.7108947e-14,0.05052563,0.05737459,0.15925079999999997,0.011791548999999998
