"","Macrophages","Mast","mDCs","Monocytes"
"0x0",0.0246723011373384,0.123518172831587,0.645417314009255,0.0263529464782756
"0x1",0.0446940567807329,0.092450558441501,0.705768102847147,0.0535975851365252
"0x2",0.0795671803572988,0.182055989929878,0.473868008594222,0.0483741866417095
"0x3",0.0363312080905466,0.0879595977489699,0.696858298170256,0.0595435759363203
"0x4",0.100420287306561,0.134303326588973,0.466679876144677,0.0942947807594908
"0x5",0.0335979035215069,0.140660398519163,0.533930468662168,0.0481953148610679
"0x6",0.0804344789691383,0.250436563781219,0.358662540836996,0.0343612188650898
"0x7",0.084187500722851,0.127954053962676,0.55292618782448,0.0256951294190731
"0x8",0.0852025833352558,0.166220605098424,0.40883077798614,0.0487286008617929
"0x9",0.0871200636513235,0.171534913815894,0.457286074983835,0.0390293954368161
"0x10",0.0505683780977545,0.124371067331781,0.572935966762324,0.0375635960957246
"0x11",0.10997274438579,0.205902740640601,0.329333893235114,0.0471221980564067
"0x12",0.1182472438632,0.149185726185607,0.408652171765166,0.0503497421181001
"0x13",0.081253508450941,0.212706234497983,0.392231952000846,0.025862986214043
"0x14",0.0503298401212479,0.22299370713154,0.378500603516956,0.0391962431496248
"0x15",0.061152232253063,0.121214212093335,0.52614821487196,0.0392179449410755
"0x16",0.0814871107192609,0.27342991251665,0.305449359740795,0.0537387490109331
"0x17",0.0961369901945585,0.300485695440793,0.346270365034782,0.0299878233005645
"0x18",0.128412321875466,0.149632996560649,0.483520947369059,0.0613398079936231
"0x19",0.112463527208215,0.144965875198817,0.517776186607681,0.0264833541046714
"0x20",0.000581576284968018,0.133110004977278,0.5256852271728,0.144248346949435
"0x21",0.031237358822304,0.0994250135920197,0.720243904740776,0.0308553824291629
"0x22",0.111732636111778,0.132887038819472,0.485764925541334,0.0870983263013619
"0x23",0.145820783722243,0.0511635644023775,0.639887209682331,0.0677249997641352
"0x24",0.129309930094082,0.284982877396995,0.316305233702309,0.0496296445900563
"0x25",0.0775299771198961,0.0818845401528674,0.695439273813123,0.0448410031004872
"0x26",0.0476876036051383,0.197740790552416,0.559257225797569,0.0511247898238215
"0x27",0.128472699592681,0.183063406221518,0.567319864246439,0.0494070560865024
"0x28",0.0831361218409187,0.197305994102254,0.582201272719695,0.0873284789988354
"0x29",0.0625508816503187,0.0639724326903597,0.822613587779783,0.0587301975619043
"0x30",0.136363577320824,0.103708362343975,0.554469989769972,0.0442115930116278
"0x31",0.0435473064786729,0.0824194391520828,0.776835558619327,0.0384169863673356
"0x32",0.141312943689478,0.0594842067109401,0.744926945916286,0.0245975565070393
"0x33",0.0519108141105517,0.10838929357089,0.665299193338515,0.0352894695182037
"0x34",0.171403189462976,0.356165383256935,0.303370006990829,0.0506490159503772
"0x35",0.0321268187869993,0.169302033288948,0.731002091368976,0.02951771770746
"0x36",0.0813571236863613,0.281476587096475,0.479585638410791,0.0481285541210523
"0x37",0.122823061411956,0.0496629491609897,0.731363353296195,0.063217762384593
"0x38",0.161676754444979,0.101798383024521,0.50075384889827,0.119948173248305
"0x39",0.0448556532247596,0.0740485040144701,0.821487229131741,0.044532110653377
"0x40",0.123839798258917,0.215939094746496,0.516944957127923,0.0261240405761301
"0x41",0.0596999687203664,0.0361977195474544,0.748288145511278,0.151626149449669
"0x42",0.132652156967614,0.237450423111919,0.559250413110139,0.0647652261303358
"0x43",0.073453530313661,0.0882134133307065,0.719541830426949,0.0642259625055866
"0x44",0.0637032512111939,0.216938860643617,0.586051826938498,0.0402161146181213
"0x45",0.178218518272045,0.097609208476626,0.606017474123124,0.0590543177509986
"0x46",0.0576734986462334,0.208766971875151,0.585411486723964,0.0443359231956838
"0x47",0.102289367455759,0.0811021108901409,0.710528940284144,0.0617869211744782
"0x48",0.0902247723162182,0.0111493496736167,0.711916109923612,0.138022051905218
"0x49",0.166967261306469,0.11003701753205,0.562088376471583,0.0422256607407842
"1x0",0.089452923021148,0.174675866283736,0.418712001293712,0.0451506947423856
"1x1",0.0917093940265035,0.173676179572111,0.445077633995085,0.0416699194081059
"1x2",0.0583787345411221,0.129042372193966,0.610826644427671,0.0348262078703411
"1x3",0.0313720424992654,0.0939612586956816,0.685897709902918,0.0517400659628217
"1x4",0.0405079982020654,0.180816874156584,0.463758737623142,0.0555203199413627
"1x5",0.0722276333556998,0.248411082965079,0.364635510120946,0.041213527815865
"1x6",0.0986241669276481,0.178087044557614,0.421829969875837,0.0407537316128373
"1x7",0.0562640347015919,0.166249827406477,0.468585852005324,0.0168048526369957
"1x8",0.0976742196139631,0.227925428008252,0.368774165753397,0.0167156769471521
"1x9",0.0996963723925376,0.17698525785702,0.398000760449115,0.045078741291831
"1x10",0.0936225999297187,0.0346187478530817,0.90964699369649,0.0854679415805934
"1x11",0.0713406554896129,0.150062230498443,0.566370866738314,0.0288756148950129
"1x12",0.0571798440593121,0.149707235919629,0.488335459620039,0.0362554670042282
"1x13",0.0585378300552378,0.143308005104917,0.586670629781217,0.0358440358993214
"1x14",0.110774121103843,0.162661437806364,0.356491791453699,0.106037251695825
"1x15",0.0866451030173269,0.186295997317979,0.461601955449917,0.0400430169487486
"1x16",0.0606006221569173,0.262164692967516,0.445584407634207,0.0374803331881213
"1x17",0.0762021505848343,0.171080735673943,0.500036808938819,0.0164449485779199
"1x18",0.107213608608635,0.134151929127531,0.43234968478591,0.05135547856646
"1x19",0.0502956490688574,0.104663251979658,0.595834647253427,0.0459561107478419
"1x20",0.0687701035163586,0.0952102824260333,0.687463878372113,0.0406106118052975
