,Cancer,Ductal,Macrophages,Mast,Monocytes,mDCs
6x14,0.36769152,0.26436296,0.013354345,0.09782723,0.034454532,0.22230934
3x8,0.4930074,0.19932055,0.014339809,0.08311977,0.008729347,0.2014831
16x11,0.47952515,0.374969,0.008637298,0.00013241057,0.0014199582,0.13531622
2x6,0.40213868,0.35036045,0.039108053,0.00019704853,0.081356205,0.12683956
3x12,0.5172875,0.44960824,0.008861925,0.00016167313,0.00047594533,0.023604777
16x15,0.29939783,0.19522965,0.01930389,0.0002017048,0.026458818,0.45940813
5x6,0.41089374,0.34721953,0.03010381,0.00023695143,0.0030300585,0.2085159
9x13,0.13845116,0.20816848,0.054236293,0.07201185,0.09105737,0.43607485
15x15,0.03322562,0.043010324,0.101326,0.0004082211,0.037302535,0.78472733
2x13,0.2001896,0.15711136,0.022335047,0.00032495015,0.010577489,0.6094616
10x10,0.5961648,0.36531505,0.0031537921,7.259051e-05,0.033615783,0.0016779153
7x4,0.42271993,0.22261485,0.053279642,0.059200604,0.029547209,0.21263784
8x16,0.5261124,0.23772618,0.027830865,0.037010275,0.0037509752,0.16756934
16x16,0.42692134,0.23567821,0.019090855,0.07327658,0.01568843,0.2293446
6x6,0.35301816,0.43173712,0.0026124127,0.08175969,0.0085363,0.12233623
0x10,0.48045322,0.3725692,0.0018310256,0.063862726,0.0015015071,0.07978227
7x12,0.45727077,0.3169704,0.043980353,0.029559497,0.012883599,0.13933533
12x7,0.39011285,0.35216308,0.0104506435,0.056004938,0.0041685347,0.18710001
6x18,0.34470424,0.23861834,0.007253654,0.14491066,0.017432403,0.2470807
3x14,0.42406043,0.27708587,0.0355929,0.074174725,0.0047523724,0.18433364
15x11,0.23951057,0.19455938,0.06580436,0.09248659,0.074642934,0.33299616
7x3,0.2220868,0.18420897,0.033567403,0.0002102498,0.029976042,0.52995044
9x16,0.24787651,0.34112337,0.010420219,0.00014874159,0.0014839072,0.3989472
1x10,0.13366269,0.13068974,0.07595651,0.00028753397,0.08343556,0.57596797
17x5,0.38730875,0.34896454,0.023622341,0.00020390759,0.0048060585,0.23509435
9x6,0.6331698,0.35404268,0.0030486155,0.0001244376,0.0002483502,0.009366279
6x7,0.44090044,0.31833643,0.027368182,0.03803438,0.037924726,0.1374358
0x0,0.40906948,0.45474482,0.00087133417,7.894963e-05,0.00053205056,0.13470334
0x1,0.42376348,0.29802698,0.012180402,0.0006808632,0.00642637,0.25892198
0x2,0.45702872,0.46574694,0.0016947753,0.00011013571,0.0019554638,0.07346409
0x3,0.38749048,0.3338243,0.0059922393,0.000134769,0.008994385,0.26356378
0x4,0.49405885,0.3758732,0.03185686,0.00017924588,0.034210734,0.0638211
0x5,0.5180386,0.41553032,0.00073399104,0.00022632937,0.0005574314,0.06491336
0x6,0.4562341,0.47761872,0.008671269,0.053919394,0.00096924335,0.0025873322
0x7,0.4286027,0.47006327,0.0022142362,0.00015438907,0.0004626777,0.09850273
0x8,0.51410806,0.4827151,0.0008731534,0.000111098176,0.0011235406,0.0010689636
0x9,0.5300955,0.467728,0.0008390379,0.00021551759,0.00032595248,0.00079597876
0x11,0.49663055,0.500286,0.0019052482,0.00026741874,0.0002719631,0.00063887134
0x12,0.60329723,0.35712633,0.023291603,7.425833e-05,0.005697807,0.01051285
0x13,0.5117743,0.48709655,0.00043305082,7.186851e-05,0.00027050602,0.00035377927
0x14,0.47822332,0.5187019,0.0011336117,0.000113543894,0.00061344355,0.0012140467
0x15,0.50540674,0.42083755,0.0009567416,0.00012272548,0.0007628536,0.07191328
0x16,0.5067882,0.45766616,0.0005481925,0.033724345,0.0007327695,0.00054036366
0x17,0.41676012,0.5121582,0.009627799,0.051298067,0.007881174,0.0022745181
0x18,0.348373,0.52902436,0.031765185,0.00023899403,0.013923591,0.07667489
0x19,0.4701921,0.4244539,0.023416702,0.00016416259,0.0017620046,0.080011174
0x20,0.373242,0.5108096,0.0010754153,0.00022145148,0.050764617,0.063886985
0x21,0.47998324,0.24632724,0.0023336872,0.00031275404,0.00080381584,0.2702393
0x22,0.33885267,0.5101179,0.0375915,0.0002368178,0.034938786,0.078262396
0x23,0.28747883,0.43667227,0.05882109,0.0002046989,0.016089948,0.20073311
0x24,0.38610917,0.48392665,0.038460907,0.06520411,0.010866365,0.015432747
0x25,0.3649406,0.34366095,0.021718103,0.00017756835,0.0036110182,0.26589176
0x26,0.40399653,0.40923122,0.0021913701,0.041356616,0.0032481025,0.13997619
0x27,0.42285454,0.29898375,0.023723895,0.03720443,0.009802067,0.20743144
0x28,0.20434636,0.3590925,0.042969428,0.07168191,0.039108254,0.2828015
0x29,0.36024696,0.20912221,0.01851542,0.00024347533,0.010576172,0.40129572
0x30,0.29620937,0.47219405,0.075091794,0.00024427375,0.012102083,0.14415838
0x31,0.34114408,0.43597227,0.007549883,0.00022759658,0.0019034148,0.21320276
0x32,0.31764823,0.27690232,0.070663504,0.0002791154,0.0029051928,0.33160162
0x33,0.36094427,0.44039857,0.005571669,0.00014210673,0.0012376563,0.19170575
0x34,0.31588215,0.31571996,0.06308988,0.18726447,0.029322717,0.08872084
0x35,0.335714,0.18094794,0.017247325,0.08178598,0.006083699,0.37822112
0x36,0.25369704,0.420336,0.02631335,0.11697398,0.014303977,0.16837567
0x37,0.2210969,0.38527504,0.05364869,0.0002538502,0.022652289,0.31707323
0x38,0.33884102,0.4092561,0.06387543,0.00017840008,0.061012156,0.12683693
0x39,0.13681112,0.4857601,0.011139115,0.0001645452,0.0027126546,0.3634125
0x40,0.286575,0.44094104,0.036096215,0.04284076,0.00413937,0.1894076
0x41,0.16323806,0.3571964,0.04936805,0.00045408995,0.08889296,0.34085044
0x42,0.13811214,0.30988201,0.067843355,0.11087501,0.037798367,0.33548912
0x43,0.27496174,0.43193507,0.03451327,0.00023295231,0.022826103,0.23553084
0x44,0.1179047,0.561538,0.015017628,0.07465614,0.008213004,0.22267053
0x45,0.31251854,0.32697755,0.06284704,0.00032279943,0.041284394,0.25604975
