,Cancer,Ductal,Stroma
6x14,0.5895356,0.0005486341,0.40991578
3x8,0.6811346,0.00067721144,0.31818822
16x11,0.84180653,0.00096042745,0.15723307
2x6,0.7247059,0.0021925601,0.27310157
3x12,0.9867166,0.0009785342,0.012304872
16x15,0.42370635,0.00082516845,0.57546854
5x6,0.7386876,0.0007297189,0.26058277
9x13,0.27262095,0.0011281974,0.7262508
15x15,0.03801423,0.0008690063,0.9611168
2x13,0.2584674,0.0015604293,0.7399722
10x10,0.98494357,0.00083143555,0.01422495
7x4,0.5756891,0.027615495,0.39669538
8x16,0.745052,0.0011718676,0.25377613
16x16,0.6409031,0.0008583855,0.35823852
6x6,0.7308254,0.05140101,0.2177735
0x10,0.8521062,0.0010445402,0.14684922
7x12,0.7379119,0.0013261492,0.260762
12x7,0.7224356,0.00039898715,0.2771654
6x18,0.5360904,0.0010037794,0.46290576
3x14,0.69060504,0.00046817135,0.30892673
15x11,0.36552545,0.0017592193,0.6327153
7x3,0.32020077,0.0008725814,0.67892665
9x16,0.51348126,0.004155269,0.48236343
1x10,0.15220365,0.021066293,0.82673
17x5,0.7168464,0.0008618394,0.28229174
9x6,0.99891615,0.0006806071,0.00040321803
6x7,0.7278773,0.0013924447,0.2707302
0x0,0.80856967,0.054222062,0.13720822
0x1,0.6781957,0.023805428,0.29799888
0x2,0.845411,0.07078384,0.08380513
0x3,0.705707,0.001006494,0.2932865
0x4,0.8689076,0.0010788019,0.13001364
0x5,0.8831221,0.068850815,0.04802704
0x6,0.8616904,0.086445495,0.051864125
0x7,0.88472325,0.04017408,0.07510269
0x8,0.9986908,0.0007312799,0.0005778998
0x9,0.99280876,0.006723923,0.00046736843
0x11,0.89148664,0.10833354,0.00017986534
0x12,0.9480972,0.032765646,0.019137127
0x13,0.8702576,0.12943687,0.00030553705
0x14,0.9644078,0.035321604,0.00027058503
0x15,0.93925315,0.00052280485,0.060224038
0x16,0.87239766,0.111613005,0.01598934
0x17,0.75117224,0.17758103,0.071246706
0x18,0.56841534,0.32398555,0.10759912
0x19,0.87220716,0.025746945,0.10204589
0x20,0.8718329,0.005303907,0.12286323
0x21,0.7119388,0.0005921628,0.28746903
0x22,0.669963,0.15002371,0.18001325
0x23,0.436859,0.24162956,0.32151148
