"","Cancer","Ductal","mDCs","Macrophages","Mast","Monocytes"
"0x0",0.471199561167468,0.223706225727925,0.183459810352406,0,0.121634402752201,0
"0x1",0.460806362997383,0.171053252740129,0.288384629583486,0,0.0727637428337501,0.00699201184525143
"0x2",0.460147356788959,0.363182595826645,0.0822565051552928,0,0.0922676741040284,0.00214586812507395
"0x3",0.446870966238932,0.173183594112707,0.250251163011772,0.0128058538991134,0.0976271788661618,0.0192612438713142
"0x4",0.539582453096956,0.19161451012822,0.116977085049471,0.00203542378463232,0.117737029243611,0.0320534986971099
"0x5",0.555619134159608,0.232979509358851,0.109760512872478,0,0.0931104598813653,0.00853038372769773
"0x6",0.522400732705742,0.286871779096019,0.00253839189267517,0.0287705093106551,0.159418586994908,0
"0x7",0.459020373023945,0.296359997229165,0.136526341314687,0,0.108093288432204,0
"0x8",0.493649834371049,0.372569229263567,0.00116887342291047,0.000432504251642623,0.120826343312917,0.0113532153779136
"0x9",0.531834765296178,0.233423451393511,0.0554979664020816,0,0.178678055524394,0.000565761383835234
"0x10",0.54958361287022,0.208416154815629,0.149915884041477,0.00931045043698158,0.0827738978356925,0
"0x11",0.482691005932321,0.324293277645009,0.000384320894777471,0.0418241970368759,0.136306128490759,0.0145010700002578
"0x12",0.5668401291866,0.270966442587588,0.0813696147718286,0.000814658059891422,0.0589399552126162,0.0210692001814753
"0x13",0.444739483165426,0.39221435721061,0.0324127162517008,0.00630089889004019,0.11088416467386,0.0134483798083635
"0x14",0.527208297100508,0.294222221717298,0.0198817262630129,0,0.154843221497108,0.00384453342207401
"0x15",0.490575387083199,0.33207446589468,0.0924499275725901,0.0120484333664629,0.0673458423834515,0.00550594369961633
"0x16",0.521387235994426,0.313902678531356,0.000185025796614981,0.0199854829160347,0.1440502872809,0.000489289480667775
"0x17",0.476440474201641,0.298122034358625,0.0310179399727558,0.00549021494770628,0.182230347441225,0.0066989890780468
"0x18",0.396726456733577,0.323275355277535,0.116841656562567,0.0366553380254316,0.103505342388629,0.0229958510122604
"0x19",0.562660201163291,0.172668317902063,0.114836892411553,0.0231386916568014,0.126695896866293,0
"0x20",0.470901566540841,0.28155972202796,0.0648736016572673,0,0.142983208788883,0.0396819009850484
"0x21",0.40840509103292,0.194854069372562,0.255030187444919,7.86340017005547e-05,0.141632018147899,0
"0x22",0.329656118647902,0.410146790468811,0.0347965149995408,0.0413405246341223,0.147960991209324,0.0360990600403004
"0x23",0.30013290644707,0.331798459403653,0.269536220938336,0.0410745705827044,0.0452689144356667,0.0121889281925704
"0x24",0.474763743711817,0.290862178192217,0.000815295722987537,0.0480369802537051,0.173106889417652,0.012414912701621
"0x25",0.372997191930371,0.234206981799909,0.251554176108074,0.014059105739535,0.117825192943771,0.00935735147834041
"0x26",0.440075672705085,0.257995578640547,0.158322765127885,0,0.138497663071811,0.00510832045467295
"0x27",0.445103618758376,0.130620114326847,0.246668568379171,0.0192602679988541,0.154688683112337,0.00365874742441616
"0x28",0.280045201120331,0.194033671943486,0.259630459116112,0.00217615575568499,0.237345763370876,0.0267687486935101
"0x29",0.365192664655128,0.18117413401499,0.360337336938223,0,0.0772222159412854,0.0160736484503732
"0x30",0.300592291603326,0.368735065713234,0.132044124413777,0.0887251850394847,0.102025611873021,0.00787772135715741
"0x31",0.421607202805464,0.254313400254812,0.236121049751573,0.00729520488640146,0.0777161428609759,0.0029469994407733
"0x32",0.343462064423343,0.141349550875526,0.36072752607734,0.0235566929371212,0.124817531718428,0.00608663396824112
"0x33",0.423899407538505,0.2500453845264,0.199937993708976,0.00600663049890515,0.120110583727213,0
"0x34",0.385213449510385,0.0794314099441144,0.13482968280459,0.0333282712177891,0.364439672247755,0.00275751427536699
"0x35",0.357038523355681,0.0615611751762293,0.376621042310434,0,0.19612442310713,0.00865483605052649
"0x36",0.294764410102321,0.283203854596215,0.137808177833041,0.0246199696792478,0.240843423865631,0.0187601639235443
"0x37",0.268277074572982,0.263864083744176,0.213715039680099,0.0686998078935488,0.168847288859157,0.0165967052500374
"0x38",0.375533350988239,0.269137707133157,0.131769656509224,0.0764080485609581,0.0932456694948027,0.0539055673136187
"0x39",0.200867216305085,0.319017181639313,0.36256686718662,0,0.115347726496676,0.0022010083723064
"0x40",0.355662017575139,0.2556074620404,0.203402990010963,0.0385516037293909,0.141252023493081,0.00552390315102677
"0x41",0.235293941379845,0.211575735019687,0.377474852512735,0.0229206596172107,0.0738151730336707,0.0789196384368513
"0x42",0.192953829885067,0.235456690930252,0.286400781429795,0.0124027930709817,0.240626902515552,0.0321590021683528
"0x43",0.348729417823641,0.230181874103352,0.231885949468019,0.0459263143242433,0.126077558566949,0.0171988857137971
"0x44",0.279296870967016,0.274875151906627,0.1915090937006,0.0474349881814207,0.20638793271247,0.000495962531866739
"0x45",0.460601262376858,0.134630461387763,0.197886649814929,0.0777124377245643,0.12832472730507,0.000844461390815862
"0x46",0.330899670830151,0.21431864820558,0.193022854304534,0.0383189194199376,0.212669830808227,0.0107700764315701
"0x47",0.274254992936367,0.287018134534707,0.288124333974519,0.000841790376588201,0.117002713649045,0.0327580345287732
"0x48",0.297788207508102,0.234215821187281,0.282651355017763,0.0155554466721957,0.133618710738005,0.0361704588766539
