"","mDCs","Macrophages","Mast","Monocytes"
"0x0",0.439227725084922,0,0.494776781668348,0.0659954932467303
"0x1",0.53428189422742,0.0154858119709206,0.360672560885991,0.0895597329156685
"0x2",0.335603364500897,0.0365036822658778,0.581686553402628,0.0462063998305968
"0x3",0.458414038647111,0.0475311075126832,0.394333984327278,0.0997208695129271
"0x4",0.334715984367328,0.0293751353388867,0.537000322004741,0.0989085582890439
"0x5",0.349738316848934,0,0.532417200459125,0.117844482691941
"0x6",0.410715726575934,0.0519803645109095,0.440372621511271,0.0969312874018861
"0x7",0.329367789856518,0,0.586506101830904,0.0841261083125785
"0x8",0.333090823510645,0.029036533062799,0.540401846661822,0.0974707967647342
"0x9",0.35860406816819,0.00269755515284684,0.528473722967755,0.110224653711208
"0x10",0.400795262403464,0.0229480718688242,0.483732774072226,0.0925238916554851
"0x11",0.310335536759577,0.0752066987437812,0.493368578492881,0.121089186003761
"0x12",0.417706761274974,0.0110848606230483,0.470660217771057,0.10054816033092
"0x13",0.321299572451512,0.0730608980663067,0.521750122877186,0.083889406604995
"0x14",0.448567022158181,0,0.462353539117076,0.0890794387247424
"0x15",0.337263157679428,0,0.530215807826195,0.132521034494377
"0x16",0.43640336075516,0.0569381755763512,0.409376968240863,0.0972814954276255
"0x17",0.458940825811948,0.0330467199924338,0.429562838748878,0.0784496154467408
"0x18",0.368142288229952,0.0607591707989036,0.469906232727341,0.101192308243803
"0x19",0.207702694681722,0.0669429848530309,0.670852010591404,0.0545023098738434
"0x20",0.35017156777523,0,0.522365047589223,0.127463384635547
"0x21",0.373770744824632,0.0396308451323901,0.500431443681494,0.0861669663614838
"0x22",0.215364175118396,0.0703837161101427,0.609012214425281,0.105239894346181
"0x23",0.414781937542674,0.0981233739428858,0.384448426011492,0.102646262502948
"0x24",0.470157093827085,0.0293981408828597,0.422332417818131,0.0781123474719238
"0x25",0.256273467542539,0.117073372777593,0.506671966496713,0.119981193183154
"0x26",0.453289756027136,0.00108016001920901,0.417096300207504,0.128533783746151
"0x27",0.449068112789957,0.0770206536897079,0.40140567825269,0.0725055552676455
"0x28",0.419567566061556,0.0461865420616502,0.423751244757482,0.110494647119312
"0x29",0.500177675191102,0.00506874735080792,0.380507975981151,0.114245601476939
"0x30",0.258572464269096,0.167960198891199,0.491150639988475,0.0823166968512301
"0x31",0.392062920818801,0.0509680611210667,0.485466496922883,0.0715025211372485
"0x32",0.355835163416296,0.087903135001702,0.450656007375458,0.105605694206544
"0x33",0.356177964378119,0.0545090554466283,0.509667409288967,0.0796455708862852
"0x34",0.329196081994387,0.0600626801228316,0.527650179426154,0.0830910584566279
"0x35",0.490864875502069,0.0320985949956308,0.367928753622002,0.109107775880298
"0x36",0.263299684757603,0.0823441398293635,0.54990175497057,0.104454420442463
"0x37",0.305805896658489,0.122696968760324,0.488384615498705,0.0831125190824819
"0x38",0.251099979414974,0.156785722141348,0.459943369172836,0.132170929270842
"0x39",0.472955065723933,0.00300934260304393,0.422865698919381,0.101169892753643
"0x40",0.442445957474395,0.0913793193433551,0.400867059490667,0.0653076636915827
"0x41",0.381030243307816,0.0653362295365113,0.38575786256138,0.167875664594293
"0x42",0.326878143519664,0.0695693275354413,0.484790329992922,0.118762198951973
"0x43",0.293190360648518,0.0961785971086143,0.48906979018144,0.121561252061427
"0x44",0.420640114610639,0.0661567478022069,0.393891979873642,0.119311157713512
"0x45",0.294663587107074,0.140193011661284,0.506342697365684,0.058800703865958
"0x46",0.364732207283172,0.0885942825129222,0.451988344602303,0.094685165601603
"0x47",0.399634553714442,0.00383846478149908,0.478278551240404,0.118248430263655
"0x48",0.331019370679842,0.0908860197411113,0.45305520772017,0.125039401858878
"0x49",0.401345047208365,0.111142633222599,0.412115752576967,0.0753965669920692
"1x0",0.399731482685526,0.0604964171307409,0.455942226395342,0.0838298737883913
"1x1",0.32421595448475,0.0635205846387761,0.539755188821858,0.0725082720546152
"1x2",0.430924556385767,0.0695134724771383,0.459755584752872,0.0398063863842231
"1x3",0.359954945340827,0.094874732239584,0.444748068255818,0.100422254163772
"1x4",0.362520438191983,0.0697055344319876,0.422568788188316,0.145205239187714
"1x5",0.52291436900476,0.00929699498575923,0.385760917995905,0.0820277180135766
"1x6",0.409843619720057,0,0.504969009043966,0.0851873712359761
"1x7",0.409848141615763,0,0.46555431669049,0.124597541693747
"1x8",0.367253736658697,0.0367669239240083,0.508752600575816,0.0872267388414785
"1x9",0.302230059484384,0.0779397922835517,0.558474249235056,0.0613558989970082
"1x10",0.519093410595846,0.0883155361613963,0.304338639587346,0.0882524136554111
"1x11",0.363660293028312,0.0183176240593642,0.534113158902367,0.0839089240099567
"1x12",0.321464472035412,0,0.551320385199167,0.127215142765421
"1x13",0.263287992808778,0.0304603091263946,0.568981446802371,0.137270251262456
"1x14",0.385158252001377,0,0.513297248320612,0.101544499678012
