"","mDCs","Macrophages","Mast","Monocytes","coordX","coordY"
"0x0",0.417487405875489,0.164742488698258,0.208595279303958,0.209174826122296,0,0
"0x1",0.433909308548908,0.15252971275396,0.174736732729291,0.23882424596784,0,1
"0x2",0.389883994898365,0.151793917256495,0.190094200704395,0.268227887140745,0,2
"0x3",0.439376494177268,0.166305842785364,0.153619735237006,0.240697927800361,0,3
"0x4",0.313403980477661,0.165884198587711,0.207009194405683,0.313702626528945,0,4
"0x5",0.432271181205201,0.120479676861706,0.221435904004765,0.225813237928328,0,5
"0x6",0.350418171643014,0.14186183847399,0.277493294361548,0.230226695521448,0,6
"0x7",0.484311750098851,0.118396228370476,0.163366514440362,0.233925507090311,0,7
"0x8",0.41293481254652,0.180641875337422,0.186439573530349,0.219983738585709,0,8
"0x9",0.420336475031007,0.0955730532764805,0.227890171983563,0.256200299708949,0,9
"0x10",0.411359055202669,0.171621686920224,0.173665109412933,0.243354148464175,0,10
"0x11",0.383013934037828,0.19054112108851,0.19374159785904,0.232703347014622,0,11
"0x12",0.381805668232996,0.180375488021734,0.188522958099923,0.249295885645347,0,12
"0x13",0.362899510856702,0.140539441527804,0.241693834018166,0.254867213597328,0,13
"0x14",0.383042575009415,0.141114769260412,0.23267243661084,0.243170219119333,0,14
"0x15",0.429325425964248,0.135516692517354,0.181526452704629,0.253631428813769,0,15
"0x16",0.35874217278168,0.129333175294843,0.23946784540252,0.272456806520956,0,16
"0x17",0.36210643803774,0.150402391317755,0.25061201263087,0.236879158013635,0,17
"0x18",0.383932605497254,0.186049076720813,0.182115743813452,0.247902573968481,0,18
"0x19",0.41466248046148,0.171565494341793,0.19084436333537,0.222927661861357,0,19
"0x20",0.315208161024949,0.139205756308909,0.18780785090673,0.357778231759412,0,20
"0x21",0.447412125431294,0.158412660702344,0.182589376998323,0.211585836868039,0,21
"0x22",0.38130832387548,0.154693159996712,0.205007591500414,0.258990924627395,0,22
"0x23",0.370022006094626,0.214965351814305,0.151094313550572,0.263918328540497,0,23
"0x24",0.338231728936651,0.17136495827916,0.235094284943793,0.255309027840397,0,24
"0x25",0.40754373874227,0.179828555920437,0.191710270738668,0.220917434598625,0,25
"0x26",0.417801877341291,0.122584192294922,0.219225686266069,0.240388244097719,0,26
"0x27",0.398863866955017,0.161788822752213,0.189579628759774,0.249767681532996,0,27
"0x28",0.353316482270307,0.165746398712724,0.207001840238191,0.273935278778778,0,28
"0x29",0.384485035232721,0.171656309610558,0.168038340842917,0.275820314313805,0,29
"0x30",0.357583395925713,0.184674511946912,0.181148519746107,0.276593572381268,0,30
"0x31",0.423040273492997,0.188725923506625,0.150991945306517,0.237241857693861,0,31
"0x32",0.375576804060411,0.250966229776574,0.14863332093557,0.224823645227446,0,32
"0x33",0.424746597937302,0.173911739824369,0.184826384663725,0.216515277574604,0,33
"0x34",0.272820003117892,0.182565622560261,0.282356922756776,0.262257451565071,0,34
