"","Cancer","Stroma","Ductal","coordX","coordY"
"0x0",0.608302804797526,0.219177197273818,0.172519997928656,0,0
"0x1",0.503777869014913,0.366397180059082,0.129824950926005,0,1
"0x2",0.589785382657052,0.20860327942523,0.201611337917717,0,2
"0x3",0.546651101275302,0.368982296747182,0.084366601977516,0,3
"0x4",0.61126116718664,0.256731970869773,0.132006861943586,0,4
"0x5",0.629009553469505,0.168516315536752,0.202474130993742,0,5
"0x6",0.594686567575949,0.192070153139127,0.213243279284924,0,6
"0x7",0.639242176564859,0.20385933447753,0.156898488957611,0,7
"0x8",0.691909461859456,0.159107988588681,0.148982549551863,0,8
"0x9",0.716149375033428,0.137425794556573,0.146424830409999,0,9
"0x10",0.650431077899501,0.218102729073103,0.131466193027396,0,10
"0x11",0.617210557291301,0.118986228864242,0.263803213844457,0,11
"0x12",0.629016488729862,0.140176430722001,0.230807080548137,0,12
"0x13",0.647397320658166,0.125947689563415,0.226654989778419,0,13
"0x14",0.669251309854427,0.113473116663392,0.21727557348218,0,14
"0x15",0.679425864133251,0.186919662279637,0.133654473587113,0,15
"0x16",0.581240419701722,0.162735410478373,0.256024169819904,0,16
"0x17",0.568901681871711,0.196226873911889,0.234871444216401,0,17
"0x18",0.441952736158545,0.250456250932431,0.307591012909025,0,18
"0x19",0.602706343996645,0.241332528124415,0.15596112787894,0,19
"0x20",0.602602293417809,0.229640322997966,0.167757383584225,0,20
"0x21",0.558886115608335,0.361073774696207,0.0800401096954581,0,21
"0x22",0.473166112418338,0.273152163318038,0.253681724263624,0,22
"0x23",0.336210945288191,0.393400897425283,0.270388157286527,0,23
"0x24",0.512202875464943,0.255948534563202,0.231848589971855,0,24
"0x25",0.390941861944,0.363203359311876,0.245854778744124,0,25
"0x26",0.495019951904968,0.281826646474157,0.223153401620874,0,26
"0x27",0.439515015535614,0.388448794308027,0.172036190156359,0,27
"0x28",0.293345808887652,0.526744718285901,0.179909472826447,0,28
"0x29",0.349049093096075,0.471744237071865,0.17920666983206,0,29
"0x30",0.375452678106119,0.353784380746001,0.27076294114788,0,30
"0x31",0.457700960143347,0.323797306645391,0.218501733211263,0,31
"0x32",0.422370886645387,0.461788834752904,0.115840278601708,0,32
"0x33",0.525477350235137,0.29488495912895,0.179637690635913,0,33
"0x34",0.369482847876181,0.469839511998849,0.160677640124969,0,34
"0x35",0.331182873226668,0.519678788444823,0.149138338328509,0,35
"0x36",0.374685071290272,0.420771363676283,0.204543565033445,0,36
"0x37",0.313684302958588,0.476102408158165,0.210213288883248,0,37
"0x38",0.322014947085052,0.36506948847839,0.312915564436558,0,38
"0x39",0.314970257528473,0.459261350929903,0.225768391541624,0,39
"0x40",0.358951191611864,0.393124392752438,0.247924415635698,0,40
"0x41",0.159247484932748,0.544947183646352,0.295805331420901,0,41
"0x42",0.228913289023548,0.595519657627972,0.175567053348479,0,42
"0x43",0.314382145143784,0.396110523434048,0.289507331422167,0,43
"0x44",0.194674294249589,0.409037032845434,0.396288672904977,0,44
"0x45",0.391417810644701,0.441693371498261,0.166888817857038,0,45
"0x46",0.31183780433741,0.47468421282327,0.21347798283932,0,46
"0x47",0.205875742577927,0.4502912139853,0.343833043436773,0,47
"0x48",0.246440315128712,0.553521694524305,0.200037990346983,0,48
"0x49",0.333770691077941,0.351841676889515,0.314387632032544,0,49
"1x0",0.627143283202408,0.141358141096259,0.231498575701333,1,0
"1x1",0.586034710668185,0.179790373163768,0.234174916168046,1,1
"1x2",0.582556459055105,0.267098679590051,0.150344861354844,1,2
"1x3",0.458013950747945,0.308662565244479,0.233323484007577,1,3
"1x4",0.644724175597814,0.125267936623335,0.23000788777885,1,4
"1x5",0.694229772732934,0.17071735049175,0.135052876775316,1,5
"1x6",0.671791312427314,0.144858347589374,0.183350339983312,1,6
"1x7",0.749698044538294,0.129340017676941,0.120961937784765,1,7
"1x8",0.610958408652074,0.137849644559052,0.251191946788874,1,8
"1x9",0.713001703832471,0.124952469126341,0.162045827041189,1,9
"1x10",0.293927910942415,0.640342707761074,0.0657293812965108,1,10
"1x11",0.662006103621353,0.183793532946237,0.154200363432411,1,11
"1x12",0.533781284223908,0.171188719979795,0.295029995796297,1,12
"1x13",0.634522197209275,0.213836391569185,0.15164141122154,1,13
"1x14",0.694948117433283,0.181590110812169,0.123461771754549,1,14
"1x15",0.645641227906986,0.142776143003774,0.21158262908924,1,15
"1x16",0.537588053914345,0.312466832622517,0.149945113463138,1,16
"1x17",0.601745416756072,0.188632874700706,0.209621708543223,1,17
"1x18",0.641178663795567,0.198673610719378,0.160147725485055,1,18
"1x19",0.553060521947764,0.240678729053542,0.206260748998694,1,19
"1x20",0.463288567075661,0.359351113397056,0.177360319527284,1,20
"1x21",0.482917238774538,0.254417582226922,0.26266517899854,1,21
"1x22",0.468416892749241,0.329287920499349,0.20229518675141,1,22
"1x23",0.511415496566666,0.375156714952559,0.113427788480774,1,23
"1x24",0.593724709001189,0.32110036827544,0.085174922723371,1,24
"1x25",0.424655294994127,0.401427071816186,0.173917633189688,1,25
"1x26",0.461386481550402,0.353226751596502,0.185386766853096,1,26
"1x27",0.36176614978001,0.397439657962625,0.240794192257364,1,27
"1x28",0.418182120651928,0.318158144011334,0.263659735336738,1,28
"1x29",0.162765293760517,0.446764239388373,0.39047046685111,1,29
"1x30",0.351878368984843,0.450837194037851,0.197284436977305,1,30
"1x31",0.427152787742471,0.402759183896257,0.170088028361272,1,31
"1x32",0.333943030016196,0.440328289335342,0.225728680648462,1,32
"1x33",0.428116365398809,0.43589716860212,0.135986465999071,1,33
"1x34",0.329735090439531,0.43497369323209,0.235291216328379,1,34
"1x35",0.292661310581533,0.474042172377303,0.233296517041165,1,35
"1x36",0.365451213505425,0.387597258948477,0.246951527546099,1,36
"1x37",0.242575864676186,0.459374563128054,0.29804957219576,1,37
"1x38",0.320184944438597,0.456545633437035,0.223269422124369,1,38
"1x39",0.458338433528271,0.378953663776848,0.162707902694881,1,39
"1x40",0.282208438506979,0.569325657577949,0.148465903915073,1,40
"1x41",0.276951224044481,0.565700090522359,0.15734868543316,1,41
"1x42",0.291953015065791,0.438303326622922,0.269743658311287,1,42
"1x43",0.253208101191636,0.620593349840239,0.126198548968125,1,43
"1x44",0.215083939791258,0.553959424015426,0.230956636193315,1,44
"1x45",0.339042015680416,0.489223099508714,0.171734884810871,1,45
"1x46",0.370518165383373,0.403996534559946,0.225485300056681,1,46
"1x47",0.265832238194407,0.509504124289499,0.224663637516093,1,47
"1x48",0.310047816479495,0.315827052514997,0.374125131005508,1,48
"1x49",0.399610391530177,0.399789783327214,0.200599825142609,1,49
"2x0",0.75712554235941,0.15675185908476,0.0861225985558303,2,0
"2x1",0.627741753614568,0.219172912998284,0.153085333387148,2,1
"2x2",0.643414547104683,0.17035182559988,0.186233627295436,2,2
"2x3",0.733931015203884,0.120180678299052,0.145888306497064,2,3
"2x4",0.577868049533856,0.143639059267419,0.278492891198725,2,4
"2x5",0.572053955015694,0.233903080625784,0.194042964358522,2,5
"2x6",0.374178673312476,0.448881795855323,0.176939530832202,2,6
"2x7",0.73807441796939,0.117467917946435,0.144457664084175,2,7
"2x8",0.715940457396152,0.151972192004516,0.132087350599333,2,8
