	Cancer	Ductal	Macrophages	Mast	Monocytes	mDCs
0x0	0.57396615	1.0165984e-11	0.0025607946	1.428797e-10	0.0022632906	0.42120975
0x1	0.39718693	0.11489281	0.055310883	0.11873219	0.08624412	0.22763306
0x2	0.60357267	1.408686e-11	0.02581745	2.0003183e-11	0.111260004	0.25934997
0x3	0.47153908	3.443555e-11	0.007405436	0.1260101	0.07262063	0.32242477
0x4	0.6077693	0.03053834	0.15328108	0.0679078	0.14050354	1.1196628e-11
0x5	0.74608386	1.5578063e-11	1.4958334e-06	0.018480532	0.017489707	0.21794443
0x6	0.6427376	1.8483262e-11	8.058307e-12	0.3572623	1.778929e-11	4.0263092e-12
0x7	0.6560845	2.0710149e-11	0.13250828	4.135243e-11	0.009557101	0.20185013
0x8	1.0	7.511954e-12	6.8194296e-12	8.673178e-12	1.6606818e-11	3.882853e-12
0x9	1.0	8.596014e-12	2.8083647e-12	4.0297006e-12	1.921688e-12	2.949103e-12
0x10	0.66677475	2.3114148e-11	0.11466177	5.08729e-10	0.035286013	0.18327747
0x11	1.0	9.720705e-12	3.0898448e-12	3.8401626e-12	1.9314635e-12	2.550777e-12
0x12	0.8114583	2.5207867e-11	0.16475922	4.2357267e-11	0.023782486	3.8916227e-12
0x13	1.0	2.2047048e-11	2.4711017e-12	4.0011215e-12	2.3128643e-12	2.8870825e-12
0x14	1.0	9.504192e-12	3.3833214e-12	6.9783537e-12	6.899093e-12	3.1322974e-12
0x15	0.7610824	5.1635744e-12	1.6153886e-11	2.9496468e-11	0.010799885	0.22811773
0x16	0.75020045	3.390744e-11	2.772982e-11	0.24979956	1.2244746e-11	4.279985e-12
0x17	0.5992045	0.0744457	1.1393024e-11	0.26739165	0.05895817	2.3814303e-12
0x18	0.4010057	0.3718706	0.22709036	6.0386466e-12	3.3267643e-05	3.373532e-11
0x19	0.63926935	5.5099245e-12	0.06088698	0.070305966	0.067895934	0.16164178
0x20	0.6771375	8.3996593e-10	6.969333e-11	2.1155e-11	0.286337	0.036525518
0x21	0.45094687	0.12758581	0.029342547	0.098506354	0.005421566	0.28819692
0x22	0.43233544	0.14825802	0.20555809	6.1758333e-12	0.13368548	0.08016299
0x23	0.25125402	0.29639998	0.13558123	0.048229992	0.085465595	0.18306923
0x24	0.5011254	0.12591976	0.066555396	0.2354736	0.07092589	2.8159582e-12
0x25	0.29777533	0.20264132	0.08187721	7.535428e-12	0.039019965	0.37868613
