	Macrophages	Mast	Monocytes	mDCs
0x0	2.3996072e-12	7.6406367e-13	1.5465746e-12	1.0
0x1	0.054367766	6.168586e-13	0.08020915	0.8654231
0x2	1.5137643e-11	2.4048734e-12	0.03731932	0.9626807
0x3	0.052449804	4.5927086e-13	0.06455248	0.8829977
0x4	0.38540664	1.2581051e-12	0.40240172	0.21219158
0x5	1.2454997e-11	2.5329261e-12	2.8211126e-11	1.0
0x6	1.3336303e-11	1.0	5.532058e-11	3.669516e-12
0x7	0.16259618	3.1832603e-12	9.616969e-12	0.8374038
0x8	0.30678114	0.14822382	0.3420022	0.20299284
0x9	0.32363993	0.16456549	0.22021003	0.29158458
0x10	0.019143589	1.606902e-12	1.08989475e-11	0.9808564
0x11	0.3682051	0.18155856	0.24846806	0.20176822
0x12	0.73003757	4.1955155e-12	0.2699624	1.4680087e-11
0x13	0.31332186	0.1928951	0.23724376	0.2565393
0x14	0.25112113	0.20737351	0.28878957	0.2527159
0x15	2.941892e-11	3.2570715e-12	2.5631218e-11	1.0
0x16	8.235743e-12	1.0	1.0459041e-11	3.4792273e-12
0x17	0.017206248	0.8743078	0.10848592	2.8749561e-12
0x18	0.58578485	2.961548e-12	0.17341319	0.24080187
0x19	0.23037702	2.5568417e-12	0.02390399	0.7457191
0x20	8.2457105e-12	3.2563733e-12	0.7168996	0.28310043
0x21	0.02200735	1.2208639e-12	6.7071106e-12	0.97799265
0x22	0.31396973	1.8035091e-12	0.37061173	0.3154185
0x23	0.29802367	6.527376e-13	0.12132732	0.580649
0x24	0.39141592	0.5339276	0.074656464	4.3815346e-12
0x25	0.13183035	8.3817507e-13	0.014910534	0.85325915
0x26	2.903932e-12	0.22538841	0.017778886	0.7568327
0x27	0.28735825	0.18225957	0.024677519	0.5057047
0x28	0.20503214	0.18781658	0.083050035	0.52410126
0x29	0.074587174	4.4468801e-13	0.05695637	0.8684564
0x30	0.477031	1.2027659e-12	0.0589246	0.46404442
0x31	0.07433716	6.8288463e-13	6.584025e-11	0.9256628
0x32	0.26362082	5.849586e-13	5.0050724e-11	0.73637915
0x33	8.659301e-12	8.793547e-13	7.2051644e-12	1.0
0x34	0.3368404	0.5303659	0.098357014	0.034436774
0x35	0.060598254	0.1742547	0.019627253	0.74551976
0x36	0.22108126	0.44206652	0.035589073	0.30126315
0x37	0.30043238	9.517964e-13	0.072425514	0.6271421
0x38	0.41271392	7.0860673e-13	0.28520188	0.30208424
0x39	0.019220257	6.5416856e-13	0.041652028	0.93912774
0x40	0.35906428	0.16241439	0.007613472	0.47090784
0x41	0.10266207	3.569629e-13	0.20207186	0.69526607
0x42	0.23528501	0.24262054	0.075900316	0.4461942
0x43	0.1860483	1.0101332e-12	0.07690412	0.73704755
0x44	0.13577083	0.2674103	5.2794127e-11	0.5968189
0x45	0.4208363	1.0969617e-12	0.1211847	0.457979
0x46	0.17919213	0.2605234	0.05784517	0.5024393
0x47	0.15096007	7.5745427e-13	0.12074902	0.728291
0x48	0.15771744	5.9523073e-13	0.19244081	0.6498417
0x49	0.5223197	7.5431816e-13	8.039874e-11	0.4776803
1x0	0.022196617	2.010386e-11	0.97780335	2.7211378e-10
1x1	0.59419245	4.7105098e-12	1.3964523e-10	0.40580755
1x2	0.058243826	9.396863e-13	1.5139202e-12	0.9417561
1x3	1.6798169e-11	8.902109e-13	1.8963936e-11	1.0
1x4	0.22177944	0.14419384	0.20498613	0.4290406
1x5	1.7565262e-11	0.8454258	0.15457423	3.2042576e-12
1x6	0.38841367	0.12998049	0.18859135	0.29301447
1x7	0.2661452	0.2264996	0.21629363	0.29106155
1x8	0.34075853	0.20996688	0.1820029	0.2672717
1x9	0.36457428	0.15362176	0.2676032	0.2142008
1x10	0.23811214	3.671862e-13	0.049478304	0.71240956
1x11	1.824474e-11	3.70155e-12	1.7633335e-10	1.0
1x12	4.8987234e-11	1.2193677e-11	2.5995841e-11	1.0
1x13	1.0422038e-11	2.0592866e-12	0.0016790704	0.99832094
1x14	1.1556997e-11	3.8471643e-12	1.0	5.130998e-12
1x15	0.33867338	0.15093951	0.2483645	0.26202264
1x16	1.393025e-10	0.71156406	2.3995776e-11	0.2884359
1x17	3.6324364e-11	2.7017345e-12	7.112667e-12	1.0
1x18	1.1955652e-10	2.8607151e-12	0.12051908	0.8794809
1x19	3.157707e-11	1.2085176e-12	1.6968626e-11	1.0
1x20	0.13024107	7.211428e-13	0.02538389	0.844375
1x21	0.25527886	0.32899228	0.41572887	5.273492e-12
1x22	0.08822297	0.425206	3.2575223e-12	0.48657104
1x23	0.10297113	6.1792834e-13	0.07128199	0.82574695
1x24	0.2800549	7.500636e-13	0.026772453	0.69317263
1x25	0.11816695	9.140588e-13	0.018264765	0.8635683
1x26	0.1712095	8.4077103e-13	0.60714066	0.22164983
1x27	2.6123513e-11	5.2289965e-13	0.11100872	0.8889913
1x28	0.36165825	6.566396e-13	0.14987628	0.4884655
1x29	0.31410024	9.292814e-13	0.31389132	0.37200847
1x30	0.14595988	0.15123126	3.638816e-11	0.7028089
1x31	0.07117825	5.2895644e-13	0.2992167	0.62960505
1x32	0.04626339	6.0869707e-13	0.1263418	0.82739484
1x33	0.04019953	4.3321783e-13	3.0055051e-12	0.9598005
1x34	0.21602075	0.36019456	0.02225488	0.40152985
1x35	0.2777699	9.812854e-13	0.032007117	0.690223
1x36	0.38818914	0.28986216	0.022268603	0.29968008
1x37	0.25183558	0.21543919	0.1968379	0.3358874
1x38	0.13125841	4.734418e-13	0.10443878	0.76430285
1x39	0.25522014	0.31516534	0.2418456	0.18776886
1x40	0.12406155	0.24964906	2.2640158e-12	0.62628937
1x41	0.26426542	3.8565638e-13	0.057015967	0.6787186
1x42	0.027556991	4.4489418e-13	3.8315462e-11	0.972443
1x43	0.16374697	3.940875e-13	0.124135695	0.7121173
1x44	0.103487104	4.549805e-13	1.580972e-12	0.89651287
1x45	0.07206623	0.0820976	0.019920683	0.82591546
1x46	0.42994994	0.2752046	0.29484543	4.421723e-12
1x47	0.4126144	1.0514535e-12	0.019330442	0.56805515
1x48	0.1964533	1.2304588e-12	1.2746695e-11	0.8035467
1x49	0.1201066	0.22949143	1.8463002e-11	0.65040195
2x0	1.36724e-11	3.7683784e-12	9.960695e-12	1.0
2x1	5.2544472e-11	1.7877313e-12	9.42775e-12	1.0
2x2	1.0	7.464163e-12	2.2119877e-10	1.1030034e-11
2x3	0.2764549	0.22765471	0.17535178	0.3205386
2x4	0.29216984	0.1573747	0.26826462	0.2821908
2x5	9.024988e-12	1.2212386e-12	0.008312475	0.9916875
2x6	0.13578269	0.17344119	0.05852075	0.6322554
2x7	0.3471018	0.21501702	0.20890151	0.22897963
2x8	1.0679361e-10	2.414041e-11	1.0	1.4021219e-10
2x9	0.2873492	0.2180657	0.22370113	0.27088395
2x10	0.2930181	0.15294236	0.16090833	0.3931312
2x11	0.34286547	0.1723763	0.28610024	0.19865799
2x12	0.40969405	0.16941383	0.22424604	0.19664611
2x13	0.24477068	0.09825634	0.038525037	0.61844796
2x14	0.31003353	0.20192204	0.22832942	0.25971502
2x15	0.37285423	0.18387976	0.22642373	0.21684232
2x16	0.1195809	2.6932781e-12	0.108885765	0.77153337
2x17	1.7634894e-11	5.213461e-12	1.1298091e-11	1.0
2x18	0.07918781	1.719902e-12	0.05628535	0.8645268
2x19	0.14156327	1.6721062e-12	0.04430917	0.81412756
