,KL,reference,method
0x8,-6.7727908132287e-17,Internal,stereoscope
0x10,0.015473186551820929,Internal,stereoscope
0x14,0.3605994810904386,Internal,stereoscope
1x6,0.010890145911028846,Internal,stereoscope
1x7,-2.1672600940965338e-16,Internal,stereoscope
1x9,0.019471022831692986,Internal,stereoscope
1x10,0.17782822794315903,Internal,stereoscope
2x3,0.007229539530615365,Internal,stereoscope
2x6,0.1533914856701999,Internal,stereoscope
2x7,-1.4267274158747362e-16,Internal,stereoscope
2x8,0.03149282298012203,Internal,stereoscope
2x9,-1.6466373456821217e-16,Internal,stereoscope
2x10,0.12838161923298608,Internal,stereoscope
2x11,0.09964123381411627,Internal,stereoscope
2x12,-2.417402960843341e-16,Internal,stereoscope
2x13,0.030645393607339963,Internal,stereoscope
2x14,0.02960120010515264,Internal,stereoscope
2x15,0.0017585971482154106,Internal,stereoscope
3x4,0.0069419874044975806,Internal,stereoscope
3x5,0.03522198274392549,Internal,stereoscope
3x6,-3.0688901768401396e-16,Internal,stereoscope
3x7,-1.5185655094068182e-16,Internal,stereoscope
3x8,0.020942691290899665,Internal,stereoscope
3x9,0.4274282547193814,Internal,stereoscope
3x10,0.043992896919979894,Internal,stereoscope
3x11,-3.1235696197286457e-16,Internal,stereoscope
3x12,0.03146734363466436,Internal,stereoscope
3x13,0.16253093106901395,Internal,stereoscope
3x14,0.022462667767347733,Internal,stereoscope
3x15,0.01560881497399562,Internal,stereoscope
3x17,0.002142440994105489,Internal,stereoscope
4x4,0.013026023509098641,Internal,stereoscope
4x5,0.016440604387208128,Internal,stereoscope
4x6,-1.7997861727494594e-16,Internal,stereoscope
4x7,-2.9208569568238555e-16,Internal,stereoscope
4x8,-1.1309977690746907e-16,Internal,stereoscope
4x9,-2.805906806865748e-16,Internal,stereoscope
4x10,-3.377160958787944e-16,Internal,stereoscope
4x11,0.11833763941608025,Internal,stereoscope
4x12,0.10290241309117444,Internal,stereoscope
4x13,-2.993132417187953e-16,Internal,stereoscope
4x14,0.016967597793920392,Internal,stereoscope
4x15,0.0032253451064939505,Internal,stereoscope
4x16,0.0036524507437838776,Internal,stereoscope
5x2,0.0010990214550183667,Internal,stereoscope
5x3,0.031124893482996862,Internal,stereoscope
5x4,0.41299539162701326,Internal,stereoscope
