,r,reference,method
0x8,1.0,Internal,stereoscope
0x10,0.9937130104723825,Internal,stereoscope
0x14,0.9950915795706413,Internal,stereoscope
1x6,0.9999857778693453,Internal,stereoscope
1x7,1.0,Internal,stereoscope
1x9,0.9999508172263979,Internal,stereoscope
1x10,0.9924143358082181,Internal,stereoscope
2x3,0.9999871644305243,Internal,stereoscope
2x6,0.7299959040372486,Internal,stereoscope
2x7,1.0,Internal,stereoscope
2x8,0.9999024142194798,Internal,stereoscope
2x9,1.0,Internal,stereoscope
2x10,0.9991925483083401,Internal,stereoscope
2x11,0.9994426171052242,Internal,stereoscope
2x12,1.0,Internal,stereoscope
2x13,0.996435724667335,Internal,stereoscope
2x14,0.9999107745370154,Internal,stereoscope
2x15,0.9999978241376775,Internal,stereoscope
3x4,0.9999878291762329,Internal,stereoscope
3x5,0.9998851597971624,Internal,stereoscope
3x6,1.0,Internal,stereoscope
3x7,1.0,Internal,stereoscope
3x8,0.9639049422104354,Internal,stereoscope
3x9,0.9932729375023361,Internal,stereoscope
3x10,0.9998406765263999,Internal,stereoscope
3x11,1.0,Internal,stereoscope
3x12,0.997497125514505,Internal,stereoscope
3x13,0.9987693463486575,Internal,stereoscope
3x14,0.9617326158292802,Internal,stereoscope
3x15,0.9999638381383567,Internal,stereoscope
3x17,0.9999972371136117,Internal,stereoscope
4x4,0.9999717868894402,Internal,stereoscope
4x5,0.9999611460572564,Internal,stereoscope
4x6,1.0,Internal,stereoscope
4x7,1.0,Internal,stereoscope
4x8,1.0,Internal,stereoscope
4x9,1.0,Internal,stereoscope
4x10,1.0,Internal,stereoscope
4x11,0.9992667076355074,Internal,stereoscope
4x12,0.9994134223109598,Internal,stereoscope
4x13,1.0,Internal,stereoscope
4x14,0.9999913994125195,Internal,stereoscope
4x15,0.9999954273237545,Internal,stereoscope
4x16,0.9999946572709563,Internal,stereoscope
5x2,0.9999987549305182,Internal,stereoscope
5x3,0.9999040612500163,Internal,stereoscope
5x4,0.9936923768103598,Internal,stereoscope
5x5,1.0,Internal,stereoscope
5x6,0.9967084416781883,Internal,stereoscope
5x7,0.9999916935849456,Internal,stereoscope
5x8,0.999948148364043,Internal,stereoscope
5x9,0.9999851206669911,Internal,stereoscope
5x10,0.9999981753318935,Internal,stereoscope
5x11,1.0,Internal,stereoscope
5x12,1.0,Internal,stereoscope
5x13,0.9995270292750048,Internal,stereoscope
5x14,0.9998637895158211,Internal,stereoscope
5x15,1.0,Internal,stereoscope
5x16,1.0,Internal,stereoscope
5x17,0.9989625643505994,Internal,stereoscope
6x2,1.0,Internal,stereoscope
6x3,0.9999093884900192,Internal,stereoscope
6x4,1.0,Internal,stereoscope
6x5,1.0,Internal,stereoscope
6x6,0.9984281332717507,Internal,stereoscope
6x7,0.7421682240102406,Internal,stereoscope
6x8,1.0,Internal,stereoscope
6x9,0.9999999902500798,Internal,stereoscope
6x10,0.9999998766973535,Internal,stereoscope
6x11,1.0,Internal,stereoscope
6x12,0.9999853450798234,Internal,stereoscope
6x13,1.0,Internal,stereoscope
6x14,0.9154951462739687,Internal,stereoscope
6x15,1.0,Internal,stereoscope
6x16,0.9999999962197776,Internal,stereoscope
6x17,1.0,Internal,stereoscope
6x18,0.9952689518442692,Internal,stereoscope
6x19,0.999861772508507,Internal,stereoscope
7x2,0.9999999999999999,Internal,stereoscope
7x3,0.9979000008542758,Internal,stereoscope
7x4,0.5105283592066134,Internal,stereoscope
7x5,0.9999882261022258,Internal,stereoscope
7x6,1.0,Internal,stereoscope
7x7,0.9999993494574156,Internal,stereoscope
7x8,0.9999967717238729,Internal,stereoscope
7x9,0.9997539473784182,Internal,stereoscope
7x10,0.9999962909182007,Internal,stereoscope
7x11,0.9999997641043129,Internal,stereoscope
7x12,0.749481496755501,Internal,stereoscope
7x13,1.0,Internal,stereoscope
7x14,1.0,Internal,stereoscope
7x15,1.0,Internal,stereoscope
7x16,0.9999116456846208,Internal,stereoscope
7x17,0.9999567536424998,Internal,stereoscope
7x18,0.9999116636222932,Internal,stereoscope
8x0,0.9996983564614322,Internal,stereoscope
8x2,1.0,Internal,stereoscope
8x3,0.9998681931249014,Internal,stereoscope
8x4,1.0,Internal,stereoscope
8x5,0.9998886418074094,Internal,stereoscope
8x6,0.9999891532208403,Internal,stereoscope
8x7,1.0,Internal,stereoscope
8x8,1.0,Internal,stereoscope
8x9,0.999367587920838,Internal,stereoscope
8x10,0.9998713783868465,Internal,stereoscope
8x11,0.9999983563100494,Internal,stereoscope
8x12,1.0,Internal,stereoscope
8x13,1.0,Internal,stereoscope
8x14,0.9970334463360996,Internal,stereoscope
8x15,1.0,Internal,stereoscope
8x16,0.9147362132500348,Internal,stereoscope
8x17,1.0,Internal,stereoscope
8x18,0.999993176572535,Internal,stereoscope
9x2,0.9996571593347524,Internal,stereoscope
9x3,0.9983109133667585,Internal,stereoscope
9x4,0.9973276184679967,Internal,stereoscope
9x5,0.9999492614119272,Internal,stereoscope
9x6,1.0,Internal,stereoscope
9x7,1.0,Internal,stereoscope
9x8,0.9975262408054267,Internal,stereoscope
9x9,0.9982733709806594,Internal,stereoscope
9x10,0.9998927412120645,Internal,stereoscope
9x11,1.0,Internal,stereoscope
9x12,0.9985509143436861,Internal,stereoscope
9x13,0.9864571946167938,Internal,stereoscope
9x14,1.0,Internal,stereoscope
9x15,1.0,Internal,stereoscope
9x16,0.9496381765112782,Internal,stereoscope
9x17,0.9998731595791855,Internal,stereoscope
9x18,1.0,Internal,stereoscope
10x1,0.9992012971883677,Internal,stereoscope
10x2,0.9999350046587587,Internal,stereoscope
10x3,0.9999896719992574,Internal,stereoscope
10x4,1.0,Internal,stereoscope
10x5,0.9999953364069968,Internal,stereoscope
10x6,1.0,Internal,stereoscope
10x7,0.9996107170692687,Internal,stereoscope
10x8,0.9999089303683955,Internal,stereoscope
10x9,0.999692850552451,Internal,stereoscope
10x10,0.9965206242852102,Internal,stereoscope
10x11,0.9999985489937447,Internal,stereoscope
10x12,0.9999979451800942,Internal,stereoscope
10x13,1.0,Internal,stereoscope
10x14,0.999999700909376,Internal,stereoscope
10x15,0.9998606708493583,Internal,stereoscope
10x16,0.9999856024471754,Internal,stereoscope
10x17,0.9999896178214752,Internal,stereoscope
10x18,1.0,Internal,stereoscope
10x19,1.0,Internal,stereoscope
11x2,0.999999757003263,Internal,stereoscope
11x3,0.9999999265745879,Internal,stereoscope
11x4,1.0,Internal,stereoscope
11x5,1.0,Internal,stereoscope
11x6,1.0,Internal,stereoscope
11x7,0.9974854528989334,Internal,stereoscope
11x8,0.9999918463756565,Internal,stereoscope
11x9,0.9999197534429755,Internal,stereoscope
11x10,1.0,Internal,stereoscope
11x11,0.9999999222536,Internal,stereoscope
11x12,1.0,Internal,stereoscope
11x13,0.9998842475401312,Internal,stereoscope
11x14,1.0,Internal,stereoscope
11x15,0.9999117630089625,Internal,stereoscope
11x16,0.9999996942231437,Internal,stereoscope
11x17,0.9997054339106857,Internal,stereoscope
11x18,1.0,Internal,stereoscope
12x2,1.0,Internal,stereoscope
12x3,1.0,Internal,stereoscope
12x4,1.0,Internal,stereoscope
12x5,1.0,Internal,stereoscope
12x6,0.9835805527444514,Internal,stereoscope
12x7,0.7680710358202714,Internal,stereoscope
12x8,0.999836179604815,Internal,stereoscope
12x9,1.0,Internal,stereoscope
12x10,0.999999549837016,Internal,stereoscope
12x11,1.0,Internal,stereoscope
12x12,0.9999981403453461,Internal,stereoscope
12x13,1.0,Internal,stereoscope
12x14,1.0,Internal,stereoscope
12x15,0.9999994969484023,Internal,stereoscope
12x16,0.9999915378790544,Internal,stereoscope
12x17,1.0,Internal,stereoscope
12x18,0.9996627102732975,Internal,stereoscope
13x1,0.9998866541082762,Internal,stereoscope
13x2,0.9996224802938125,Internal,stereoscope
13x3,1.0,Internal,stereoscope
13x4,0.9994145650225438,Internal,stereoscope
13x5,1.0,Internal,stereoscope
13x6,0.9996958543509828,Internal,stereoscope
13x7,0.9999892901316112,Internal,stereoscope
13x8,0.9992183466371074,Internal,stereoscope
13x9,0.9999940882221077,Internal,stereoscope
13x10,0.9999993833744248,Internal,stereoscope
13x11,0.9966186474324013,Internal,stereoscope
13x12,1.0,Internal,stereoscope
13x13,1.0,Internal,stereoscope
13x14,0.9999544196378151,Internal,stereoscope
13x15,0.999967811071625,Internal,stereoscope
13x16,0.9978653983814751,Internal,stereoscope
13x17,0.9997132733966769,Internal,stereoscope
