,KL,reference,method
0x0,0.015944122639085206,Internal,stereoscope
0x1,0.17491952812051897,Internal,stereoscope
0x2,0.018452123109464664,Internal,stereoscope
0x3,0.1066939675020459,Internal,stereoscope
0x4,0.03811073938165856,Internal,stereoscope
0x5,0.012520407775953021,Internal,stereoscope
0x6,0.01961195265752428,Internal,stereoscope
0x7,0.015004342077538563,Internal,stereoscope
0x8,-1.729940026361252e-16,Internal,stereoscope
0x9,0.018309908582978082,Internal,stereoscope
0x10,0.003576797003119471,Internal,stereoscope
0x11,0.01019683424046894,Internal,stereoscope
0x12,0.05903874764101338,Internal,stereoscope
0x13,0.0018701673300686647,Internal,stereoscope
0x14,0.352591598192384,Internal,stereoscope
0x15,0.004927559952555116,Internal,stereoscope
0x16,0.09463037995525773,Internal,stereoscope
0x17,0.04299841747107669,Internal,stereoscope
0x18,0.05023247882108518,Internal,stereoscope
0x19,0.10987679040754046,Internal,stereoscope
0x20,0.060098310581678444,Internal,stereoscope
0x21,0.021121514942522415,Internal,stereoscope
0x22,0.07594590523717266,Internal,stereoscope
0x23,0.005124568576046869,Internal,stereoscope
0x24,0.06928564970153266,Internal,stereoscope
0x25,0.05394221888158808,Internal,stereoscope
0x26,0.13150129320930654,Internal,stereoscope
0x27,0.03446490264630034,Internal,stereoscope
0x28,0.016611806980959112,Internal,stereoscope
0x29,0.016097470633948827,Internal,stereoscope
0x30,0.12241318478583185,Internal,stereoscope
0x31,0.07253985379023398,Internal,stereoscope
0x32,0.023831189145675852,Internal,stereoscope
0x33,0.14670143416615392,Internal,stereoscope
0x34,0.053617076378412315,Internal,stereoscope
0x35,0.031690626423968304,Internal,stereoscope
0x36,0.054428821224137724,Internal,stereoscope
0x37,0.1017152785829141,Internal,stereoscope
0x38,0.20811215136135672,Internal,stereoscope
0x39,0.013140038580799838,Internal,stereoscope
0x40,0.11118444030991498,Internal,stereoscope
0x41,0.19552839289775648,Internal,stereoscope
0x42,0.0028982861628511006,Internal,stereoscope
0x43,0.04929740025622842,Internal,stereoscope
0x44,0.10736335776456975,Internal,stereoscope
0x45,0.03503785906696792,Internal,stereoscope
0x46,0.010439006752358398,Internal,stereoscope
0x47,0.01333348875985637,Internal,stereoscope
0x48,0.030557512433986005,Internal,stereoscope
0x49,0.09589764663857975,Internal,stereoscope
1x0,0.050716027393845384,Internal,stereoscope
1x1,0.02483232551478185,Internal,stereoscope
1x2,0.035457924803141784,Internal,stereoscope
1x3,0.013126368784361827,Internal,stereoscope
1x4,0.0003883628720285654,Internal,stereoscope
1x5,0.1832165700886475,Internal,stereoscope
1x6,0.01039134247034371,Internal,stereoscope
1x7,-3.2730564972023934e-16,Internal,stereoscope
1x8,0.01673044800159429,Internal,stereoscope
1x9,0.01804165779764848,Internal,stereoscope
1x10,0.10955690026112533,Internal,stereoscope
1x11,0.013647999493338787,Internal,stereoscope
1x12,0.0811973858416134,Internal,stereoscope
1x13,0.0008693344191790676,Internal,stereoscope
1x14,0.05778327119422633,Internal,stereoscope
1x15,0.010579676914227405,Internal,stereoscope
1x16,0.009890978165615842,Internal,stereoscope
1x17,0.00793377616734968,Internal,stereoscope
1x18,4.582181121489705e-05,Internal,stereoscope
1x19,0.027453673421860947,Internal,stereoscope
1x20,0.007251952663934864,Internal,stereoscope
1x21,0.1883960984661298,Internal,stereoscope
1x22,0.016472335599465607,Internal,stereoscope
1x23,0.029794112457753895,Internal,stereoscope
1x24,0.043248496613693205,Internal,stereoscope
1x25,0.06112494714513422,Internal,stereoscope
1x26,0.12598520154512236,Internal,stereoscope
1x27,0.0017883093273053756,Internal,stereoscope
1x28,0.1026131064219227,Internal,stereoscope
1x29,0.16915004053539187,Internal,stereoscope
1x30,0.016751716865483823,Internal,stereoscope
1x31,0.03613173411556897,Internal,stereoscope
1x32,0.005645124507431383,Internal,stereoscope
1x33,0.07632480943415623,Internal,stereoscope
1x34,0.06046147776438407,Internal,stereoscope
1x35,0.0007012753437331933,Internal,stereoscope
1x36,0.10697389017505934,Internal,stereoscope
1x37,0.16564689728915968,Internal,stereoscope
1x38,0.010504883677923887,Internal,stereoscope
1x39,0.2263168557469702,Internal,stereoscope
1x40,0.05142406044661961,Internal,stereoscope
1x41,0.0008822091236031747,Internal,stereoscope
1x42,0.005326700886742183,Internal,stereoscope
1x43,0.00993780854835484,Internal,stereoscope
1x44,0.04894404342644376,Internal,stereoscope
1x45,0.07174705311541482,Internal,stereoscope
1x46,0.18988787653963352,Internal,stereoscope
1x47,0.01716726761288171,Internal,stereoscope
1x48,0.05765845882884632,Internal,stereoscope
1x49,0.17915098888630865,Internal,stereoscope
2x0,0.004601585483516652,Internal,stereoscope
2x1,2.4658563990293154e-05,Internal,stereoscope
2x2,0.0732638004435219,Internal,stereoscope
2x3,0.007169071542705346,Internal,stereoscope
